,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0653844846224494,,,,,,-0.029984205938569198,,,
BMP1,-0.07705744124291405,-0.015155505696854003,-0.0060766374662837115,0.10082077866157374,0.015699149052019114,-0.14004061542279586,-0.02188496872925214,-0.3985793246428678,-0.07662395968155686,0.04519470217389423,-0.18786525470338652,0.027875226771861186,-0.2595668546122111,-0.05951789709163089,-0.12954182066254694,0.022710094805927533,0.031665702421840226
NDP,-0.044755735645435654,0.048055208958087695,-0.05944532289553654,0.0379798292670171,0.020469347270277636,0.18132047850274316,0.01520488595172021,-0.08484511025681617,0.012509572797757945,-0.00917022353587568,-0.1301433145335852,-0.029535269002578374,-0.04021297972026789,-0.03834546086124438,0.08923427201492547,-0.046158127643662575,0.04452704904205238
TNFSF18,-0.042655535758275034,0.016690168061656213,-0.023785811347400657,,,,-0.016828658719136417,-0.09709399676831969,0.0038116992636199457,,,,,0.038632830732883955,,0.008767242659083319,
IL36G,,,,,,,,,,,,,-0.03468034132392979,,,,
RTN4,0.30308446173236264,0.08131209699323605,0.03352298965295257,-0.006013722723497955,0.07036161831692686,0.24245631673117246,0.03708671578253145,0.5332656925330843,0.12619584704288062,0.06573070679482092,0.4037191549217465,-0.07494968622695947,0.32744581053883465,0.0658526943267719,-0.1259933893771845,0.19137668689705056,0.01580593693851596
HEBP1,-0.10241302492551616,0.006450936063397454,-0.04525438303163261,-0.0031138155822325792,-0.040135338978317725,-0.01982706240722512,-0.0001981432967098305,-0.13843066161090084,-0.004596073979090842,-0.0675729466943244,-0.2437304536936169,0.03305371319369977,0.03069345259141216,0.0005059040268030575,-0.041159815274111944,-0.06328338108842825,-0.01653273683818065
WNT7B,0.26761239244095936,0.030137540358718337,-0.014775008678431312,-0.028263226386819832,-0.038362310349958566,0.07091906426107646,0.043886120792370496,0.30601274564628744,-0.017525492624650807,-0.032753151027596676,,0.10121932440841605,0.0441002605639973,0.021021960221558854,-0.026787519313811407,0.008508248148129229,0.07586824580502223
PTMA,0.06258263526191808,-0.014998296861674525,0.037988803625124024,0.009980437866107491,-0.042687775729194216,-0.1808009588444171,-0.038204019820724466,0.02800790716235217,0.12721484111930326,-0.10324095351664328,-0.5956087100502867,0.07568110531267896,-0.35109041819633535,0.05194186558796457,-0.1492386726228364,-0.032778080927081774,-0.23533867965498548
CEACAM1,,0.040882957507894294,-0.01133893050376327,,0.010596143931506955,0.056669425533643056,,-0.09669691503276354,0.0018620764289322648,,,,,-0.0318507883332627,-0.01777926615823325,,
