,MGH258,UKF259,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.016113792400039555,,-0.01619049930562356
BMP1,0.05677525453952065,-0.012535916843261777,-0.007731029569773336,-0.01303332240449225,-0.006373546332954387,0.031113938887341687,-0.011101898772595918,0.04648718124581193,0.02072809229381538,0.05577491787889078
NDP,0.012482422383178978,0.006998742848075559,0.04284150975655278,-0.007224355447540804,0.0005903876246039374,-0.0010686017750408097,-0.011382509697373644,0.009486305885962037,-0.004101790992206951,-0.005155663852459422
TNFSF18,-0.02037041200827757,,-0.01017685462938687,,-0.02525770307460944,-0.008470989340692197,,0.13528548505137403,,0.002604915159410946
RTN4,-0.010419965476892456,0.049916425333061336,0.0440124123526757,-0.059076509689634384,-0.025592892855276255,-0.04782945670993705,-0.013639970267536536,0.007874238498139882,-0.018446921673137034,-0.07251543259792595
HEBP1,-0.008529646750471282,-0.025832984730976633,-0.0063774312919658025,0.013482437040159317,-0.031665432577337844,0.03685529176472213,0.025455326989501054,0.02471229913511679,-0.02895532858079503,0.043132040790174644
WNT7B,0.008113426048408715,0.02591412267598956,-0.008461634651456494,0.00605705875375385,-0.02780626579668418,,-0.03250134052504821,0.010724360600889549,0.03398216355054151,0.02682820033458427
PTMA,0.022316931407404806,-0.011870081666963211,-0.04383597717333486,0.007100103065701449,0.010705951683191358,0.1230561169054158,-0.06895713080409503,-0.11409093212338421,-0.011928287845273933,0.002973527020583323
FASLG,-0.017945700033448447,,,,,,,,,-0.01404201452429866
CEACAM1,-0.024917761551596578,0.01765076466666563,-0.016005767858858957,,,0.0073015047876312175,0.0054872345957766916,-0.023878143796804235,-0.01351765766452986,-0.019537400814029698
PDAP1,0.0073262570807732545,0.029095791466080656,0.014179627308821798,-0.0013236760563142254,0.07189025413995356,-0.013660812923251352,-0.07538245688649009,0.031725737548171776,-0.060347090201345814,-0.04009278191895292
QDPR,0.010884153308126351,0.02472732233291852,-0.0026963117525281204,0.012558347487756295,0.06887398395476056,0.1103066127519477,0.01258130660505243,-0.0517032724937182,-0.017139551418252883,0.02996305063567974
POMC,-0.012511928716219284,-0.003548912419240019,-0.011808417345233264,-0.02422257881609324,0.036061509552715434,0.039176020460843224,0.02014020137579795,0.0032623791613286047,0.010690609342499564,-0.017916242511710066
CCL18,,,,0.034748139452641026,,,0.026004020811596033,,-0.019718173762853678,
CCL17,,-0.01629190660440878,-0.012692519095581847,,,,-0.012920606384633042,-0.0212451044659264,,0.052416557360446855
VEGFD,,0.014370269657135431,-0.013522805548307126,0.006594280066239393,,0.01608793600640872,,-0.022407027924531038,,
TNFSF13,,-0.011237792552084609,,,,,-0.02479270294725772,0.06454720139135547,-0.015179423569579693,0.03932437077818882
WNT5A,0.009517180437112497,-0.023093707476023916,0.042915791925369935,-0.04301125722007331,-0.05015206889877896,-0.09403520626104811,0.01870125657156747,0.033124254506197395,0.007549360148038523,0.06266596774740524
CXCL8,,-0.036547516527296875,-0.029847534089885747,0.0620800775340319,,0.09648174681579744,0.0015653611514724966,-0.01380243180153977,-0.04775882553921562,-0.007001894996244233
GRN,-0.06862445511021598,0.06893100261268438,0.0715290040861686,0.008253575247590577,0.03306607394910822,0.034779631227312764,0.016187078015890973,0.056236755865387934,0.05880861945237622,0.06381670442472018
MIA,-0.023489373488512325,-0.034305289611904516,-0.0003544192929642561,0.06357465544029851,0.06110530099538606,0.049431849293108274,0.05147304330665981,0.050005125803105815,0.0608723526385895,-0.051764635872716624
COL4A4,0.0016300442414537086,-0.013121053161123492,0.0077394035611792426,,,0.0011893529661816883,0.01992321844983374,0.0651895381418152,0.00132142988550337,-0.01443806255595981
TAC1,-0.01794569026993145,0.05521532749140487,0.012665389714068278,,,,,,-0.02332181041532054,-0.016731604732010276
RARRES2,-0.028402751917897807,-0.059654741657327516,-0.010639211151488328,0.08036937752922635,-0.06029607004611466,-0.05197129981700781,-0.029278706725005592,0.052652347776245834,-0.012380859459924839,0.04925740268242419
FGF7,0.04183992562418952,-0.01762350062953548,-0.020580088011550327,0.06171064936871686,-0.06583991213386527,-0.039832482017742456,0.0076755672241396004,-0.00014955185642225038,-0.009862735261887915,0.016654174665924927
HBEGF,0.014469457669424389,0.002391348799727349,-0.0009988679765433209,0.021965980657892906,0.006981407730050084,0.13054686498708484,-0.020123424768537852,-0.0615206739224913,-0.0005436811805228318,0.003681176163356384
CSF3,,-0.004694539755374227,,0.022526448706296283,,,0.008150729481384346,,-0.019379408756106446,-0.013400103498099315
PI3,,0.04888038495762613,,,,,0.02479676671607671,-0.018051181242061762,0.06650689197134207,-0.029113973153405942
PCSK1N,0.0067284728606301246,0.04380281729274338,-0.016451615078311214,-0.03915622013291193,0.010325896425816885,0.010234070828687804,0.04508614941521497,-0.01429452585332248,0.011079065886478322,0.03519955168892172
NTS,,,-0.015138164275047076,,,,-0.030142429709792577,,-0.008994480904480791,-0.019843726026257648
SFRP1,0.009815513841068694,-0.014215318253032832,-0.028108395178049736,0.003983901289487925,-0.04108052019959541,0.1152915779478106,0.0772618218924834,0.04116590295410387,0.01801318228246196,-0.019382608106333948
CXCL13,,,,0.040762476681101896,,,-0.02902233103536704,,0.01713775378428389,
MICA,0.005365339771887769,-0.011003259946059463,0.02037785529948802,0.04613931541779121,0.01594638400396794,0.01732761064550265,0.060292782552138297,0.08346163328608172,-0.00467681090914312,0.0662926815219508
TG,-0.020783302627036475,-0.01534058058821673,-0.01278723265953686,-0.0015013208418569923,-0.032368925878028414,-0.003577201398931293,-0.017168255548444665,,-0.01594955120152648,-0.01051925870111241
ADA,-0.021142718532779454,0.04064632127168715,0.006362086216989626,-0.008212027497571038,0.005638016103604396,0.12019762318921925,0.022871305119383657,0.05458074383636793,-0.011581155751291098,0.04464445474287777
LAMC3,-0.0007348397555338195,-0.021561912678633895,-0.004826882291059497,-0.009286152093767158,0.09678010661523423,0.07116582266055006,-0.027446389250306222,0.02149501111395973,0.00789154488940776,0.03308920345940991
CCL7,,-0.011091215255185518,,,,,0.06990912275510351,,,0.10160523139008977
NGF,,-0.02541280697901164,,-0.025955874183318413,,-0.032327756270172196,0.05713776609711836,,0.08390381727246297,0.01996509067181614
TNFSF15,,0.01091147075083152,,-0.01565729431813955,0.0746352326512885,-0.03124837969889202,-0.018878710990525606,,-0.012034280134144542,-0.0012407322173156553
HMGB1,-0.01989880879531298,0.019241510700489847,-0.06057454640003859,0.045733794655594566,-0.045422689104604834,-0.018299681634987987,-0.026802675812927116,-0.07820765969655828,0.01928030576824093,-0.0986603103909652
ITGB3BP,-0.06757220523590207,0.030784389840918115,0.00032905261460124986,0.07730474760054874,0.029910511997306873,0.02773871375664887,-0.003508744954347132,-0.012895543651790964,-0.012287088271255752,0.027299073702129893
AANAT,,-0.011237793751472817,-0.011499633059541768,,,,-0.016988578565791907,0.011365466579485945,,0.09551124717771087
RELN,-0.017229908887898174,-0.01950629330436719,0.018667137441966408,,,-0.05477220894810667,,-0.0328641509657773,-0.014536106219093087,
IL15,0.021829931267530824,-0.015033241455747906,0.002510502975010919,0.09369062518276476,0.014442129037790128,0.10429222947952291,0.04225414893787772,0.061934156981760774,0.02410947859541077,0.058678235090938294
UTS2,,,,,0.06088768957179678,,-0.014467018001865692,,,
BSG,-0.026591037640309963,0.01630185449069803,0.03687466199632606,0.05025934827313848,0.002993147923779925,-0.03844444248323054,0.03181578438426534,0.10907623141050446,0.028046514614402482,0.04739092487636815
ADAMTS3,-0.025811539362190435,0.059972138677645316,-0.033718693784490536,0.10917827222998185,0.011483995064806395,,0.0005485727906773035,0.09807100385818952,-0.022288846690286183,0.030674861389129195
CD34,-0.04598631805431801,-0.05407734785450346,-0.030927225970453342,0.008494308380589326,0.0020559965977033404,0.01440086613615035,0.0025437356279389973,-0.038352486756991336,0.019608664715587913,0.07475930331882084
CCL23,,,,,-0.028153491654046747,,,,,
PLAT,0.06379968765333188,0.023203457559583977,-0.0016362054889072107,0.05598978919390084,0.03213571978753301,0.10492349418267187,-0.054323877549161334,0.053857473208936954,0.021167109862273936,0.0516073850640572
NTF3,,,,-0.0333509655192591,,,-0.03464010538513412,,0.03561382952380458,
LTA,,-0.014215317588017898,-0.011075345085531447,,,,,,,0.02154165489886958
CKLF,0.06760047516363347,0.000858211872927792,-0.031338860210434916,0.05421573025426263,0.0019122309446715448,0.09732086026769396,0.012676534358056747,-0.04602976118147274,0.028068480290357998,-0.02040036006109157
APELA,,,,0.10570769635308847,,,,,,
CD24,0.023913253329975112,-0.012771847901791578,0.02071856687927923,5.179140418158807e-05,0.0052905845757748576,-0.11289760324683874,-0.013330133432329336,0.07718616822782566,-0.03915434683378615,0.022786712491044084
