,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.04361315711184788,,,,,,,,,,,,-0.026965368341408832,,,-0.0009206933372166576,,
BMP1,0.07242011264090416,0.031970949641124555,0.06357303386682032,-0.02211509559427533,0.13477809639429472,-0.09046176437857593,0.02151425156228037,0.11393914722087134,0.3239622939984135,0.05475131665542664,0.018094047132464142,0.06557374512706454,0.13514169681291782,0.09704344496164262,0.003439359851172702,-0.004105651967407196,-0.10600867934048351,0.08227938500977447,0.0016058241796348444,-0.057570403958545804,0.13778206298600704,0.04200647993714812,0.046407079841999925,0.08449429717324063,0.013566097292897667,0.11224689659632459
NDP,0.10322431395848887,0.05884394810783522,0.018062175861854855,0.04325517543703288,0.04795228443349514,-0.03740983951703246,-0.01492719416380484,0.013440845715250825,0.08284394700645145,0.004421997745337849,0.02584392251167021,0.054776088522374214,0.11697746273421007,0.034723956679701136,0.050289241199610424,0.05413797188090791,0.05923902587244226,0.059513176961834134,0.05543699976271582,0.12196013604475325,0.033797540667687205,0.01610982747351061,0.0712791279835491,0.1653221192571278,0.015837842048365344,0.03793305518519596
TNFSF18,0.12798029034614228,0.07290655636588612,0.09411471233264683,0.0032134755590263794,,,,0.05273839802059656,0.0424388576977602,-0.0005573245274291819,,,,,0.1428014890004024,,0.014613075711093198,,,,0.003829132558630378,,-0.015345220500755008,0.023966443314334514,0.0218212202365947,
IL36G,,,,,,,,,,,,,,-0.007242778544143611,,,,,,,,,,,,
RTN4,-0.04235270824997257,-0.12562226555613615,-0.04806318737455419,-0.018543322953293428,0.01683224753305913,-0.04606595009721078,-0.056213571258278604,-0.14120620504001885,-0.40467467012928565,-0.042413074548204456,0.01992523107635926,-0.14720466037648489,-0.11721896648686213,-0.06242444659024962,-0.027038292089608427,-0.0547683368737296,-0.1004446377532412,-0.036362823116732945,0.04963429518219202,0.0390112847165391,-0.06908806641881479,-0.051918292805541534,-0.0004991769284646348,0.006127680464025371,-0.07856414450051212,0.04132871815168742
HEBP1,-0.043722263602396935,-0.02776914242433943,0.04908437338671998,0.022910457764010243,0.01435028594104572,0.041921550239424156,-0.05388378247146698,0.1538866505244946,0.1631176755428077,0.007939536753869308,-0.02587463907668017,0.008799146957062588,0.0022594681584437726,0.10393352602018308,-0.035378422823317136,-0.026031209228586205,0.006812015184731838,-0.021736871423125508,0.14601008414911856,0.05569837645943201,0.07396835811377926,0.031079776426863277,0.028814637137569116,0.13312896058505916,0.024795835585340896,0.08571614571072515
WNT7B,0.059721068668465285,-0.014173466015480932,0.04591965999198885,-0.04537579957646461,0.03623143749344696,0.025758510451987317,-0.06243555684885973,0.017402962857601283,-0.14186976416767286,-0.04553277698935065,0.04969359674027804,,0.04111579164322479,0.027003729779035462,0.021781387907495366,-0.04312927097345247,,-0.025862039709699143,-0.04088884214964296,0.02145364860540776,0.033506726881815704,0.010704332460974778,0.013039911284147263,0.06515853197226508,0.09273541255830407,0.03110866623620492
PTMA,0.005972091460034446,0.00033811846655848476,0.1224797834689435,0.0313683863534588,0.1496013366444882,0.014766440357240534,0.023967986438292316,0.22143085996913942,-0.14546853530111287,-0.09325710338454457,-0.06392425795885857,0.1909423748203917,0.23167199659431748,0.10043119624903765,0.04086508204551757,0.002452558169574673,-0.08157701083047458,-0.10742355579887994,-0.07356195809508223,0.004339101549027953,-0.10147622308240316,-0.0067273554921987565,-0.045412984774962396,-0.05561778984933385,0.02905696408380197,0.036480909999568864
FASLG,-0.07432294564603333,,,,,,,,,,,,,,,,,,,,,,,0.045056880496428635,,
CEACAM1,0.06393471321962876,,-0.0077322458151923,-0.002202730908296518,,0.002096484669232032,-0.04239858930821931,,0.1403757039618989,0.002951817433534785,,,,,,-0.020422624204839625,-0.03568807029569595,0.031246353194975925,0.039357610035682784,0.04026697741344468,0.02948960345117138,0.052949474479006726,,0.012932970891648852,,
