,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.022767442426573362,,,,,,,,,,,0.05215379797563343,,,-0.03586127739557141,
BMP1,-0.051322881544885075,-0.044508815895211384,-0.07419651265835644,0.004515217349442666,-0.1219490418899172,-0.1005119396719262,0.027317273941556617,0.10419470666492887,0.22905295589424737,0.06389916699288863,0.04965546272163158,0.03219356280716596,0.09322522187653678,-0.005178242047457027,-0.13894626353129827,0.0999367770707665,0.1700795147833309,0.03926314005907414,0.048014302606666,0.0036212800034813564,0.00899635894307574,0.0940779045669654,0.04994445945505655,-0.11678898800245777
NDP,-0.025634125375567755,-0.11435848970146559,-0.0969444716371776,0.0007947320928491168,-0.035917711529369546,-0.1526068065770391,-0.042183271482395236,-0.007138045909832193,0.058412509743203785,-0.013565729953898239,0.006762289398311375,-0.011539537284279765,0.02714492513918612,0.21775376606241703,-0.2161749595687438,-0.14590683696473247,0.08887223380055612,-0.012364883443974607,-0.0004839123707914144,0.010647267278987621,-0.08973202779644743,-0.038810736628238474,0.014809469549019287,-0.049701873610680375
TNFSF18,-0.05366500654109729,0.009940930088267783,-0.03573918271915665,0.078352825662486,,,,-0.015232540096101973,0.08804525523194355,0.045533032100331626,,,,0.010115337297445886,,-0.005311821242884771,,,,-0.04049680021810808,,-0.03214810160773918,-0.007450747704310193,-0.011994405335047373
IL36G,,,,,,,,,,,,,0.053881646503088035,,,,,,,,,,,
RTN4,0.04169253827032217,0.029325990835250393,0.0362130780972062,0.03078839582298042,0.0038730406614497326,-0.05501644501187868,0.008562265030727626,-0.1596502927924272,-0.2689232172498109,-0.12218203517323373,-0.12154544641653453,-0.07403613636232151,-0.08658881188692728,0.07422480105949436,0.0016534283556732016,0.056314986575515175,-0.09567404297388035,0.057657745022661876,-0.12110232475596203,-0.029480087622080372,-0.05920407563710325,0.05847526832838212,0.038547635761467074,-0.04196263200821519
HEBP1,-0.028470791557831235,0.021975460873687836,0.018756021605524646,0.03635585886673145,0.033972390227347306,0.029885966653413715,-0.00190095848479696,0.04377081598418703,0.09825813766662407,-0.05127251475262133,0.0767172184371265,-0.009683275681870709,0.006498956432634276,0.05566457757027033,-0.020218772460538117,0.06460574099675885,0.017692697713231814,0.10013116491489406,0.046760071600359,-0.05109770751767476,-0.009998279202782226,0.09169740410102617,0.08558253146201887,0.015770511612538785
WNT7B,-0.024026598052831638,0.015600293077307986,0.020161453410856945,-0.026689445229682845,-0.0030922041478969884,0.06867470400324982,-0.06686075980621206,-0.02083872075834749,-0.0786746826098342,0.06299903566227136,,0.0029002638660942924,-0.022844045414912032,0.09381259017021178,0.19629305298119287,,0.06085143467697739,0.03310635142712311,0.023895847664067483,-0.025200721941699217,-0.04243180518468154,-0.032148068272572765,0.04794260401462159,0.021293425454568606
PTMA,-0.040596102105337414,0.2530593188159407,-0.12821670725757217,-0.06149853779076079,-0.020946405527181102,0.1608605512164208,0.12099100189331832,0.17796330004203803,-0.1582125639737886,-0.05005027322318351,0.1398882626800199,0.1140342482606322,0.05516957580535955,-0.012159080916743928,-0.09538582220458179,0.019081157846494827,-0.1278234320555789,-0.002579698957250679,0.06894876753346858,-0.029381704539980548,0.027851793628837884,0.014798306575874968,-0.0019132328183607246,0.13063589268167797
FASLG,-0.03698944667395119,,,,,,,,,,,,,,,,,,,,,,-0.004717923062003032,
CEACAM1,0.03362830703396705,,-0.012840332072824798,-0.0043855706163283366,,0.015897064289608867,0.019690837921378955,,0.041247185932717964,0.024761004522985016,,,,,-0.03656858475441756,0.04426613215918957,-0.05090955065009765,-0.009568607389270027,0.003426480520016124,-0.03778894757398108,0.016988258010097533,,-0.043274523963385415,
PDAP1,-0.08245000149860782,-0.03522116764487858,-0.16681636116106582,0.023544756948689904,0.07633907115340902,-0.0028521153816548814,0.043478421735787816,0.09444905142894634,0.2152762100184638,-0.035781858700357376,0.016849792061371396,0.05559495040295489,0.004385220029585524,0.023977228496632422,-0.17262261497898934,0.045470311029734735,0.023337017476523197,0.060935213046472855,0.058467160292141905,0.06265868701837114,-0.018376984853972836,0.0031589685931276575,0.10440534377543129,0.013481135033427663
QDPR,0.015984301508130686,-0.10254190031954379,-0.10643015136241595,0.0008410622327246483,-0.0626252775961854,-0.08203154101362875,-0.07066778487732572,-0.08895854190083062,-0.23753104431557778,-0.10228999616394101,0.12477476579227628,0.05342436731907647,-0.11088146202051855,0.017604152554129195,-0.1923468180022777,-0.00803774238942513,-0.1398368512392655,-0.05718834949894059,-0.11531015050296137,-0.03128665547045829,-0.0476635673262732,0.01981643056768498,0.05046150106335892,-0.016551961278991088
POMC,-0.03308147296565466,-0.0356951799147247,0.04969604965762047,-0.008889312239785835,,0.04183317577808603,-0.020050010375787564,-0.04018651303080656,0.015795743793931494,0.00042816468693489447,0.05095828995011133,0.11682893627920403,0.023745980677144413,0.05166118803083583,0.0075851020432304754,0.0722015349323554,-0.035617964420212214,0.027466786743139977,0.022326538938127662,0.03880398058902487,0.011802919291638877,,0.015266514786227259,0.011267082549566649
CCL18,,0.0005256861334610242,0.06023135690838629,,,,,,,,0.10815951377407484,0.14815863749073568,,,-0.07545396079342301,,-0.06491413154770158,-0.05633432338077045,0.12953905282501946,,0.049598705446429435,,,
CCL17,,,,,,-0.050538931558319275,,,,-0.03607270271698435,,,-0.03334505705130878,,,,,-0.05236750939112275,0.05957602874888155,-0.010348583527410533,,,-0.028190898946577794,
VEGFD,,0.0345566144373062,-0.03583558161113205,-0.02933713481106396,,0.09802737761502982,0.042919308285571965,,0.060263942491504394,-0.038432413673773376,-0.03205067952754641,0.12004628222403042,-0.014350366734783002,,-0.056441918128061444,-0.005026634650084521,,,0.0410303442529093,-0.05460464854866476,,,,
TNFSF13,,,-0.020415855197106713,,,-0.000559545554163883,,-0.014772386206101499,,,,,,,,,,-0.048206598237053984,0.022921667187836697,0.01862318442430032,0.0310894553815217,,-0.045934716834720564,-0.018647917432146596
