,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.007821517847588314,,,,,,,,,,,,-0.006045749085012805,,,-0.044265118699270564,,
BMP1,-0.03454578299505267,0.04501169006794573,0.0445624587078275,0.0055265596513761105,-0.01339227850476387,0.03232083832954985,0.02116110784183632,0.12081840177786708,0.15316958716702145,-0.020817180697236874,0.050937111190654576,0.03665781773102284,0.04178695185029987,0.06941368104717754,0.030344727698147483,-0.05532694702191836,-0.01836339966378465,-0.0128033971965053,-0.027794579043368073,-0.009445809043229047,0.017447955676313295,0.022447981841357757,0.04635863822408631,0.07148406461191038,0.0334175968068158,0.02569068478318187
NDP,-0.008466968992715838,-0.019651877031733295,0.05281500218598583,0.048795023402117735,0.04975230543345,-0.04199644608831209,0.09515265406052792,0.007318793139057071,0.041577520596577495,0.09317717745476777,0.014712264297651722,0.005847676035327285,0.032061537025020306,0.04216297068022726,0.06469077651364957,-0.06431372472628707,0.046650367291412254,-0.039086840513430185,0.005183270864162748,0.07037539524610671,0.004514478830804502,0.04722983041199962,-0.018085902309000604,0.10239220692302894,-0.02731128594880759,-0.0363666619337228
TNFSF18,-0.028677272894020948,0.036116861608435566,-0.03463761248566562,-0.04392772593997671,,,,0.07864453691299145,0.025828592115726915,-0.02885978545795256,,,,,-0.005065383174943896,,-0.021582715745315277,,,,0.044987725930805356,,0.06904225924427929,0.01972956436888857,0.03573759395602233,
IL36G,,,,,,,,,,,,,,0.022174287655508457,,,,,,,,,,,,
RTN4,-0.01589983486587623,0.04431070116906898,0.014480331706527523,-0.012529081599021198,0.024210230316930252,-0.008284580532198287,0.008440595596932794,-0.040623216042147,-0.15583383490373057,0.04886760933366532,-0.01911556273985385,-0.013327696159333593,-0.022433411809234652,-0.01643794909081265,0.0924565769149734,0.08057403014590975,0.06836949777647716,0.02634975879440114,-0.0657586655476836,-0.036606364374061624,-0.017142977109872625,-0.04262525604931061,-0.03687372970884544,-0.006426929581117114,-0.0335964259634232,0.08849773904704576
HEBP1,0.06380760015110283,0.03570516746063055,-0.04790563274788067,-0.011117559236696405,0.011552044437595633,0.022990532037652948,0.05046969874060493,0.02782599343183642,0.10273310331640516,0.010519891924746125,-0.0004580057024941893,0.052754378035108185,-0.003401888606266441,-0.01429431940298053,-0.06390601332193731,-0.04871487743091326,0.027078213434949525,0.006506355808076419,0.01866173444160943,0.020804406342694395,0.02716940116651892,0.11607731650555812,0.061065405533363086,0.1241988272898882,0.07011402069471577,0.08143099611669177
WNT7B,0.14321481489257262,0.008004937513696133,-0.05341275013832452,-0.00861335902835714,-0.03343751402943533,-0.022736364887921155,0.05150610510305398,0.05765790072552595,-0.09670090765330215,-0.05967219199885943,-0.0038434333240322605,,0.05448604407162862,-0.030646336541924144,0.023995385044188463,0.05783513102482763,,-0.04097548113641362,0.012431885415153282,-0.0007287748306653335,0.09638044293228665,-0.024934129285843952,-0.057190899306007764,0.013804858360015871,-0.05292667578871875,0.06285530977923556
PTMA,0.02523621212549334,-0.031154340543860796,-0.04553364568640875,0.07002485396408388,0.02232427617568803,-0.014769333770832865,-0.03678090548036495,0.11806894998420561,-0.05245366276729456,-0.031725327485487884,0.01078581843527061,0.04701608116279688,0.0867067157549934,0.04539495333291518,-0.03299921526605264,-0.02069846539858591,0.01302791051556423,0.010232266900679604,0.018493867433038397,0.04651661771301325,-0.02839527385839082,0.04566046559015692,-0.0787477618444242,-0.04504173245789624,0.042544484010400827,-0.01214003158662296
FASLG,-0.006537558752210397,,,,,,,,,,,,,,,,,,,,,,,-0.034835310957628866,,
CEACAM1,-0.0350789884678282,,0.015209003712409672,-0.008137996448212559,,-0.01861020422667871,-0.016715176124840976,,0.040082096801515886,0.002037513433156382,,,,,,-0.07348523910656747,0.07479051055793394,-0.028882227392494422,-0.02355790849951918,-0.03772117760631784,-0.0203937282660231,0.021047742176318333,,0.05024264097554447,,
PDAP1,0.01787851857264612,0.012172518067331977,-0.0026220742977437895,0.07055287526339822,0.07387712395554333,0.07498576303452839,-0.01495912019746802,-0.011692414769540081,0.1233287036448123,0.035214444337817806,0.0503987842667734,0.10029765363891,0.08966027576655292,0.09336042126521,-0.00825824790264841,-0.028036416255196775,0.05751724885977861,0.014323451805914912,-0.03620844472528103,0.03729401414650803,0.07705899777622262,-0.05272998281888745,0.028883016024818277,-0.04474393625896582,0.004010905987756898,0.05499834571035569
QDPR,0.060998138632414566,0.00580798098079447,0.009993121340871845,0.0271029194621523,0.02297682222106268,-0.0426450449859381,-0.003575607610042608,-0.015853968450596435,-0.11343271316393894,0.048479460125357324,0.025248755344150248,0.022841556328069522,0.10491271490700955,0.032653025786060434,-0.049336829609769456,-0.009723337762954015,0.02476243189515145,-0.012028424562360536,-0.022424152091353435,-0.03067256531788346,-0.030351569036394573,0.02809265838327119,0.014178946366061988,0.023175225202349402,-0.05716276839927909,0.09769688447064784
POMC,-0.04800012284487173,-0.04071520024656557,-0.016449627632916245,-0.006317605562583809,,-0.007014499972254777,0.019437561953079545,-0.0032229177821785893,0.008308040995740942,0.018304739659999306,0.01679708670898461,-0.010392091867273169,-0.008156617250378804,0.06364691039166423,-0.05426525849540777,0.07069928767632196,0.004354224299999684,-0.029523178174105675,0.01470756114168926,0.01579324506974742,0.0006602463105603036,0.004147633824607496,,0.040498255142327265,0.003554328221996314,0.038176244919235984
CCL18,,0.045916049906634546,-0.0024070649172788254,,,,,,,,,-0.03047777735205061,0.03777785068558719,,,0.07663406497485552,,-0.04025299600891875,-0.005716535278001298,0.1182835422632254,,0.02357165377384506,,,,
CCL17,,,,,,-0.00371892891986471,,,,0.06898711607142943,-0.02361427673597405,,,-0.025471667961404952,,,,,-0.03159901597824144,0.03863903930046299,-0.053530418492188356,,,-0.017451829826919323,,
VEGFD,,-0.04848802969242801,0.010620264223090706,0.0014512771592142923,,0.00742424526827927,-0.0281593480169088,,0.08852339202760111,-0.009623303040240602,0.013920400990953888,-0.04101636064522533,-0.010589032388749586,-0.0021482410454045954,,0.020829783099943083,0.027866779996683206,,,0.059669504477413954,0.08945425647540672,,,,,
TNFSF13,,,0.002289466369204572,,,-0.009903701606164115,,-0.024875473558329857,,,,,,,,,,,0.0344341815828305,0.012155213265617058,0.009473383188026489,-0.0028008171731092185,,0.03388223712473971,0.006090166986714091,
WNT5A,0.020975835430845358,0.033010308841014205,0.02895818801729038,-0.021722732549573066,0.025414857014005966,0.04354989744865129,0.04085926517731223,0.07724476928321715,0.16757701487678867,0.03377959470154925,-0.04586413977617107,-0.07177939667640015,0.016779432217789696,0.015791274515218508,-0.03483173963214084,-0.10581383048894719,0.11995283662651737,0.001964964853078097,0.025946064371149963,-0.016838158967143323,0.061735628505077175,-0.05977906337106619,0.04552609534714013,0.05090386512818204,0.06197021089725658,-0.0222790968177958
CXCL8,,-0.011690544342067727,-0.036748183203947904,-0.04205296525510919,-0.01180510066408623,-0.000533039523778415,-0.048048078632945634,0.06252338906870084,0.02981705511781887,-0.0288362645859651,0.018452185899528774,-0.0025781970097462715,0.04978057052626962,0.015572230691549789,,0.016156980556209732,0.00039449443187306173,0.03389567613771063,0.004160197822928296,-0.11493849515206585,0.06875833717837611,-0.01836894713021617,-0.04820159559534785,-0.05999568898481145,0.03450809152211845,-0.006171633722003107
GRN,0.03576681692308785,0.0425217650953536,0.016543761124730348,-0.0025311565600567394,-0.012165454473635677,-0.0285074787243524,0.004056760802700963,0.053988451821052046,0.1488610890338849,0.03210045294706275,-0.052061348185760664,0.08145577902806654,-0.01970397126309361,-0.004205818210677459,0.04156078928612241,-0.11420281815870048,0.026864458006445133,0.020361011078182466,-0.03915541551192628,-0.03203606151910198,0.042006558421439646,0.025968387222601065,0.06202609005913425,0.01484555961602343,0.040395559021424866,-0.007466575083641185
MIA,-0.033068117295120256,-0.00991738254296048,-0.04586162997318631,-0.03994162092126377,-0.02183760438613551,0.04936092669942842,-0.021645987953958355,0.02610791580555344,0.1529062374455454,-0.011631468475348546,-0.032124101028193075,,-0.01850121084772804,-0.019270787839078152,0.037326798078747774,0.12162020634194162,-0.027708070074026772,-0.016220589657082625,0.155867264380817,0.15937043698232375,0.004663107735160932,-0.04948182072634554,,0.04185214041367108,0.063991981067767,
COL4A4,0.004764238164775844,0.003283946596827107,-0.057897023474498675,-0.02724188368479712,-0.03460633317771983,0.018573480042544353,0.0314836326111461,0.05280513783853635,-0.01922195635247766,-0.03757861083009652,-0.03145920083156911,,,0.0021635201037900785,,,0.10257485311066028,0.12792733923516242,0.11872983984658529,0.025928341786974334,-0.03917377549767741,-0.02491543280667773,,0.0017522754133967482,0.04531406179994034,
TAC1,-0.02526377261948742,0.041780894025392395,-0.012558845029320767,0.014858337982986962,0.07083009170462003,0.016696271733571334,0.011071387571117763,-0.04650087686919703,-0.15642942570368717,0.07780490211015141,-0.03452861239441079,-0.0011643355248896405,,-0.06427218836314025,,,,,,,,-0.02984817506568215,0.040942571056487215,-0.030995125938608432,-0.1049093760874961,0.14201746292542614
RARRES2,-0.08034238125597865,-0.024761439535065474,0.019895779033313455,0.05062216445778735,-0.005664245893163297,0.0410428547745419,-0.03228529394471896,0.01961943432418374,0.20751093881342375,-0.005777251360222612,0.015509329510571395,-0.02971829505668573,-0.04117585721447258,0.026587921421227012,0.00403973525783189,-0.01207854297519906,0.11439460831117274,0.00907638441376499,-0.007032852411217298,0.024795341545086873,0.006911523037514522,-0.022884406768259015,0.03482015731495739,0.02761029465521882,-0.04485869006512734,0.05036448411504751
FGF7,0.02542343692687775,-0.058802434720224096,,0.017726523465106413,0.060344027125760674,-0.001449889002408284,0.11172754821042129,0.0021481397963777956,0.08898598558532586,-0.06344088616988747,0.007130444038130049,-0.00438111569196164,0.047687538612314374,0.021661139097315867,-0.0017149446247320566,0.009812259171441769,-0.0041632220093497235,0.0640906163076059,0.048766749624905764,0.05180940995502371,-0.024823262270410058,0.032528326875148596,0.0015149547447971946,0.1267807238904752,0.020065201147998927,0.06277142095173323
EFNA2,,,,,,,,,,,,,,,,,,,,0.03173862793904044,,,,,,
HBEGF,0.055428455665859515,0.046550628068437176,0.011369506544354634,0.027991415303070435,0.01202900396468887,0.066625581317684,-0.038513056102458164,0.032928954967712296,0.03234762387432069,-0.03494846379423241,0.04794663017246382,0.06535298755085898,0.09525184124163716,0.03773128146770733,0.005271529932986977,0.10913406048823764,0.09144757517244372,-0.043339263631786334,-0.03879508305670508,0.04761592819944453,-0.003659613906087103,0.003526332558956666,-0.018728184423986865,-0.008458303620895264,0.1379254034613613,0.0012521989452700729
CSF3,,-0.005470959926237203,,,0.12478628212843725,0.04076789713845351,-0.040058946764358776,,0.027052996999405884,,,,0.00041263252923083365,,,,,,-0.029703980493898444,-0.031810776501098946,,-0.01991655197921547,-0.010444093091084952,0.09938233371810058,0.04936409514817604,
PI3,,-0.016634159659890832,-0.03703918257707567,,0.09318696537534661,0.042179704933172545,-0.02326586597734578,,-0.0182611635884375,,,,,,,-0.015080294061262397,,,-0.029962277280323003,-0.05190703880883888,-0.02434213252334073,0.020434615587589404,,-0.012467070289399288,-0.04669482434955881,
