,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.04447314456269038,,,,,,,,,,,,0.010168315561448212,,,0.02805800493739945,,
BMP1,-0.09803708812619732,-0.021411967831719322,0.1684051429011711,0.03704988903431683,0.034946439043651106,-0.014539515191730957,-0.07327423343975369,-0.09652219121487392,-0.29256244312829843,-0.0330710424867338,-0.013052912529290854,0.028775938578633396,0.21004766097410627,-0.10349322747262142,-0.06165343102795737,0.1848966015008721,0.044152051765928055,-0.054855265339979385,0.00289802936394127,-0.022120248863556784,-0.179611003487776,-0.15533757394374798,0.13300380217888896,0.3269134734809068,-0.11265153192488438,0.12623363859747275
NDP,0.11319733983907818,-0.010121194527824317,0.0644414466124321,0.054329576377300584,0.04321371214301967,0.05552176163604045,0.1991496539724416,0.01284976153177819,0.00801022018729308,0.03442769166250933,-0.06542207087178938,0.056398306027828984,0.14147398648013793,-0.030940226596224456,-0.08126205026253047,0.07149385419089281,0.0049920078082816765,-0.12623694200440394,0.041015096800810745,0.08465565010178779,-0.13351953922419685,0.06006517070285846,-0.0038868368344790907,0.036742647709136836,0.04351563190558659,0.13285861810730845
TNFSF18,0.09210142306879085,-0.004096919880290947,0.05828101774613143,-0.059755003367971196,,,,-0.0031329031090468144,-0.07729833517861638,-0.028016686203521386,,,,,-0.05451675065274016,,-0.024590342095377846,,,,-0.05603188494789119,,-0.02894109212323196,0.1557389744175722,-0.05637389322034883,
IL36G,,,,,,,,,,,,,,-0.032677470525433745,,,,,,,,,,,,
RTN4,0.2522320613666284,0.25774043167352984,0.03012241665614675,-0.001254058237511419,0.060156388047520305,-0.03227592753477679,0.21015464915660442,0.15243505918241684,0.33666134978498613,0.056103538070835714,0.11854498112057134,0.07179711747681469,-0.09522625838272819,0.310290824576827,0.08528366137648469,0.03244054051469977,0.04501781328176668,0.25510423206446614,-0.010643596946042702,-0.07424222445392026,0.32340834379774275,0.15483710477095314,0.01965277740152336,-0.07166807684828613,0.4367393915724291,0.09549681431210205
HEBP1,0.009502554360251362,-0.14728571310457245,0.07637724392548845,0.11477743084607091,0.015919897924778267,-0.04297524548811967,-0.02374678913698143,-0.024864357500658615,-0.13269463088257122,0.04629503563622218,-0.040116705301054524,0.09596831713827077,0.05375320772411571,0.02807769368587008,0.09425111936475865,0.048577190304061775,0.018654039321133242,-0.022367141498364877,0.06339049619196074,0.06231772512279001,0.04908244379199932,0.066969084052791,0.04742862928935952,0.14312839580763448,-0.0395630338969747,0.14386862677840073
WNT7B,0.11201082793288618,0.32830898716195034,0.016570781865473342,0.014012379198006722,0.08967918064975074,0.05471809133536675,0.05656510922100284,0.02305942749408736,0.028675979661584052,-0.07696760546130883,0.057173982009313604,,0.05176362229695881,0.06358232799417937,0.018394662921062285,-0.08135236352404046,,-0.04677111472835456,-0.05932721863129508,0.08088577827093811,0.053429254151465565,0.03759605152707847,-0.0111304655750366,0.059077824152199095,-0.012213753356820126,-0.14035356071627844
PTMA,0.13966076291322038,-0.018316344832572943,0.030882903335526936,0.05629202332237798,0.09701851621865332,-0.009384894130500315,-0.1711651936270105,-0.14379205219720387,0.3293960998328141,0.014221073606893645,0.013499684260586899,0.08125047172027156,0.33509058298989375,-0.12107462257645993,0.16972606078131114,0.08363447891824653,0.07938392393448682,0.3026234593246471,-0.06234743176801814,-0.062497252995332264,0.3045739692551375,-0.15158350981503982,0.15643742295937912,0.22685885200849343,-0.15386541078624028,0.37433206188986173
FASLG,0.06295981518690862,,,,,,,,,,,,,,,,,,,,,,,0.03286865959006538,,
