,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05216231934385508,,,,,,,,,,,,-0.0017299799167191246,,,-0.04985869341835962,,
BMP1,0.0568890703054546,0.08593375446795058,-0.001027173245557308,0.00892117507321071,-0.030753319923089512,-0.005916025194502403,-0.016572190601939724,0.08001657504849506,0.15868965905390794,0.0055382685433339835,0.032281609104510056,0.01334177160255964,0.1853547679663054,0.23933436619555382,0.026142144405775697,-0.07138970299987693,-0.01841090276319693,0.011874141947263838,-0.002681118757262271,-0.06711833643309187,0.07353597861871186,0.014334948852043406,-0.002511036364795336,0.08383842210484423,0.04348671266684853,0.04109625874341374
NDP,0.05099364178512371,0.19363983437836654,0.03070128531286181,0.008570134977544913,-0.0029591729606282644,0.08284412709846031,0.11460211052441921,0.03193655454376868,0.03483497769830593,0.061283040949311994,-0.011231360212688602,0.07709404469381938,0.031196827223891013,0.08311375914464313,-0.02270407965941661,-0.06079162108097925,-0.02247226095236616,0.014448762029983188,0.06343117121399384,0.09284157318632881,0.033217993316567114,0.025444843204079356,0.06729158033478569,0.181644107982163,0.11581885838872427,-0.042344006271175835
TNFSF18,0.06125131177721236,0.010749952903640416,0.01661343725407106,0.017821490137571946,,,,0.051459830337912744,0.05106086247698546,0.05741011671375036,,,,,0.005764280049209092,,-0.03746557148707086,,,,-0.027414330626286593,,-0.020265383493568018,0.1059392543369643,0.05292341827495594,
IL36G,,,,,,,,,,,,,,0.04828849536211487,,,,,,,,,,,,
RTN4,-0.02161717596723197,-0.11610168501567926,0.027338859059426658,0.010508568854097728,0.04050941250558219,0.05527431814836585,-0.0590922372867631,-0.09666540458928424,-0.23046426578230456,0.010156829633285623,-0.05166703384766053,0.10698024890790019,-0.0052282623823298275,-0.2785893016372721,0.018898743801264984,-0.0650386050231592,0.04342937997601298,0.014684264304878559,0.05530035831850596,0.05404461468615961,0.01053082456718671,0.07172853027365012,-0.13192293711204134,-0.03437066896799976,0.05740431362093603,-0.06934864793444384
HEBP1,0.028211113837784425,-0.011277823390927786,0.028008052996847995,0.03159122867027202,0.032920654597268985,0.04323660017363348,0.0369876828632682,0.016987269231988098,0.05193145815273854,0.02759742639021921,0.03952108619264311,-0.012437537770694118,0.07931344395374262,0.006692927314213123,0.10140630168089887,-0.027255605891064242,-0.004676171027055705,-0.0826481664021627,0.08568306010901083,0.026028365128606522,0.06909468282988582,0.028772135618536032,0.10960879671678801,0.12319983344234539,0.020778558942053733,-0.02265706250956453
WNT7B,0.04264929525635901,0.02590894652461842,0.023278360454461827,-0.04971854546155666,0.0349500230669862,-0.03141742218564546,-0.001985606784456775,-0.010503248902342083,-0.0514089079368028,0.04686354911623723,-0.03441427374901366,,0.1250113042446138,-0.049559729187517665,-0.04348327528755401,0.06755261422213987,,0.07030269745734764,0.04339914189687304,0.0360720815740334,0.005187613096334114,0.00473300372481236,-0.008807340989275313,0.04964791566675831,0.06905417909013996,0.045966911781891474
PTMA,0.02305489313657112,-0.1872672478144863,-0.03469812596135385,0.03730638335875145,-0.022982952179860197,-0.015661246122890802,-0.01785592999057289,0.0945498740442224,-0.057456293849998355,-0.02552843131966596,0.04025512018757343,-0.05578706276788435,0.1557686119201827,0.36074753535428605,0.029794513410050384,-0.05022360827728142,-0.03044364125075501,-0.10382380962485203,-0.05581711250334281,-0.009653525479380252,-0.0514409947006295,-0.06060680332247642,0.006472743886522433,0.029913024725379874,-0.049425922080867137,0.04181733642872482
FASLG,-0.017718316206444155,,,,,,,,,,,,,,,,,,,,,,,0.027153213554184926,,
CEACAM1,0.023547653214940803,,0.04337087116373756,-0.024818670200368313,,0.0334781916650856,-0.0025124995700664178,,0.06110106333905885,0.01240557499389437,,,,,,-0.004341317460665054,-0.01285560938963597,-0.008411251830744409,0.03391943849160309,0.00923986972201065,0.015840177169412547,-0.0071432768123256985,,0.10626385052420466,,
PDAP1,0.08415012003020614,0.07044645648322957,-0.008376401269815308,0.06065176700994877,-0.00167676671761146,0.011406205589048472,0.025310786850691127,0.014202991445213923,0.15736479524822278,0.05285083133119559,0.0009757980809751981,0.013638577695257654,0.09605405918828135,0.16110838449190604,-0.07414041132732536,-0.06515329262752727,0.06567173468357744,0.1354594716328204,-0.00658073117316787,0.013843363126241234,0.046927619379393104,-0.005723306173847238,-0.012261272868358366,0.03720682015795186,-0.01589101920856904,0.06506645350969374
QDPR,-0.013259316638894821,0.14511230225012492,0.009296767914127327,-0.02254447618429538,-0.011820200195271337,-0.03831333040563564,0.06185769592941512,0.007339808661298269,-0.1652808858003592,-0.017309907155875274,-0.026524155783626036,-0.02006395192786697,0.1032000620252478,-0.04345772807031557,0.011673973845288167,-0.1242900472784079,0.032330459739743515,-0.22287198495840965,0.012758505325047386,0.05407150928376519,-0.021777012443358522,0.037545931766034255,0.0759125522997831,0.0938966108538335,0.08027736136570732,0.2154337107609326
POMC,0.014272765273896298,0.042499980938931495,-0.018626851696509697,0.027938585351583434,,0.05228464980963882,0.03560169576264977,-0.07965611566688621,0.0236878882091597,0.03610895819234354,0.026716881967578578,0.005735199986074908,0.01536523209074744,-0.013045646176871263,0.09855431907320325,-0.07054671243724543,0.041456547353042404,-0.040278674297148584,0.03832081173371948,-0.013457268092851382,0.06610534720446574,-0.059284160330185784,,0.12475459596119481,0.11692659780173775,0.005013076760052866
CCL18,,0.028152084592987132,0.022770271076701817,,,,,,,,,-0.018145425775551137,0.051198881624674245,,,-0.020252629741886713,,-0.04269313901375822,0.05261980916227275,-0.07732727290760362,,-0.0347079936265524,,,,
CCL17,,,,,,0.05637747594803731,,,,0.019415581773534668,0.046141712347774366,,,-0.004384891752410086,,,,,-0.020697365923016315,0.0033658768175954517,0.05069227529333318,,,0.0499386186465677,,
VEGFD,,0.026589037081320807,0.03354901818308889,0.014773245715366628,,-0.00934431114755495,-0.019585819660795385,,0.04248167915491126,0.023549021499190886,-0.011804098868646874,0.06429278036861562,0.03644853216039713,-0.012735556523606148,,0.025496120896008202,-0.07024040203707185,,,0.062105592713739576,0.021284873131865268,,,,,
