,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.037877225614288045,,,,,,,,,,,,-0.004894672833832477,,,0.03474783180624054,
BMP1,0.026139016378168522,0.048479896408425996,0.1465877039279448,0.033989817814423035,0.059891409357093535,0.07617991644957427,0.03934250679773249,0.12169807033590216,0.06508653815381923,0.0489168713641795,-0.0166318057267316,-0.07704956978341605,0.1625629611043593,-0.07847344446676265,0.17439221640840633,0.14753131375669776,0.05518820085572255,0.1904786823952513,0.07308664510115619,0.023488235675663997,0.12879644741624519,0.003989132971361526,0.0181605217580211,0.31731517809544046,0.08158308042242293
NDP,0.0814469771478541,-0.001476664197609909,0.06890772092908826,-0.010671545205845501,0.03140002253602976,-0.0072646637352306465,0.07426419020084801,0.06273297582570316,0.0043302020694737904,2.202305609929138e-05,0.020246688269678105,-0.10049826503723445,0.09594072067736165,-0.01959474120687873,0.014309349905186126,0.15341222709107424,-0.1789680102593672,0.07913984896059995,0.018529042115639088,0.09070318800486062,0.021109344107892572,-0.008742328665543626,0.005804458991979302,0.036022474624053384,0.09034764187966804
TNFSF18,0.06313710525776196,-0.008304729848686071,0.1003620353411531,0.041367888158460736,,,,0.06457758901813535,0.041950505884581664,0.03481157111713186,,,,,0.05608502463245885,,0.01451156658057012,,,,0.003942327118989189,,-0.013595220634944402,0.09904634726688286,0.08442036416290767
IL36G,,,,,,,,,,,,,,-0.025510721252488367,,,,,,,,,,,
RTN4,-0.0579690709978663,-0.0273476345094622,-0.050834506905910445,-0.02950702660226307,0.015221913607635633,-0.029893117073289954,0.03498196702568626,-0.01990323639997888,-0.006791015843427202,0.05052018768729487,0.03450325527276263,0.14307643878984347,-0.12153426890904222,0.16991953985342342,-0.06785280764894147,-0.049766599285648916,-0.0030216549781470307,-0.04770152862728453,-0.05003881814017034,-0.0540066651379095,-0.08624462744679129,0.00012781543459343132,-0.024260833718313318,-0.06263895979505468,-0.03749278042145121
HEBP1,0.021976027511331833,-0.007552217168165332,0.0882041958234256,0.03324327481124684,0.021124456755059945,-0.00030040754204790687,-0.009692147426252929,-0.06255017303239341,0.07397407151127605,-0.011817198909432065,-0.018533479571940587,-0.05346661892733918,-0.005498563537468348,-0.04912745593018323,0.1259849786546617,0.04714227537915926,-0.03259297872940256,-0.0324076443907567,0.09968316322524456,0.062105927973306115,0.06277728594488433,0.05545259855560127,-0.0035548345940324497,0.07345329983617885,-0.024498350274782994
WNT7B,0.038723976286028736,0.08241670343149565,-0.006693686421469957,0.03386371547090444,-0.020568236122163464,0.0044868508052627746,0.01944151242004991,0.025422291902559468,0.10940191174284995,0.00033857602366742576,0.07749609016227321,,0.0584141277578202,0.11722023841668189,0.07700218365463425,-0.0783681110477691,,-0.04284249355322138,-0.028012950976083435,0.006520603448406274,0.07135865644164553,0.006337765352221913,-0.03947953580540943,0.07774403974930137,0.10875255904128184
PTMA,0.021109419064870964,-0.06077495252415549,0.08230903443764948,-0.0033852562500273535,0.04262655267715939,0.04074854140922501,-0.043167015383638055,0.07621298578483997,-0.10877330239329767,-0.01079456135837071,-0.057960549465101076,-0.206998012681867,0.23462029040076826,-0.19143742163829214,0.032929549428497656,0.11386837433636281,-0.005948795646200633,-0.13617966089390746,-0.02998884803761508,-0.024729259891966605,-0.03611557249978141,0.01536956929410268,0.02883009543037921,0.16856809427589672,-0.006132719728474396
FASLG,-0.0009318677311627422,,,,,,,,,,,,,,,,,,,,,,,0.05922384993017751,
CEACAM1,0.13380980283049954,,0.04763990537140186,-0.020905521450064836,,0.005829394670042488,-0.02989012932092861,,0.02796758080507162,0.03326942655086445,,,,,,-0.05782115866759181,-0.03751058189827974,-0.020677169754943114,0.047836005847937,-0.01254698919434886,0.10151912721728101,0.04809724575572289,,0.11781666876395026,
PDAP1,0.031699544404206234,-0.002222047707208621,0.06850999033830193,0.03029205934926799,0.018772170971490285,-0.04658506117918482,-0.02532886926903378,0.061443149578757704,0.00738571879275028,0.016516250351936542,0.04335041863036644,0.028344142885573693,0.12784784626820128,-0.06202861556374846,-0.021386417169709408,0.06424283557439954,-0.06618516385915049,-0.05784344116228134,0.01583219758826496,-0.043824641445397154,0.027639075823801075,0.03847380507630781,-0.012633096996742789,-0.03442184433512824,-0.07365899930287066
QDPR,-0.09788863903690595,0.07201049606107199,-0.01879845398334581,-0.006907449314441728,0.057227272776522425,-0.004674280413232082,0.03249924165837216,0.019495440018043195,-0.19723332385406975,0.04670672148495822,-0.002819075391393422,-0.170347458438818,0.1299262495080761,-0.022068570723906403,-0.13904776011575068,0.13513667538447138,-0.11742909304848764,-0.14868266480193362,-0.01566784430556059,0.10087327523987474,0.02702374773239397,-0.06166604785838416,0.007065494798908794,0.03439725624460217,-0.029762320172097234
POMC,-0.0017008533010328412,0.0634334468847559,0.06766489121634381,-0.019492446384874528,,-0.05606279302672731,0.0282074840587151,0.027214218884719314,0.06646445192845782,-0.027126410871456175,0.019566844393835166,-0.06629612374857309,0.08411344392606304,0.04855141874134285,0.10671386199023267,-0.06004850836734332,0.07460738222526488,0.056319665816680436,0.09012438427894441,0.052703296827535835,-0.009837648731352447,0.05274652032678298,,0.09659937273223093,0.08860093954496234
CCL18,,-0.03946576776775621,-0.019404838296486152,,,,,,,,,0.013124629434011324,0.20354613065410254,,,0.04349710913181123,,-0.05196436058337373,-0.030064219370239988,-0.017637910835858556,,-0.06055008612915093,,,
CCL17,,,,,,-0.019930210270921258,,,,0.010484801653692822,0.025253887198369004,,,0.021920271191627795,,,,,-0.0387219469944286,-0.016802983506528226,0.121055033458849,,,0.043656564235180884,
VEGFD,,0.02746295541650364,-0.005789227564844072,-0.029942965215701035,,-0.024455519843508428,0.10432518418468208,,-0.016209557021356288,-0.018004495727697894,-0.019339240967662437,0.1015655520865514,0.15523556148884102,0.01891162315796007,,-0.04451235184252273,-0.012024677794146878,,,0.07287389017782768,-0.009682393320756624,,,,
TNFSF13,,,0.13206798030982891,,,0.016129900618432263,,0.0860494738548394,,,,,,,,,,,0.14279864637280656,-0.04843150404921337,0.00028704052479048105,-0.021411387571761555,,0.06072883894338616,0.006979268575743124
WNT5A,0.029531077394147454,-0.00771004620823203,0.03359270478528834,0.051584323680017856,0.05473888662385457,-0.008625032993750299,0.019215505558853433,0.11046708092374811,0.06450375545924704,0.09363772162303924,-0.013964725315559779,0.05077201710334101,0.07596588313016826,0.05731474594224938,0.039964762276014074,0.10467543584750168,-0.07407613643576895,0.08430359529705433,-0.02238453883621003,0.042506494866166894,0.03215786822974607,0.02912543083938713,0.007468772224274342,0.05806531503864104,0.0636053282689291
CXCL8,,-0.060496106124119195,-0.0851570641778284,0.030529539148936552,-0.039231117254646286,0.03903281374414726,-0.06868136814903507,-0.0008947340751033836,-0.04177136312615379,-0.007327082304651961,0.03459556145856445,-0.07527338649798837,-0.06518864252182023,-0.034444697044379885,,-0.17365234391179743,0.12076286827372622,-0.07239444033145978,-0.09267891594922813,-0.12737193968648394,-0.0013363487858492954,-0.01921917523399554,0.13155683604000706,-0.05402188733662968,-0.0613387620853089
GRN,-0.16739130194509294,0.000814756721627364,0.17795826671149637,-0.011180976283526838,0.10140460595970949,0.02819706604700655,0.036743263303033645,0.03239257254151403,0.04117759553480292,0.03026476240636394,0.027169877102804108,-0.1354791721034194,0.05018341257976801,0.027813012713219818,0.055979894588383323,0.00795755690048328,0.16666363834319936,0.18369557170607345,0.13232576815435845,-0.007038774316541353,0.10637995239320107,0.031316277264143336,-0.0581442332509574,0.11235680933096016,0.11022568203946877
MIA,0.17309348719363485,0.010426812283656153,-7.709709777801034e-05,0.03504223318036467,0.03982900412697009,-0.03283166601796674,-0.009665727612140998,0.09220180911932585,0.04585346172858938,-0.03450262768611321,-0.02568888627389665,,-0.021652831053129457,-0.005945945087986231,0.08935697445856812,0.0012524882845634754,0.08396609178536195,0.06754497248947115,0.05390684963184655,0.12535511763588256,0.0562647770146914,-0.018763758221194218,,0.09590539485808328,0.04424343625636914
COL4A4,0.062277113365962984,0.05675782863872392,0.04495862879132608,-0.0058115619059692265,-0.022722877833954887,-0.00170336361583229,0.0009264811559403745,0.011658473707144606,-0.019844303452723186,0.014846876996360926,0.10548497066079322,,,0.0596919328000517,,,-0.0783947751602736,0.13290889773197392,0.05030316284779233,-0.020079978233082132,0.004755988244136731,0.008158593832551467,,0.04871621189107071,0.04215144171565335
TAC1,0.05774906461273924,0.06624039282606616,0.0001042049434636439,-0.011839009337931096,0.0771728317435492,-0.04726023589206338,0.043349009412786965,0.029970392734675937,0.09722641195441131,0.0369370986279423,-0.02970265753695946,0.16612315827207233,,0.1361144102926609,,,,,,,,-0.05151998085314118,0.10018190403086981,-0.03394746993859071,-0.023496793393729527
RARRES2,0.13700563013676528,0.05551623702465608,-0.044696054485129956,0.07227047556719801,-0.07598283410629676,-0.022077077167617344,-0.09249373818067905,-0.018692719683706675,0.03251240584490983,-0.015517379316837662,0.044416153946490226,-0.051179218391107145,-0.12851535088896632,-0.12976480914277108,-0.07044632941310515,-0.0900829301048947,-0.18538680105667565,0.07525783630620042,-0.04326243655553087,-0.056573401076764215,0.013203890315032918,-0.08674808744774475,-0.0695495206906468,-0.03511124567289451,-0.10827857304161359
FGF7,0.0154972535596922,0.06063395327604697,,0.07383614698786613,-0.023180494478416937,0.016436094298108665,0.03750794770775161,0.06535963192182932,-0.017393591772943032,0.011838177902060596,0.013330845166222785,0.021209755171423744,0.008536865025077051,-0.006050268053642799,-0.011935793295521595,-0.017678059998012675,-0.027152509400188863,0.060847889192881324,-0.014139413011559847,-0.0031190779894325156,0.010400347585127881,-0.042648318678236846,0.00259375216525642,0.11118038163785018,0.04690457516924331
EFNA2,,,,,,,,,,,,,,,,,,,,0.006337898168975859,,,,,
HBEGF,0.062620076645481,0.06341289958506542,0.12966338473984773,-0.006976253503745143,0.008388597308292446,0.01539230237359995,0.003729564330978805,0.0909768155061514,0.05843280575873316,-0.030546072323102944,0.02023827947220454,-0.045169170196717755,0.13188064076489517,-0.031435204062937386,0.12243403361413079,0.024074093928532374,0.1816058051918593,0.04501784566716893,-0.03477032293584133,0.037018599902980565,0.030665429658987147,-0.0029691949836898016,0.045809957321173475,0.12103126344853937,0.0701334438618697
CSF3,,-0.05834530543767691,,,-0.031729379322975294,0.0025476139406040476,-0.01671046837257166,,-0.0014700726171188946,,,,0.040611467360608965,,,,,,-0.03847437585496329,-0.08867056344697131,,-0.04281086031828451,-0.035483128469196,0.0006328669082911856,-0.05498336360116365
PI3,,-0.06911871480024732,-0.031043251367065625,,-0.07517133722312387,-0.043468595501553735,-0.0010151955446282591,,0.0032685415793722175,,,,,,,-0.05920561939345609,,,-0.09377149637966169,-0.16397058348819765,-0.036916925647500404,-0.15131418754374135,,-0.13917668566616395,-0.11878969006712965
PCSK1N,0.11118546354012496,0.14162731817285248,-0.03937193306108706,-0.0078336185493104,0.03234691135410832,-0.015246335815417136,-0.0317988892249602,-0.0701558291304722,0.08810512717681852,-0.010959379095782462,0.015475429689238162,0.20245271265419215,0.017983824249946653,0.16996043533507704,-0.019932583821910998,0.11880862686611185,0.0450071763347982,-0.014059169947740209,-0.06205130337760161,-0.008061621812653949,0.03701157709922476,-0.07000436560415321,-0.08719724802792347,-0.041758800813854906,-0.006636467191976373
NTS,,,,,,,0.002397625806357714,0.07037162905203374,-0.022042461980525813,-0.012651067375069438,0.024919913036254362,-0.029741190113806482,,,,,,,-0.019950847248015595,0.02544372340930472,,-0.010407863324912952,,0.07101443999568167,
SFRP1,0.04079713761906467,0.17643762670196317,0.025016153673584167,0.043003422774061995,,0.05344251537263629,0.11796961611745524,0.030365086686981974,0.036929638504799356,0.028234054755423416,0.0031691565097221497,-0.007605568011020376,0.040661474887534924,0.01801342452671375,-0.01987632254748966,0.0930132475659769,0.07965723020856978,0.046440516307132355,0.05686543964513525,0.09867397157215599,0.04988526513259577,-0.006893351971350062,0.018835525937945023,0.06416778116201385,-0.03140282121694576
CXCL13,,,,0.0036790861243431493,-0.02303928369723767,,-0.032331230629448586,,,,,,0.0427253549354951,,,,,,-0.022166984271651313,-0.01929561778305162,,-0.02165185572390347,,,0.07453075903981995
MICA,0.12067240149086779,-0.004017422135419339,0.10122461309662746,-0.004591227695437336,-0.03509700094321067,-0.024439760658283943,0.005603556156618348,-0.011637277776679538,0.12901569326879722,0.013931981784945275,0.041344833630651834,-0.06110157031348927,0.03719247177466749,-0.034531730257197746,0.13236976561072378,-0.051325688762299496,-0.009407961782525703,0.19392592871814548,0.043956045180694625,0.029814312327572784,0.12200464997152535,0.015216102841674553,-0.04147883438525253,0.19495525691458052,0.027786244870497787
TG,0.04925290505261534,-0.019873174225735656,0.03376773863659458,-0.028427297037624193,,0.013013126237393426,0.0235558756876937,0.010678773418783602,0.05939880061614424,-0.034424908183366576,-0.009306545225472302,,0.045536375697431984,0.03756206156029027,-0.05029859758101719,-0.003399076421387167,0.13452308302283367,0.06550623889114368,-0.051451786514008876,0.024095720981094543,,-0.013033668320863653,,0.005656363548802279,0.03503244738771803
ADA,0.041304558498643944,-0.04992483449519872,0.12312861048420495,-0.003314731446545291,-0.01807126853977687,-0.01602577996447747,0.034736748615355334,0.03713457776517794,0.09320192911133278,0.054090088291268906,-0.02213075045660471,-0.12152852275066504,0.12378014795906066,0.02482899270928248,0.04682706044911619,0.07974350718994087,0.028324040977050945,0.17014391090157346,0.1343104349557659,0.08643825853716602,0.07216456274858353,0.04887835062146259,0.030468769598031725,0.26955260138538695,0.08523192830887222
LAMC3,0.07097769759266284,0.13289690259637524,0.24651149053451057,0.05147993482916582,0.1095664829588457,0.06908245469227538,0.08399696426169764,0.1684548512286531,0.08879836315718588,0.04449444618719374,-0.017840537922105163,-0.057396832201701484,0.1134479102218133,0.06377045619995637,0.1937058308250085,0.15215908693068647,0.1851483598553744,0.20801075087538148,0.16115949702009844,0.12677066266742168,0.09347259704687928,0.12355027199040554,-0.06974745025755626,0.22759639447228222,0.14839243033628907
CCL7,,,0.005388698976171589,,,-0.03203559740493188,-0.007254893271311005,,,,,,,,,,,,-0.04294802109859408,,,,,-0.014057763980853961,-0.09228321847937197
NGF,,0.04096095405962656,-0.020083166758068503,,,-0.028973812521473487,-0.04575418499678626,-0.028894471974533854,,,,0.10009388365613672,0.16066563835544143,,,,0.05575424677381379,-0.01434201389862432,0.0412364438858943,-0.021179480885906293,,0.08377705262172443,,0.03265437521214428,0.008954409318348915
TNFSF15,,-0.041585194402277335,,,,0.00929201947774436,0.018449324251882525,0.07605164841783774,,,,,-0.020806200545143188,,-0.05994157561732723,,0.07018286639145342,0.0009303472769742323,0.06990583329752283,,,-0.026584809285867886,,0.0870374673020295,-0.024828530342551416
HMGB1,0.03750286610034941,0.16400163645774887,0.0018405604878274605,0.07110086326329243,0.1201371402562422,0.009081530829513917,0.06447372362148118,0.03589396001465322,0.045068136560854774,0.01967216832531971,0.04211954875218688,-0.05057096846822143,0.19181056300518604,0.03149315497818785,-0.07586613577096876,0.08373679507465537,-0.027079367747745355,-0.09241961409623312,0.03127338054859343,0.022534670780821272,-0.04563371138440848,0.008637839665094836,0.07477714512508177,-0.09775748107914851,0.0131811087946611
ITGB3BP,0.05479766664761531,-0.017436929160326065,-0.015876436097998593,0.06578967454724606,-0.051793900797262475,-0.04453296636624694,-0.017189053329402956,0.06507848434274217,0.08103802372961284,0.01433594146425335,-0.02377382032627662,0.013968544171026364,0.07340358904871921,-0.06058806512598798,0.06092104891182256,0.025486782326625424,0.0026962033784108394,0.0040621426203895725,0.006018336703855532,-0.027210291560929203,0.010409350456922647,0.030187877865131236,0.005543899874850877,0.06606524798709094,0.013027410379708552
AANAT,,-0.01824203509680624,0.0023437522086615183,,,0.005508309839639307,-0.028597187492592907,,0.03366234997988856,-0.03215404157354487,-0.017718892043718515,-0.027961111041213176,,0.009927493566198925,,-0.014277117440006468,,-0.05412305979694291,-0.05091331003765139,0.04447612244484759,-0.00458065319111474,,,0.08464281508436312,0.01545094896351085
RELN,-0.0016206840834322776,-0.013788348316951663,0.06684921125221836,0.049739859274350165,0.05526660254935343,0.0237105186741869,0.061558934090517756,0.004860450950699496,0.10529755829464423,0.018629575450506943,0.011320220799736928,-0.015041066562812892,,0.06982048407876933,,,-0.06478427429799277,,,,0.07997406897718036,-0.032111568559657605,-0.06433166055975761,,-0.06251938204686577
