,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.015680997988184266,,,,,,,,,,,,-0.026443214835313554,,,0.06600002689746755,,
BMP1,0.08634700937556142,0.03447621684299927,0.010965142459392023,0.07034116024608043,0.0589505060371866,-0.06243182505842458,-0.01594275794091223,0.1078374711929637,0.1398094083034327,0.05831408185114275,0.03704597672120284,-0.08511606134778152,0.0698999487402538,-0.19928512467414597,0.1013524480886786,0.03792532466079143,0.006766205941028014,0.10130567439025162,-0.013688694522659384,-0.05622021694198457,-0.03718263726730814,-0.06506617815420586,-0.03887208334738249,-0.05021744848679505,0.060583176715663295,-0.02349870819491013
NDP,0.04839785919276792,0.027130304117181737,-0.029587956844631558,0.02235718351674582,0.07191355631010579,0.01476003083889836,0.08573955798421144,0.0028276350398596796,0.08389162013178454,-0.02692808656911541,-0.02175669416593012,0.0039794254287032725,-0.012525822958982536,-0.036771578437723475,0.1116010399991659,-0.042970037637444475,0.005571808427526475,0.07719240587832565,0.013114874258218626,0.04411427931134058,-0.030468208806044072,-0.055947381771140184,-0.0017719120651682808,0.11846356288393377,0.06577452674595606,0.06170095297938088
TNFSF18,0.07501352619993351,-0.02802698858707937,0.06358508113898992,-0.006552135873042789,,,,0.013639671226672236,0.08334453236030344,0.0004551823080607398,,,,,0.010258426199108184,,-0.08027924161720623,,,,0.014330317913100304,,-0.02720903523503967,0.014874751058628774,0.01739639588951542,
IL36G,,,,,,,,,,,,,,-0.018009572998781153,,,,,,,,,,,,
RTN4,0.07021722850124239,0.17234340955020247,0.07750727794713504,0.019573465537827,0.05996454497646419,-0.027558914603566676,0.09792317313483015,-0.1542467911592062,-0.2061218406808406,-0.04525648493958639,0.017384190953208884,0.16312877873433734,-0.053078659608887066,0.2768842657801962,-0.013251932688171998,0.024029884004191395,-0.043651195516838735,-0.14418173451805827,0.14137565195378204,0.1208257010490812,-0.04511147524526167,0.26761640347957877,-0.06988789894742058,-0.012454533153469869,-0.06332289654667363,0.04214769847977731
HEBP1,0.013198788304860286,0.0196942885642336,0.059982744724270835,0.05682702688090945,0.031917392867756196,0.06682522024341785,-0.0203886292122832,0.1101478528448296,0.08418439886189476,-0.03260391796948119,-0.019277706934977587,-0.03640736581309147,0.027192109961270017,-0.02169872011289373,0.022867580748640183,-0.003500014007939213,0.019505217801085363,0.03154390925205422,0.016437299728060194,-0.03658885566421023,-0.001846603865698851,0.029220685817412998,0.02669323380991549,0.1822633180151008,0.03134855720020871,-0.023317993363521215
WNT7B,0.20039649010831134,0.07573733543823954,-0.0030713043448173886,0.035262813047436996,-0.003062992210553254,0.013214440913560636,0.08000918695349576,-0.005932889952167399,-0.04479996234160304,0.051255231546909655,-0.04466376467479186,,0.13610405934690978,0.06342082959735162,0.0520148306589084,0.14616362827613286,,0.06355635085963217,-0.04542350770599102,-0.05927421468378382,-0.012490366332198521,0.01527232663316981,-0.02937968556101329,0.11673819299416505,0.1132913306183443,0.10544011467192214
PTMA,0.11949779126061975,-0.15507761127980405,-0.008033136558779205,0.12572752052155078,0.0745203467379077,0.09845126938954096,-0.1307306926015443,0.18017280878708303,-0.14276681239639663,-0.060302728575632826,-0.07210775963320368,-0.1898201805763397,0.07931733451244116,-0.258493192908467,-0.04007392568758348,-0.03484559011670618,-0.01223442121426211,-0.1122614417393171,0.04435703812086175,0.14177079522016156,-0.1208725203906763,0.06871459839130473,0.03454459780359603,-0.10141573722616608,0.0060766432710468695,-0.04580825192370914
FASLG,-0.011112628646686377,,,,,,,,,,,,,,,,,,,,,,,-0.04454689610174699,,
