,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.055233486568053936,,,,,,,,,,,,-0.0461441548151499,,,0.04137887894693725,,
BMP1,-0.004196813376687556,0.06780606481564008,0.14270809880759092,-0.02554668736599888,0.037397124950755124,0.03161589027399899,0.10392704358254772,0.07164993457349184,0.4873562346633309,0.009902828960781,-0.010901579610881501,0.08437454198438392,0.12180826969693558,0.22169468461405442,0.02412976432157974,-0.02230399584697722,0.07009294243024056,0.16495835179652155,0.09893064870053861,0.0279751262097546,0.1335223764591136,-0.018186438758454982,0.114886137734397,0.06074700148775668,0.09462604662329041,-0.06778495271468589
NDP,0.048077256441053304,0.1721491070144522,0.0817337038634067,0.004849385941527235,0.05427826541957725,0.06704402942709721,0.017270217305302375,0.0008245402271937672,0.12901043713263033,0.01384415158266373,0.04374643534636003,0.07869193103063894,0.09051701468309548,0.08446003793572218,0.06520898673745026,0.07509120879863496,0.06529450912447093,0.1152485708357047,0.09169990309052159,0.07114491090791464,0.058477029181996494,0.03160770131636945,0.043750733254809805,0.1895966133192507,-0.01589671818695366,0.08240492782216399
TNFSF18,-0.013773031179472662,0.020623014223202063,0.03353716146560891,0.013067813599507027,,,,0.01784617939883008,0.15125129292477962,-0.007083646172652975,,,,,0.019970904362792835,,-0.13946763270166476,,,,-0.033132843622106764,,-0.07244400515063802,0.03209798364390718,0.0318728969103752,
IL36G,,,,,,,,,,,,,,0.05580543030857263,,,,,,,,,,,,
RTN4,-0.12682479335605717,-0.15585793785026308,0.05248423551280849,-0.012620538707423705,0.04140949593159468,0.00619792576172604,-0.013683346643769632,-0.12438251528492797,-0.5813952146692458,-0.014031758292228882,-0.06746094190476663,-0.11514485858646079,0.0003994612671758012,-0.2315042755557032,0.03852157992004964,-0.08867389073007467,-0.03182174246805836,-0.11866974760594197,0.0009569053115156741,-0.14078189379769804,-0.2138691937778075,0.0006932003794398067,-0.06325504606379222,0.05079780260386729,-0.17463211117877855,0.05746684509043919
HEBP1,-0.005456338299483407,0.06706224216779792,0.05920341053566577,0.00796298579028546,0.02702958713782484,0.03239016451093402,-0.003687303714895536,0.028575845940383236,0.24796771085253094,0.020447793622171605,0.026104038525226657,0.07478219743180498,-0.003428318222176372,0.00033426338865978785,-0.020511978940325366,0.0823063484094652,-0.04003219531210024,0.1247828624745528,0.04689387233006795,0.08005813224783778,-0.038841828404565015,0.040364556340056354,-0.06789545201343229,0.10722572190294496,0.021945258121263748,0.02561696912570418
WNT7B,-0.03429494110913786,-0.12573081737762823,-0.03176382151861147,0.0027119054847637818,-0.02728568860761794,-0.04580448424758974,-0.0497693806293452,0.01589401136190286,-0.24599694289602664,-0.035503378928740656,-0.033179425896750596,,-0.011244110281093005,-0.06009100085679366,0.02801634500751576,0.07076046810073829,,-0.016783756484455837,-0.03395689634949605,0.01644333309689781,0.01731270047377631,0.04848226678161029,0.07638201570459548,-0.02365180976258663,0.06552087076110968,-0.015955772754109608
PTMA,-0.16720294080344927,-0.23120498024639996,0.04956095712500915,0.0746546056742095,-0.04814541576155972,-0.014923845445034199,-0.015042411349401992,0.11066103782941128,-0.3017977250548974,-0.04077123358134111,0.06071866494287401,0.18575843245746868,0.22347125611083263,0.21300200572686723,0.05319376082507373,-0.08872981875072278,-0.08716116285034756,-0.256329028834674,-0.10592820804973513,-0.037396059603003656,-0.20387984373863524,0.017877107084470673,0.01040283334059997,-0.036465960876242265,0.02748488461104226,-0.010298214570281402
FASLG,-0.034462407991323524,,,,,,,,,,,,,,,,,,,,,,,-0.011407212245810679,,
