,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05260209688671589,,,,,,,,,,,,0.026907091321803037,,,0.05170382744323815,,
BMP1,0.0341373584283054,0.08959466066389071,0.35941601332469186,-0.023839226557280192,0.10763880233736366,0.13023118234937883,0.10805708355432007,0.20266211972070647,0.30054566613758943,0.07739249884746136,-0.04154419920699463,0.08704690509189726,0.15798213544344744,0.047126311857557224,0.1752364036957497,0.1348686000621122,0.15435835273903037,0.2527479578186326,0.07072730948257688,0.056749325494601384,0.09159750247196188,0.07260768097524484,-0.01118554214078515,0.36071199608003757,0.17397474504405208,-0.034214934961254564
NDP,0.04672710641138088,0.01792125346912748,0.06236044312183761,0.010028368240724861,0.07706155624604365,0.0082825968341414,0.004168643764116532,0.007831119332874123,0.06602991132239908,0.061066752870096906,0.04333995798990941,0.03716996195968698,0.0987212413586295,0.06008655353167875,0.06339946413322699,0.13748226631119664,-0.08294906377036955,0.011427197676559595,0.0016021608447277164,0.08738412063842725,0.11641078522370998,0.02933959197669825,0.14240206537678415,-0.013906091388858233,0.045763255559494856,-0.09401032813500028
TNFSF18,0.008618966400807154,0.0629562023884888,0.043943449691572524,0.033762687463112145,,,,0.05564737730605144,0.09918225918703612,-0.00015675438538663327,,,,,0.018278889682917375,,0.047787232732954314,,,,0.08966812126071294,,0.12431257049549937,0.13867837938248465,0.06665548374413621,
IL36G,,,,,,,,,,,,,,0.10439472633002458,,,,,,,,,,,,
RTN4,-0.04912559324260996,0.0774539731014551,-0.0036154928915721383,0.017485664974293273,-0.01526850471037387,0.015846106550056707,-0.039467374079788765,-0.20942322275307992,-0.3353892774116678,-0.04469062502284114,-0.0288605535736284,-0.04503215607979667,-0.08727927224573971,0.04930465834003899,0.017793446972049334,-0.0055042023532504555,0.024723687064361267,-0.09806093007987096,-0.04483595752041229,-0.10432020101906408,-0.1727780708264701,-0.02796203485880145,0.0031876947631468934,-0.09023404968842944,0.06226298133698183,0.06292150165270899
HEBP1,0.01606630890292877,0.06973452229479017,0.11543140587631608,0.028748148020805407,-0.03130785341058893,-0.04956252552071141,-0.06668697400822593,0.07353315473579353,0.11374208960257542,0.029637812229023685,-0.01275015166293272,0.07810913615354922,0.07178855532486667,-0.03370657319980518,0.19806157212003533,0.024504892069774697,-0.022215447008941288,0.006384430077407257,0.08406534524494999,0.0874700153852165,0.05303096934100467,0.0745912535104377,0.077509755257451,0.17304632788312005,0.04634875041587478,0.09521654197823146
WNT7B,-0.025328539297928252,0.13324116892345764,0.02201660079934858,0.08608985441262788,0.025879035384423498,-0.0476591641611973,-0.015213452311239758,-0.015466291681256255,-0.09511686341451633,-0.09308022170483495,0.01573216700402012,,0.028772119533754505,-0.024119762753500713,0.13730558073966412,-0.010257165394228211,,0.033893144601517315,0.006800170180817291,0.0907738494947143,0.008102170939156751,0.03848452359420177,-0.04154591505939278,0.14587209146840452,0.06220745661147585,0.03358880439754636
PTMA,0.01836397269200714,-0.08034755507805752,0.1449382452374582,0.032191240516169006,0.141613090281186,0.029284853024532764,0.025280183652634028,0.2725392766089847,-0.1637878244200568,-0.042678227485524994,-0.009878855114921405,0.10172055617269243,0.32758095413593935,-0.013442748059412122,0.17979066815880454,0.03662888826175274,0.02299737486623865,-0.14826137579455823,0.0026566274911151736,-0.053582251151372134,-0.08626652061660257,-0.02408526011627181,0.057954469751438344,0.2332785342227862,0.06765339836335305,0.02894895058849606
FASLG,0.008964651613595586,,,,,,,,,,,,,,,,,,,,,,,0.04936480336841001,,
CEACAM1,-0.019187653713677456,,0.028747464706382363,-0.053504693097403445,,-0.021642395617069123,0.04994124710972657,,0.12981254080083188,-0.0069577173162393546,,,,,,0.03342974707018119,0.06666177550736697,0.08037480749454703,0.05075875225966518,0.030680790070491237,0.074264912474016,-0.04039658977815711,,0.09498983138962624,,
PDAP1,0.048986094119765886,-0.044440593469300724,0.0456232513100797,0.02394029195214353,0.02066944224939075,-0.009889586038562694,-0.014545053246350349,0.07557022553392086,0.23578012011809796,0.02378732562007332,0.018585985754564965,0.07276589621289846,0.23207717587579346,0.015958134005242805,0.04552891947095527,-0.018521396005473558,-0.036364661894105595,0.04552605162922949,0.027132415910109987,-0.023960197642910876,-0.0040238026066336955,-0.03772819695638262,-0.011901105700407375,-0.0618943877547942,-0.06728475088311008,-0.007640240028864586
QDPR,0.013614926375645748,0.030757718855611786,-0.15476656814077946,-0.003578039088760945,0.02327033539338181,0.0432594352410061,0.06247767527592125,-0.11185462345578133,-0.35288819138825483,0.051226214065213604,-0.0071477619479183,0.0049643554535762436,0.20896818624563526,0.054788183818613945,-0.21114259043584574,0.11833435686339341,-0.06144003966061981,-0.23637981731207294,-0.007490868301799712,0.0849149000799947,-0.1298674236990853,-0.044224621583890206,0.006979159789500666,0.023972370776034188,0.0677314730338263,-0.09017743332578235
POMC,0.02904714019316307,0.04397828890422229,0.08024699790722094,0.01628207872326509,,0.08039535889780462,0.025949615400565652,-0.01383787837571932,-0.016152266722819532,-0.041701109393185345,0.07109773961087679,0.041949895449577716,0.11867491873830527,0.04624076846846086,0.09734753582863316,-0.05948382209336726,0.02758407633636606,0.09922800776800417,0.17646177337181423,0.04454374744402433,0.10383479330923948,0.009785932538222367,,0.12914108660933224,0.07538898988564605,0.053412425577969505
CCL18,,0.05430576483582489,-0.09411086700031723,,,,,,,,,0.043687245773339003,0.249854085955324,,,0.00148566170198981,,0.07932530435699417,0.07436676601767446,0.08064342981182748,,-0.04174387017025887,,,,
CCL17,,,,,,0.001824242014652512,,,,0.04613664519902961,0.0009530775529019375,,,0.051098870971550685,,,,,0.02291142443755423,-0.04916896980835694,0.01835018215741183,,,0.017734698780318116,,
VEGFD,,0.050420387195800255,0.021583813687685343,0.019395898762454785,,-0.038081290254852906,0.050731330214148516,,0.004766271677894477,0.03373776821974715,6.693162784686299e-05,-0.01293487299186571,0.12603187897526952,0.040164035330343704,,0.012228777746147643,0.01981455196490119,,,-0.03851596219942618,-0.01331529563903892,,,,,
TNFSF13,,,0.10661004237869919,,,0.06596404377901562,,0.03638045082284222,,,,,,,,,,,0.09551444641420387,0.03548405257478946,0.12521207186345698,-0.015335812072557837,,0.12110137016035968,-0.001114379205390958,
WNT5A,-0.049547244526680086,-0.014954804136757965,0.0795835730211,0.011091450182442909,0.04284301442213386,0.04958565057853246,0.048609095662627146,0.2073162785214416,0.2238771035784897,-0.0029115316256480917,0.016871260762881125,0.09842882441236478,0.07224813320733191,0.026557822053394624,0.12298918121995876,0.01701414491340551,0.030423590830050487,0.0757864910583687,0.011704619572663057,0.09663005415795174,0.09060328718986897,0.024471851951724796,-0.039911772942282965,0.19924911022250616,0.07552745013072162,-0.06388474833534531
CXCL8,,-0.0394381678233388,-0.09180467797899869,0.009732780645766125,-0.09973508998121622,-0.06299087806177812,-0.045299148218747115,-0.014489190622742471,0.06487256311111175,-0.053999237138630654,-0.023138656080504538,0.07622163740993318,-0.009093277623459805,-0.043711223591528334,,-0.08239545693844053,0.03707508405532951,-0.07976149589083302,-0.18023212458686944,-0.1397020788035946,0.03795076828147903,-0.03581853892980808,-0.07059319599956736,-0.014222816523912725,-0.10641195168020022,-0.11780319989043711
GRN,-0.0313793866828186,0.08687005082353975,0.3885968654984541,-0.009894763887463388,0.12867893614608722,0.09045368505869265,0.06897450992096635,0.13404076476848914,0.3117578643563751,0.022354070434144842,0.020100036294052444,0.08864954232500262,0.01657891801432301,0.061304950257624224,0.0003666724187815443,0.13864523290961372,0.13098933596654747,0.21428305453896754,0.16409596706918725,0.015276474921454607,0.15769336741468845,0.025193751281371166,0.06850281016987719,0.2421870090696603,0.1466348706403771,0.012901320377088398
MIA,0.028111703808834532,0.03636309934122811,0.007838959190849537,-0.0016703684457968783,-0.028623622820506275,-0.03403924409093905,0.05344312777208806,0.10660289204025515,0.1719914156952678,0.030462143699036003,0.013414059973858111,,0.011080673050421713,0.08450816172601362,0.0033995788143678426,-0.07077818506332623,0.0717074403518859,0.11425160237688474,0.06995313684205356,0.1356055224373688,0.1420500341928384,-0.016245630146145357,,0.12966542440309473,0.10592669431053553,
COL4A4,0.037329008496736774,0.01901861015152185,-0.023182662512823464,-0.01792303162251092,-0.029491247480076484,0.01602175958562467,0.08148630094978677,0.009118040731977988,-0.010711572618866018,0.03442229536577194,-0.02158486747995476,,,0.07369418606576185,,,-0.03421648460839473,-0.01476889041418516,0.019667731233157466,0.016318291821087256,-0.014754415916946621,-0.052427064545796806,,0.03146436582814205,-0.015461583512322657,
TAC1,-0.02942073342793513,0.09903792714618133,-0.05005884679298221,0.01204989936113194,0.08846943376106803,-0.036077650549945356,-0.03145271792191634,-0.150892629919444,-0.18852643849918294,-0.039902606309230995,0.021788988359894346,-0.04918619460101622,,-0.05305953760711031,,,,,,,,-0.0024943560217612144,-0.03582169940068749,-0.0006423219535191287,0.031630362051877574,0.0105283984815764
RARRES2,0.04054722165384887,-0.008407576066642388,-0.1257729075467193,-0.021274349610679727,-0.09924159433681899,-0.0020106837107867113,-0.0475938385381677,0.07077308278778197,0.313958185719812,0.077242280746623,0.030750651627589852,0.058449386493771134,-0.09024207482596684,0.00310979130130362,-0.10281542623125074,-0.009259246584118024,-0.12258410973051741,0.08708814501807456,-0.093731972172313,-0.014311584275138237,-0.03413441175200138,-0.017959356270192284,-0.00013005127813120042,0.008429951021095054,-0.12499338229631034,-0.02600571809554475
FGF7,0.02573299095768632,0.09791288332639254,,0.0159265049254117,-0.0007140878870891474,0.07617143129207417,-0.007362271044259877,0.0728022811841593,0.10748201307456849,-0.008546499082102785,-0.02558939768437712,-0.0027440748216093895,0.11249476250015218,0.0017825149943769543,0.04415690118403001,0.062623691453057,0.059994746784000325,0.1125890124485217,0.05867241738873262,0.01120207060046419,-0.011758483185586576,-0.027301037221183194,-0.00039600835403407055,0.030877412006707856,0.10053296864793551,0.049235996677688604
EFNA2,,,,,,,,,,,,,,,,,,,,-0.0403418706675073,,,,,,
HBEGF,0.08811527105864794,0.0650348276942734,0.34051327737831033,0.044552690357902096,0.067386307402806,-0.030340688926105346,0.10275888862161112,0.1660215335759124,0.1902717333510257,0.020157057689816352,-0.02910598448059808,0.08635166741122315,0.23893049840333666,0.008776708655690161,0.15569578752510288,0.11865777949875687,0.06694926643819166,0.11992405237749945,0.07683388447012285,0.06743264652285004,0.008386472530551725,-0.03411359829411183,0.08554537418622583,0.0793125038387358,0.09462595155577791,-0.02278758247180459
CSF3,,-0.0642921168548595,,,-0.050767579252825684,-0.06420559308769465,0.0011424273389056962,,0.017418181720178418,,,,-0.004320315935481889,,,,,,-0.05498244095586725,-0.033617655705117155,,-0.019091500832539816,-0.03734033370323338,0.0021880392985417444,-0.007317160462406558,
PI3,,-0.020980436943290857,-0.021882025324611396,,-0.034809238988976345,-0.062812296863329,0.02884492117298008,,-0.0034142566318914173,,,,,,,0.0496158800798036,,,-0.14935453511920488,-0.07967046541960099,0.01814339358976322,-0.05166184780416225,,-0.1429298630496433,-0.09378744567277014,
