,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05787316931064722,,,,,,,,,,,,-0.04496965820813906,,,0.12688566422027261,,
BMP1,0.010998370497966375,0.16465281357863984,0.09477939531552786,-0.009005218752898789,0.24273496269412442,0.054431492573562314,0.11742721041208903,-0.053048775885251614,0.46985144624465375,0.14486721978623127,-0.0017063019139667741,0.0678636083080036,-0.028438413393864232,-0.013380430710192593,-0.05085715133299644,0.26233498611402767,0.04875188695730417,0.02043646472834249,-0.19737366416734398,-0.1942580992572418,0.22146052859950607,-0.21469969770688027,0.04550013969633874,-0.12302251298886764,0.05148317511968967,0.1414684846972776
NDP,0.022848730677196692,0.46026755468371244,0.15201445188424934,-0.01707166133796587,0.16355410058531347,0.19831336020963905,-0.0006523420696923297,0.02187391070756756,0.13731302078162824,0.03611676011068572,-0.014592881670221245,0.12916590378474754,0.07482426197108319,0.035629740624846425,0.05382362784636692,0.3387206705002175,-0.098561783749953,0.04377834404323569,0.09231948490031498,0.15327650293325434,0.1669942907383321,0.17742085392212417,0.10073361007896296,0.24260259332263553,0.2856508445952275,0.03855142876277299
TNFSF18,0.03580013434237113,0.044459016116213834,0.07991179591893502,0.028023328973455254,,,,0.018095981386611202,0.09700046281133082,0.09421704498375959,,,,,-0.07881696031501491,,0.12167142806643613,,,,0.014098414631729464,,-0.009528768764149851,0.014779318638772585,-0.009258778960590205,
IL36G,,,,,,,,,,,,,,-0.011438137007559508,,,,,,,,,,,,
RTN4,-0.07490056655793756,-0.12083843145114484,0.013453961143181243,0.03395724689710362,0.10835730157034089,0.056918232919149714,-0.059720917135826286,-0.1382092014859506,-0.649315347186777,0.027634657901951458,0.1009684656534811,-0.006036665592821356,-0.020857927275274416,0.17981460575656447,0.2341455297197818,0.03329993441658406,0.06833430097339105,0.06206200803997349,0.07986312123572435,0.032907834422813996,-0.17574446771301336,0.3542089673577811,-0.09125660034525689,0.040356663446065255,0.18584907058073138,0.014213216436177822
HEBP1,0.08915186055222014,0.05360628236512098,0.04015796322960044,-0.03628853957692832,-0.1100792576772534,-0.0036392832142817743,0.05868988652841124,0.08459828612666727,0.21250162576639714,-0.05207628260333351,-0.011247672907232322,0.12213968947809944,-0.05101593712355916,-0.03953205966432315,0.08437754080519262,-0.06200213083862325,0.06513074274712163,-0.011382376961219406,0.11056165537437437,0.10152196236604318,0.08772480516512164,0.021374019829600747,0.1549215229139762,0.06773265303429941,0.05061873519388472,0.16148839641869323
WNT7B,-0.010221878734662697,-0.020032349835736697,-0.011789315034439841,0.027306565838486462,0.07941322123008433,-0.055443526566426884,0.20601092410694932,-0.16346559796227714,-0.4018757664145315,0.015792637447370573,0.039127343350046154,,0.015126960382652868,-0.02641908249759977,0.08909073348985566,-0.18665540414076426,,0.009004675593527743,-0.026060608760587294,0.06259985822987964,0.06800196980228229,0.04809184219251351,-0.05694020671817512,-0.01088998546268193,0.07482764058421033,-0.017951818020181757
PTMA,-0.08952520200897986,-0.5227074065867062,0.37347065875299673,-0.023943408547127475,0.43135922880048844,-0.1415547990078362,0.005149902886028928,0.08788963761430185,-0.1393634867744679,-0.17098726640687756,-0.01953325168122949,0.11374161973584641,0.08458778813256441,-0.10485594640749504,0.1432306956234125,-0.08680674313704974,-0.037757247600570844,-0.18722659386520588,0.00978101526541273,-0.06942976939659146,-0.32797794915944967,-0.162371406377159,-0.012376481314346046,-0.2947850480194342,-0.3161973037922898,0.21860909824435118
FASLG,0.053409829590086194,,,,,,,,,,,,,,,,,,,,,,,-0.02898324232097468,,
