,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.053419140331069384,,,,,,,,,,,,0.006338106090086596,,,0.0830943146721017,,
BMP1,0.1259033601694776,0.2124681555939062,0.08808868995291227,-0.0019816535676275464,0.24577612109794508,0.06840340602301442,0.05679862092718081,0.3095376457087372,0.5275788925191934,-0.06821925748683186,-0.032586946132461186,0.08209717974696273,-0.12763690652795012,0.17358796717325856,-0.1563424243801798,0.26560141665892073,-0.04319524218186373,0.0657787078906456,-0.20960832133321392,-0.20970063904441053,-0.202591379152191,-0.1084511099093916,0.10466433338811207,-0.08726430822340742,0.11837001823998926,0.0014051322015820203
NDP,0.12417523716655128,0.4884573422610579,0.13901791746611888,-0.10840106935470915,0.09592713795571692,0.197976617851608,0.01727908736354609,-0.027585139930639734,0.12303817105748176,0.10552077092419436,0.0124614012619964,0.07367789161422166,-0.015609909785419504,0.18997780395073946,-0.19552641075345545,0.3299332655452238,0.1447457117956936,0.2421794455130963,0.07095049355981846,0.1728955814462475,-0.16153551666234167,0.1423978858757515,0.1313617098558088,0.2928216551007411,0.20595231917999476,-0.04310939651918409
TNFSF18,-0.041329705288846316,0.08760009471387005,0.0522085362591203,0.020637843688648256,,,,0.10068782833914115,0.12121907231601113,-0.016890278557513953,,,,,-0.1632622478808243,,0.1341519543537089,,,,-0.09935638800138226,,-0.02756224377812013,-0.04341196632887712,-0.023813942970777244,
IL36G,,,,,,,,,,,,,,0.07340229800960522,,,,,,,,,,,,
RTN4,-0.3000565632148545,-0.27819219939467194,-0.04285418323055012,0.03620908287216688,0.10702397571815123,-0.023119781455249736,-0.0030824278561491845,-0.6173142346549406,-0.7415359392196427,0.10418516132858313,-0.007384477347351246,-0.409779199700913,0.014501063075681624,-0.15716705142202997,-0.14682175398224784,-0.18560476284913746,0.08047236084789024,-0.017126073100090383,0.012275855856310606,0.009670285833942032,0.33866558022707943,0.2054770254499298,-0.18132479316686032,0.06715462057053077,0.10326698377577984,-0.06830244300790633
HEBP1,0.07759945816980561,0.049350178200454606,-0.020515767282289904,-0.03679821336125023,-0.1005995511720251,-0.06882803382815157,0.008734192275387017,0.2039170629716218,0.2790248037139029,-0.002277082922813652,-0.019469468148849894,0.12772996247058563,-0.09463025580424955,0.05599725518356641,-0.07153425922823317,0.026388042690990716,0.0701346082993516,0.00032190719146851505,0.11703534165920046,0.07889743875644657,-0.022376526208649442,-0.013416507788759933,0.07919905235413294,0.07273847786801892,0.07221607495485391,0.03867011756547318
WNT7B,0.05757276361786621,-0.03769890866330629,-0.040023908253145,0.032949072562728415,0.02544493997424108,-0.06743591071650024,0.1696508343776696,-0.10132731217797739,-0.3127304137355902,-0.10730793766382182,0.08354406883887913,,-0.005571473966646058,-0.0033994431018177732,-0.09110916165872344,-0.1508578919868255,,0.009726770302198939,-0.012025769244254931,0.015028131560066648,-0.016463277719806373,0.008503368363670162,-0.015487549349698372,-0.024003740804828783,0.06385684197003648,-0.0898351960542765
PTMA,-0.07567621219632524,-0.5684880457399996,0.3110384837745947,-0.05822135501648731,0.6015951571190075,-0.03672761326301056,-0.027863263935073098,0.7425036335492242,-0.22153345423177792,0.05321548037967985,0.025169390554757087,0.5044903784343862,0.0026494603023980265,0.10605413718098633,-0.10137121500085325,-0.04004663310834895,-0.12989998980304748,-0.35027380194788,0.02092941629944429,-0.02822725394344455,0.3358366484113262,0.03249077519307334,-0.0008852027746999733,-0.36285536279310504,-0.3007697012888527,-0.025122253488848858
FASLG,-0.07589020051560283,,,,,,,,,,,,,,,,,,,,,,,-0.04651127918888529,,
CEACAM1,0.008704260538109966,,-0.02751651881636525,0.018538886254598406,,-0.025915521003774207,-0.012596477673792104,,0.17702156747273556,-0.05282742229554371,,,,,,0.06787107097176577,0.004685290473244209,0.03252189441497624,0.058464623441674496,0.007705593290043467,-0.045170278263546006,0.03881628400629668,,-0.0003705040849906406,,
PDAP1,0.2516216432095886,0.05492338643396366,0.160976094412888,-0.031295370316918994,-0.03922848529916585,0.0038359033796073437,-0.05980431085565187,0.28239477280384206,0.4688290533032825,0.0488105830541692,-0.014627650105105775,0.06515390683907653,0.04538783513587661,0.062094963797099244,-0.014127886268120123,0.17400976810994928,0.14163807379345014,0.0709853453626886,-0.07486079462982545,-0.16154549694846837,-0.0872081274127732,0.0015239225912940136,0.09042320553425102,-0.012635806409022734,0.04854137466609065,-0.12370664136462275
QDPR,-0.2811267035476547,0.21284999897629003,0.2183274819067712,-0.01797925718117276,0.2962953805076993,0.07772175195988323,0.15991209321946498,-0.16274011641959785,-0.4478124641754113,0.14633779070897995,0.0658790779286636,0.27917785900149167,-0.012855914325513817,0.1182520769726872,0.03383597889257379,0.1989069984420042,0.08249350169959169,-0.11714102813517975,0.2640433662384278,0.2874611452269384,0.17508041522224588,0.027568332667095997,0.06641166358301305,0.1870980758979686,0.17063251519355985,-0.0738472469398073
POMC,-0.017155333373115693,0.08178913206229323,-0.0003933266304208722,-0.04373862438269823,,-0.04857005501833779,0.04152961346899235,-0.02681804219260767,0.004328823678443353,0.0007789188601985331,-0.02386607308933427,0.03667034294887737,-0.02074180159684362,0.024324047259087447,-0.18253675650813977,-0.07711285149740692,0.10423463725605508,-0.026727593619432864,0.1755488640515438,0.13057900593974864,0.028820731085727976,-0.02741218878585611,,-0.052843093105821144,0.022130320880134217,-0.028854143894969767
CCL18,,-0.1472588167499745,-0.1825377584037557,,,,,,,,,0.08506030327729622,0.043964518143014865,,,0.14974013651283172,,-0.1850087684618276,-0.01738573424564277,-0.14606739192428347,,-0.16908827605600507,,,,
CCL17,,,,,,0.05372803117100198,,,,-0.06903959019006188,-0.0128403893151889,,,-0.020985543783523526,,,,,-0.15837925478866233,-0.13385236179249443,-0.011602050862167292,,,0.030266820311530156,,
VEGFD,,-0.02531864669500918,-0.022914911346336584,0.029130259449408943,,-0.03404062313402699,-0.011784420684209491,,0.1621610339442095,0.02792903702400588,0.07237544173243891,-0.0395926729070073,0.01509159726165971,0.04470504858878579,,-0.03282322773466569,-0.11210957656357338,,,-0.02241508026922214,-0.026819373317418172,,,,,
TNFSF13,,,0.013942265850507406,,,-0.025787507302559163,,0.04110205205542236,,,,,,,,,,,0.08561686646741244,0.09593790091781274,-0.06844052913836529,-0.059174830910665575,,-0.02703873463243414,0.03750146327377799,
WNT5A,0.09063809826486008,-0.007686864235248203,-0.079755738191482,0.021935501651057964,0.2546974537491309,0.043284828782270336,0.42032926299402795,0.4648587768009277,0.47860986823104357,0.037427621644189724,-0.030794420295114883,-0.05778442404707239,0.029774164524543,0.07325849042512772,-0.06413905633319317,0.08863697458935679,0.1477811946124529,0.15241761660736,-0.040716516685057394,0.03396413552260197,0.015369867710417708,-0.04516344729943628,0.06492050538791543,-0.1306353973230512,-0.21674590658424864,0.05916490531383257
CXCL8,,-0.49666754553947295,-0.44512679154589235,-0.012316499355530378,-0.6063502075585131,-0.3004224772129687,-0.44442809346941686,0.03589980165863863,0.1687497463446296,-0.14903629502722673,-0.02909657272242988,0.15718904568786818,0.052015566253841995,-0.12587053072935023,,-0.5731126508502873,-0.017484177005896228,-0.20445739003925156,-0.6546460140224151,-0.7262802611426851,0.021791538238405888,-0.31331627789038213,-0.13930855995416874,-0.16802509546483477,-0.3960789918801029,-0.106931240768598
GRN,-0.37380050734753856,0.12318471057508847,0.02603779066958384,-0.07074783277671448,0.345017027415343,0.047371410009114594,0.02464730870731783,0.35911182598133357,0.5624362867046225,0.03875232995654807,-0.06835751887065894,0.2088279008542749,0.029311461702034476,0.07359383810445098,-0.1844873730895412,0.21953192357564277,0.16832165861972423,0.027406809742800332,-0.03827997252391844,-0.07318589119363046,-0.3301279826423717,-0.10296285281318417,0.16997748653122138,-0.13570502740949236,0.021987036022228717,0.05276849489430956
MIA,0.09576309085090036,-0.0491674580529442,-0.04706280443955012,-0.06680320610491286,-0.09508607199293517,-0.10244143871487879,-0.11531934877016502,0.13547234415858495,0.26166157839353493,-0.15313125079786438,-0.030940010750275037,,0.07231452052060708,-0.03424334162187958,-0.12178886577375068,-0.08103005143166787,-0.006332535849501153,0.09732133334763281,0.4739773926719827,0.4344804848392512,-0.05288806261400893,-0.38079329063941103,,0.18957528009438504,0.07532041604228613,
COL4A4,0.03511575701435226,0.10119496472437102,0.05285388599438723,0.06481362865674586,-0.10305950769758433,-0.023259638455788243,0.3137289640141455,0.10233777356899312,0.008683889232321926,0.037990541355033845,0.0015686466045929468,,,0.05633746725385452,,,-0.03444912495982277,-0.006899514657175719,0.19378133760332275,0.13589506087580933,0.004205398296709201,-0.0011712295238869676,,-0.15891775228328717,-0.12403948882664895,
TAC1,0.10098349571694612,-0.021595927931326392,0.006503113749643722,0.028328486907011983,0.33497849474535335,0.054944594448053184,-0.007751040376953448,-0.45670556541885077,-0.5254364189192424,0.11238580579883552,-0.020784566537299536,-0.22208570178311204,,-0.14555832234258437,,,,,,,,0.09860409871253996,-0.06594089376271554,-0.0962818431217,0.18937142049079678,-0.04528336483402335
RARRES2,0.3651526977509856,0.06685183548637491,0.13566875633055667,-0.0421083430464885,-0.2303613766569263,0.11254081584938087,-0.2714495943848591,0.28909815252660565,0.65966950506042,0.21145023118788606,0.07289021357888649,0.12267499131391456,0.1880326938168982,0.127828276796658,0.14257561012600403,-0.015970600884915073,-0.4010079110799977,0.002185239039684074,-0.43892645296054783,-0.3690820381308599,0.13898598667864867,-0.16203335338345637,0.183912724620995,-0.016147959975644305,-0.20593075082122453,0.02968608293214806
FGF7,0.06443269621564103,0.04126035775739349,,0.009510773881990595,-0.03219873728439963,-0.025200723306108674,-0.07809927067267632,0.0951127788030639,0.1653382394081369,-0.025141290164446738,0.011697465200647987,-0.0773151310557634,0.010112870536269806,0.02311756479228343,-0.13317138251722285,-0.020403841489778463,0.08259240957495868,0.07480814672499059,0.0966642632626292,0.04194232432524451,0.023029019493902528,-0.050066238961027944,0.03066547969587645,0.1682555212817285,0.09172139974351157,-0.002214797491871693
EFNA2,,,,,,,,,,,,,,,,,,,,0.013008654274565988,,,,,,
HBEGF,-0.04396066103062954,0.10774142996267978,-0.17734911389559488,-0.0972832294967687,-0.16683388074627958,-0.10416616876909524,-0.14095724003675517,0.3752298044066062,0.2115796022023354,-0.21381517130956787,0.0016739278755793,0.20397623510012958,0.07044845316802897,0.02895822068724355,-0.10534705991722457,-0.07327941931219209,0.004684508008112338,0.007685244165337367,-0.010332921464144084,-0.012164443233419198,0.011714362783624447,-0.1612139789737907,-0.07678625956564816,-0.10803547047352816,-0.1701558715734442,0.026798380511766254
CSF3,,-0.1317633167852232,,,-0.21373560982103393,-0.1786706175771921,-0.33906985088575675,,-0.04165161348860355,,,,0.07176422803307879,,,,,,-0.4660364671447103,-0.460263486786391,,-0.0976913616645037,0.12800596354400437,0.037933392361154436,-0.19830777558316381,
PI3,,-0.17970749602682318,-0.1945843783188246,,-0.36043443738922615,-0.23718635359022797,-0.25165487679437554,,0.005717250483940644,,,,,,,-0.10768342782753454,,,-0.6945694251099191,-0.7242228752336808,-0.1034903809745198,-0.3892460420070064,,-0.1715683007945359,-0.16933180328339517,
PCSK1N,0.23343643446017234,0.34962043968511436,0.28347538916889836,0.02000761395722715,0.4462584698966913,0.2099729769026793,0.16513366195636695,-0.27941376012780567,-0.1970060871621257,-0.03923535235050729,0.018461408087949212,-0.4058568296343065,0.030672475888463373,-0.06979753357232485,-0.07185339283951199,0.14931947426673886,-0.016804189437369412,0.12660487913324192,0.09081851872877365,0.29228500036412636,-0.05352376959563091,-0.062038991325134706,-0.14474417443052337,0.3510803795479937,0.2213327879628487,-0.22190929343383317
NTS,,,,,,,0.0060287310528268,-0.021743576787142085,0.07630159115806567,0.018514077910154476,0.02614685446465594,0.08368394714670976,,,,,,,-0.050845190017532724,0.10962836776845991,,0.021281815461498627,,0.1390192277462145,,
SFRP1,-0.06888492810443761,0.10432634610130909,-0.0021145117916399566,0.015714146441374626,,0.07708564106286576,-0.02896290652723641,0.1878005536078624,0.06523400701628941,0.05909430072805448,0.010374401859830143,0.14940991127202685,-0.031129075073692496,-0.015611157033559258,-0.03352933978910431,0.09697764280466249,0.06751374807426819,0.131296418346792,0.11146061913990699,0.20415295181933846,0.03164302251632578,0.1889103284016796,0.08535325831631958,-0.09690210731093789,0.04164723313063794,0.02228125880528617
