,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08749917228746273,,,,,,,,,,-0.04607843796221305,,,-0.020273960711062744,
BMP1,-0.021034748552284314,0.05362943859085223,0.023665197717214786,0.0737649380879962,-0.02014228011870271,0.031616175682015246,0.08741814994063722,0.14183471975402517,0.002895736719732645,0.040856064806342185,0.00964951859277503,0.012915565023157771,0.05483003329979151,0.1053777303461868,-0.01395607263086727,0.14875654314792808,-0.022164855366492636,0.007922699820045294,-0.033638441756804596,0.10197348520445304,-0.05298703416067384,0.043055432286382866
NDP,0.07633183506411094,0.039726720702522395,0.051020886978322244,-0.06939192323476438,-0.011656775095659263,-0.04481453778097757,0.02666098670710274,0.030635676212085985,-0.006786068235346191,0.01604762715453826,0.1265493883529063,-0.03465117282429755,-0.039885281389905505,-0.004863986245553668,-0.13374228951126496,0.06311693867861837,0.03894864860462668,0.018687928743617795,0.05437194801071583,0.08068350571957089,0.17366834005605977,0.10516912883951664
TNFSF18,0.08405061620898026,0.06389870867342819,0.01424131022062427,0.031085214818751712,,,0.10309660086971557,-0.005319391094646045,-0.023070640970515744,,,,,,0.003610454356214119,,,0.026989018036017123,,-0.0038267696928865704,0.017716728820079387,0.0064043415118895265
IL36G,,,,,,,,,,,,,-0.020540520729259295,,,,,,,,,
RTN4,-0.01586659625320882,-0.13593492171143604,0.06938050320322499,-0.031520330163160866,-0.00905016080733355,0.021262504258048796,-0.0956492752275604,-0.19714348649772814,0.0032550436123133276,-0.08107051469270533,-0.03002438229501564,0.033276930699426194,-0.012169230965177738,-0.0890564997152122,0.07735662630071549,-0.10054610487516001,-0.013082928330489525,-0.01760012243716912,0.044179523753718516,-0.16167687205950176,-0.04164953105510717,-0.11009353074909188
HEBP1,0.09045799759640513,0.04041059467727155,0.00893657719694902,0.010837485728245189,-0.026874805123560646,-0.011208013210003564,0.0363175665390105,0.06119969488311807,-0.00859969829360927,-0.03131885419706811,0.02170815120872006,0.02287460527786058,-0.008990358168045581,0.1118074682948296,0.06369375774631844,0.030986771343232775,0.035808684663937454,0.020074117472447087,0.007317409676520404,-0.015960254800396922,0.08517426248257827,-0.002550998239610224
WNT7B,-0.01648514273597777,-0.04052191908162286,-0.0048626061700526866,-0.019754888006008255,0.004129883924911827,0.009445742647058707,0.03279827380802092,-0.08674169934187324,-0.06443811065616699,-0.0016731236804809638,,0.03494350921433323,-0.02257639939981096,0.01576586526689288,,0.04768253312612138,0.000362675649489952,-0.0161929647993651,0.02020517530131609,0.02548661718332182,-0.012803565422916665,0.08421170159051902
PTMA,0.0207244634530241,-0.1330976738779902,-0.0379045141505363,-0.03708965216148137,-0.08580398357660209,-0.014705485528251617,0.09504104064044552,-0.07797885667357034,-0.02984127303007142,-0.0005907724969580395,0.05706832115223872,-0.03255952485536106,0.02481984654816848,-0.12900836363863644,0.0627565552366283,-0.12182586135286061,-0.0344588038581887,0.04323348456372638,-0.0643067569408318,0.01735641272503215,-0.15190413399238767,-0.06651881556475032
FASLG,-0.016485147396285392,,,,,,,,,,,,,,,,,,,,0.02860098109363184,
CEACAM1,0.016739958802230007,,-0.020060545250560093,-0.015160688368105689,0.03745882513481968,0.01175915804820921,,0.032002089779720806,0.027873567227788276,,,,,0.05208549723815536,-0.029735708896968065,0.12584485937536027,-0.017297478230100624,0.041635217817004154,0.01117381797022863,,0.04930393282525994,
PDAP1,0.05985316025696416,0.03008781731738293,0.016991564489504667,0.022039800309079247,-0.03293788861419742,0.03354593461542219,0.07406298168347289,0.1629700814332881,-0.0072743051400978006,0.02898567662020476,0.038161782334743696,-0.043620952996871,0.009446151152506398,-0.034809687570806436,-0.005957942825918754,-0.015040198393642673,-0.0363197915914187,-0.01455034006766655,0.0428807764845328,0.02841112084099349,0.04414930371429214,-0.0632391369310603
QDPR,-0.01755459699890365,0.02251639491626077,0.026724378379821792,0.0034781277424566948,0.01753486071385007,-0.03475061138608853,-0.020707086438470974,-0.10720818162472617,0.009425735288952262,-0.025850986851000898,0.055364899033298366,0.04781532544727759,-0.07322002501064251,0.22350157223518655,-0.011651473954706627,-0.11934324789650069,0.003353011861574647,0.06307878502205401,-0.006641122541406021,0.02510655384417863,0.08420190458240488,-0.005123164382139674
POMC,0.10724925699375187,0.08001889893364257,-0.030861374253363515,-0.026938124454520537,0.0016392946804134924,0.03284481100644326,0.012719999511637357,0.023584067084567555,0.0552894966084112,0.01186882755168547,-0.011469787125922393,-0.0061932836907353924,0.050617088995658706,0.08031808093024263,-0.0482882572669167,0.0075802350660657564,0.0007673140406602265,-0.020534191939380712,0.003046125232266025,,0.03312242987345543,0.03712378732958038
CCL18,,0.027224207666468974,0.043940831443175885,,,,,,,,0.13477191873643193,-0.04826276221165348,,-0.038150557041921294,,-0.04172316924286886,-0.01125478197083789,,-0.04145668994592674,,,
CCL17,,,,,0.02113741890423268,,,,0.02199838495899909,0.001322721577594944,,,0.05296630327258595,,,,-0.02496999575104131,-0.020258807787078698,,,0.0689713252914715,
VEGFD,,-0.02772274229104764,-0.011213961270029363,0.04028459868522647,0.03995196035774829,0.002666878097418296,,0.08930714074650042,0.04562869292445084,-0.010356337856826712,-0.027604840654984097,-0.01549219767834971,-0.020110333837068405,0.10925131416006612,-0.01029616188921722,,0.029719558720772667,0.014730295421180505,,,,
TNFSF13,,,-0.018891212987469753,,0.0008632803060083773,,0.22942221585897285,,,,,,,,,,0.004765257498639763,-0.009189800790597205,0.036593923679599495,,0.020093568678034177,-0.02202433135612075
WNT5A,0.0450912031575845,0.03308217871507659,0.010897054571955873,-0.009789765658602895,-0.010638812110993707,0.05209274542375775,0.05946847014698694,0.135913167261809,0.023409716092610947,0.03391591374067066,0.07064173657500662,0.05713717511358533,0.01728475458987456,0.05514785638738248,0.0574292185479345,0.07501235558437602,0.0061529457455191455,0.006729917073789715,-0.0522330685078471,0.04119388627955117,0.0071718340928445135,-0.08659532202750561
CXCL8,,-0.0437831534241103,0.017798304122700587,0.010869611875527223,-0.002219859287890434,-0.05206746343004876,0.06705490091573643,0.04031305119082363,-0.036286213744144695,0.017572550804733213,0.06812360353949223,-0.025625120757205588,-0.03700358895286665,-0.09519118726635473,0.05483544048745653,-0.054582197302429136,-0.03769510068303341,-0.052644344178740754,-0.09190284566217659,-0.11091903590798008,-0.08012914574403601,0.012915282798618456
GRN,0.013056290992239187,0.03916190570991756,-0.06530774318841492,-0.012889842995643197,-0.00020201467055604722,0.0273030451034185,0.05168314956098453,0.09331574415570038,0.02790664449671638,-0.03742194669923802,0.10026283374751116,0.0935812120297696,0.06091576542921717,0.07824782300335743,-0.07094979380527805,0.04928465697818205,-0.010252588135363106,0.029325173680172272,-0.06721334731564985,0.1129408199534603,-0.029927933428724192,-0.030020110730092617
MIA,-0.021577636062275963,-0.06189188174989288,-0.021481995902954475,0.04983477613995938,0.03880782390871309,0.09481222506868017,0.09778326808632193,0.06649990229084629,-0.02256912259736669,0.01800836785385113,,-0.02101020327038118,-0.027542023797400776,0.0823753746357576,0.047674969762890373,0.08746719571691175,0.050187692867176045,-0.041209700675159555,-0.08297542886979134,,0.09524691078553468,0.01186196026959421
COL4A4,-0.01909180938940911,0.09401357238717506,-0.030065228358316466,0.017516666191771054,0.02904529815995919,0.037780918652635526,-0.011609948157319952,0.036045901453854085,0.009616865346082719,0.0350172575630394,,,-0.026716784867729954,,0.030626734484633326,-0.023615965913116158,0.002123723628017143,-0.030628711932345943,-0.003984542661318547,,0.010677602297005219,0.005944320484007237
TAC1,-0.016485138427394994,-0.07370193192487022,0.07983799893708415,-0.01799615401518124,0.013595734865070033,0.013542575273777469,-0.018911277713478725,-0.11508233912488179,0.02451080859842762,-0.0350640378650168,-0.09571852134481164,,-0.03339505228785537,,,,,,0.05989073345895626,-0.030151935523945825,-0.0343132648925814,-0.01617301319474809
RARRES2,0.00036115938007307035,0.0058282798880045904,0.0014548732994476535,-0.03457885012956072,0.02749456804911138,-0.012305553976706556,0.0554069054413719,0.1762108326662322,0.07150124326384703,0.07084854705633002,-0.05284736780502507,-0.04925714739840153,0.056731121787668606,0.07764355486706473,-0.039802446211281824,-0.02515311456718176,-0.02569053011615224,0.01638922856080813,-0.09509609601572037,0.010714702274593873,0.04393553819675212,0.08340809463966935
FGF7,0.030860611682896714,0.07155046915849615,,-0.024508991424438537,0.04098457716670785,0.012803917513978422,0.11614462797753965,0.11839292145642746,0.022457882156283932,0.07248481687879564,-0.023985249455631796,-0.033754547937236014,0.007257061629716564,0.05783591221303456,-0.0012166599561831569,-0.003512784103389969,-0.015447246243086087,0.014328081467486417,-0.009167321255247824,0.03343327121104123,0.027812185770373504,0.015197456866439984
EFNA2,,,,,,,,,,,,,,,,,-0.016440095457240074,,,,,
HBEGF,-0.017500700051038556,0.11733887113465453,-0.04964660155410347,-0.02553693133226745,-0.052297238185278,0.02316278571104895,0.0549827137928059,0.08686000239440915,0.07734340790110765,0.0299555346426454,0.03684728149993491,-0.02509597821273884,0.007779722941019645,-0.03961742550939736,0.009681267324960703,0.09115922827376495,-0.015941124076252755,-0.003125865988305886,0.03166595172328443,-0.013080535738269805,-0.04895106240878737,0.043523127666982624
CSF3,,0.04824198283940566,,,-0.005292055127726218,-0.010156082206535792,,-0.01981566053422924,,,,-0.02327433507577657,,,,,-0.02133485688205745,,-0.03227814312002194,-0.0297854604275787,-0.027481004260076384,0.056509075122653005
PI3,,0.053499579816291984,0.027402021910209046,,0.03429756014488366,-0.0563100860256466,,-0.01087160297864516,,,,,,0.049926259793301585,,,-0.029945172760293355,0.09446144282462444,-0.10975079841528611,,-0.05970709258849996,0.0430646354558323
