,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03528670900396909,,,,,,,,,,,,-0.049790683990619436,,,-0.030474398120368524,,
BMP1,0.07378140932702523,0.06390852899700504,0.12307197793557714,0.0013163861750721778,-0.04543561254260256,-0.06231786736222809,0.07031029289962006,0.07430694519451896,0.09597653473309825,0.07139133387087793,0.026875039656896974,0.002879484378021735,0.03957885463172525,0.13604787311988115,0.1335162846773443,-0.04161616901273114,0.2270042803402587,0.02264004753613277,0.1228717998767432,0.10705204209042117,0.2151163577342111,0.07212106747255602,0.05126269688869291,0.05224842452111223,0.15608912675798728,-0.02750686792060921
NDP,0.020056962246783504,0.15659799175127923,0.04168161007883642,0.04504620073240529,-0.060208726350756935,-0.018609046623297418,0.026866907295701747,0.010914400242194647,0.02781778226303457,-0.007705902939630111,-0.003018272565203269,-0.011010794234394147,0.04537091537213126,0.02057176634498584,0.016319793877835526,-0.07238769345337688,-0.015713704647239327,0.13148750801240694,-0.002263293832730896,-0.01601175599496226,0.08896866924961534,-0.022147679927235035,0.0328195227465126,0.07167917129584085,-0.015557893713145992,-0.014171579392319627
TNFSF18,-0.05820841191574151,-0.0007616331406404752,0.01911418361652367,-0.0355059110409283,,,,0.0475440259819614,-0.018668490273983238,0.05409090981969589,,,,,0.07130940135427848,,-0.007812628744213776,,,,0.0637145010386337,,0.05065909835703011,0.018828982336286385,0.05502357045526211,
IL36G,,,,,,,,,,,,,,0.015157615946940425,,,,,,,,,,,,
RTN4,-0.01371515743054426,-0.1101724549168739,-0.06771561400702795,0.048052150894420324,-0.04080677194491342,0.009138950458567208,0.04151228578046182,-0.09681074052826824,-0.08598388761337006,-0.07061374587981475,-0.010045976356376128,-0.03888838033281014,-0.012888068764820423,-0.17642876905188035,-0.11236873981079686,0.18962712694679426,-0.004009169305600216,-0.08608892478875325,-0.011297498042193587,0.08319590322025336,-0.22708089003458512,-0.0002660700478167905,0.02021414249318739,0.02529328018409517,-0.33195014154183006,-0.032969220354691124
HEBP1,-0.10495713885499694,0.07371467734291359,0.02527838213530205,0.041109631692419955,0.04628026474175075,-0.07184066456338452,-0.029192612694163855,0.08473251558938986,0.06634487284572536,-0.0007303454319991294,0.0851903914870161,0.011258645483232455,-0.04279820291835152,0.05608511723988378,0.030877002609997626,0.1802565151754221,0.04190413512874968,-0.0395196749598237,0.0046630213700713415,0.01683107109430171,0.002685144583259881,-0.018681907162829126,-0.03966296171368599,0.03981182240123425,-0.009974487106448377,-0.060253058617302215
WNT7B,-0.07368573391390332,0.0036342477811296403,-0.02019577657318204,-0.02288045117917893,-0.02368944165045923,0.01751237953580252,0.02624498831848822,0.06461561020382861,0.06328527674831655,0.08875977291733525,-0.02305273394919437,,0.01682536650463454,-0.10469761077812675,-0.0621019896779338,0.205869605917542,,-0.059288783763642786,0.0064133024168446075,-0.046332228985918905,0.05523399899605383,-0.05995020117484083,0.08683101781257718,0.08417085652284918,0.00909560522512345,0.010035232395204971
PTMA,-0.09955867651157271,-0.15368097684565324,0.0747380595492616,-0.019457302706253652,-0.1207533731382574,0.042543551757428404,-0.0004911985758245636,0.18936546909656304,-0.09932022093911468,-0.05233191986175306,-0.022174355849642707,0.02975913596663966,-0.0077993438778910466,0.19739959172713384,-0.001752658416389661,-0.14233580935350784,-0.060191903020973665,-0.1815792678034362,-0.10695344140397041,-0.04010405265736304,-0.23579749020551907,-0.00958730469621796,0.025552828726644824,0.02631935303759055,0.2315345646685828,-0.161349802076713
FASLG,0.05196991626364539,,,,,,,,,,,,,,,,,,,,,,,-0.04717874363050845,,
CEACAM1,0.008155576717973281,,0.038217033609021574,-0.04232506234919606,,-0.0037052370795616595,0.012317640671330704,,0.07700366525539007,-0.011587858744777305,,,,,,0.0804279394647493,0.016162666539320365,0.030824526383247876,0.013811454454620974,0.0456829833459055,0.02754695911939253,-0.06478612608697733,,-0.03566835385250769,,
PDAP1,0.02085019124218399,0.05405372061930362,0.024402746148689244,0.08649754011710441,-0.023427894968693123,-0.0110093767963286,-0.004660853409236838,0.04702177254221701,0.12901251957772947,0.03843289505180364,0.004059866911593071,0.07226223642448984,0.04993084548367287,0.14459662169939672,0.055131337719553766,-0.18122423716622812,0.008771814272440882,0.0685451316351146,0.09524397164682719,0.025799337828632744,0.03731463983360573,-0.058906663551908496,-0.01923808442926194,-0.038289601780826125,0.09183285683916938,0.06445692128277533
QDPR,-0.17627328449786592,-0.03862046321965289,-0.048012405611447935,-0.0600266886071733,-0.0014827706317889595,-0.041655403633486174,-0.06107848779845469,-0.08038194604663494,-0.2231210923409442,-0.0571547376491339,0.061019681070488434,0.006513471332149175,0.054380441073871875,-0.019023803074072095,-0.0548498950436361,-0.1024895661981775,-0.018346757138721977,-0.17691982788923788,-0.1090867140489811,-0.026424358596267766,-0.20686133257789352,0.02268690162622481,0.01594010476304003,0.005298488840092867,-0.329564741118638,0.025470648593889908
POMC,0.06611389205677366,0.031719121214448434,-0.02464482755278475,-0.022421218165957903,,0.021560184057341388,0.018928202623008546,0.04279247781854596,0.02296764628849552,0.023574013631960745,0.02039160873173404,0.06755121511352544,0.02120110241337826,-0.0023796984225902054,0.07166999906851611,0.036797026994623096,0.08311139852535543,-0.004055830741707223,-0.02515250248558496,-0.04023526612877097,-0.0026769220432388482,0.03588876361763268,,0.015979919581282854,-0.04419329019179336,-0.04172671448788699
CCL18,,-0.06291856746986099,0.018041898045409635,,,,,,,,,0.04471371447995565,0.03921704468519018,,,-0.10441455791402027,,-0.09770486914651307,0.016506148757914178,-0.030816642314674632,,-0.08857671489383338,,,,
CCL17,,,,,,-0.01343571722721296,,,,0.01953140745769733,0.008960238199477055,,,-0.003393094665663983,,,,,0.1106196506006314,0.05717211692899953,0.012657929324792705,,,0.026774193758796958,,
VEGFD,,0.0037032794619752812,-0.006036093688796958,0.0544173227895955,,0.016141873448557113,-0.013781075344601382,,0.023932616932573376,-0.011999770947321561,0.033483688204306694,-0.033342691009598024,0.009532678476253727,-0.01438674800756827,,0.033118126424191756,-0.008035255527025805,,,0.010883535988905842,0.036536558994731634,,,,,
TNFSF13,,,0.0445295594482189,,,-0.014262848397483329,,0.002148729573143978,,,,,,,,,,,-0.01704195245218403,-0.007546867438305249,0.08426892341827726,0.04579382099368052,,0.0296517146271808,-0.0422222911246632,
WNT5A,0.09112956325301574,0.13241414045931846,0.040976730855135174,0.020570122165798097,-0.05036877134474,-0.018950277884621006,-8.203440262340496e-05,0.1704585110164174,0.017438143398832668,0.02137771298043359,0.00792597575618815,-0.04165330127591399,-0.005981404420551977,0.021074424939656517,-0.009536283288027034,0.0004264308100246015,-0.021144345142941924,0.14985032795156267,0.03527613189371135,0.03225115279087043,0.11677365266075151,-0.0040831966539871265,0.029135118552384025,0.0024042126321768935,0.13730231279999686,-0.025493551082684925
CXCL8,,-0.10500141869877641,-0.06759962220039183,-0.017488903475901967,0.1574998108372534,-0.013699214837634926,0.006798457658994538,-0.008676521035840377,0.04202436558267758,0.0515631097538815,-0.01191484533177102,0.027114150695646193,-0.02001604091876568,0.05322448353429753,,0.21425877845684654,0.0427790356566567,0.16866837327071937,0.24435640870839562,0.11344206945007276,-0.03488786716322706,-0.007987027348547945,-0.03067492437395531,-0.05314092590264452,0.2539779423690152,-0.0017978527410599094
GRN,-0.08331829231337255,0.060329120451013823,0.1879991072132591,0.004892110460423796,-0.14334634013004816,-0.04185510868178699,0.011371265074895054,0.1081375364569481,0.04740259439585138,-0.007506213314263261,0.01922653254659809,0.012150714712116742,0.10225343429168952,0.0005269904325189881,0.026956215622634738,0.06461739598726994,0.18752218344974558,-0.026770553331872365,0.04071087193476004,0.0271968592345375,0.18963112032677576,0.0248791907690816,0.08675442983037933,-0.07697654264214705,0.0010211285573908091,-0.03876330596932455
MIA,-0.0003977145779320041,0.04995448447385938,0.0005344346399029003,0.05289134538054291,0.05376002603641024,0.02314176005369244,-0.005533004208283585,0.040849502288473345,0.05655262674273572,0.08569195169159383,-0.021653438839681804,,0.04199326312571565,0.004213868858205692,0.013041617335811627,0.09285289036727179,-0.0367493274088113,0.10519971011175044,-0.10678491317046436,-0.09797571324653088,0.10047941027419452,0.047151454432838205,,0.021135999162506414,0.08099378792709304,
COL4A4,0.0008783658614754216,0.02304532285715402,0.01842316849720807,-0.049244117090747226,-0.056716571975654585,0.018533177930066112,0.09602182727202077,-0.007074560240421826,0.015950906632815967,0.017976020841976314,-0.008074421493999617,,,0.006081200939640635,,,-0.017914208047138974,-0.005344204009859824,-0.06566077212683114,0.008958145904220517,-0.07658189702910176,0.02294782952224202,,-0.0008657852196922482,0.13852885216885777,
TAC1,-0.007610396992747417,-0.05020897208532703,-0.10311687951370925,-0.012805184890993738,-0.027917844746700376,-0.06899741424505913,-0.06320631773310703,-0.08408580666165856,0.011733686156820147,-0.07641833733978243,-0.005806827071452485,0.04772925166821158,,-0.158269593266867,,,,,,,,-0.04449178700723244,-0.008826054429524227,-0.00012355085945436447,-0.2283338215861993,0.12664625432377644
RARRES2,0.12559601480239538,-0.012758637036040675,-0.05048645279567484,0.023704491000660938,0.001912129109997034,-0.06609910208409935,0.012773030623640028,0.05548619019341039,0.08447986096029929,-0.12082799249851042,-0.037613195020207185,0.06863233463056005,0.11098120017598855,0.15082648529613402,0.04430852492769828,0.08495826381811654,-0.07562590264044694,0.08939778293482685,0.1775735131460871,0.07633522106155183,-0.03293637212037301,-0.019222767203265632,0.04649415443216144,-0.025418422508597917,0.2331991068842044,-0.04525995003419852
FGF7,0.009191392834221998,0.06383790945740761,,-0.023695327647019218,0.037421066196334285,0.02367489278415682,-0.04518488476524804,0.027982851495676874,0.05963471899277399,-0.018515223885536926,0.019539905301065984,-0.057769291695290416,-0.006870150263139633,0.03570943188314045,0.008607506211276653,0.11110727814192321,0.04608871370058428,0.051390637512995274,0.022034162371315592,0.006737573979733697,0.005803942835698574,0.037071589707917796,-0.02954430642087873,-0.03510637548898895,-0.012282069499882751,-0.03754033074496731
EFNA2,,,,,,,,,,,,,,,,,,,,0.021561758195207045,,,,,,
HBEGF,0.040836228730313166,0.04484561890044181,0.112421463373067,0.10299616656797908,0.09498799767613018,-0.018251822755945522,0.09192520695676386,0.09211431585215532,0.06988963823797678,0.12923406692082695,0.017541540670597437,0.11194882792512642,0.049084652525728426,0.12319535435073792,0.045528373252716074,-0.046893907020337224,0.14983239386317884,0.17014600580219966,0.06941682889876027,0.05416305021983365,-0.055916105636792904,-0.0035660735965349524,0.014354058878316815,0.044391188273640185,0.20126175703582933,-0.041786059787687166
CSF3,,-0.06444826662793142,,,0.07796615049155221,0.014577961605152746,-0.02035245722157431,,-0.0025381370174100883,,,,0.056050918199343415,,,,,,0.1871377735046925,0.15408741421852193,,-0.06520493824956224,0.007061112248576399,0.04232132964546541,0.08102206845370648,
PI3,,-0.0625613378062933,-0.006187464481261907,,0.13427485389998806,0.003971839801173738,0.03651653226589195,,-0.005827074108182963,,,,,,,0.07290240386578233,,,0.20413657466904406,0.10934908128607938,0.09690650420516073,0.0004986543072359164,,-0.0628139837904761,0.12158636699160086,
PCSK1N,0.0938606645494936,0.046903616206365496,0.006910056357704837,-0.015930393637029215,-0.16189967530743826,0.0219964900981081,0.06416867964323185,-0.03640917713978581,0.0012924062671101698,0.04879030738359142,0.023285234879478492,-0.026933961216309057,-0.015435539975209632,-0.19512467861821065,-0.061275400216372754,0.019963825771295626,0.00998011566076317,0.06722934861487156,0.0064824233823159265,-0.01804856636956878,0.07688723396483362,0.006755295139990257,-0.0461220941566876,0.03595127937586868,-0.25361343475522125,0.13803765153701814
NTS,,,,,,,0.0590350879644614,0.0957828106931147,0.006919754758759333,0.023704101511491528,-0.005653659446504051,0.043992126544849845,,,,,,,0.10167860251682063,-0.04654205769399875,,-0.03928598935826479,,-0.03632062733219565,,
SFRP1,-0.05823880321126915,0.031401063296114286,-0.013817962511287139,-0.024178524045365125,,0.029388070885225978,-0.003066960906064826,0.09870790289805449,-0.0013329893674297179,0.04157436829609543,-0.0354552641213499,0.05918272218551619,0.002887730237965027,0.04470088165081895,-0.05848595388571748,0.006350564411755772,-0.11312210746192593,-0.010460871728879021,-0.011824094433104169,0.03122865664005172,-0.04639061573310452,-0.030959695914695405,0.017399767582668767,0.05925391569522047,-0.04879648463557061,-0.013918231530830058
CXCL13,,,,-0.014350333704359819,-0.09464801507341655,,0.02449601647093387,,,,,,0.004492545495053256,,,,,,0.08716030489207045,0.08738778075859122,,0.02435052545734616,,,0.094747108025827,
MICA,-0.07276250307132946,0.02202389152654704,0.04365838522817987,0.03617009945926915,-0.00868765970534875,0.005324244109832441,-0.08034749597716573,0.0204373324628593,0.10071022915332085,-0.0012841561548349281,0.003007863566578887,-0.022243980628386558,0.08573544741135367,0.08459983951211575,-0.021412330376351305,-0.009199669245807132,0.08666679948909395,0.042098665129524655,0.059106793165723925,-0.013595472983095037,0.05546734959293621,0.01899253750121737,0.05785795416110726,0.029931394124148643,0.17280209129098167,0.0595880148080544
TG,-0.023157739440919,0.11291104825786331,-0.03285051932460759,0.06694332418530545,,-0.01915121885328726,0.05651979976441485,-0.017692416741550678,0.09534412089899574,0.017876823405593253,0.005571216461742259,,-0.032156407094181994,0.04979067003379675,0.06081719828364506,-0.0360644088330851,0.09106505409700343,0.06867752838853029,0.003361043519053655,0.0022886794936158783,,0.01743393294635612,,0.004000587367534127,-0.05142172208433206,
