,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.02098038341297421,,,,,,,,,,,,-0.03436694686172799,,,0.028419979248217143,,
BMP1,0.0638658946845623,0.0885590075208312,0.031760776026443595,0.09859403037734527,0.0433727875122894,-0.05157176791419229,-0.0013454017472637307,0.029040405986458684,0.11179031325318034,-0.007106018352257441,-0.02216692888916298,0.005806196744443545,-0.03045262230960773,0.06409577864922916,0.044092514720691436,0.0738024912278934,-0.04757469788141246,0.08957602488578595,-0.0014085047797011841,-0.016396280971892465,0.042757188600169777,-0.036420575056532456,-0.0014196774876380374,0.0699201339108088,0.15808945216240067,-0.006815797999084043
NDP,0.022087223992261935,-0.05727178588824586,0.00914996263745416,-0.0077667683212109175,0.03644360914332375,-0.03370676361709513,0.11190250486901122,-0.021368734353070608,0.008013772190743302,0.06738003419921139,0.06453881990187452,-0.0016586473426265583,-0.021150862005507275,0.08668245948629022,0.12597630326368528,0.0038764647637809973,-0.02981887121855481,0.07014147232264756,0.0557188513792434,0.20340706683538534,0.05157457227997702,0.048474216781181544,-0.015215553541005317,0.09614222323798036,0.050161509546379796,0.022080608900349175
TNFSF18,0.08172604029145304,0.011805708628107398,-0.0013914064917494215,-0.0034762456139621097,,,,-0.025388096711766183,0.03791181326820967,-0.04535814300008728,,,,,0.09568080157152319,,-0.00977155845704289,,,,0.08770413494198655,,-0.0038267696928865704,0.013937597597954618,0.04623968871276488,
IL36G,,,,,,,,,,,,,,0.005084079307533574,,,,,,,,,,,,
RTN4,-0.12592278098010207,-0.06919339127184833,0.003542447561357306,0.013260879247779694,-0.04988035945091951,0.0019612322992052953,-0.005356573118784164,-0.07169142474206339,-0.12204090825336472,-0.00988287661154063,0.04312335524731744,0.16711720119485593,-0.01390302800815569,-0.02478601275602661,-0.030289822489447112,0.11236410519356256,0.009396903951322647,-0.055841510558293124,0.02708768764113074,-0.09235571200876189,-0.06962732907648306,0.09627453926908675,-0.02450246791710017,0.039717432557412884,-0.08433911415031711,0.03854884940471005
HEBP1,0.036410893700320114,-0.0397691110158468,0.06423142791814142,0.04189772210861503,0.06788522606510143,-0.001706738054046585,0.061710557846290495,0.033533101289396135,0.06721083461367709,0.036363905045548504,-8.259706773757444e-05,-0.04297791834118503,-0.01342294562707821,-0.006273535324341228,0.03474323730724094,-0.024533906604219113,-0.06962923142553373,0.010031464788374085,0.019266107839048918,0.09246442883333961,0.011840192137876305,0.08714157870551853,-0.038019735119068025,0.08927138988151025,0.05986238721921551,-0.05926764037454878
WNT7B,0.007907172389476939,0.009158019721336397,-0.043346311433782495,-0.029027179197153037,0.01335790375396809,0.03908169156592994,-0.05581485417554988,0.014518717393975367,-0.03878842318640723,-0.022713593223782903,-0.015717768807721293,,0.019948768415350655,-0.017348386046229684,8.564610960218086e-05,-0.0273901707674146,,-0.011580110991746287,0.022285302226789653,0.03252481740447518,-0.03760836415165766,0.09718107116346214,0.031759573888844414,0.1195232583618184,0.018007580481702406,-0.015798886534688226
PTMA,0.03805984739179299,-0.04500028343600961,-0.06546877954891822,-0.05636463876061096,0.006191459670478633,0.008144706297232832,-0.04813869736838867,0.08829209356695374,-0.08958265648180834,0.03283675737836673,-0.0007741346203902368,-0.159244700522374,0.06041091181432152,0.0043366824310732115,-0.03644669539756998,-0.13826408662869416,0.02854536450917068,-0.054524739918043956,-0.06459281440850272,-0.009672357131264226,-0.07344982990240728,-0.01740969613276448,0.050327545651232986,-0.0003991977573228228,0.09937967205207021,-0.032526059189827025
FASLG,0.07662926725283215,,,,,,,,,,,,,,,,,,,,,,,0.01734236191347298,,
CEACAM1,0.10293613079866974,,-0.05363678953569551,-0.006039435358544959,,0.012195313217854064,-0.022117096886758524,,0.028605755716147006,-0.014209930870408985,,,,,,-0.030183026044577767,-0.01035661301573755,0.016957580687381638,0.06389174209649573,0.04047527471054381,-0.00012559526758039322,-0.0451983685820948,,-0.00017768789647448527,,
PDAP1,0.0017378274773354513,0.03484836542246737,-0.013554264731948302,0.02827847828408788,-0.0150040984542548,-0.007869770429041238,-0.06298027879199992,0.026485793666466036,0.12012396587344826,0.003707931178434561,-0.01631393355135616,-0.01900024339373273,0.07418412177099627,0.010365112081678708,0.07486183927312126,-0.1588590288683441,0.010291938618353688,0.044287325783330896,-0.025955185344655542,-0.06300610445510078,0.0028620382372340223,0.014647372496140062,0.025125337721649318,0.022393980457456313,0.003399290084011124,0.084161565675831
QDPR,-0.061013256397852794,-0.06495398437795577,0.010113152124457039,0.0021887322388317886,-0.007295512233972833,-0.038765473566383095,0.012577288853957353,-0.07390484210382006,-0.09316183223419618,-0.04715121398769873,0.07384048974363736,-0.08164705993546974,0.04213315510729573,-0.0950719798777874,0.07477225647461569,-0.019750636790152695,0.06249578733179612,-0.06149011675525076,0.02249460229693754,0.0756594047692179,-0.02117186114366865,0.022144148504299875,0.012056005836535802,0.05217064049417341,-0.09549549519449779,-0.10803359951016543
POMC,0.007136643207423015,0.1324568767033662,-0.0038031853762064247,0.013138090341978449,,-0.0091550545753285,0.04300323494338446,-0.0489836383122977,-0.020960376834050887,0.011007822433725877,0.030966815350153967,0.002970479740464807,0.07842892592309439,0.030767965332776617,0.07286989643846008,0.04701181632449343,0.008480684089735423,0.06760360611510056,0.04814753268631249,0.07854867713776172,0.0035236111213998735,0.019637637781266933,,0.03443208887246531,0.056419620874282955,-0.06372672123846629
CCL18,,-0.06737331020623881,-0.015912746504781763,,,,,,,,,-0.0645214174632721,0.00664945090099665,,,0.06166402263196306,,-0.049226828584128864,0.019593453444167765,-0.01178791199801504,,-0.04973445101854513,,,,
CCL17,,,,,,-0.0519711911758468,,,,0.00829275045576027,-0.03332867050575671,,,-0.006290533229090645,,,,,-0.011986715569391964,-0.04624888790574342,-0.042953139488766105,,,-0.03237939435523463,,
VEGFD,,-0.047927720448888,0.04176791394862841,-0.04192318219327779,,0.04181830809880079,-0.007550131663169672,,0.010443187909298365,0.04483961402330333,-0.024446982873767762,-0.0023374965172497848,-0.005297095002595547,0.027464632369126284,,-0.044025724825641224,0.04419440813094874,,,0.01119243173052469,-0.013271176770289888,,,,,
TNFSF13,,,0.006994327299401298,,,0.035932279843737085,,-0.03595793435495217,,,,,,,,,,,0.04763288655007132,0.06653412401420816,0.07823149115542924,-0.024380004619858755,,-0.0005209573232145328,0.04266466594872951,
WNT5A,-0.00725041161266107,-0.04472371146507529,0.06115656637470965,0.029901417292866557,0.025811784416161103,-0.010050529237619718,-0.026089644635367268,0.0918119899754937,0.13664205422969308,0.04398772376038198,0.015222133132577004,0.04835779619938226,-0.008264548186734624,0.04719320908921978,0.06717545865549093,0.014109009090980926,-0.08718356190591423,0.11748321850506363,0.032652407959154736,0.051399711253014596,-0.004974384729731047,-0.0011632348649937992,0.08545898228419457,0.03667507053483674,0.07983753407617411,-0.04291553976724008
CXCL8,,-0.01866495978432404,0.07435106633043288,0.0033349536572679895,-0.08311491357275372,0.1334256373256078,0.038863043619746136,0.0488110965042746,0.06688877994810312,0.019489929143413666,-0.02276609344220729,-0.06954700483632324,-0.0028387373925539187,0.020431412966282862,,0.08987328427786931,0.10037510761848692,0.025519990538478525,-0.07839361150450348,-0.2481438064691119,0.06778209778389087,-0.08423314968476202,-0.02076944570854599,0.04554869554227006,0.0873246599194641,0.044526802858348744
GRN,-0.1122993584107045,-0.0751873421015646,0.00858178804297989,0.007048827911218695,-0.005346907724047845,-0.002533525326626483,-0.05156269895088009,0.039296765112821395,0.0887335650982112,0.041177103229070415,-0.06632126897747104,-0.12195363119647307,0.06561544346142295,-0.0004348333174981912,0.07878907893922411,0.02562625924793658,-0.06290725998017697,-0.01307294172865025,0.05243175041170358,-0.045850801927639954,0.13070584708131094,-0.054169365961868006,0.012333993350219572,0.02089695186328861,0.002811134170792765,0.0020218301788041218
MIA,0.09624430975302359,0.009048109962910946,-0.01586919345940982,0.03598883927559109,-0.018752801127987963,0.007247122888237053,0.053786113486165334,0.019875569207313173,0.05430911110465146,0.021196476668920473,-0.027803294532256568,,0.022026151992788765,-0.04040363189383348,0.04667970756755367,0.017447283683716428,0.05166051558583765,0.09853136934607462,0.07505783208524769,0.23666421012440628,0.06867258447502035,-0.029203740950133353,,0.05858733571992196,0.05921187612396526,
