,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.06654968601844644,,,,,,,,,,,,0.0014375424493941102,,,-0.029128449492131857,,
BMP1,-0.04255913558418206,0.113998022220985,0.07411412336682525,0.007780573189426116,0.09470578781448089,-0.029116990045817415,0.022685967667306725,0.15702365793350967,0.2923432713811848,0.025202314575469682,-0.029296286584717255,0.0490613502143847,0.004600361659090352,0.145490256340188,-0.013465503403920536,0.12447281414764257,0.06807415150257932,0.12844903940092797,0.025044454138508882,0.02055872288752886,0.041854536794485114,-0.0060964614076738175,-0.08031981213940836,0.052314318144939406,0.05057318821520525,-0.09022342843702638
NDP,0.08338664340151125,0.0760469090289845,0.04218618084000542,0.007725508653095349,0.05182385830850845,-0.059140637017635236,-0.006004962592572495,0.027534851924462336,0.04765865693157242,-0.03607712368107223,-0.012730462606899157,-0.027648703816885528,-0.011311644333272086,0.11382881762179217,0.10899441545489898,0.022468063738130453,-0.07597609081326465,0.14020433170348942,0.10742748695107503,0.07967598811766315,-0.0013750910554608167,0.006698398755475202,0.016457068512695534,0.046699290458052455,-0.0663675099137759,0.06139180556012854
TNFSF18,-0.022682549306393785,0.020828068510197723,-0.007754577523691552,0.02788204106391344,,,,0.03312378821419905,0.04894854206985122,0.022495218301777177,,,,,0.12946165420982952,,0.004985411244604026,,,,-0.032804237625064375,,-0.035972984608500236,0.02510495440980526,0.012670137800836367,
IL36G,,,,,,,,,,,,,,-0.017425804304504664,,,,,,,,,,,,
RTN4,0.032711432940317496,-0.07630651678560887,0.022538097306942978,-0.0480132797247824,-0.04880209282943519,0.03976835995322676,-0.021639074421401217,-0.18275452046133145,-0.31257556729080355,-0.06620648680255563,-0.02309649941419893,0.04628435458779432,-0.005070740809886511,-0.18420879404536727,-0.016241938817119043,-0.012706942589746745,-0.010595838285252748,-0.16308707471568523,-0.038384383544592775,-0.04420930612642283,-0.06525726137330982,0.09354831150252309,-0.09276061876361248,0.017083104497811204,-0.06256388108704981,0.023976346794070423
HEBP1,0.012784583486690147,0.08959422693804196,0.028991632682271486,0.019015735750958992,0.07126529091156075,-0.0046936491702468846,0.008447194313818684,0.12517575901483968,0.12102380924930801,0.0282416892310458,0.013679746225795852,-0.007186974302158837,0.08101053877060024,0.03050603143344453,-0.04924815461610543,-0.01834754305397589,-0.07509850075502805,0.11271343539215005,0.06163343435133352,0.08927953372271735,0.025493527321389698,-0.014902956306822491,-0.016425935594156494,0.06798714391123231,0.024754225152461656,-0.01677415993183494
WNT7B,0.05800084176009664,-0.07818865316414285,0.07326906765141371,0.026865877896938905,0.12887478364112234,0.015947576326637024,-0.07264351808903194,0.008355501256839742,-0.11158995871815724,-0.03898422109709146,0.027173967752275416,,0.08432006118818353,0.015159852527597826,-0.0017568935433211245,0.1088666322063965,,0.09585722111322911,-0.0716916658977892,0.007905848960250924,-0.020940102016565355,-0.0531651865299335,0.020493194097850137,0.11051804221443622,0.008881090961043803,-0.05552367042153313
PTMA,-0.015856781631592726,-0.11329559222026307,0.04395937057780709,0.041232657300894024,0.05233607460097557,0.011478286349607117,-0.03042815373638163,0.2732283908183641,-0.16936615693081442,0.01126588853556609,3.0331743824325584e-05,-0.009886164768038913,0.09289867986984825,0.18621736120079874,-0.08245481838422179,-0.19464308456951931,0.07504930541425214,-0.24889747388475436,-0.05809244502978663,-0.029479318472674487,-0.07221486435216727,0.008362661242225452,-0.05485681507383866,-0.06512792468919762,-0.005008060128846634,0.0631797969574447
FASLG,0.013242481896548608,,,,,,,,,,,,,,,,,,,,,,,-0.008189404255577605,,
CEACAM1,-0.03293803760706803,,0.019669844049629612,0.01796783716252986,,0.002192852886842288,0.03594908188231488,,0.14130143243595183,0.025531505193701325,,,,,,0.0241664578645551,0.08494757123309425,0.10266655884882185,0.12268667922631832,-0.03513317923022689,0.0809765609735503,0.011990965495687433,,-0.00948849876715128,,
PDAP1,0.0017891084699620178,0.03482367849164828,0.07375616714359638,-0.0054133483095245225,0.039169480637124526,-0.020238846928730264,0.06831797797376238,0.14786080702559817,0.2144165289917884,0.05705173733911475,0.06152781401769212,0.05146038923152002,0.05109397840774644,0.05213511167797754,0.029110552350062616,-0.07837264521887126,0.020705098502861806,-0.02267561362606804,-0.048986191239722504,-0.04109702825911743,0.009174189938872188,-0.004050607937613865,0.019653046123870466,0.005238873436989427,0.049984586758655164,0.09998674273225457
QDPR,0.006292347673407225,0.02013083221120686,0.06184973495895874,0.01433485834003347,0.07971842810266033,-0.017270583203212723,-0.0007291838340526929,-0.1141554971978943,-0.27682703336636166,-0.03790140386316526,0.018633889791603696,-0.002009732897799025,0.011639588033294436,-0.043152024247121314,0.06921485052027614,0.09970676823588859,-0.022546824073991827,-0.12256183797209538,0.03710267229482082,0.1010793939947398,-0.06786663730918664,0.005979132159420157,-0.06846300148062028,0.07553623934987204,-0.13502492331328209,0.04680808661282012
POMC,-0.010786765911874413,0.05172099293898626,0.02605287635440251,0.05748234567660818,,0.02114810750992894,-0.028190563900117097,0.06185557909805239,0.026872143503086227,-0.013835287942264126,-0.005990937233989832,-0.07936186433310147,-0.015153877979847765,-0.007385216716245303,0.011677471174329998,-0.04334426247477747,0.07314698410847618,0.0021351779851307446,0.052055055833829765,0.17012944167097582,0.0770614901398559,-0.04324148164187989,,0.024249341740611947,0.025236076051466615,-0.05299510304907208
CCL18,,-0.004342519937521961,-0.029177448819787323,,,,,,,,,-0.0006809860610668737,0.09668732138710039,,,-0.033562155158322435,,-0.06309308332212445,-0.004205180619270928,0.05715987227711023,,-0.013840433981256992,,,,
CCL17,,,,,,0.011661789720120698,,,,-0.005522974841032853,-0.0067144342342320435,,,0.05127204490273909,,,,,0.012024306414622344,0.05567246524823628,0.03209602011042381,,,-0.0025957823913951715,,
VEGFD,,0.029335208520606372,0.04409092696777305,0.007609647317910697,,0.02009475356493406,0.04127317184582157,,0.08849075326763114,-0.014265023205601468,0.10530830668171143,0.04007422231152596,0.10309301302783148,-0.007358966824148164,,-0.06320592622388796,-0.016009908909541855,,,0.04934216062100079,0.02518399560506845,,,,,
TNFSF13,,,0.053751201307824535,,,0.017002377918389638,,0.013380205305461327,,,,,,,,,,,-0.02272215219531579,0.058314198218008303,-0.022300634081528426,-0.010176629038512726,,-0.01414059087787388,-0.042472521960847956,
WNT5A,0.008747046218809918,0.011199257169758397,0.08912743431090861,-0.0021467595738771487,0.060349512466854396,0.025107713853045333,0.005631747249455104,0.2190936170485652,0.2237989174451361,0.026768074708340722,0.03461994154847538,0.07691221821122012,-0.041019087165904904,0.030021654792453722,-0.023156306214653064,0.05574690143075804,-0.034435005439960434,0.16663173475563203,0.06808956147741713,0.04992052297854784,0.07312020107018108,0.03216972626665353,0.03730725126579742,0.08576582356513385,0.09541436043385972,0.11628249439241996
CXCL8,,-0.013893807980598145,-0.006906080504648904,0.00612998325283464,-0.12943070925249212,0.08615369804392925,0.0572101390903216,0.07218237001671372,0.051355217336149506,0.08781091006410979,-0.019010169196340174,0.019129558222655284,0.009198890910278805,0.05956482630536763,,0.03405530699006393,0.10305545681838801,-0.0006137841173478816,-0.04380474881685897,-0.10752617880194328,0.08013539646037672,-0.013152970794639786,-0.056907200621813606,0.041637984486241064,0.08828444098575162,0.056245925842374915
GRN,-0.07427651113190896,0.030249091394699144,0.00498803968850713,-0.02926334434916218,0.05820864133918105,-0.018998514301353853,0.06094209266964267,0.13779582627336467,0.2521152025950086,-0.010206881792269612,0.03270382996577637,-0.031192280239005638,-0.05371515281920597,-0.0027926572716877834,0.08088069737720126,0.06689946554658711,0.05890121113425653,0.012310732004963191,-0.01156195596039019,0.05587597745946542,0.039982525765275445,-0.009634171169983729,0.07589112814094791,0.015416915165183905,-0.06619320861434355,0.05595945243705931
MIA,-0.041973626421735896,0.0036844744546639836,-0.006779930375065102,0.0011934438672414947,0.05553373460505068,0.03343829700694878,0.08865313927027427,-0.013145694995250418,0.10273307043816848,0.04779174840416722,-0.023216338570146534,,-0.008643895090964733,0.04806254877641525,0.1176580969534682,0.05949683228464301,0.03328102045287512,0.0671004110385818,0.18547651533540627,0.13939402871329326,0.04055427885417996,-0.044457267471902345,,0.13879824364266205,0.11438002517127085,
COL4A4,0.017600659676651424,-0.006989786662815571,0.018298651230272224,-0.015174141454262253,0.011696803840524543,-0.011628123574315996,0.06843943032072712,0.11142896601478229,-0.0036162095210367736,-0.016369726975351457,0.023368214273848612,,,0.1188391448061087,,,-0.05456491022116661,0.02597551821332819,0.1231114170036099,0.024010372670388604,0.029685391089018374,0.03312033939993168,,0.024014578584881298,0.004606236351860224,
TAC1,-0.00310064354625385,-0.0491252256856136,0.05533357311480735,-0.008595468379980474,0.11248606268924723,0.03613611409731254,-0.04105196370518066,-0.15051037413929302,-0.19865079741137417,-0.05508604480203205,0.015120478745245115,0.06039791668595082,,-0.12412512101220656,,,,,,,,-0.05275714778256276,0.049510050604641594,-0.02346516998262138,0.03168059639026382,-0.04517538120059435
RARRES2,0.040496918730656396,-0.043498628661824884,-0.01798241424853769,-0.031215726964809662,-0.0035333045256204934,0.020318633164454637,0.051012133752891424,0.07054685895024215,0.2620832943281755,-0.018112168703962195,0.0470051415610865,-0.007998304900556731,-0.020995591464191127,0.15856212691815216,-0.007169059646501131,0.04385021751162981,0.04911233128075239,0.1680002440625086,0.001408465817969807,-0.006288533392558648,-0.04961568080476235,0.025525152590289216,0.012278374203175669,0.07161930601916355,0.09500462982996098,0.07250585604267196
FGF7,0.03802830752733006,0.06823103439768634,,0.05389087318398239,-0.02672601487754872,-0.009818741465963683,0.0023221712179191762,0.049222593023405606,0.0936511381468175,0.027442131260276677,-0.005575611885144427,0.026582879792049697,0.012752391364335534,0.15061370506548302,0.10685551911796146,-0.008210822551767229,0.0015318730202910115,0.14621220580261618,0.008262995711694962,0.10045276981602544,-0.030097678247683238,0.03601590984769936,0.0059123327889855914,0.03914588270479403,0.036422522856796216,-0.07309284246590961
EFNA2,,,,,,,,,,,,,,,,,,,,0.007990011082434884,,,,,,
HBEGF,0.050957406828508856,0.10713389145555803,0.08835780748064954,0.02524496833011735,0.06950807167531398,0.039828331410140576,0.020965090212185383,0.09813827629001044,0.11655112997406966,0.09597287854947459,-0.008803035205669718,0.03237013957455698,0.07309011892897664,0.02609262185923799,-0.010706667392399859,-0.019204353976786083,0.09863677026412193,0.11774496277663496,0.09605332438417483,0.03904447962030186,0.0006385455236628595,0.030039972746574738,0.10750159568387613,-0.001713729549939786,0.1403821082238841,-0.07387065397692712
CSF3,,0.031131591955929915,,,0.03990721961159099,0.03308285585463254,0.018393936287056992,,-0.01726830208639413,,,,-0.010802689581882715,,,,,,0.031038364266544598,-0.022375514997648827,,0.015335666789199677,-0.03233150250319613,-0.046276018183437774,0.10984240595754433,
PI3,,0.13091268228448066,-0.053723481663293285,,-0.0007667935815719548,0.04137127402466635,0.019964735735835605,,0.010259678309764214,,,,,,,0.06921760348391733,,,-0.0728443538633755,-0.10535469380512703,0.02319070420529003,-0.023295198625954586,,-0.005662985804727782,0.07807978038713777,
