,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.02735233295459359,,,,,,,,,,,,0.014263393105797498,,,0.010963921593620078,,
BMP1,0.048195446954775074,0.0002987408345840757,0.028976661944293238,0.008051858858378943,-0.00604681009249129,-0.03361298096580071,0.026337045681358574,0.0823160562631277,0.4881117520412787,0.08157076423175615,-0.035953644635360334,0.025157892863949687,0.2076445314540611,0.15749065121511127,0.008623114323920064,0.1272258867434321,0.0945850304331651,0.16478037752242036,0.04631772568656772,-0.03345561629884684,0.17225938011664313,-0.009472901058511255,0.1277467940023247,0.04749432326634145,0.11220161468218413,0.07636648382757283
NDP,0.016407568929178752,0.182042473712249,0.022653137376531397,-0.0049936573999914274,0.11470758137296269,0.0373150269998603,0.07549375785814436,0.010323982674039693,0.14404672143430214,0.02504081501850624,0.008151026412855424,-0.04891126011759067,0.01666614018597309,0.09593213429639573,0.15484368192347753,0.1311774330434527,-0.0008268880947868507,0.10062092645266556,0.11023163563260706,0.09537522820370736,0.13539955770106502,0.034766287938665395,0.035722344783799695,0.1371219057997884,0.08335955545842473,0.026037328466389637
TNFSF18,-0.022268838282880607,0.07509063091397464,0.022760225429406065,0.05401539128488502,,,,-0.020434762615516994,0.12782255295746342,5.253562227966397e-06,,,,,-0.024349623745460697,,0.08079124413199301,,,,0.08074434521296942,,0.03860058105333494,0.08926838979819735,0.05059446858041429,
IL36G,,,,,,,,,,,,,,0.0581449220469006,,,,,,,,,,,,
RTN4,-0.08024504007661902,-0.17933012672326185,0.0625539418076674,-0.03005449620239876,0.09876122180384823,-0.003149893108792206,0.028024401702028672,-0.18198104062110887,-0.5826146968732647,-0.07101848752749851,-0.04971463966814535,-0.03783307349866283,0.029994727374648394,-0.1377124207526434,0.01740113639205396,-0.16127366509380803,0.020105577503672905,-0.1651868692748887,-0.007138194981566862,-0.018924600784733864,-0.15273112167490882,-0.1591671327774134,-0.06646099601510215,0.04448618964635051,-0.12626375526297545,0.09850751754167794
HEBP1,0.03687014899250865,0.07483139525190607,0.05926383792698295,0.049709497920566066,0.05927032978869648,-0.028204664999640697,0.03794884497347885,0.032438769462305526,0.24633786894164547,0.03263971840588926,0.057027284190999054,0.030680345116593365,-0.005960750112588021,0.03225808419207176,-0.06551492104558891,-0.07022435459581666,0.04130324503106702,-0.0879779707423433,0.028005676147353928,0.0876932306212873,0.035598549536405046,-0.03927170438263595,0.035720315850074985,0.17429636328951023,-0.08449518223353937,0.03031875551395192
WNT7B,0.028446561359125586,-0.11334211937893486,-0.005941586657746221,0.022694714653784018,-0.01790650569195973,-0.027171333830722188,0.06542544171801137,-0.00399341946163221,-0.21839793115765674,0.00530775079830889,-0.011520654707760836,,0.11547324205796901,-0.03498569806349289,-0.005830651638836015,-0.041001727596955195,,0.03184753123544424,0.029759187650352337,0.022998071082286915,-0.03630161883724464,-0.031042887344489494,-0.07464527549394309,0.09627982059726083,0.07036479754902257,0.05583960221914878
PTMA,-0.07926702643789914,-0.18689873479118296,-0.030577277658324527,-0.03217751253582897,-0.01732770616061393,0.002847319279019971,-0.04677895253400527,0.20968627427099334,-0.26209469767755605,-0.08901224235805942,-0.004812830033517711,0.023060191962484215,0.09329947201059272,0.16161907259863634,-0.12405937353798374,-0.11830159400162267,-0.027540565332082927,-0.3411396498575775,-0.09887354410160283,-0.09984502712335744,-0.2688688326742976,-0.11486924073347494,-0.011405220390908617,-0.10179085089018733,-0.031893117971028846,0.0708797546646752
FASLG,-0.022927948286527392,,,,,,,,,,,,,,,,,,,,,,,0.003335597825242164,,
