,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.025539746397316085,,,,,,,,,,,,-0.027761433415807182,,-0.05246730132920582,
BMP1,0.03770507059631305,0.050303353614619524,0.1256452040440869,-0.04358385336077316,0.059422206559604805,0.02444573605037669,0.016308048936489083,0.11658637072133939,0.16829985000815822,0.025969893360013676,0.001262414091096913,-0.058576017109077574,0.10804199103556862,0.041354786719353206,0.0643894565259763,0.06268331671528672,0.04452062310948775,0.10494403289044826,0.04083335271149701,0.04285788809129145,0.09284003269820117,0.037164080137191205,0.1947513409912592,0.07522924293508236
NDP,0.04014266939267548,0.04320151986058713,0.024430074859729454,-0.03258769920098701,0.05262809948633934,-0.035004752414855185,0.019018486024987524,0.05392730803769882,0.04403293770972724,-0.01986742691649719,0.030676156968951682,0.03976869596467246,0.09555554910051749,0.07898000590235554,0.08323392363570217,0.0019595940831776235,0.016978506752095914,0.02966241940241821,0.048634936560565806,0.06983909960377441,0.0733579927437962,-0.05263872001812113,0.011388721769623992,-0.0027026975967509507
TNFSF18,0.035791411621484845,-0.018985871754404273,-0.00886817229447335,-0.009106550037507384,,,,0.022275053775420384,0.15018676518719465,0.015086641145813838,,,,,0.05714126818402464,,0.027932961857714603,,,,-0.028629876263645822,,0.06573436697965178,-0.02730423292965522
IL36G,,,,,,,,,,,,,,-0.02325343240264128,,,,,,,,,,
RTN4,0.025194725046886936,0.09379267466482157,0.022390577190030434,0.00018768314987731795,-0.003757072483573034,0.03702375111040668,-0.0021314534132011046,-0.11320733490636428,-0.18557771358149294,-0.022735555607164684,-0.07147963826661799,-0.13422000236737716,-0.08230833179646818,-0.04171603674633275,-0.02349067819666047,0.008100441456971566,0.0472276393424368,-0.023894705422334152,-0.00487486284014633,-0.09131849024465115,-0.0890627646992428,0.012563623624968219,0.014607024602234725,0.0010193655603835388
HEBP1,0.045637887933786994,0.07472925461433708,0.09300016648412536,-0.024654092051502513,0.07927857322742933,0.02123209781642888,0.043514481037178566,0.08799468885184311,0.08996611128817494,-0.004407016763868449,0.01331597092463736,0.10624554973969921,0.0018957473391180565,-0.004064529792715266,0.046311953464116186,-0.03346486977320136,-0.07606109999150983,-0.013298660470006154,0.05276110956546178,0.04375353635717074,-0.012860648348328478,0.05419711755241531,0.019045716858121484,-0.016776901866883163
WNT7B,0.14872385059622567,0.10855819519305196,-0.03220731245584007,-0.01983242441120547,-0.006761349477280445,0.019138281329642175,0.029874944344472805,-0.04298354482044108,-0.020173383586513643,0.0020913813863749483,-0.016779663170188388,,0.045594876158731514,0.02975676319371011,0.03940518083359631,0.14972271129695844,,0.004567438191321154,0.004972746696362012,0.029351291984750096,-0.05986738736400753,-0.04909216497678115,0.020071059685702764,0.05248418240788894
PTMA,0.04652937509932691,-0.0514889920016293,0.01575211454883199,-0.06501488935208648,0.09681231677017108,-0.025476909737222334,-0.014178600770225726,0.09180506895230321,-0.11064484174364674,0.013807166935936631,0.016348670521082267,0.12777274750806805,0.1799158009637356,0.03786436127685298,0.12777911627256108,0.03834011690551447,-0.011704557583873988,-0.14503057852288356,-0.058730377029953956,-0.003120976243656086,-0.07403242336366586,-0.022059878651652605,0.16808365624042745,0.07518499107034751
FASLG,-0.03331729113632549,,,,,,,,,,,,,,,,,,,,,,-0.04345663622640603,
