,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.07220225732989934,,,,,,,,,,,,-0.014605727543458588,,,0.029280890373341983,,
BMP1,0.047925862979149914,-0.004514066909287642,0.021957938033169325,0.0009771503466468468,0.012026538979794953,-0.014588429486997092,-0.00634921792231469,0.12597714324972065,0.29917650314190947,0.02178532778082163,-0.05647995201180633,0.05998259504243673,0.046926843122060254,0.08267079817712597,0.008349053650643366,-0.04163612479645116,0.07885721864599299,0.013627145226171974,-0.05459134495137095,-0.06508886234361226,0.0572174112862598,0.03450919445201994,-0.01066354461133678,0.05437665047893255,0.10639156851926977,0.06656153677108238
NDP,0.02568765672476544,-0.033498107248778934,-0.007517318545114682,0.01144013771968792,0.02086128875943616,-0.08442049443450904,-0.04412744173269473,-0.002150282515092062,0.08522133582763687,-0.047002539148278406,0.03783926600807808,0.005708912684480298,-0.019948153886075234,0.020257619397039003,0.025056131792114893,0.023819149477629156,0.09698832351077277,0.0923098541974173,-0.030951805418679722,-0.05016623869301156,0.019884810092428564,-0.09251944617333079,0.09565888728405589,-0.047046600478936246,-0.04373224312881798,0.08978690520762883
TNFSF18,-0.04520929243036777,-0.03918927715058144,-0.01845195772702674,0.015095322952255172,,,,0.046716962665780175,0.05190856943949778,0.03893488658432832,,,,,0.028759824884543202,,-0.019431517550127505,,,,-0.0032391090899792927,,0.01951604556180291,0.03782744646826094,0.05855323002288466,
IL36G,,,,,,,,,,,,,,0.020035399067507766,,,,,,,,,,,,
RTN4,-0.013240024071604177,-0.06575141270042648,0.0369831570347773,-0.04388020416877645,0.0833342264888639,0.010856836481349639,-0.024726206574668917,-0.18037286311630463,-0.350068016903537,0.01169520915273843,-0.010147671936787983,0.004729124974430923,0.022008689603130533,-0.03659059664318329,0.04962248802211056,0.07936420406797898,-0.09768030955630276,-0.026269954116318144,-0.009843014886132404,0.051777209998781916,-0.05305370991224084,0.08842343769220089,-0.0859352768482707,0.020519079245024215,-0.05232915995009969,0.13790359244055284
HEBP1,-0.023855279455323418,0.09507628458296861,0.018232268883681242,0.023777014534977253,0.016645792714993734,0.04027688818995994,0.02372106771387103,0.10074903771626728,0.15872998151507867,0.016444255381255924,0.023611070642293373,0.006120647413586581,0.0306057451729118,0.023477668039977737,0.11186866758107346,0.0018075933074631954,-0.08960834916173747,0.0018844068635602733,-0.06496064739567303,-0.040394861976142574,0.026661311463299434,-0.013107854738199896,0.05969454395616199,-0.005804729487286748,0.001458872983042849,0.009284823225579296
WNT7B,0.049164141153412194,-0.08468634646680326,-0.012899265408592181,0.055667410531956445,0.00363261464166465,0.054232454473560766,0.024630923555126357,0.03655245419519318,-0.18487274962922992,0.037425057775125635,-0.030847719399628635,,0.0184352488414682,-0.04343483906534358,0.0411785148623455,0.05378624358101968,,0.0049241288856094,-0.008842838733612976,-0.0017422108662761555,0.0001768398343823958,-0.017542423755868532,-0.054241260434919676,0.025993577381128993,0.1070653624684875,-0.034216546413148884
PTMA,-0.07953331076860388,0.08326764818630943,0.050886453676081286,0.014474444634508409,0.08815943528441623,0.11860621903529978,0.062313863079728284,0.30072220716027975,-0.07558486968423071,-0.038411920039410415,0.020150927113935145,0.04794551321365431,0.06316660070837485,0.10263395489151299,0.10385972470962694,0.05057756401095555,-0.08343500083354939,-0.025890276761628056,0.03300181510151173,0.02987928436536174,-0.04731269515212842,0.12511301449884266,0.11625010939179622,0.0915667953571231,0.13471272621826155,0.11762572216010121
FASLG,0.054829083765702974,,,,,,,,,,,,,,,,,,,,,,,-0.011570758513292605,,
