,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.1051363073669868,,,,,,,,,,-0.008411948087302152,,0.04947557414765463,
BMP1,0.059711391949381486,-0.006479463180762446,-0.0744288709847858,0.013683880875825881,-0.050299897336733734,-0.09786855033802112,-0.006881605205255078,0.1581476480353789,0.01656881473097974,0.06025873090592974,0.14552167103810332,0.07271477641157786,0.03314424817503603,-0.053444692431992,0.0794224973751629,0.048311408343586534,0.04647328953289697,0.10435427161364956,0.037910340324219895,-0.0026495900751012306,0.001723986964746331
NDP,-0.053157645029556444,-0.08615427508976016,-0.13075271728689342,0.0329591661216279,-0.05102478837772572,-0.09324260139481705,-0.08993106039164701,-0.02390027249395182,-0.0030325217062803,0.03348826840626856,0.07594790596473529,0.02230693155347032,0.08624299626136904,-0.18881544613360754,0.0764325223920003,0.021245333181699758,0.016090728141479875,-0.0010836833232994894,-0.05762052449689041,-0.02709437403846246,-0.0681269522793124
TNFSF18,-0.017525873803430302,0.03349191383343284,-0.07929327516643453,0.010538729980259218,,,,0.03968174477520121,-0.011242765054438974,,,,0.09444429371243332,,,,,0.00901874736613582,,-0.016913494366192286,0.026255345727019017
IL36G,,,,,,,,,,,,0.006159981937284161,,,,,,,,,
RTN4,-0.01165055520208783,0.03147966811075588,0.07250945764726308,-0.00962491911523528,-0.048407629256707635,-0.07126497858922733,-0.03013904486212905,-0.18995659341429788,-0.04382267297636341,-0.12329180067245346,-0.060163307923284885,-0.03449397205078593,-0.05645188314486146,-0.026603950150595412,-0.040508502065118246,-0.10833981100574754,-0.10957141998934933,-0.11309540600663624,0.013003429249981617,0.04047260458097799,-0.13876216331375646
HEBP1,-0.007549544964656905,0.052176130936419325,-0.03288383418580864,0.016192027560474456,-0.04097407545248268,0.02631000880883983,-0.012277653262352174,0.09121866196575919,-0.0019748667350481886,0.06718879871431245,0.03065248650671695,-0.033499268246120324,0.05375173969119081,0.11206883502012967,-0.04135717785045346,0.08469735065321095,0.04396742903945583,-0.004179294440543424,-0.032084815242966504,0.08020621542705961,0.028792385167155193
WNT7B,-0.015439745895190086,-0.07383189628224854,0.01541034040644662,0.008340115121635894,0.05119966306439427,0.1005203229685506,-0.009020503256771067,-0.023028151167928747,0.02495755973926854,,0.04370165554969712,-0.01697356134108764,-0.03200951403129525,0.0013749441076130106,-0.04593815519252328,0.09537720120164861,0.06551551406156625,0.0276359986279834,-0.008980767635634214,0.030411831894273673,0.077037239698538
PTMA,-0.01785623467843354,0.1266327302322557,-0.21823827145677055,0.03071044827936051,-0.04615081894687227,0.0745751092046706,0.0902174718233355,-0.1334450048006521,0.015498787942515762,0.21319349728654716,0.1482195226683574,0.006425727862196784,0.05669007869764927,-0.002168477082671824,-0.05774230488574249,-0.0827008215358394,-0.012309730668565715,-0.09557492823452868,0.008485466763728137,0.01419384788363516,0.2325234232612116
FASLG,0.014948299323309933,,,,,,,,,,,,,,,,,,,0.03228739029116553,
