,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04253968718835122,,,,,,,,,,,,-0.02683962146355581,,,0.10949392530690637,,
BMP1,0.022033698518389194,0.020144036541241566,0.06574905125996355,0.03279470627511285,0.047356960511326984,-0.012604034610781925,0.012937827171302959,0.00954541564292655,0.09677671554075856,-0.047140409187811684,-0.002865546642273514,0.05319221089298882,0.0507372459716488,-0.029241758248391658,0.09813450930175457,0.12196205380518049,0.021556010551646482,0.052251202406407356,0.009794628872367346,0.025119562965216828,0.07586319294695687,0.07053177785321171,-0.01615984912498404,0.15611844739523845,0.032874190982229046,0.009435801708431033
NDP,0.017638234671148296,0.07869232891630576,0.0035063725709867837,0.035322020705687115,0.012308401602842812,0.03826571591819079,0.038586020025251896,0.01597587999676632,0.06360019368406934,-0.016047232073211574,0.050430419429421794,-0.019265281016553504,0.00235942055351012,0.04737054781620919,0.01233852410406402,0.11244053304028315,-0.03433033253877574,0.07525322689141979,0.009874753892617077,0.03356586112978553,-0.05354310350135445,-0.008113724558352946,-0.00854061048046644,0.036674656947918965,-0.011183883900748726,-0.06118133368877645
TNFSF18,0.07362191590800105,-0.03239373355573409,-0.01728960218471186,-0.026363840607693523,,,,-0.02383312728174427,0.027201492354599066,-0.036885067433849776,,,,,0.1826241396847276,,-0.02339066910559951,,,,0.047974234809705196,,-0.028083971749934974,0.07054470991579473,0.10218592261714107,
IL36G,,,,,,,,,,,,,,0.08513807204708458,,,,,,,,,,,,
RTN4,-0.0166130452704468,-0.013030541521830292,0.011409685768334546,-0.0078106222309386394,0.06432408478928817,-0.02887343630632411,0.07980837828894158,0.025646837365442075,-0.0981889016514117,0.003387263827968231,-0.0111182238300214,0.053578442469392536,0.01748484391745991,0.017466074703140395,-0.004488172135655894,-0.07076280825450425,0.1207198366339282,-0.16776859660332505,0.04237808978172396,0.021791599069438266,0.008985900820131705,0.05293583063107701,0.05896231480155221,0.0002211931720390591,-0.017720989360436923,0.023889188280593648
HEBP1,-0.02853689958369849,-0.001005664634974029,0.04266267860555905,-0.01630665069773104,-0.03164092619865926,-0.004188968914336581,-0.01898969970263018,0.010659964531814515,0.045590346795378434,-0.039789487363185404,-0.027511956634156485,-0.04070079037665135,-0.06238052694505394,0.0007441015239771836,-0.01459106440241463,-0.04859549936304484,0.013444719139300704,0.007803906443810628,0.08545538242995362,0.06503426667293176,0.017662752232989864,0.030358931720361203,0.0027664978996320695,0.12642679579949753,0.019853372581273496,-0.033097632595877016
WNT7B,-0.02372714772516962,0.043262092559143234,0.06857193985851445,0.003266602812969033,-0.014698251550749861,-0.023197068336432636,0.013801976021716419,0.014846842193528312,0.05281435817409752,0.005835289580829238,0.06472693122261824,,0.057945466476543424,0.03888300591255993,-0.0037606162471678015,0.021227674076063886,,-0.0014290308882729552,0.026919018769930216,0.031404596479575476,-0.037222711396966396,-0.023136974983641746,-0.04875608219548501,0.11060386870937637,-0.03616453955395681,0.03318916148447929
PTMA,0.0018695576926179307,-0.10276314373811483,0.03374537169084194,0.04298661305053281,0.05829673904904734,-0.01204528231411351,-0.07379510034917756,-0.04416898491318915,-0.08290017721241262,0.012247245551650549,-0.02526316205823647,-0.10078710368722137,0.03885556633562367,-0.004512735515821806,-0.018307520203936934,-0.0597148373660345,-0.1139369469105205,-0.17409681447140585,-0.04058957416685457,-0.082576047258949,-0.04458224554195734,0.08697740470867239,-0.0022773747033308965,-0.015399071535194117,0.019898186411079585,-0.17723210422087438
FASLG,-0.023566903699559126,,,,,,,,,,,,,,,,,,,,,,,-0.0070806129264086885,,
CEACAM1,0.08986434598608331,,-0.050488732993124834,-0.012567902439686892,,0.023623367507499583,0.03267092525228216,,-0.003444518662518819,0.02507658603788796,,,,,,0.011384233546381238,0.03686288599590249,-0.026244575210890166,0.06264894535979174,0.08446645111977415,0.04505437135138085,-0.03155251592384551,,0.11965959113393408,,
PDAP1,0.04535994494936679,0.021850160609089512,0.07681114945178585,0.03979484788002625,0.022149180886036828,0.018975009027189082,0.0032797649318597635,-0.004585343318307571,0.10439084258529244,0.02315790025226738,-0.021174635910677475,-0.06156328038271041,0.015636094204936606,0.023733615192207756,0.03201318439225293,0.02094365179852803,-0.013723491332313771,0.029939637383428763,0.020406797393556633,-0.051860962994088176,0.07473575842705422,0.033430308996641116,0.03172831184693675,-0.03123174468441785,-0.014620140733140139,-0.041953434100737916
QDPR,-0.010221348886642598,0.14204724006787836,0.05978391505345832,-0.09015618647051983,0.06203940735955673,-0.005040441288326945,0.011470825873118996,0.026417471265360225,-0.1095741562450838,0.042802679747454574,0.01626665772741589,-0.12192429144882055,0.015152666716338909,0.07263371542415098,-0.036354881051919745,0.12167726806056177,-0.030450037223606726,-0.13296317290787188,-0.0010674656811513975,0.09037445726262489,-0.1077570618425493,0.0069653231861024414,0.01185653709338597,0.01836296452449203,-0.013857297434336892,-0.03262747930993449
