,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.008922008194113575,,,,,,,,,,,-0.03649227917912395,,,-0.010222565463538611,
BMP1,0.060299969368311675,0.20598530522520495,-0.037581580969135664,0.00023964577007126684,0.041650201233622126,0.059254099396540236,0.07176694848235128,0.0016745048404439133,0.030895678896865203,0.0506768580931392,-0.039465111459919024,0.13156650890247584,0.10813858650724952,0.10262361381240741,0.17014311216270214,0.03737386059808779,0.03161946839507663,0.09255367425007947,0.152188870245251,0.026420241009811354,0.3285703841591581,-0.0022972576981641455
NDP,0.05884777820762537,0.0038091631209188916,-0.013186826276676352,0.007822963202101525,0.034609980082677946,0.04833985202684019,-0.011895212380744317,-0.0056380238424317405,0.04855641993461813,-0.022136023937307764,0.06834189285836256,0.14912682087747342,0.011644867844448752,-0.07287679789372523,-0.038954220096716854,0.010218442741053484,0.021108931534914645,0.10850842064085173,-0.020615202739006272,-0.0623829042957401,-0.09981486026659159,0.0960744831655225
TNFSF18,0.04758868184370378,0.02976452577393644,-0.02055109647444041,,,0.03124903401845429,0.017052353237476846,-0.005372044079312405,,,,0.20521519635131436,,0.12763913593252077,,,,0.10424796007732724,,-0.03551424475665801,0.10280120930129406,0.030173196045545334
RTN4,-0.009922541231120059,-0.05741187085497664,-0.0710803573089009,0.04464887664301745,0.025657953211171203,-0.06340584498757477,-0.09392371175127903,0.01869446645124659,-0.059136398325320215,-0.009229346690380823,-0.02157343387864831,-0.03986958029371464,-0.0281372909694368,-0.05364996794123636,-0.07002778012023378,-0.027349529554112944,-0.07275932245928184,-0.11676707906707558,-0.016501119902155092,-0.07089892600112893,-0.07080548112792588,0.15588763466405328
HEBP1,-0.028260045393841093,0.04068211055721939,-0.005398674634964103,0.024655942222447713,-0.004561992462169488,0.004523886290393091,0.0036807191825026873,-0.03041993538893168,-0.013192106007076753,-0.03867982035937287,-0.04525792948688398,0.07266097876192616,0.0681823657825783,0.014042059870389412,0.030394753692306528,-0.02576651645356572,0.027080465581982745,0.029128480228333607,-0.008499311386507368,0.03892233011117557,0.08626071634159312,0.00831584235621596
WNT7B,0.07923480486533606,0.027811868617863156,0.06825523767916483,-0.029810833845212138,0.05111433453248117,-0.035498683423283627,0.0004417883263822536,-0.01814585406842959,-0.021164252028988167,,-0.007350410895762403,0.15153521126130715,-0.011603924190161267,,0.0661412931796526,-0.02932584261562449,0.020798870676832535,-0.02888584323200746,-0.03886704134295555,-0.03551420793105402,0.12387173772162481,0.0011893441465452845
PTMA,0.07757483552536297,0.059165735135574236,-0.04133553285883498,-0.013294033420470629,-0.08578343137702699,0.10581327863346403,-0.049447125587387925,-0.03501324824466269,0.03876716328720613,-0.03704670109047734,0.11113150112998528,0.1294351388063157,0.08944829412080854,0.07766134812641086,-0.04110402204934056,-0.01976094084474318,0.0037355877937431405,-0.10226645868893093,0.03460615716999332,-0.05135753995115044,0.2932807253038671,0.02044585673342393
FASLG,-0.026111444470092157,,,,,,,,,,,,,,,,,,,,0.04767269631427043,
CEACAM1,0.026803924220794778,-0.007741463276612005,-0.01859094198899684,-0.006693192235875546,0.05458418539081997,,-0.01382209730209321,-0.012872523259728803,,,,,-0.04716519114999798,0.08015766823821363,0.08199327082279625,-0.033474707437754055,0.05980709178996726,0.0022110386579292825,-0.012190000143779673,,-0.0015165962783733715,
PDAP1,0.027390578096574747,-0.0022768428432931053,-0.03540625772656815,0.03485734097807724,-0.0636511790100723,0.048038187798820554,0.07816089695977434,0.06963591472919518,-0.01084442464742703,-0.01375301763253144,0.1266173624581152,0.12629240542163503,-0.03131833366177132,0.05014272118345127,0.03168831098028838,-0.013039612331887183,0.018016646752705173,-0.02155801110583934,0.02829937670334628,-0.057578269338338525,-0.036465443155040925,-0.04784361162618118
QDPR,0.049201527326590985,-0.03544411418213541,-0.03090869881629757,-0.042209243136388186,0.05543997217395133,0.028297477854043723,-0.09436406726668123,0.01726614166075535,0.017404655121155795,-0.07407187141931242,0.03987847046920591,-0.048634121577243464,0.010526107018099426,0.019884218286922464,-0.08305244672394772,0.06058592301271879,0.05461897641040621,-0.10800218508425188,-0.11395344218087293,0.06087043245180454,-0.022017647652042057,0.08768526941275119
POMC,0.008671995102619862,0.0676725893565368,-0.0330331378672711,0.023625453024964077,-0.002128660303740918,0.02628270595586887,0.008872077197902282,-0.022739184821168264,-0.04162567588864704,-0.007383512170163735,0.013245510241956714,0.1338446754966708,0.007921480660876197,0.026746457489442557,0.08288354707636954,0.09012255756284526,0.12135800393790865,0.013873101731508672,0.06789745509671696,,0.09381380879551605,-0.01973721996735978
CCL18,,-0.04925199870642511,,,,,,,,0.07440215210245253,0.07387254949618527,,0.024979910750426767,,0.14954570847221615,0.022395496349743353,-0.0025428871158483055,,-0.02126170665531926,,,
CCL17,,,,-0.029390099419822235,,,,-0.0244416782641198,0.01901538452381958,,,,,,,-0.023748684705703238,0.01167309513240735,-0.03740157811124868,,,0.020962780070437587,
VEGFD,,0.0222745858850938,-0.02662779451033122,-0.01414894602849499,-0.018908083392544302,,-0.0011291307330336712,0.01567895443420168,0.12679372944627262,-0.029580221328831303,0.07121132010794733,,0.08684716068186452,-0.02663460659401647,,,-0.007222498784393534,-0.016805734681044154,,,,
TNFSF13,,0.0011489694069652327,,0.09861658087457127,,-0.020323544613173875,,,,,,,,,,0.02939569527422467,0.006124889475976649,0.0310625949643027,0.08368827762027506,,0.1235663074873731,-0.022373133395786574
