,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.03421830290857617,,,,,,,,,,,,0.029379574694953153,,,-0.007789144231456319,,
BMP1,-0.008218433105408134,0.014000176508358046,0.09592303217728472,0.02698378882347711,0.0945673990546259,-0.008336341115206772,0.02717138522362587,0.20088213699637678,0.019650999448202283,0.04619906551568128,0.00044276885996418543,0.07867376981061194,0.04152589407750694,0.157247205055941,0.1239041560253597,0.2100398090862967,-0.03591072398371826,0.1330331986543951,0.06445813404480973,-0.0675836085868697,0.0007296893856833129,0.1970156705994675,0.016785800858949276,0.20646729681219628,0.028932341393240735,-0.006832521316146428
NDP,0.08426881331246333,0.12802690733526925,0.03658369813140031,0.030127046144567415,0.011351785184589323,0.0016565169177241849,-0.1238679361527918,-0.004612418971362067,0.028573579117136805,0.05862390650518166,-0.008357382562624907,0.11522560339808129,0.1589001448228577,0.1141622676030947,0.06548147665319101,0.0669748689808873,0.002732252481025007,0.01099788177790746,0.04613187260097907,0.01002692682333309,0.016601294181427553,-0.09761184169374855,0.11812776180623827,-0.12984027980815632,-0.11204036914284897,0.046801248522186215
TNFSF18,-0.02203149341278493,0.03157735909646154,0.06830979007684543,-0.006947533906779178,,,,0.032997323126448555,-0.0005818420361807612,0.026288060394968064,,,,,0.05858748860735525,,-0.01335703057157679,,,,0.014509813409269625,,0.062083227178403096,0.08104699997793123,-0.00407987370198063,
IL36G,,,,,,,,,,,,,,0.030769126634456124,,,,,,,,,,,,
RTN4,-0.11078078443360223,-0.011171789483189153,0.07209187289891834,0.026635835488737852,0.0649211835756486,-0.026637570632246785,-0.08940328920729533,-0.2678360458380598,-0.0761737880109612,0.0022956889466786007,0.04562878196093911,-0.14766294856193443,-0.06440756699438104,-0.11185679235266324,0.1162065058333259,-0.04287619429181364,0.016510903863028288,-0.08892639771351904,0.037467809971501786,0.059001881209605284,-0.011273504342581842,-0.0838062086798086,-0.12063385219177036,-0.00548508089751142,0.2014856895096374,0.012500887099068348
HEBP1,-0.0406902667759685,0.026462811099270178,0.07378373339808994,0.05632027732911301,-0.04582782553545683,-0.03791690059031371,0.064980994914968,0.13911826972481128,0.018522146901651406,0.061715488172755406,-0.026392319165800968,0.08036622140562104,-0.05429939930832627,0.015558330328385162,0.08671403677330555,0.10651239726324821,0.0034814823685295963,-0.062154533801581015,0.03955449539066395,0.019292161003670143,-0.03583245868742374,-0.010222393529212214,0.042660777464393305,-0.01517243252101567,-0.026104227489568668,0.14715664633060158
WNT7B,-0.031069327777201027,0.05818420506805586,-0.018837039708110976,-0.01464471090065531,0.057511113557000525,-0.04221288849655309,0.001753333006934044,-0.04352303237187481,0.040288135380642874,-0.045761342304536504,0.04344391568862801,,0.020953886775730117,-0.04156935161982349,-0.018398755161987815,-0.021350314489702548,,0.01104268881561545,-0.0310572429948177,0.011348426009908286,-0.0005018945261165311,-0.0034385789003425716,-0.0785141087679719,-0.015414745314892116,-0.06568542105661752,0.08198443523829754
PTMA,-0.015245210521942174,-0.05380823482040758,0.050154871980296896,0.028440928911102073,0.08023466092196138,-0.006302252683584235,0.09504116663097234,0.35805574480801994,-0.0022275570472259447,-0.06694618049209061,-0.05976362030105701,0.19234504792607104,0.2171027331816587,0.16237027260225873,0.10046942874785908,0.00530675214095943,0.11374899083731668,-0.10468111542409955,-0.009169626032430888,-0.07706783254121087,0.0054011930628382115,0.08159308488557877,-0.023058675836310764,0.25488952033854323,-0.002975225883672419,0.1502690231360918
FASLG,-0.002805931761932696,,,,,,,,,,,,,,,,,,,,,,,-0.0020465374072573617,,
CEACAM1,-0.01678117450485312,,-0.02744934086718661,-0.002865672028514443,,0.030654145232379203,-0.016293336232500934,,0.03706590984541344,-0.022977418899966018,,,,,,0.09572769914995012,-0.0274930499874147,0.11228171366579566,0.00657991846659203,0.0010643978338991087,0.037182009043266746,-0.027023792787594803,,-0.04550012866312836,,
PDAP1,0.07800698377619343,-0.045551765240387794,-0.03426038637475669,-0.0013024035423534364,-0.00961801678292966,-0.030655029540201145,0.05825336536726237,0.08929386748302054,0.09369509747457024,0.006392796068062908,-0.03104507097625076,0.02088666366195292,0.18553601744017054,0.06583882513643403,-0.007197583297038004,-0.01708968765432893,0.006960836648190067,-0.04110657159377877,-0.04543935348970158,-0.01985487024465338,0.003871392131693707,0.047991941837728036,0.035078025938139995,-0.05462155506541599,-0.06270830809140338,-0.05746408025964472
