,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.017759278023102554,,,,,,,,,,,,-0.04661995039923004,,,-0.021994139751107946,,
BMP1,0.0386968885604139,0.018555062259400356,0.11769031677355311,0.03465870859210603,0.05839848903974022,-0.014440393747018127,0.03922594295576977,0.06247100486931261,0.20105508672811415,0.10368482957481387,-0.02168163524465835,0.022099925524316475,0.22667156701229899,0.03651560195684258,0.062182761321835096,0.07088660731139555,-0.026356498596649475,0.10794603588100297,0.15325150269202154,0.13191958977267798,0.03286134284294263,-0.040679283903935395,-0.00616621663532646,0.061638897371060875,0.06963231053172544,0.08028603807199494
NDP,-0.019544407785401285,0.13543723241026198,0.08054051280099624,0.09315478913067497,0.12040487997388816,-0.03194755332163347,0.0020221369848723845,0.02905955892328055,0.0701956413195302,0.05171394967285558,0.04247336095306286,0.0016663323113879872,0.0628307288398838,0.06406969990249008,0.046939905688237214,0.06202935060760484,0.042170976747381635,0.03963589805881536,0.032856281619273855,0.03691827668847527,0.07832809350107005,0.07161557574275494,0.07311512396885197,0.058532901986054445,-0.027440919045897405,0.06961418949566345
TNFSF18,0.02182815048823077,-0.03968025400046191,-0.05352233468520302,-0.028473879196731635,,,,0.020746167847398855,0.05247290977210921,0.046938209015764974,,,,,0.07507939715480177,,-0.0050567019174661675,,,,0.030636681157941076,,0.044192367687666725,-0.007937686273786042,-0.02335720042057387,
IL36G,,,,,,,,,,,,,,0.06789714527067515,,,,,,,,,,,,
RTN4,-0.0848004307752063,-0.07943567691848348,-0.018308946953869802,-0.00964032737677975,0.06350009130038203,0.04541813345131897,-0.01904769713538353,-0.03022168267406535,-0.23260478934298098,-0.08153887995325888,0.07955007125316337,0.07407200702017498,-0.048070822888551544,0.08473222531620535,0.07690416895630806,0.05144238017402817,0.028501748234686024,-0.14868212803540926,0.04447115773121078,0.021417748271516296,0.035530697400002094,0.03958893952941705,-0.0120546750044511,0.0030136862923145764,0.07278040130991036,0.10874106575162902
HEBP1,-0.010191396578939237,0.04659993361882934,0.05935571202494613,0.005025956770159892,-0.015130946650534237,9.700951303795507e-06,-0.039048930397910825,0.07297316769208587,0.08303776963218615,0.048170772282971196,-0.006896059002943716,0.05538130216567604,0.03489426011743571,0.022436146021509323,0.028775831372737835,0.05273997298781603,-0.04819917063901896,0.02287178106597705,0.02865131877386032,0.04946182600834241,-0.03286622703494355,0.031659695974063186,-0.019092372305229158,-0.05363471434073301,0.04190411744236335,0.1242219441332685
WNT7B,0.0416671125854431,0.055366691611538836,-0.007503982530027505,0.03930694315418129,0.020216856711157954,-0.01380972933651914,0.011146534847226225,0.00956529888649822,-0.09504504813809976,-0.028365325431690912,-0.016622092796129282,,0.08723015310355133,0.028162294519949702,0.10970943192138656,-0.005869143429744293,,-0.0316324050511834,0.05711778887334791,0.07153474292106458,-0.021461130893997152,0.008886281390271094,-0.012492652283752511,-0.05299882149439319,0.02763445530253237,0.017501967163989596
PTMA,-0.0693483749216759,-0.046219589639880806,0.0354781034454644,-0.012341567196955814,0.0774807329278137,-0.057885606838235404,0.03976208208691703,0.055360217230406725,-0.08401251132370548,-0.13822792019352412,-0.05308839318507629,-0.017618158951835588,0.20052766500794758,-0.037287424153781355,-0.031585746410192544,-0.03067383390625778,-0.020858733405592987,-0.18264993493682957,-0.11178538041225823,-0.005628522489377531,-0.053348103420695306,-0.08007587380173002,-0.06851151333279389,-0.01735248435082143,-0.03480537565197407,0.15182908686600124
FASLG,0.005029015296684308,,,,,,,,,,,,,,,,,,,,,,,0.04536204801477426,,
CEACAM1,0.052116964237349274,,-0.034798517610147246,0.02089477372731669,,0.008657751054570768,-0.029923336845432066,,0.0510428274288994,-0.005778402294106695,,,,,,0.07478772815121598,-0.04676592436767488,0.02083230533172079,-0.008208581816099675,0.005424598242834861,0.07174537448284353,0.005394583523293185,,0.012155420707098274,,
PDAP1,0.08947089144361363,-0.013082628059652573,0.05074637951728151,0.02423664367347669,0.03024950533749013,0.04558032571006009,-0.002159401641158741,0.0408683884601569,0.14558098258183813,0.06786248579742783,-0.04591357910541981,-0.005514996415964927,0.11080359507217726,0.008692415942935855,0.06925400576262977,0.06351794262205161,0.05347913471339537,0.07374609916118899,-0.027888392077752778,-0.036637853648916724,0.05257235473386823,-0.04457476923085073,0.008412963718363132,-0.026573405487748232,0.025691049478589544,0.017542526416906793
QDPR,-0.12141869830241964,0.11307618888317456,0.05114234910305216,0.03701741049974769,0.09032938470975653,0.07287894494216668,-0.002186689556869765,0.06679358650687349,-0.12764981508500484,0.015505253645062271,0.0654021497207173,0.0026794793908519283,0.14355153187684833,-0.042379304702085896,-0.002199721059148463,0.012929708599927677,0.01794452794715479,-0.2533810980745991,0.09551035947710096,0.035444464646032264,-0.013584091937941311,0.06319012137332873,-0.04156284816374558,0.08295280433665554,-0.02530013382764334,0.13975803308256168
POMC,-0.023221041636885965,0.09651993998464986,0.01387727438845857,-0.010912593286741273,,-0.012182730593736747,-0.026733422582394535,0.0018299434352150453,-0.013677414750612944,-0.03272484621550384,0.0027237458900779424,-0.020559941101358104,-0.007620696577212143,0.04716880546067694,0.015383479504948002,0.050893090431480235,0.0838044677227738,0.06448254535986163,-0.026493735395485763,0.05480914468974026,0.0021032870727826693,-0.04597743667706033,,-0.006807222791124445,0.058920957803396894,0.0435443938194865
CCL18,,-0.04501839353253366,-0.05951388364926442,,,,,,,,,0.020898802711152378,0.09266063501630849,,,0.1514698870707964,,-0.05556108339287784,0.008833231938894622,0.013373960653823182,,0.053839908108139455,,,,
CCL17,,,,,,-0.022324283962522635,,,,-0.023989606919157247,0.07206082753432036,,,0.026026816812885174,,,,,0.09403162777386848,0.09562476025161777,0.029559545842246737,,,0.03118339926630523,,
