,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.001792235946291783,,,,,,,,,,,,0.026987184232681045,,,0.028376827130834864,,
BMP1,0.05618401080292576,0.10670249527335476,0.14810988342084538,-0.0077731843466123845,0.07010784599378704,0.017909462866951886,0.0627974426102062,0.06812736860844325,0.3451461858531883,-0.04489355588750492,0.012121339551731563,0.11602366572719859,0.041760823804928564,0.17339586812505015,0.09004658326881006,0.15399397890141944,0.14176556278517505,0.1551236963091236,0.021573145934464313,0.07313900997779961,0.13332616588498503,0.040505490610943704,0.009377250140707833,0.16451381315440164,0.04684338261868572,0.09810270809981636
NDP,0.10840140872972784,0.14083261946141667,-0.01621218289811702,0.03337932996064114,0.03167286293037228,0.06254237498700885,-0.005520058176762871,0.008388690133645602,0.12890400666631255,0.03152883777919583,0.03808891612457297,0.056557879793566745,0.08064726745831868,0.1223547053281855,0.10091524225829238,0.030762751991550204,0.01967679565127024,0.006946236390686073,0.08954749323683135,0.11582474784939366,0.0869975640316494,0.06482423759954103,0.11769648017320204,0.14446061864641585,0.014228103320381913,0.0655694843495314
TNFSF18,0.04869565895807496,-0.021716697786319746,0.07294308588649279,-0.02873941736776309,,,,-0.021432765757941005,0.1480290683572483,-0.01649596358010124,,,,,0.03234174251910854,,0.04306048796208273,,,,0.03739148521313206,,-0.00544704065309813,0.04927366985104476,0.04637392339954844,
IL36G,,,,,,,,,,,,,,0.049332538836369205,,,,,,,,,,,,
RTN4,-0.06816090682606772,-0.094303261949435,-0.0054480253717816805,-0.0532422827168769,0.02478905345556877,-0.03318259216062492,0.006311013025847542,-0.059661658309520464,-0.4350833469136182,0.019970082379637547,-0.029455894850003352,-0.21009938139239678,-0.09030730047165914,-0.15611318244992367,-0.008152420635901627,-0.06607511467700555,0.021507418151106104,-0.0660276889026896,-0.043189600091995156,-0.12538512685815204,-0.11914720122953253,-0.011249337439496574,-0.12192829471551028,-0.05749098122172157,-0.05224118427337705,0.041894819327770644
HEBP1,-0.027284972806062492,0.06895818517011505,0.06937286995807568,-0.04427854991142533,0.02073459239692959,-0.02238338571740702,0.00544835008739269,0.002785899198234086,0.23010548028509878,0.04118088069583992,-0.007337375614014271,0.11109932857429738,-0.045332059235579376,0.06599903016729115,0.06106378560609547,0.11301025821451208,-0.03502373767625205,0.08306342497067529,0.058194370267001715,0.1563234888934297,-0.020472205736244763,0.06378065348690956,0.11386212417427992,0.12397267669496206,0.06138611573828145,0.11497796490064559
WNT7B,-0.0026805691990228362,-0.0015781788577436161,-0.05068778731364609,0.024550888850297166,-0.02839904797933126,-0.024591176177063877,0.004044736647825593,-0.004595754893372082,-0.16850924273862022,-0.006037610264034321,-0.04375728089155504,,0.013988574034793363,-0.06802812611223688,-0.0009954222847790184,-0.03193715165818615,,-0.024594742275558697,0.02992135843684011,-0.03174712147688863,-0.04068345732871493,0.024484752569174893,0.02440623689132618,0.022669776022658385,0.06152724549935018,0.007739906670186343
PTMA,-0.09617375772741503,-0.29593425770624654,0.09915817848826411,0.05659225760797385,0.0810621037819774,-0.0016988320795660765,0.02925295048406854,0.04220260340954052,-0.2391874321588208,-0.046425948450194966,0.045624687063939094,0.25098460884398577,0.18308111294461804,0.1607450246894529,-0.06277203290197003,-0.09897657605328138,-0.03913121030038808,-0.23027548960540756,-0.09965717591099742,-0.048074669222913216,-0.13600355241456638,0.02739862528043859,-0.07007877154199214,-0.05567522367663259,-0.030014084657280962,0.06798002461239946
FASLG,-0.003141313584676838,,,,,,,,,,,,,,,,,,,,,,,0.03854071982050488,,
CEACAM1,0.014576048172700924,,0.014445213268083535,-0.027676701151885304,,0.0119285749776278,-0.01955323929954046,,0.09391651891847615,0.01838723725667525,,,,,,0.0633167790889866,-0.001102732284282263,-0.012278125727284206,-0.058385737031108255,0.02466256564027867,0.0038371595677441244,-0.03542229564422398,,0.038960750516753066,,
PDAP1,0.04946474692343302,0.019607293495638143,0.06013038215237786,0.02272757372296603,0.060990051277305175,-0.047168408404820686,0.07309931743151443,0.020598638221825494,0.3381396135022523,-0.00508519453856001,0.056135874733621464,0.09831947160263271,0.2590772734649001,0.13222108123259413,0.040992457528357236,-0.0009879367519204131,0.06262644681982805,0.0014230820045681822,-0.02748940921415222,0.01956833118509943,-0.007736404961011788,0.0658234455376631,0.07786919074898639,-0.012140340537000895,-0.004113561914250774,0.11164517554764461
QDPR,-0.18551242622586814,0.06374106550854641,-0.03951116383650034,0.00926747555705751,0.06721488445131338,0.04193984212662402,-0.0662658863490775,-0.0053697701200992164,-0.3373537661675193,-0.0022393576332151678,0.0588130054040638,0.1211720902410064,0.15358123624998934,-0.03214713268313412,0.07656568476153097,0.13979613169428995,0.013748971523306442,-0.20683086602844977,0.06095558683289615,0.029583964594073423,-0.14914376867560183,-0.06281857266358133,0.04413979315525485,0.13385608216825773,0.014139200862812513,0.1876278178289328
POMC,0.06109310580221044,0.0643598575948887,0.04345666220767882,-0.004011254034003368,,-0.018889822633761752,-0.005965928304062449,0.022719862480583733,0.03289803963080863,-0.039862255331072106,0.0288762300160555,-0.008781002890378371,0.05396959950784658,0.014332811955086875,0.08836266200455017,0.01453810992134136,-0.027669604650051045,0.06720041238313285,0.11379085935692329,0.07932500989117981,0.06511884514809589,0.0009250957128685818,,0.03948614260792261,0.054788060744127565,0.05420038199589851
CCL18,,-0.05777538722933947,-0.030594567092815782,,,,,,,,,0.08129048538389208,0.20546612615493623,,,-0.03991829580126297,,-0.04388634452017314,0.04877487758986795,0.07202117561749109,,0.001013474023592966,,,,
CCL17,,,,,,-0.007144484385912204,,,,0.010966311909601083,0.07220860815669397,,,0.06678841128084992,,,,,0.09276002499729885,-0.01530448193705222,-0.03953456649765971,,,0.033544491042430895,,
VEGFD,,0.011341315723032954,0.03598130992058241,-0.004789166896174915,,0.03945685593972412,0.07432057154474629,,0.0647522768272151,-0.0071982409588756515,0.006523882061991252,-0.031902377653410835,0.12148460869024628,-0.005920397023357743,,0.041799315285604974,0.0037709207165307636,,,0.01220601485345534,0.03609054362134787,,,,,
TNFSF13,,,0.03699808118870341,,,0.01582688801275222,,-0.021861986073596178,,,,,,,,,,,-0.015548987082224179,0.037730204791645766,0.06920149769402278,0.04685493877822972,,0.08192178956288212,-0.08112203544552074,
WNT5A,0.0726158394882568,0.03153707872742937,0.0409976355842735,-0.0007584032373329993,0.1559851377658337,0.04395257549122338,-0.02387761703537747,0.037358107961139836,0.2472517258091523,-0.00810801519508159,-0.002444150785123481,0.0042658244899406415,0.05285864654453687,0.07408887044187093,0.013756350926610861,-0.07449060139757632,-0.06539934060384017,0.08880260813529235,0.05227705464165736,0.05022561684588825,0.09594111250379832,0.10410892461953983,0.03669354110646804,0.19035457685894722,-0.008722815999271752,0.023996892741753567
CXCL8,,-0.1520741557589103,-0.08185541358604936,-0.030869438513515604,-0.13840782777987573,0.00348270260467583,0.039978869572671195,-0.021541179176708693,0.14310885686907254,-0.06159814278242497,0.005494796210845994,0.17996062450427758,0.0559958209069013,0.012572176338307272,,-0.260988611494847,0.06987961440925228,0.013025490367745387,-0.02476674293342069,-0.08649298076858647,-0.04481037464901436,-0.01487098922665183,-0.08573173786516941,-0.03157279700401911,0.04685911372801634,-0.05319543785874882
