,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.017405940653863562,,,,,,,,,,,0.17646995658106876,,-0.0392083208307553,
BMP1,0.06050307415303524,0.0936087339915372,0.03681681371969704,0.0244740725837753,-0.04253259752933689,0.07148983295350954,0.02345265671945144,0.0865912821268743,0.18252424741843204,-0.020284335865186395,0.0610341631516219,0.021388019552146295,0.09143331838209119,0.09877546396808577,0.01839180904462803,-0.06860489238212483,0.03842556132377179,-0.006293548546310635,0.23596432905937242,0.09048299156564488
NDP,0.14435444693914148,0.028212786307555096,0.08850328288441224,-0.01034074552767491,-0.01694598781916196,-0.007287696729459794,0.07295530400952276,0.0269745611405322,0.11644530765630456,0.022591210879739067,0.10938447886525998,-0.12491838360137496,0.015369627116602428,-0.011436190526498729,0.06583535059002907,0.05697630989774061,-0.03399729864222189,-0.002233961106147438,-0.10036506979554068,0.046015467896600236
TNFSF18,-0.05193833156705408,0.015199616240646122,0.03172265124141006,,,-0.010407237159441817,0.08669513618844699,,,,-0.027050322836349377,,0.011723938170075953,,,,0.0072843583218473,,0.08396361170984708,0.021609011710959417
IL36G,,,,,,,,,,-0.01272225849328089,,,,,,,,,,
RTN4,-0.13219475945863296,-0.052278872096366114,0.0012803150722717218,0.0052482164570708725,-0.0531189144927063,-0.12466620072588903,0.006862691478039181,-0.039285577521419174,-0.07883328071949991,0.044994547425882436,-0.02584302008819225,0.14247146221648269,0.0469178587856353,0.028566058369052846,-0.026654135305416538,-0.017835887963711595,0.02659480744847163,0.04931289318146993,-0.08757398136824142,-0.10197348667075293
HEBP1,0.011430173058837737,-0.012615124532523976,0.010421729893198116,0.016078025453945186,-0.012689147794687402,0.035963029650579945,-0.024386199667782438,0.026269050510197064,0.037504402342328144,-0.013853597986751919,0.03088224277100539,-0.04726508408021543,0.06342979819002889,-0.021175300796761193,0.009624001742649668,0.008032171522389712,0.06798424660366864,0.012402933594579583,0.04202665239432616,0.014497593621107162
WNT7B,-0.07661170546635988,-0.038548986577920455,0.02274699283144916,-0.0103805920194059,-0.00724472951653471,-0.06668614330873956,0.016400285179779848,,0.0795091491600614,-0.013983228214989075,-0.029779765184973276,0.036446420755857606,,0.1243782038308269,0.11321411294131094,0.03950774557845561,0.08761114673160966,0.018371644020501773,0.040308328298669864,0.15627945719297032
PTMA,-0.1324786910008894,0.05723608168754625,0.0383945781048748,-0.0785271345432351,-0.027618275617692974,-0.06294331335335723,0.05930243761757245,0.04872928403801151,0.23837531248111293,-0.022612160122319255,0.03881687685452663,-0.0996288449014858,0.023595291102295128,0.023935971525736226,-0.0376897264355852,-0.04299139638963967,0.0579331037899948,0.0036533525213271485,0.2512214976507224,0.09658687096685241
FASLG,,,,,,,,,,,,,,,,,,,0.046388516810357376,
CEACAM1,,-0.012749622640763382,-0.02069498327131361,,0.052645258632183556,0.02429890670820896,0.12773218228581154,,,,,0.05318299159242764,-0.04158866877919649,0.06998562760269492,0.04486423827677973,0.02487507767728977,0.05986623276172482,-0.01865356507823496,0.0558684254744513,
PDAP1,0.02399810030568208,-0.015558797928376755,-0.04164453420402023,0.014741105676045016,-0.05289681002083996,0.1237255379720239,0.020645833074957393,-0.029319904020364638,0.14913341736904961,-0.029769652715203803,0.025144131765083923,-0.029398728091106642,0.005374296306479065,-0.048502978656980035,0.005318119097376503,-0.06595679951948845,0.016333797184496436,0.0350317062174511,-0.03770345326006801,-0.007884836874049558
QDPR,-0.07078353454084242,0.019889575787816215,0.0073525434820944065,0.01902046866874021,0.0015518910271758257,-0.11623556610285606,0.03841912894680553,0.016802867291907178,0.10755134012199147,-0.007124979572577077,-0.09106227576986574,-0.033626554052839513,0.006780100500133071,-0.11466593786829506,0.045217223539312575,0.16576490214456543,-0.012455256071446723,-0.06015740392897341,-0.033343700756971184,-0.11416428287075947
POMC,-0.0943979997380159,0.03757378566931028,-0.03677168354173641,,-0.01218413101322085,-0.026306251430931453,-0.012878323978205713,-0.04879674856410475,0.06457877907315976,0.10545208860480104,-0.07289973945133058,0.1630136744996294,0.08995083122366315,0.09856052418383358,0.05161876005628152,0.07505253103451125,0.10099708489219775,0.0074351291400890085,0.0656299792304171,0.013400327475240193
CCL18,0.0010326312942863568,-0.055357732164954015,,,,,,0.02362465806319032,0.15027383659188623,,,-0.06812428017957012,,0.015513783414403055,-0.0014307055499106181,-0.015170727220848525,,-0.00433179533280353,,
CCL17,,,,,0.008658212488431726,,-0.013842530140455216,,,-0.011622144318408256,,,,,-0.027121182039113075,-0.020877224976401935,-0.02233622143943939,,0.015821171347335874,
VEGFD,0.023953750655923114,0.023649849514769103,-0.01814844370462016,,0.04214832453796622,0.02282330349639596,-0.01474804504734726,-0.02101249046154381,-0.016498630263381723,-0.01245581204262798,,-0.035917776506143965,-0.05653888383839098,,,0.00798653751506075,-0.03881591507104986,,,
TNFSF13,,0.03766280316604471,,,0.050188729699474875,,,,,,,,,,-0.03485782238207853,0.08767995496953909,0.04065440524745742,0.05457127672115277,0.03839582958069708,-0.016382716773588893
WNT5A,0.05498875418223922,-0.042669804863721995,0.008236129040724901,0.025115488023308766,-0.033770336163868375,0.10355843522899146,-0.005314624269164074,0.08817073430062936,0.062297363007062755,-1.0470328665472628e-05,-0.02161896578019498,-0.032642763699199294,-0.009815600471766094,0.024156258628836365,0.03170004311806016,0.028737715845691063,-0.00640299979772454,0.003421049723993631,0.09575354941885293,0.03362706395567741
CXCL8,-0.0980623850748664,-0.04571026386278455,-0.02775446083994986,0.060381690603000845,0.10733780042181802,0.04118936496311388,0.019088027469022287,0.03570162756414247,0.0334304279664637,-0.009083996669422736,,0.14579205272103962,-0.0316655992810696,-0.014227146842516183,-0.04204130680623373,-0.1480327538693414,0.006402270109320461,-0.0011454713252838427,-0.012607684635727484,0.1046000709965864
