,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05469201787088626,,,,,,,,,,,,-0.04216667453975982,,,0.01243639380206838,,
BMP1,-0.07095756351971906,0.17062297624942782,0.162938539080969,0.044561323486028946,-0.002650249212028615,0.04983234932253915,0.044931718019141025,0.08632846993854325,0.228728644507243,0.1374574220907052,0.030732138874937465,0.13020374290252273,-0.01468632377765339,0.11269729712815885,0.1506181847578997,0.10599429336198375,0.05056881579719852,0.1563817630871498,0.1190472948670705,0.1428577946869385,0.12294600176647341,0.13264657575401342,0.10179761827147288,0.145528528085131,0.1613157524369013,0.051052358842182975
NDP,-0.009228029393410627,-0.054636195630511156,0.03905448475556098,-0.0019354009147856815,0.11603196610329711,0.018869186569787165,-0.022810865022444157,0.018410453949275554,-0.02459577364104298,-0.04956064035676549,0.07083251096215469,0.012069390846030975,0.06750207858123096,0.07028162570041467,0.10027808717040335,-0.027130479532883355,-0.1043248770812783,0.036671818975229004,0.10763086224731493,0.07761486433452171,0.07940883196771727,-0.07610292178041153,0.03208304277751349,0.11052102835063718,0.043889248176346304,0.07382090869607093
TNFSF18,0.04812979534956329,-0.013572384147152804,-0.0070942969806712785,0.013215445850421132,,,,0.07392686334798806,0.0997953989832389,-0.008954294017948878,,,,,0.027335572046905923,,-0.014952813335543146,,,,0.010056586523032329,,-0.0415459283330087,-0.0009422242010293012,0.10269193755217124,
IL36G,,,,,,,,,,,,,,0.035414525384276425,,,,,,,,,,,,
RTN4,-0.015347016140962637,0.06061258134485164,0.06585866365872156,0.03727729784470629,0.013701409399376682,0.038300608761000506,-0.07240628401521633,-0.12915680494660017,-0.2315264994138524,-0.048709762284704895,-0.024386110528497096,-0.16126153525973733,-0.07510615679934973,-0.10777628517901099,-0.038357811163237825,0.08842928250312097,-0.008509778046755467,-0.12834682542454362,-0.047634508114403465,-0.024020383856310067,-0.07483646711063476,0.005655380669010218,-0.06558590466167173,0.006330105132337372,-0.19711864871826548,0.1290472484849775
HEBP1,0.019748655785980215,0.09011121810074829,0.11089551802213689,-0.027223059684103566,0.005553058429284844,-0.01237791960512676,-0.06509781693270823,0.06700702727586505,0.09027348808413915,-0.046033074850284586,-0.02177082411943796,0.05809019698168884,-0.0018984609798693597,0.054784764881593936,0.06365918222117109,0.10051206856209544,0.0025385659530184276,0.02953619624709657,0.0840856079493396,0.10442909131273978,0.04816734183672818,0.007656436142557063,0.018322731531139287,0.12133571981165266,0.09172494365203757,0.0033722647502120754
WNT7B,0.014770330038841616,-0.05633148838131147,0.008870179040880435,0.013985357379132863,-0.015283841792841618,0.048976343848903155,-0.0553912894936133,0.012418199861807184,-0.0019015329180765298,0.06383116906184845,-0.020310745462851727,,0.04409039001220526,-0.023612792172982247,0.004191406019467932,0.12295184330248221,,-0.06060553532825591,0.002088706725437448,0.040826884976493075,0.07620909055550079,-0.016605288245503398,0.20679321096300438,0.053246887075641854,0.03464616730308288,-0.024997916690688335
PTMA,-0.01832083263567494,0.014391082480125402,-0.047715734717630146,0.008994885764689048,-0.001006847733922523,-0.011314484191984992,0.12022047747110225,0.19662768428924002,-0.21811739462752402,-0.02016795076510436,0.050154376535216254,0.2160430328711523,0.0020124897333179664,0.10400503818367605,0.027261439142005885,-0.03638119272356183,0.1071275031297929,-0.18241664424464002,-0.06468785198744817,-0.07845345548491076,-0.09845287879185878,0.03254946301988656,0.010633284693980592,-0.02266895817875885,0.1741629778256101,0.0008096223296329002
FASLG,-0.015226549091266466,,,,,,,,,,,,,,,,,,,,,,,0.01720700684998243,,
