,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.008954619073559327,,,,,,,,,,,,-0.041363840621200625,,,0.038542077886534416,
BMP1,0.0016013181469173873,0.060158455044664536,0.18063693364980268,-0.012679554946625437,-0.02016908546356753,0.031446129120639536,0.02470560956999958,0.13453242020998102,0.3390712981246204,0.023223390198577908,-0.015707216768462307,0.09968604155915314,0.15431424892117562,0.1852769371862987,0.11820785429742833,0.02039449818591164,0.06263584844625351,0.1701788509230252,0.10640035003168179,0.17784947035914778,0.08465718588745944,0.13999341894819095,-0.014703289071125815,0.22022807503490724,0.12035920944097651
NDP,0.028061710888028977,-0.0054697337954400385,0.0015454531853284685,0.006691038191947758,-0.02007728101676618,0.030983477043971728,-0.00020009786070420728,0.003144326949562379,0.04433197358339794,-0.024259514722890247,0.04454172243880982,0.015537244812774081,0.1161704002459966,0.05137577232640322,0.11229694045274166,-0.12274635799664264,0.015428449435740678,0.08464109452208807,0.08306505497858058,0.11377928375234556,0.06860097080885698,-0.020922297384292982,0.07272853560121635,-0.041123041032975184,-0.012453839672487142
TNFSF18,0.11309300280143174,0.019821358100083387,0.05266777706099111,-0.013920788676873014,,,,-0.021644100892169674,0.062343203373135134,0.038264521936810174,,,,,0.09982395921921719,,-0.08862544384563593,,,,0.03728104878272713,,0.07125885680943965,0.06855461456221566,0.08300405478596565
IL36G,,,,,,,,,,,,,,-0.011687745939207947,,,,,,,,,,,
RTN4,-0.012129346928711256,-0.02684153315805237,0.03286859254599802,0.0083681440102997,0.008864634934186337,0.08172176845723648,0.030727912605548333,-0.06265812570228359,-0.3618882191070173,-0.05518107331998895,-0.008621170817514612,-0.07022533128132426,-0.030063783155650038,-0.18508375369885702,0.07379355918863481,0.16379424543461313,-0.00020198872167335658,-0.08904931644950523,-0.03044052355333391,-0.08573752631786201,-0.12796665665698068,0.0007853255781094711,-0.13062588041299325,0.07495689762769679,-0.14580912739173357
HEBP1,-0.0029167343907688624,0.1009757642267512,0.134614620929192,-0.020116549788429035,0.03111963441187421,0.003935436875210908,0.03891904978628625,0.011880520755100805,0.21052472086045357,-0.04627848769423836,-0.0045824132298934745,0.046541255115983546,-0.03472732519210008,0.00952411942755065,0.1413788928083606,-5.259049160125286e-05,-0.042319804523362155,0.020276493985621303,0.09736779212310442,0.11267410378206026,-0.007514238762990645,0.022790470258013982,-0.009887122237451652,0.07901769767197526,0.0025820893522170087
WNT7B,-0.007009227896506278,-0.06285982533162773,-0.02983586288418568,-0.045483009712648445,0.018066869833947154,-0.019573219221739324,0.009446700204017146,0.052583657796900614,-0.0819193720724917,-0.06374342483397705,-0.03552077960726838,,0.06584611996779567,-0.05870980983793499,0.08166571518172881,0.09327608876352701,,0.08679352018571,0.003964814012709156,0.11500768046802888,0.007813162019000286,-0.003598570209109428,0.08124120000409962,0.1524535850260688,0.03761649938087041
PTMA,0.05970707369929285,-0.04107116375068252,0.013376063719765597,0.055192285253634225,-0.05954955545298448,0.015331805161022375,-0.017642564237221398,0.1213106895354756,-0.17469234975544867,-0.0064570685292110845,-0.023950950940826644,0.08731880650317295,0.09953138188263956,0.20423804143093485,0.1036299252365472,-0.14564027249871436,0.007075581285865792,-0.13550934569125844,-0.08646126612899664,-0.12291171645668582,-0.11489014019209233,0.02794359297703378,0.0698449515238394,0.060550902927752365,0.10168077495791908
FASLG,-0.02682234834075864,,,,,,,,,,,,,,,,,,,,,,,0.04745603741117146,
CEACAM1,0.02056531142528485,,-0.00859786293497625,-0.015578138421372182,,0.04011849163124875,-0.0018630382964978545,,0.0683266872680959,0.014646028543262487,,,,,,0.04368730372246922,-0.04894097088481427,0.022228425717336152,-0.021474913922094416,0.025127424095007796,0.11057633929866595,-0.0389423977808009,,0.04962072749902415,
PDAP1,0.07863487260788518,0.027141505531473934,0.01764523108571337,-0.08808069428629388,0.02448839073358601,-0.041385876514107835,0.054628402412948626,0.0033599756844313014,0.24317067236116735,0.06050785104723456,0.06671502646178931,-0.002526331602396584,0.1025114676817242,0.07633149355262751,0.0036040244552351377,-0.12318970153365151,-0.010765417897511939,0.0031485357210045417,0.004074283363035521,-0.06878807845822515,0.014169079616986097,0.038544229252803076,0.004879156069854722,-0.049088315829343185,0.03450213171382503
QDPR,0.02352460911024227,0.0007510194959968507,-0.05137241672311151,-0.008683735801220987,-0.031051759867601995,-0.007166154277204103,-0.08476841026996133,-0.14842849012431586,-0.31879738880740754,-0.0446275386047781,-0.012414062111653919,-0.0012436548787809548,0.09629749272581717,-0.014193715844193495,-0.031193688548943603,-0.017415000819951225,0.03981628052353735,-0.22230619287691827,0.038894294308609516,0.027565300533368725,-0.16607217209618422,-0.020195492564514108,0.04772590747418819,0.060706319950524446,-0.1827526257886496
POMC,0.007704703515106127,0.016743076452355798,0.0537619057335707,0.0737373695266611,,-0.03884205403375097,0.004498283789022261,0.04489493043461849,0.06686947150505528,-0.014774679535219166,-0.019932046041477497,0.06681579503406904,0.057605473202479426,-0.02002290741691597,0.08152208051933361,0.028849349666466937,-0.00013234507953277337,0.045019855371586044,0.060093833202217894,0.09481655817757179,-0.01734316435167684,-0.0033384497028052,,0.06550384655208946,0.009646978013880167
CCL18,,0.06449657798936774,-0.0125918706968376,,,,,,,,,0.02231951409071787,0.10324631838959294,,,-0.08386867186476174,,-0.06568949999614092,0.028952118571421288,0.09214892041229036,,0.06874260479052138,,,
CCL17,,,,,,0.0189684479209402,,,,0.0034201112049238244,0.0003351081268879339,,,0.010845474590934842,,,,,0.047746661697401466,0.07873005895829802,-0.02867216956738603,,,0.04038759886348474,
VEGFD,,0.03229077867274446,-0.004789904122903582,0.027430399397453693,,0.03787551325211693,0.06560102438365571,,0.066818444298827,-0.06726577205004848,0.00251831373922742,0.07836834076242759,0.07019075413607202,0.013191525659096159,,0.051208012432756626,-0.06909603882331511,,,0.06506756810408187,0.019149972585108192,,,,
TNFSF13,,,0.014113011078800473,,,0.013618388160748045,,0.01568686613215776,,,,,,,,,,,-0.009125503101707105,0.02934350614616195,0.05422279997518205,0.04385913835991702,,0.06568284349295303,0.006807427572826304
WNT5A,-0.020971733354434766,0.05851521812780986,0.03609170756775734,0.04535098932592901,0.05759709697369484,0.07629582052078127,-0.0273971057783207,0.08094085030179252,0.23188425920569972,0.022877519110220554,0.02666804156453477,0.02484929900263039,0.1331995842124497,0.10667027040044132,0.05793201374543309,-0.047664716256171455,0.0039379427666916475,0.08480891034572896,0.07632062718032137,0.13772200236586507,0.08214708247430472,0.0953106193296661,0.043756753953547146,0.14170747267722733,0.1073881514686872
CXCL8,,0.1292439347610147,-0.0032338064241539083,-0.039893367928922785,0.1371828840956945,0.07002119355175992,0.09210695934161582,-0.037963511053413126,0.14788673780451556,0.03772732556246776,0.007253913471253604,0.11162432413615735,0.03743486150762181,0.1201169085470407,,0.19353474332865617,-0.003557791203515493,-0.0045840462586466775,0.10954156225297795,-0.023795928383927724,0.03608724390691472,0.11409154436267786,0.0005557570182052676,-0.06498047276765521,0.09515448627714791
GRN,-0.04427215292571382,0.05385040652848179,0.1524446523909911,-0.025246058864299904,-0.04952878758137664,-0.06867660806347957,0.04180526182270499,0.03515513480801389,0.2604852606401272,0.0030072709761663737,0.03326896053915986,0.08006142587186411,-0.023930660641396515,0.016911585534960614,0.1000887942847796,-0.06262288343607043,-0.01876783821704877,0.18096690491286324,0.04247631003741298,0.04573788547322196,0.1378867897524276,0.04526998758991947,0.10127401843376319,0.13156094389632733,-0.03431499086373316
MIA,0.08787729021258706,0.1255798738109783,-0.00223652695222447,0.05259623078866432,0.006693041853663001,0.009019578475067635,0.025065142245127795,0.08584175529009432,0.11767792866626502,0.02087060592715542,-0.03667609197942891,,0.0037643290262758464,0.07262335311138579,0.1311639390182628,0.023316451007540078,-0.04930310208556766,0.043614707947857094,0.13868798962397333,0.10293910229814947,0.10067762815274262,-0.03177428444725097,,0.05029721429080292,0.13771387813529393
