,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.058684445549854344,,,,,,,,,,-0.03050024254159322,
BMP1,0.014298099138257735,-0.011844680312499354,0.07089334743653972,0.04667495530192462,0.02706002635772356,0.00924395101008883,-0.012001577490245583,0.10513661337090664,0.16255586921358242,0.0702917247624996,0.0006976315661822382,0.07967004527516543,-0.023078625437446414,-0.032266483918377886,0.00027109498408553793,0.10262976851349065,-0.0055555406047051335,0.02707215955276584,0.018094169887332423,0.04288124129906155
NDP,0.04389638576411584,-0.019192329021037596,0.031963160875188724,0.049902258549096586,-0.005853405671348925,0.015036151517517377,-0.04008035577732398,-0.006051659931048052,0.04838862811292828,-0.06215818886501898,-0.01816563604528014,0.02580077518388623,-0.007914391891476948,0.05972616605635541,-0.06970522611563724,0.03272203519688094,0.0381949613196679,0.06853154577015062,0.01593200512899513,-0.0368271809925172
TNFSF18,0.0009371939605879235,-0.02385247199570372,0.0012549307278169838,0.007021291608217576,,,,-0.016407533595588813,0.11288328455974866,0.05952576988494844,,,0.02994520393807949,,0.06370635861138646,,,,-0.0026775680969080206,-0.032022996016005625
IL36G,,,,,,,,,,,,0.04829307490071841,,,,,,,,
RTN4,0.02711473038585631,0.06986707728433052,0.05092660785139402,-0.00781444839652409,-0.029388391090190424,-0.0015630219019888542,-0.0479705169429277,-0.10305214015863357,-0.1978794928225333,-0.11875407717615064,-0.004573234641029614,-0.10887198051230657,-0.014449597073335697,-0.04517375344541576,-0.0950334072553641,0.010740292772477492,-0.09438775359192206,-0.007081607125271984,-0.04076671778370499,-0.016491525298035777
HEBP1,-0.06670819123174783,0.05766874613990428,0.010375532762612613,0.04123974273073889,0.09396060688512267,0.0110178816063879,-0.01211021080216307,0.045113763596207765,0.07624946508514618,0.006775915271224002,-0.0056142676736273215,0.002654553237805,0.06226667823875337,0.091126448285985,-0.0723303044919309,0.025126588784657115,0.07356170230179941,-0.03132666000574117,0.05135970397687857,0.017115229012880196
WNT7B,-0.018635841005200295,0.0004992713836708244,0.06757103707605644,0.043234901372917627,-0.005799235917475082,0.028738220962384754,-0.029102815056012584,0.031897591981952585,-0.05269583633676661,-0.029177525007455248,0.0269677817912378,-0.03673900151617488,0.03884433998524777,-0.021522054762514328,,-0.06423008752003534,-0.038831668366598675,-0.04244814670175472,0.021108375060952325,-0.0625179965206241
PTMA,-0.052521588217485864,-0.011692411866778971,0.060494519113378054,0.008267202417324626,-0.03452796672085742,0.010880246224235642,-0.030437212804567345,0.15027190451238487,-0.09213997639915826,-0.020873235087336472,0.07060014208420118,0.12140512131272485,-0.02938604421129912,-0.06656874917679546,0.1139371355421442,0.05584011852192944,-0.05435811477664531,-0.020496863672933456,-0.035118388082668386,0.006706116423728348
FASLG,-0.018635846273504803,,,,,,,,,,,,,,,,,,-0.026452849951015704,
CEACAM1,-0.025876035645858858,,0.03885713590709772,0.0048505355661794605,,0.03560606074802712,-0.01477731533271364,,0.06006273737236446,-0.011791255098138807,,,,0.04961169658833034,0.04017708672741781,-0.023590017300737648,-0.0003088256960876736,-0.013814386966955288,-0.013804234459587832,
PDAP1,0.017739158438716783,-0.026498903376835577,0.10788275760756628,-0.03304292411214604,0.0772799979948941,-0.008631299413098866,0.012883100189710563,0.055322929029103865,0.17379724899351062,0.01708841025049451,0.057119288156962156,0.06447849091334702,0.09741828518297503,-0.026347091918879698,-0.025961889414813765,0.01757153851378852,-0.02759447446134929,-0.00934478590105894,0.03687744667421311,0.018614248725796968
