,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.0006998180904514533,,,,,,,-0.026033764304616146,,-0.01969160372505749,
BMP1,0.07306415034549914,0.01874570245906658,0.03925756539614173,-0.056016376696053735,-0.007323355826767429,0.06812303295048092,-0.025493013282173044,-0.035250887153601584,0.03244766031181021,-0.016234778098670546,0.021572705597367434,0.06473150024540715,0.013603092219532814,-0.030946865278554562,0.06184453170019276,-0.0005938316307002533
NDP,0.06355304987004494,-0.030704675442253186,0.005724827206951281,0.07010517352017666,0.032795129041244674,0.04778678902144985,0.003668012441609724,-0.01963036954348114,-0.050603457876555236,0.048733519533540104,0.040838835474055306,0.014863522637316029,0.06592946748476283,0.03242632151467146,0.025699877764891067,0.036746798805157146
TNFSF18,-0.021966314376598833,-0.024921962379962255,,,-0.011440818869320357,0.027915186149980547,-0.016401180443842506,,,,0.019173109167965878,-0.013104497233615503,-0.02684816160442515,,0.07549163507684813,0.02082367468760537
IL36G,,,,,,,,,,-0.01647848613794291,,,,,,
RTN4,-0.009103953322874938,0.013773101470771359,0.004575248120713764,0.06137690165463891,0.045822625512867164,-0.016849364937638944,0.01536448623662701,0.017772689543245124,0.01933004342727064,0.0018219600652403382,-0.029876706706732956,0.03284662293840887,-0.052733538312017006,0.01429294573560267,0.01744288042373166,-0.08767055206563049
HEBP1,0.033698550086355035,0.016107026108325585,-0.002043580321040859,0.03047524287819113,-0.019242553627169135,0.05810993182554848,0.01711460021700026,0.028434180581515242,0.018194749530026224,-0.005229652706274683,-0.01129849576581443,0.03486254063870614,0.08121373810983312,-0.01836820519648125,0.024166785647191113,-0.024717776926777926
WNT7B,0.08812965686589166,-0.015480750480589375,-0.010352553169386228,-0.025770682585357328,0.045416150181842585,0.006001749909228646,-0.04701245699470207,0.03602940490286479,,0.01900916731895509,-0.03271640317528018,,-0.005755927377334976,0.0074297556389757305,0.016281781317401656,0.0025881942414469747
PTMA,-0.03418792661954283,0.061410558399192114,0.030589880418781176,-0.09489972206390937,-0.006713252060676732,-0.012033534273762756,-0.011189249767587846,0.029051011963582913,0.0784037417994761,-0.013612556676150902,-0.10010947510212298,-0.07180562486498615,-0.0013319095738890977,0.050503140503349545,-0.014632400516355143,0.007576226988815654
FASLG,,,,,,,,,,,,,,,0.041586283872977,
