,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.12016719697840846,0.08001704092289598,0.20583584927211612,0.01296198315314132,0.1511265925511538,0.021376393257651505,0.04997619320925645,-0.10751132924493212,-0.07785399462270386,0.05686368312555989,0.005281978690769605,-0.02291495330186408,-0.18335719501795458,-0.03153591446667254,0.11392466333131951,0.15241957011211227,0.1136932173891638,0.01612113140004861,0.10166914601650653,0.16488183006534532,-0.23140653919065973,-0.028822382298492304,-0.09640552481443211,0.10661966486453893,-0.03317022989976854,0.009668160323607912
RARRES2,-0.31444915741787594,0.06905888491495119,-0.023390115349159784,-0.022031189865154004,-0.044747738116356704,0.05857999409746592,-0.09077198211868158,0.13194081172932867,0.1314580262610042,0.0386565205180304,0.04625833686780233,0.17025022789921818,0.031308770642338835,0.129516291197824,-0.010685340130990638,0.05344713128486089,-0.1454975763714095,-0.009792827873556542,-0.007061853281734621,-0.07820967831217199,0.10464065002673072,-0.030168846706972452,0.09466762945029898,0.07133864795375956,-0.06105409826278238,-0.06325062045803401
SEMA4A,-0.045652714384363496,0.001450046593239719,0.03220427611857379,0.017026036707739577,0.08215611459178748,0.05913390025949264,0.05921202504122177,-0.1558933469414527,-0.17971295345731664,0.0010329716062100482,0.03450219633351187,-0.23777367948463926,0.06109048848502612,-0.13974798577176328,-0.047984007603081365,-0.003773871915940393,0.06904849524297654,0.04516713435040554,0.08866135176727366,0.09632293526819147,-0.08644494118008372,-0.058498317094130746,-0.000512895623247398,0.12144892875004722,0.06643668979946019,-0.0007552188447566281
GDF11,-0.05245400751121405,0.0802311690411477,0.03309767752070905,0.03166204292417784,0.1735449175865398,-0.044365128460228644,-0.014002651613202835,0.18977317818669165,0.040996129799115766,0.016195843987247258,0.00013034528030079513,-0.015209041626680181,0.0702308237546588,0.19589428072285414,-0.1091462838800721,-0.02619058314118488,0.07499938295563581,0.039535973409824635,0.034059214348872865,0.052132452542386735,-0.01910169984239378,0.06780958880013073,0.047889629712720705,0.1739751886595343,0.017188801877268206,0.05506898325808443
GPC3,-0.04884226450884914,-0.01596769292202908,0.019010937787504106,-0.07790073575963079,0.11180054326389986,0.045173400169311505,0.05250597226897107,0.27477527395296464,0.0312765093264162,-0.034472340198980746,0.02773910425095672,0.042417635580989356,0.044641744303776744,,0.05281947164931948,,-0.0712363742032564,-0.03213252779064475,0.0903243582341037,0.23493986923329863,-0.13085104240739315,-0.016085908948255283,,0.17389713761539727,0.001337762416470553,
OSTN,,,,,0.03231365780964697,0.056056095449955004,0.04093686858255146,,-0.0602774511819049,0.0008822951872734266,-0.028306061069351487,,,,,,,,,,0.013246021602000056,,,,0.051895209693597094,
GRN,0.23874049474922843,0.060498849577845085,0.20118381431491714,0.04013564517477538,0.18649700416253678,0.005641899081631849,0.04446287451889321,0.20630070214804574,0.21582295919225827,-0.031292300868094265,0.021096102363166835,0.2946091023220037,0.045946450605372426,-0.047192310205527874,-0.012025094338874373,0.05682100158832515,0.1438352067813273,0.021366037196708557,0.07598176917981787,0.08596011249360443,-0.21204142931182995,0.12070940682588223,0.11740469303679708,0.1259901720611403,0.033459319476659914,0.09944092307515413
CALM1,-0.09947137745929971,0.159640312032002,-3.58270006905072e-05,0.028896922525661974,0.07998131699711063,0.03300521386652351,0.11356658154896507,-0.3255018727715201,-0.18293798680638512,0.009467257627761645,0.05397333291055845,-0.4915496150026103,0.12900171459048027,-0.13155986912610237,-0.11218946534048733,-0.06625183356081502,0.10060743431993881,0.0753216028798005,-0.029304016484126165,0.00466725923971596,0.07633663073752965,0.027912072740436705,-0.07524646002766884,0.08903074462517634,0.16395665619968594,-0.16565126512136064
ANGPTL4,0.047823947482099685,-0.16337690557129184,-0.09843534114333627,-0.015562665176632141,-0.2727501072462255,-0.1014654737322406,-0.06437702791548228,-0.002341594825521057,-0.09503349808160519,-0.094222059749668,0.05396732319861015,0.15519302720488784,-0.19714142042591334,-0.08513218859465696,0.052693572305256245,-0.08747866300061125,-0.07316289531475477,-0.21515757647088307,-0.033263957025482994,-0.19069910515109859,0.03526562714851153,-0.046862309797415645,-0.0043267475283577965,0.07666532685040242,-0.1113868182900292,0.13783975607776003
BMP8B,0.021719221220869927,-0.04118760345952448,0.07156679130185549,0.06964866650948794,0.033553845675996084,0.12478220309625673,0.013161963822208234,0.24350243352569403,0.062209752370147274,0.042339759876290746,0.014524168924311185,0.24244769436432456,0.004153824059579783,0.09912042468971453,-0.036979048670348735,0.01202252000928636,-0.00764011374743584,0.06777240522532821,0.003668045441778594,0.0832821168771573,0.041372735945195006,-0.03888098920756875,0.11604815683531516,0.17332378928513936,0.028546536531120683,0.041895577654621485
TNFSF4,-0.02672536037386191,-0.009430689623124116,-0.03690018646483633,0.026177709928851583,-0.002919914063615357,0.022376420944008567,0.04323167733299978,-0.0014923671556332531,0.0008169040041162165,0.01735222612802771,0.008388104403610557,0.06853583270982173,0.03735890597898017,0.06587324808019024,-0.04734156459022052,0.007618228074594001,-0.0387010492342786,0.03822398495082589,0.01620969621447075,0.10658552516500047,-0.06255982481995606,-0.018645637994307702,,0.12967488665121946,0.006903255843300561,0.027455644928386376
RBP4,,0.026782208311878147,0.030190853226537653,-0.003215423625205526,-0.0063701587050710535,0.04199963490724203,0.02418993484003165,-0.13003657846612593,-0.2249335604281188,-0.07451009891630148,-0.059159114193949994,-0.2703900311389,0.018504456434799504,-0.2541341543509111,-0.02788007374415871,0.018925121150813812,,0.002348837715051588,0.1501345804362662,0.16827303751529812,-0.03501828036633147,0.11332624270137237,-0.10520411792441488,0.0361452951604403,0.04756218666349836,-0.04725371894568899
DKK3,0.035984526676401486,0.16742851247431836,0.13713178004414214,0.05528845729083936,0.14408660743435794,-0.012000406096815056,0.11471964910426416,-0.31722429157311216,-0.3435520586571378,-0.10226297307427006,-0.04586704151435546,-0.45113736802864024,0.064781979013092,-0.12821158969067203,0.08519003862563969,0.05581561074916529,0.11885106023738513,0.07914805160504945,0.1352958436167433,0.1675115443823747,-0.05990607641468008,0.04555216212127162,-0.10518931950482698,0.13828761921730798,0.10974154505422029,-0.18196846990755294
COL11A1,0.11332531634095248,,0.031044183033245982,-0.06452416879166832,0.013182926044846206,0.01339705793266671,0.020346217438411907,0.30653169743629144,0.006038959582949042,0.02199202919318329,-0.009289868573125599,-0.07339048619009841,-0.03753000021038848,0.10822700426679403,0.045964326211617675,0.006716619856081089,,0.09357054099250674,0.02870203379067851,0.07423795826794205,-0.0167060854010505,0.0055139374630919615,,0.11054080317680037,-0.022987611092205065,-0.18503051144928115
