,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
DCN,0.01860243206090263,-0.012734303579857213,-0.009008121115809677,0.01796442018876087,-0.021262445724881018,0.07513940102872017,-0.019342555636433036,-0.015204198102101022,0.013381663523185155,-0.013834566435169412,-0.0876145632708143,0.002156822820266797,0.012264462274395696,0.04476669777520864,0.03138308529887109,0.01267420009345517,-0.011688511487351942
RARRES2,0.03955033365773163,0.035297968429604774,0.022649531912452593,-0.04442915966859427,-0.03252838860263272,0.05048244824459706,-0.0282431373915301,-0.029993395575824127,0.024929902045009153,-0.00046528710780404184,-0.05356854182775765,-0.030668454521372478,-0.004394284578991548,-0.048888035179297525,-0.06018774657269735,-0.05953331726883448,-0.007649616200777453
SEMA4A,0.08126573614545503,-0.025406616502883672,-0.015459928679055412,-0.028835365590436722,0.016704825197465436,-0.021767367264772373,-0.06014865105345663,-0.004627013354518267,-0.028598677652191883,-0.012035564604349463,-0.05277444655843625,-0.0023345397146289372,0.1399225829597697,-0.0057192305849935845,0.05499157835566263,-0.017686252586849,0.09917592755277606
GDF11,0.08327940009446214,-0.0019358861128961657,0.034590564896727946,0.01004267401162265,0.05633403632004824,0.046234920946985045,0.04167808090239495,-0.007101512361732369,-0.06613684602138913,-0.020266288266735967,-0.08904831222775897,0.012064251683681597,0.08509472199522727,0.04860680154691649,-0.02659030771061541,0.05360475724106059,0.03291778072276971
GPC3,-0.0006434867493233722,0.025456210291330605,-0.01570314990009882,-0.021431718107757954,-0.00011912790650377807,0.055410799247767255,-0.02238412329886966,-4.972714307305516e-05,0.09513697789286292,,,-0.05437046248098978,-0.023482650075228456,0.018416055498064743,0.09842242956205399,0.053681209886334194,-0.0058563095634130155
OSTN,,,,0.015218244021235772,,-0.018699062134424644,-0.009752902207079547,0.0020160239047796063,,,,,,,,,
GRN,-0.04204928483206439,-0.047401172074282204,0.045637994967677946,0.03225740997439506,-0.02413784281411043,0.05442006189307689,0.001361942544788048,0.08112734985342542,0.036744696777409505,0.03260612645193564,-0.04618107056220399,0.029406222916377935,0.09427828272863452,0.013164540647470666,-0.06496953989265904,0.04657355860931247,0.06007360055828142
CALM1,0.09430742335273248,0.07623184807079274,-0.04082896657151406,0.03906451353779763,0.021737836670963743,-0.06247578976207534,0.04527498042954091,-0.024585688894043136,-0.05908778588693814,-0.016802175006345843,-0.009376177378606935,-0.08143089294198473,-0.011802249904031347,-0.04017195125560668,0.040947728743823825,0.01668539387858184,0.046325303086288176
ANGPTL4,-0.09881300729517478,-0.029804183381744943,-0.038847730860499634,0.0132355644102538,-0.07414966295328579,-0.05679671802093385,0.02781387559110823,0.02266696162422346,0.055061666084238084,-0.017317027535167707,-0.055032827483245055,0.05658141504930846,0.047623513680804655,-0.05135126620940927,-0.13322846272547667,0.01298847959070134,0.047955482540126604
BMP8B,0.006030396892167275,0.021299754720721226,-0.014836016019138816,-0.02116592878534613,-0.03418614677340215,-0.027166318937812187,-0.031223940522046113,0.022427905191250968,-0.027474115191989768,0.02807747452218105,-0.11294600858240816,-0.02109469857347518,0.08524842611629875,0.022926031062944524,-0.06325215511234895,-0.010528066900273806,0.11251256615557995
