,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.05497978314659439,0.04739611324625496,0.16268240848733137,-0.012619463758578534,0.05103997995760516,0.16706676272609702,0.016924165885019018,0.2739347481859512,0.11083800474639101,-0.017947059955171714,0.049747294914710326,0.04034567597395353,0.044287056714549695,0.051505670201426615,0.1542000477915724,0.058136097580605804,0.12998815525559454,0.15779823615627092,0.1641112666673724,0.10925119576935795,0.1573087022234903,0.17930258860073828,0.18738391840505672,-0.03167979033443165
RARRES2,-0.0006455517524781474,0.06822010911224735,-0.014829618266590011,0.004192065697164214,-0.02257467949341914,-0.051362497524315626,-0.05845553347158558,0.32369739096172584,0.04207161748860801,0.01143559107572326,-0.01452583210768672,0.10341562965976175,-0.08556058626017783,-0.024256107384143463,-0.03447334081900605,-0.062461584513940335,-0.008142697803992457,-0.023954499204080108,-0.0004020743626036825,0.0668108574523654,0.09554609101237754,-0.023002463412421025,-0.029073856609831212,0.001547500279013038
SEMA4A,-0.03984246209552518,0.03394020979968573,-0.025401824690748344,0.026409525076756167,-0.044809324092939105,0.06973905695489495,0.05202865079456798,-0.048408603687131055,0.06634540759117456,-0.060637787357123614,0.09270226685132125,0.07066838674833394,0.10611052056323607,0.07132499501780833,-0.11313951531956272,0.03081597491193086,0.01585175720871609,0.08114482693568774,0.07028113879327676,-0.039596888632032715,-0.04926401558650445,0.1045394121777677,-0.026809719517230105,-0.016118629365063166
GDF11,0.008727381093719669,0.03275392808639305,0.058153398738602036,-0.03348851560745793,-0.01140980495292241,0.00012614393597238255,-0.004930014654208904,0.2166537900441058,-0.014857017958889862,0.02460308314639102,0.10344977775165527,0.0698214356714876,-0.05557208629763208,0.07672398656557944,0.0928374815785355,-0.01030137144366953,-0.005746561985025449,0.07123526512000233,-0.0456584686143801,-0.011684290253561278,-0.012835897051442864,0.17987297924270715,0.0559533445383244,-0.06734495141044565
GPC3,0.023983362414753556,-0.03960646265812559,0.08227671803294727,0.041544016127061725,-0.014478711880983293,-0.014935644442375226,0.004022640456976776,0.036371904500643114,0.039026499739028817,0.02048678034199533,-0.0470615051232587,-0.022334952575008647,,0.024959088929156843,,-0.0586600451920603,0.08804498686634342,0.07401620064514537,0.050336588245122334,0.09050584262354819,0.013418242016251962,0.24180459808061674,0.12263562061274337,
OSTN,,,,,0.05622426605399467,-0.03444087803047541,,-0.08434379196193377,-0.02060514423859794,0.06229339442155246,,,,,,,,,,0.017895976536748126,,,0.10179223709646103,
GRN,-0.0807902628936077,-0.03933876800996031,0.14114170869299472,0.0445328243153741,0.02230314344508121,0.024534460664683556,-0.05704311276576391,0.25014812278657594,0.04247761192457422,-0.005542184118529028,-0.10769594296484537,0.02968444216123832,0.035645295936912194,0.06446593068576197,0.06972724197011732,0.16364820694535562,0.10494380118717701,0.12065058426965439,0.053783582921605226,0.050474622828318785,0.12622198293719272,0.18058789652181526,0.04958816233570004,-0.13586173845501986
CALM1,0.06353545836255634,0.10932194626629393,-0.09243307388123254,0.004108917122678488,-0.049283890347797586,0.124716274646302,0.081328379774864,-0.30912408804465125,0.04160763250757566,0.005606696270007856,0.18183596453962814,0.01984956322503361,0.1960005851074586,0.10225909028138296,-0.09192680261188342,0.04067728257252407,0.06109338163996691,-0.017612857664786055,-0.038071007262066615,-0.038533002568081634,-0.08501746348298603,0.016057473844166635,-0.12168697882254736,0.1210788508841552
ANGPTL4,0.03486919450636619,-0.08336152104080016,0.028888831978349665,-0.012733043231050858,0.024989441253866894,-0.07805204390140513,0.04430620500602875,0.024887561666214048,-0.012519618876615492,-0.00592029382948507,0.024872361628437804,-0.05453749626059301,-0.088015770765258,0.0425204679613264,-0.09381780479004584,-0.02900325446192225,0.060247515170618035,-0.057241691628147726,0.02627912441260157,0.0527679287339255,0.07576157568584213,0.23739219896357944,0.04786368645165871,0.08246254746027751
BMP8B,-0.01756418085167732,0.0690390335923369,0.05469451838873821,-0.05279560808455188,-0.0013782799672524778,-0.01944929305277115,0.024007004615188877,0.0016064132291348499,0.012531530868840558,0.0268684864700894,-0.032452837559541134,0.0394640540111357,-0.033799082006086244,-0.003938989988769821,0.12578216146863144,0.020303587678362794,0.009888895408867799,0.08558726495359203,0.02837630259881794,0.07910962209231376,0.02032284068316497,0.2618589240287664,0.015863024853207144,0.05806473757946328
