,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.06801987774596581,-0.048659577564578615,0.062790077987681,0.027603848092594654,0.03262712387411782,0.03737982015554238,0.04219840520548922,0.2134295576748055,-0.008649802269416518,0.08650243707560584,-0.13632441447748672,-0.014463011029360536,0.011797591666762515,0.09550927021493934,-0.017585543097655587,-0.021879810575098625,-0.00029015483500925167,0.04415647384735337,0.11616746378972848,0.02781521854264236,-0.0972225651952927,-0.052791566274375125
RARRES2,-0.0055863998398647885,-0.07333808139878865,-0.09147563325994804,0.004311213580296321,-0.08710722830412505,-0.006573420130789538,0.04674073219301422,0.212099160996216,0.022105356647131768,-0.04110467273537854,-0.07463086433242135,0.069654225381787,-0.05101568953908995,-0.005996278640946967,0.08560385213668166,-0.021402737791762515,-0.01866201737200534,0.023551607560905866,-0.05475022944580162,-0.026470221375736368,0.006108269880997349,0.014818640366140496
SEMA4A,0.015172841848023963,-0.0297189046353429,0.03566183791673728,-0.03463320012250325,0.001281604066661549,0.09027674596701087,0.028542826104830433,-0.06151712528617673,-0.025950488834942984,-0.01598918746835771,0.04250335261762741,-0.03555757257611875,-0.06442173750734834,0.031115980180154858,-0.033108939748833874,0.06170846370491503,0.054504764324910845,0.05762979741315095,-0.03893453970217746,-0.018948807355902098,0.06179093126121643,-0.01896222239331884
GDF11,-0.01093567576132028,0.06257912775935037,0.062459886538017116,0.0400388743333396,0.04164996251523381,0.01897379194549219,-0.0189619313897652,0.16133466052070158,0.023325435497114015,-0.013425169539239662,0.08167706195379151,0.03980414984574707,0.04204290319797674,-0.05550849801591949,0.013414161741720153,0.09930269184907271,0.015645435058705897,-0.007895033087840536,0.02508447603955688,-0.025637134787396525,0.08892284428055011,0.0031517304955547107
GPC3,0.029089564427017767,0.02979796137442566,0.06080414495626163,-0.03948055457339709,0.012072535235307236,-0.02040736359794673,0.01976381578132037,0.14842582747434022,-0.0025230258133583337,0.07179608029286585,0.13131675816845856,,-0.004986321758040763,,-0.05799994909833426,-0.03180782342119372,-0.002635555823610458,0.02646747150672036,0.07903173617957884,0.008139109820973213,0.09381339381946534,0.04290270462406706
OSTN,,,,,-0.018774377367607113,-0.024298400504354355,0.00284953019339516,-0.040916931409765905,-0.050210649743080184,-0.03053214670991374,,,,,,,,,0.005730139462827333,,,0.0013284416816550608
GRN,0.060655990085405155,-0.002678625744281582,0.17445279199181998,0.058166251567569376,-0.00370580393678769,0.010962620725930733,-0.04078371941052728,0.15736723728945679,-0.00040509361216531224,0.002662567660986936,0.04696232451367807,-0.013145884941756688,0.11441703999081322,0.0008828381990779582,0.1344483514351925,0.03564352231406568,-0.02918130801258521,0.0607714582274048,0.1782594279502484,-0.004867083473562886,-0.02749283075803232,-0.0772930756973187
CALM1,0.010935454220654358,-0.1310894413509332,0.019942638197005255,-0.017086712492392634,-0.0291026878120235,-0.00602627902281614,0.061625086617597316,-0.21280956719017433,-0.021542662129418324,-0.02688374646657487,0.03549598078088071,-0.02768694361528891,0.09123447503698594,-0.13109812792413883,0.05025933213498867,0.02239215758288317,0.03316193029381781,-0.06579943589734247,-0.03532920436921585,0.024393264993192235,0.051149344904173145,-0.11817460385835654
ANGPTL4,0.05032083923655847,0.11579040233491737,0.02472438325691115,-0.023457940595466246,0.00967513311256282,-0.019267354992434392,0.01182840141107971,0.04866065417825666,-0.028633773353148605,-0.06151978327333547,-0.17367084936475788,0.009212694133744748,0.061739592373898616,-0.026476020778498522,0.044067537083476084,0.07791733527433237,-0.0471764668386644,-0.04233594852629772,0.03674471333411768,-0.03464935655076243,0.0795970953249573,0.002555848051513735
BMP8B,0.003086035829697816,0.07852889028805181,0.01961581067020443,-0.005571407828505318,0.027874928094451176,-0.023161876234290075,-0.0305734202247736,-0.008319989329638802,-0.0014182954073497563,-0.01646748174089706,0.030982929647014604,0.08684662607867519,0.14128696834692392,0.05565759198771677,-0.05246919185803345,0.05077579230353992,-0.005988149509072433,0.012866805711000606,0.09533865032095226,0.026792381119071455,0.05627008930028928,-0.058753221014720074
