,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.007010654364849935,0.06909344240222758,0.06690948884663832,-0.014609735348862772,0.046573826529797115,0.033710236550118615,-0.024366962286296766,-0.028895079608651314,0.11919282161430303,0.004231542808945118,-0.02910486871238691,-0.06343036787462925,-0.04170259025661395,0.004834885179767899,0.07472843802739715,-0.047349398040941466,-0.006601474955099344,0.056495888605351825,0.017100362373884768,0.01965737374156384,-0.0517997838868593,0.012597745582890337,-0.020102754642820395,-0.06651477208747225,0.04470881503465135,0.002495643783565622
RARRES2,0.12700729631852714,-0.06683175018165455,-0.08554634028770021,-0.009205050817106998,-0.02747376111728173,0.018333903442988627,0.04673987576722071,-0.0020788722803531945,0.19255627055702124,0.042659201998174474,0.04310481772437764,0.006004730400183316,-0.01443297547781411,0.12012768204802488,0.08262988659913599,0.09969815086865222,0.060781607637333306,0.15448571230787028,0.016799580685903214,0.0727449213258379,0.04438966113919207,-0.009446784836927485,0.02806618442679334,0.0820374777563958,0.012742820756682746,0.07250131531297128
SEMA4A,0.05269665848430836,-0.03723260419405817,0.05043109700787695,0.03731177845005899,-0.01192035978133732,0.02990753771192351,-0.07394505847656173,-0.02852366135019769,-0.10403516985974398,0.026385619777166722,-0.047231269186377364,-0.02015299561743864,0.02652493002856417,-0.08344067713277802,0.026672789296992894,0.003330957047611314,0.09945915026323539,0.006224783853571496,0.0656957786663387,-0.03474771922124002,0.002171255809745622,0.041397687561339505,0.12688679679869583,0.07038688964260822,0.02633860623352171,0.030100234189576892
GDF11,0.055844111942071756,-0.0009331821762213994,0.035491860317052454,-0.006189855320427159,0.10312575607609509,-0.01337846761672416,0.002111006206017075,0.09172328119041663,0.15099876785420688,0.013412922405728958,0.0363257040294876,0.08035887094318886,0.10430316857002159,0.06617139450659468,0.10333080205395812,0.026401912383464246,-0.037572407972963844,0.015033941307223998,-0.012639997560128307,0.013784652816903126,-0.037505657301483086,-0.003614534321527924,0.007724417370853773,0.0651820281901743,0.04146527701351119,-0.07391268970113825
GPC3,0.00947538457779405,0.0034194515466207057,0.04403658495845788,-0.05785934506299722,-0.0059556470917415645,0.038982210444980396,0.028030139846832045,0.203268313192789,0.024611862685433583,0.011329052718879119,0.0023236155790943365,-0.036776519199920324,0.01104083164120972,,-0.011828342125879916,,-0.02683243285578206,0.027905578675840058,0.030011128201649518,0.030202691004993655,-0.0284599560246837,0.017319950037756847,,0.10276154157746506,0.10520839042630073,
OSTN,,,,,-0.06758800513754118,0.009506431481379876,0.03780071643023702,,-0.046114874653474074,0.032226633713653655,0.03094985421084419,,,,,,,,,,-0.07377738837529535,,,,0.05148141782431222,
GRN,-0.10254751006030376,0.0711699477372495,0.07169385009040627,0.002709460760183313,0.11068950099387895,0.019105998942561406,-0.02386247174964226,0.07850874939345064,0.18754518551547825,-0.04476603987075002,-0.004101700525969184,0.044567095171681455,0.06083583218875557,0.010312093815076978,0.008741492022521918,0.07345865447838101,0.03400780717941484,0.07175212389213614,0.004989108637627358,-0.004896758214901031,-0.021296304458849093,-0.08852233516498612,-0.02204888777626162,0.04499810442574054,-0.039734763907913064,0.023114319172476964
CALM1,0.08917381819569861,-0.017128198003131204,-0.03701254649498472,0.012207153017580154,0.007446112179921034,-0.020600942779398723,-0.0692882661239126,-0.10099797260859444,-0.17693946178246334,0.02572735882601883,0.007326458149417651,-0.08516589429883073,0.003369514284971024,-0.2024766160427209,0.018028846813614385,-0.12234517093000029,0.02372784602477623,-0.08097168768513634,-0.04142514499920863,0.08308156432028448,0.014186728688767625,0.051611394549052954,0.11019824759188074,0.12103371593205761,-0.12447606843921392,0.08209860424431906
ANGPTL4,0.002674610246378005,0.02042906188594315,-0.013592713276513752,0.04679303983460482,0.03544999172713892,0.0262964200263368,0.04494544214816438,0.029229898699645356,0.002607308196781505,-0.035255170080550347,-0.01456398809727531,0.011172189227279966,-0.11835467245779571,0.14367498322397745,0.09374559401268034,0.049200882760256096,0.014945363296306857,0.14084075090770187,0.03339329166925484,0.03731430964609233,0.005042113071736746,0.019320613099983654,0.011534550154645357,0.031272001100673616,0.11647640097500384,-0.0058834836942678465
BMP8B,0.01807752805283756,-0.056138048251512786,0.06156061892353347,0.0010239593520174435,0.0626598338741778,-0.07422995504672127,0.0796821061178852,0.045109282402256735,-0.009633917882229172,0.020716698970990547,0.04247195168142756,0.002434801597776025,-0.06225358275573159,0.018154538184238136,0.02507555919397125,0.045856101574401766,0.0825763704131386,-0.0071810322433002735,0.19866957968674545,0.09110687670538678,-0.02197125163180704,0.02864045466851165,0.07400511632541526,0.09388090082646826,0.03265821183717301,0.09184416749566786
TNFSF4,0.09766817340302324,-0.010589634022099425,0.0045901904820580906,-0.05414696407909126,0.03288255648639257,0.037004940003980635,-5.238511611212192e-05,0.016842597272109506,0.03896105716889205,0.02042306338599002,0.022939187932698845,-0.03387188902881311,0.03883661895421648,0.00010439771000105123,0.048117187812975366,-0.07432268148417089,0.009900593790018059,-0.018717422933464366,0.02503374603940123,0.042267442755986144,-0.013243613797267304,-0.0015004002272753655,,0.08915247417764904,0.1770601982027145,0.10401646659720831
RBP4,,0.0014152937892730443,0.053604615169833954,-0.026517818279520662,-0.05410110682519748,-0.03365956474192376,-0.030540304668050123,-0.029930149124715734,-0.0973898810133031,0.018155509861807625,-0.05572328949275391,0.0133142421476891,0.013777393288107136,-0.10913897221029761,0.09526257292896403,0.08608682624967808,,0.1090913608432729,0.0793469408493611,0.07885444823679891,0.015355518797904984,0.07859883744635987,0.14961834309156147,0.07025965915366063,-0.04735702424529911,-0.03628968224388843
DKK3,0.029610902767746184,-0.016181813101686506,0.021697979587942822,-0.021528797035623146,0.04330528217889795,-0.08559664337992935,-0.022216462285938755,-0.16374568404907666,-0.19278091326049884,0.007110147586221163,-0.06563733729763709,-0.07264563203636969,0.005607657426054703,-0.20144545058964963,0.05285014525053784,-0.07161582547473293,-0.044840655389609796,0.04960692774946285,0.04659602100839647,-0.06655086045979028,-0.08942116188595373,-0.0560687560204557,0.019321356250823398,0.037880724487114235,-0.10180641563184493,0.027247477376722045
COL11A1,-0.04761170140654676,,0.035391132731077225,0.017902779822016067,0.150029216699075,0.009009869702067125,0.024081763661847975,0.13233343468448877,-0.06472416410393222,-0.009060701092987544,0.03804884220230335,-0.012621201579409665,-0.02791934021230622,0.06141019247196907,0.001199785570716322,-0.02644387936846464,,0.012648470827019071,0.08217313784417311,0.06197712597432673,0.0042813119223025385,-0.010102835787758748,,0.09120253213178986,0.12228443099602858,-0.057144896396388783
COL5A1,0.0007870827379286277,0.08228993066659793,0.002798699746850775,0.00025110775175256903,0.002064728001754633,0.011760759606295636,-0.005312708288008998,0.02233384187927988,0.0853792978030776,-0.059560856861900636,0.03326499508389826,-0.07912849424684816,-0.0036618081627349656,0.13884431411663364,0.06939519074722089,-0.0307086633728955,0.06566422753180072,0.21951140408884143,0.021144427627893942,0.047557450949641,0.030412408640233955,-0.021226049218540304,-0.07135815053387076,0.012917021465192028,0.10389731574761546,-0.08985465999930975
KISS1,,,,0.04427038731706306,,-0.007896656979759265,,,,,,,,-0.004925132412950116,,0.06871708960226912,,,-0.003680070839472338,0.020902186596541722,,0.008304429276530809,,,,
MEGF10,0.04197334823616486,-0.043079124710352,0.0013722010714180288,0.006645380113738682,0.06600208673160507,-0.007752022602519171,0.022730881258781345,0.09349952730195814,-0.0011744067129107175,0.03055963206533291,-0.02812929211575776,0.13672549755279587,0.052493451759632714,0.011459211779563688,0.11424095753186247,-0.055182928898522554,-0.013478617186075889,0.028265117421370188,0.06158834749062585,-0.0024275335965583474,-0.06541255366063276,-0.012937057031180884,0.06127682157506943,0.0673830692031383,0.012181597145103735,-0.03889961435347326
CEACAM1,-0.02971147147395146,,0.028569996483448653,-0.0002852146623878914,,-0.006410238718823208,0.035638552235371185,,0.005763426934598697,0.003319629109810584,,,,,,0.020618259055131326,-0.0046616993112815865,0.08054580583592194,-0.023675467803310247,0.019387084607426563,0.007049326222110551,-0.036704976879893436,,-0.007038815572192199,,
EFEMP2,-0.015350384061256701,0.005732129725105275,0.08772479096245474,0.016119279280898086,-0.005097824354065311,-0.02999079678545155,0.042871609286762105,0.05122843281992119,0.15735941605101608,0.005314533947799532,-0.0011725455581308448,0.040336828353593625,0.029625377616892747,0.10253482190863618,0.07880845180446551,0.06827618144601799,-0.13221924700799548,0.041644799654650566,0.12562340444407608,0.01404125965920368,-0.04768946661707109,-0.019998716027991813,0.023000614038250575,0.029905814879759067,0.023909746984554957,0.07693774146145974
IGF1,-0.03978167796841891,-0.048503848166384624,0.03550214558760955,0.01506433740295878,-0.05678915736553232,0.0015100085599810352,-0.03779440720138329,0.03615477329033674,0.01066848946920892,-0.0009850101581114963,-0.004233852453227301,0.014861131442195462,0.0007462680736114763,-0.06200611107721852,-0.017923170754811008,-0.040234975866837046,0.04846159193269269,0.009424175295321385,-0.003462861383328378,-0.010810181809441946,0.010162659107905954,-0.01879154008075712,0.013149317996680987,0.07725374150714323,0.03171787794822031,0.08630922534832958
COL6A3,-0.006201425432409251,0.09533250260212894,0.03556444749934211,0.009214344432669302,0.04618917061243561,0.025189544531517317,-0.0013934453754000365,0.049118575938908254,-0.016574448180057193,-0.07235765771318631,-0.009635150264163297,0.052704599719579096,0.012781302198029799,0.05683397092746687,0.021813321643607612,-0.007244405950152026,-0.042248858511304145,0.05896820004140192,0.02044701806541376,0.054379220940479325,0.022929797332614226,0.011239162722188487,0.047080291119083705,0.04517276081307284,0.14097390411904787,-0.02860002309571701
RLN2,,,,-0.019880116294523003,0.039018087972259516,0.049778306158172,-0.008309322437816825,0.07401387562686484,0.0039527696758125215,-0.014688911204115168,0.025396080048445742,0.09116802542198578,,0.05735903922783462,,0.050352326410385576,,,0.07205222385016072,,-0.022977703798584093,0.008200540367870443,,0.015575134088191778,-0.03382202189538585,
WIF1,,-0.03154674297152097,0.03469709311636124,,0.00606666805919649,,0.01851160631476794,-0.09324821954877484,-0.1113148039907117,-0.01979545517794301,0.004629007418745107,-0.02092453701616761,,-0.058756949411462436,,,,,,,,-0.009855513367154956,-0.04552709569389526,,-0.028885294947405785,-0.029413052431954717
IL13,,,,,,,,,0.10316330715827465,,,,,0.11357095783907906,,-0.035206997853785976,,,,,,,,,,
PLAU,0.06692880544878044,-0.012511485844110607,0.07888231110452144,0.022191814353645152,-0.04676038075964078,0.025758961961708963,0.07283967893782863,0.07737748307708854,0.14590249078696926,-0.030840713423367368,0.05261884975654404,-0.009853084563546671,0.13635798213196756,0.1552125333724657,0.09110427290046896,0.05058413443231112,0.0017391065044779829,0.09345485516543514,0.005533022749136871,-0.02813671725550237,0.06452710180842303,0.07832199647868314,0.03234966769799381,0.12758720379410596,0.12325227282230233,-0.012047548746844517
CXCL12,0.07121589420702212,-0.020812256002420922,0.05366584736956319,0.08647862904576063,0.02812215939495357,-0.05812975708063192,-0.012379733360850631,0.04708467076693891,0.06941569234589084,0.02931558737448978,-0.005869735455752772,-0.0821172317045425,0.13233019078152744,-0.018289038900770008,0.03115880045144194,0.0035345072452356,-0.07069017683673809,0.08984892727029843,-0.03502658217722001,0.04983221189188414,0.0467919180884367,0.0026149054546600755,0.019936712840067525,0.023784391812871463,0.060022955871853745,0.11857053562374782
MMP9,0.058921172370001475,-0.0647180573602651,0.04128686236423042,-0.004766405602178323,-0.009357375859162907,-0.03322086808204492,0.01941357011939718,0.061419134788448196,0.1421872964982436,0.011774748411313235,,-0.0006723142518285792,0.10361538881488058,0.007621957654752982,0.060261537061610984,-0.030487171586477613,-0.01045158419829864,0.09181698036973776,0.023935808193938705,0.03424147709592059,0.02735499187938463,0.02601664626520845,,0.008424862597203375,0.032620450299991666,
TNFSF14,0.016668824408074805,-0.025494754251965727,0.012479901838452061,0.06719034212059212,-0.02075680776133521,0.03690492240970592,-0.03693618707571493,,0.03456312069066774,-0.004867391674182653,0.004604905541737588,0.10800008586948794,,,0.06923104213155233,-0.025370680153318743,,0.021745824855981904,0.03981840612377878,0.0006004875462328904,-0.08055631764459813,-0.007949327142237431,-0.0036466964378622435,0.0415565658664174,0.002385401069583705,0.09368952534190728
