,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.021522916888057818,0.053274273785180196,0.2552545446494602,0.03650048480178877,0.09795684129261437,0.04787656612482859,0.018400573272880874,-0.18444966667611282,0.16389893827653676,0.03605699239133642,0.034443591790631015,0.0760041197504524,-0.0860454496366772,-0.0206015146214322,-0.010478285422796123,0.045400501703681234,-0.006212636080502884,0.03494908058910612,0.07108792219746896,0.044609050826013276,0.10869408995120715,0.020898858787488775,-0.01666196675003637,0.034189506462167646,0.0047655426154637895,0.05021429242178417
RARRES2,0.12836331733872472,0.07124440604966478,-0.008976095601517046,0.11864266725607463,-0.05564596367356638,0.013363431994159902,-0.06003732495283168,0.13921884856701547,0.1676176634051536,0.013660091360393567,0.0029152325880793827,-0.002582150767397601,0.11896195034698928,0.0900005552367798,-0.015705142164736115,0.0695582907852908,-0.01885633941148991,0.10979651606247288,-0.0056977977251699,-0.03265733723771291,-0.09681545848061274,-0.02794369565242565,0.04745263656427279,0.05682460219810231,0.04923006273791807,0.0478517357161642
SEMA4A,0.03139277600927634,0.08785588096281996,0.009161162473815364,-0.012210457411866,0.03722294089747859,0.05145811454772152,-0.024940022763180192,-0.14554907435929476,-0.028901533190664186,0.00792216010416145,0.004426345587819011,0.060926973698473406,0.031322810305071586,-0.061672981217632025,-0.015917812056612777,-0.07644191079682836,-0.001084190374021609,0.03994166172367891,0.026738646317412126,-0.008355693972353804,0.08899849997702142,-0.00874286094474926,0.07893006373712406,0.009640105595996663,-0.025640413086847703,0.00014717432088037592
GDF11,0.016724099708656653,0.013014458067238988,0.14910287187512378,0.038334617705472494,0.20603653232170943,-0.014174085568573233,0.021241201181790917,0.1727189750025947,0.21532318178933907,0.021523417888959676,-0.008623044175152798,0.07599166235787387,-0.002217625759222041,0.07715115792136751,0.01428643420657808,0.007339624036991479,0.06506065740651652,0.14814651228558,0.060300540856820094,0.07632486231723368,0.07922814751877603,0.014987058646985808,-0.0037932101272834906,-6.0414984127377295e-05,-0.021863549086917025,-0.01144881399326931
GPC3,0.0426330554099359,-0.04339034218580033,0.030975811852209708,0.0004968537506515969,0.09222190412491646,-0.002739866179880401,0.017576406189996993,0.2790196616343349,0.022097053757895627,-0.030437337902835846,-0.016107959057188148,-0.02805654523375248,1.7446765755219744e-05,,0.012914321631844168,,0.00779081304325933,0.06583833240294225,0.0605573729488775,0.06888949420759986,0.043056838125424116,0.051367935642416526,,0.09799332739504514,0.06254779771543499,
OSTN,,,,,0.02019484693411552,0.0010493208022284827,0.03998623760403357,,-0.02741385274050454,0.06295945342322268,0.03269944219709656,,,,,,,,,,0.04185352203587353,,,,0.015362635432799747,
GRN,-0.06464897163812978,0.03569066532275109,0.1262434324595285,-0.021797036237593444,0.17818467108451963,-0.009153129851872143,0.01237605862150154,0.19114914252708465,0.16407051792282268,0.04515821993232678,0.030904537687811054,-0.07096993694752028,0.0917556259912113,0.03063351520007031,0.04809954635081452,0.04091690297828888,0.09316738188085825,0.1146768194642619,0.15281363484651583,0.05953908977215284,0.12617935216487047,-0.012320600064413236,0.05737093185897097,-0.029748025213824147,-0.009245750697895436,-0.046187647866600026
CALM1,0.03839763990779122,0.1264166654125578,0.06974093795765542,-0.0323907550154784,0.000817522496686803,0.13137658270575314,0.062086135628616076,-0.2730288648639177,-0.12119871953390396,0.05298516538690024,-0.00405658788550934,0.086684336523585,0.0586839682147322,-0.02400323142717583,0.0175957291922956,0.005359804720539528,0.0560577447020359,-0.11246562082725813,0.0018280164618688529,0.03611214908988996,-0.03116675623551071,-0.024025101078228406,-0.08482886703130232,0.11760633502628844,-0.11627626578876273,0.06687206428485482
ANGPTL4,-0.00537467518563562,-0.12087803890704912,-0.1940301717353868,0.018189711863107992,-0.284790493884967,-0.1348337052486434,-0.11056659373792803,0.033092939751419866,-0.027749891464634264,-0.10756610472560306,0.004864704785836813,0.03284035948674102,-0.16587380508893157,-0.08886817306794541,-0.05349875853373241,-0.05191624957955356,-0.08522453262544569,0.15971608656994118,-0.030327762085431913,-0.08826589014896043,-0.03255749996432821,0.03191316047193362,-0.05796350046845877,-0.09088872189995517,0.06558141255677936,-0.1359229260952732
BMP8B,-0.04801122574177136,0.018741949830578055,0.1188449054897003,0.03415221413936338,0.05811092156593039,0.01801804902877612,0.05527564082581915,0.2415963106004138,0.05261093308969177,-0.012574207828877356,0.04460903827197733,0.0073376615244956115,0.02934802564547582,0.019845135160017784,0.028291594333431615,0.06587472203828056,0.05790430172806196,0.05408073811087574,0.05175024186428808,-0.04121994101440508,-0.05518532492555777,0.029514870641294353,0.019609542456902055,-0.004251247107999567,0.030924382026900208,0.035500136940760284
TNFSF4,0.05295564799268736,-0.041146926633343406,0.05636151888585399,-0.03191633012014999,-0.029426301747791633,-0.03930180742719678,0.02327905583923042,0.011864723651109695,0.009193952573655625,-0.052587501609400435,-0.04335150384340119,0.01593930148793034,0.16469635134992833,0.029501421442306677,0.0033823407154473578,0.020769754253909572,0.10435156817681031,-0.006221166612771334,-0.001108271567655208,0.056465150807273996,0.000825602559567357,0.045236002019917856,,0.016358859544226476,0.0714902763445924,-0.08077260169537753
