,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.01001368623565626,0.057344696206024955,0.033012553043594586,0.013070623797067594,0.004232385341554594,-0.061077435863316216,-0.015691856835791197,-0.07559227573073196,0.263298843588844,0.04832431743385899,-0.0029430818183067975,-0.031791498918186875,-0.0726218716102573,-0.02780256157065331,0.07709143230385261,-0.11551872029637097,0.03276565524106178,0.08568958510290627,0.04328538205910507,0.019994445526713728,-0.006353820539267035,0.0163235415440149,7.384156037048493e-05,-0.11804071029246783,-0.045251857780506305,-0.06054817076626221
RARRES2,0.17579785594520467,-0.003340840950020119,0.04650620646182325,0.05035827909733303,0.026760981802840814,-0.01964095171650908,0.04314818173499304,0.02971516871458502,0.3533831487726657,-0.060094751355148614,-0.04953137439326827,0.010692417683789038,-0.05009948850835135,0.07979385712658052,-0.02619728099289316,0.0017398588697877478,-0.11441065912616893,0.1108689158728161,0.010360318605116346,0.10321193632139326,0.010548504992677229,0.018145071599085266,0.1114241084001988,0.03297169822229066,0.1497371180909866,0.09012312004515885
SEMA4A,0.053342121550036155,0.0011356192283212415,-0.025420165773844625,-0.006468206035329126,0.05747885235485118,-0.022487421878007865,-0.018591309126469162,-0.023897714591455413,-0.0769299644339092,0.012071695245167777,0.022022636795503165,-0.1173243345266506,0.039002361441240245,-0.0614891036061958,0.01683771722793109,0.04814484922577061,-0.00941945708728278,0.029570658864216077,0.09379513520672307,0.0620845305651158,0.012128667048194514,-0.020042829978813164,-0.0601921088338502,0.029636754291053887,-0.10042124881429028,0.028256245119675616
GDF11,0.027853068385411413,0.047601495202710606,0.010057983564399796,-0.00887862304247268,0.10461734662010513,-0.02124292244671952,0.053706560531365834,0.08093441627252297,0.17948158338129777,0.033159489784815456,0.0112275952496922,0.044182359151915616,0.09212059743265358,0.10345326275912589,0.021430888509133755,-0.08412197961565494,-0.021420918966563736,0.05472824717247122,0.047707257718014096,-0.015300289487698739,0.03861846373930853,-0.015382709906470327,0.06672648077884627,0.08635085661641163,0.08210288085664601,0.05386733328272239
GPC3,0.046183500505049525,0.023969269709429548,0.06455704204874713,0.002255391177197373,0.015074452938415493,0.008555305747346979,0.002551075519199115,0.1834898705856758,0.07593682417981606,-0.0011743377058504318,0.03793795300708572,0.07485895521183543,0.10489290489297264,,-0.01473932809942463,,-0.06964818351826861,0.03334144299430148,0.02871333395603714,0.03959655694336959,0.05016073130402524,0.0951263640924745,,0.018081338887406893,0.019928216384816646,
OSTN,,,,,0.013016730491880499,-0.016645412955718905,0.009709690162898044,,-0.06288936932947557,0.0030264292422650502,0.011141706112599518,,,,,,,,,,0.05472599790986525,,,,0.044114926908818124,
GRN,-0.10726461415493033,0.06370016027370856,0.06414140991686892,0.06171948375920387,0.12281198454238329,-0.04792762074360709,0.00867096151356473,-0.008939206496841061,0.26142650560711034,0.00533566761209076,0.012239589390411752,0.07786878897815797,-0.052842621131895744,0.03717009003737044,0.15432893344976484,-0.13763039559508913,0.034785036605194664,0.08782029740338967,0.052681948755587835,0.00942584375127988,0.13226497396240355,0.005438696403266282,0.0916102661973431,-0.07401047104608333,-0.05174196641553075,0.020338490537128773
CALM1,0.05028070901875927,0.0394220451196599,0.00306465041115478,0.0021368425314174,0.009093664932724009,-0.037356145662483874,-0.05758756366299386,-0.11277838633037957,-0.32588545029859783,-0.04968560663050395,0.04601793853110439,-0.07058757098808588,0.08477583971589986,-0.08943348016855904,0.060964363901694935,0.025864053957753916,0.006349089480898626,-0.014341462473594557,-0.04848524501489628,0.01953360979795348,0.05390805919600384,0.005006228248399541,-0.1204314304466946,0.12005404398132938,-0.159726832440292,0.07942971034062586
ANGPTL4,0.007778420015317926,-0.003652952506593611,-0.032546863050210456,-0.040831731984930474,-0.17899170705517034,0.04211161754543535,-0.06616118139009022,0.032777899317797,-0.021246186284403768,0.01713040756796679,0.03368426508994971,0.008759330280127792,-0.09114327948329257,0.023632191275633093,0.04545228109591449,0.06749288386055499,-0.10448438819682222,0.08331931801025211,-0.015311993494823716,0.025302772659655443,-0.06138591442241606,0.0244213595444743,0.0189319324901635,0.09764340978575893,0.19762683983658458,0.051490055069957234
BMP8B,-0.020548070783618387,-0.005259844292414791,-0.016242319302341594,0.001200278348304748,0.06776078222854501,-0.03563174133810049,0.06849839205875159,0.09072867753857515,0.00778882483539102,-0.013253623297355216,0.0035749999171265025,0.010201910801082945,0.018933648777387294,0.04457872893071928,0.03175601779236193,-0.044369963850799554,0.08061189076579088,0.08198305473839847,0.046342568748830366,0.015676356647949814,-0.0044710826649480935,-0.0045471499996629465,0.008004298620672853,0.03742551796330981,-0.015895996685015436,-0.014030162782414328
TNFSF4,0.08233529450415104,0.06137289504524011,-0.05880119709903043,0.04233547716581507,-0.007170992792900706,-0.04885525761758123,-0.007739571610365198,0.029977572465480093,0.06089862673665892,0.01372053218137791,0.03555459272448095,0.10267475842335316,0.024352398413747568,0.030925668745126807,-0.07158010636981627,-0.12104783606182254,-0.045048853167264626,0.035322288590621614,0.017444033336455767,0.007541262828252221,-0.024460175746664817,-0.03141773827545642,,0.0454288969520056,0.10310348975036968,0.012705377267637109
RBP4,,0.04017266138891655,0.06846686718588095,-0.011323737120173396,0.00844904468620306,-0.010579711448621878,-0.046959832336554846,-0.013852806754385822,-0.19784723349853833,-0.055839243114866044,0.04929832341015573,-0.011238205230569079,0.027957969467328942,-0.10698461707532528,-0.005932566238978091,-0.04594927021490758,,0.01088543599844162,0.03554626048621544,-0.009014161824893965,-0.03958895441944767,0.029195050210905744,0.17766766637951606,0.06233254819306523,-0.011574456671693253,-0.013134741535436834
DKK3,-0.09289845913890975,0.043065483796939814,0.05163638931063435,-0.02446331820172411,0.11989403379825056,-0.019291059877970168,0.023109926404351794,-0.1538325580158812,-0.29789808997002876,-0.015945666931235298,0.0034240324153819515,-0.08812124858604055,-0.09988812217754478,-0.12784101445867707,0.18132688464549107,-0.06242985367515343,-0.005704464183784985,0.02939872054377792,0.027415605142112456,-0.05850096509947521,0.1072680772289044,-0.04313705385037755,0.0942951595166491,0.023285456600203376,-0.20705464211799487,0.053953974592254164
COL11A1,-0.0023957636042054625,,-0.010797315067680032,-0.022808082174066567,0.02481487315217694,0.012993003889359448,0.05604147333037301,0.15082737064565999,-0.052632709323969254,0.0344101390300547,-0.005793298779326629,-0.06050229527293092,-0.024297721512973436,0.028707668595814823,0.04017689907754483,0.052058967348721626,,-0.01113160581393662,0.06933048600423401,0.022027521756943762,-0.01548777663551138,0.047773444361469755,,0.053015316957644505,0.14355246839915292,0.023840100630399392
COL5A1,-0.001961598413246064,0.0378580082033441,-0.038649958383300674,-0.04833456835350849,-0.025345658803815035,-0.011585445192195364,-0.06322727582406829,0.1522130617686807,0.14820244912562705,0.08368213145808223,-0.008535627207407871,-0.0032534696750794742,-0.05486001287502712,0.02868272859355587,0.05361461007605774,-0.020607661404627192,0.04847594227523148,0.12138948074346713,0.05136264379892589,0.015540973758311384,0.07849354445592575,0.0772568687922517,-0.007719045311828177,-0.05198791875573279,0.09982980392366163,0.003394681204232889
KISS1,,,,-0.08048547920316906,,0.05935874014866661,,,,,,,,0.04044577999722562,,-0.015279944096166604,,,0.028995273321099586,-0.0017688427264150352,,-0.07381884969677108,,,,
MEGF10,-0.04119377782763452,-0.015990877168684386,-0.025887478071495183,0.0676414965785479,0.07669509125674737,0.0017870638039042942,0.08408923667679528,0.08247045685147765,0.009564584097229024,-0.0677436444308589,-0.016292788816614286,0.08881532993321474,0.02818108759937196,0.026552310269493073,-0.03489320738549023,-0.04621782006133828,0.020085379831725626,-0.03790647264271819,0.08862412856938155,-0.016990871838465735,0.06757793624960866,0.0024483168125569044,0.02722142088322398,0.0869599064861894,-0.013423471884504904,0.10386608502566452
CEACAM1,0.014642446673075658,,0.014352709307052002,0.00022838477607883665,,-0.024497851891038428,0.015326399965542276,,0.1197370869519883,0.06759066460120056,,,,,,-0.007251456227112122,-0.020139474032765888,0.04579923341536378,0.01723688253269987,0.035937468491406235,0.04047959586128587,0.04672387229331706,,0.041443927399803814,,
EFEMP2,0.04990452877353762,0.1361691146657522,-0.06335503516996821,-0.013990135718821304,-0.03101108319629159,0.009298862077254834,0.042817921924499604,0.08341374699425878,0.34109470682447557,0.06082472906902604,0.016186662271611897,0.05300659806988919,-0.05476285553109256,0.12827623760355966,0.11902609101915591,-0.00201337874881475,-0.05575549200654965,0.03589204255297726,-0.03083289487962105,0.07201551216744385,0.0903463204622517,0.07112105672981096,0.0982373948661774,-0.008379532738411561,0.17076665623055315,0.05637346237744855
IGF1,-0.04155307840142367,0.03542551170323233,0.02361602073677551,0.04815523997560067,0.05398037612686345,0.020184220420755686,0.00926595990385981,9.513767398857762e-05,-0.044603733987683004,-0.03958476979370536,-0.07485382074944512,-0.022011309791805378,0.07174447956855853,0.017365714583385587,0.03229756297855164,-0.0881300397457936,0.0033906258662834143,-0.01717221392577114,0.03090713530232694,0.014517804213411945,0.02676178024415971,-0.017515311392048937,-0.0052241841191958665,0.08272968811247568,0.013762740635462394,0.05437796386966163
COL6A3,0.0054884158247602895,0.015526950031645443,0.0034737074366775716,0.03962287191273734,-0.06448114244962473,0.008703312895274769,0.01181428269236026,0.01335703784645305,-0.023419509090266168,0.010124875213757616,0.025923312337131146,-0.02827277755868271,0.017134629840110313,0.008403349393658109,0.026568762903332745,-0.04491740353323933,0.04312347698175362,0.04186009914377162,0.035617470120383604,0.04572412185568632,0.03132239104248249,-0.004817141555263714,0.06890115593227665,-0.0018235439156508134,0.05491241805547222,0.015007692679173219
RLN2,,,,0.061880104409451124,-0.054212356964483815,-0.043036343783087926,0.02467709888472343,0.07967555974811635,-0.029194578949476937,0.004242668014195735,0.011730853060008296,-0.0458085846409505,,0.005265876003498922,,-0.0673495818342224,,,0.03283195311164847,,0.04740734035427743,0.011922879117574127,,0.02332534011241175,0.007760649660509662,
WIF1,,-0.07787966458254371,-0.0024549660327044336,,-0.061987231321565105,,0.016492046151837376,-0.12492589321189591,-0.20077951281747597,-0.04710555457993097,-0.017659656422658005,-0.0798646266632021,,-0.20007756774824165,,,,,,,,-0.033990186804053885,-0.0422582994214034,,0.11176006847462648,-0.04059722798428338
IL13,,,,,,,,,-0.02446715275149172,,,,,-0.053735844451690565,,-0.01950123749693634,,,,,,,,,,
PLAU,0.05889725135669554,0.08597522304254814,-0.014988363244002836,0.08349036960979704,0.03772859790518813,0.0008412647679400708,0.01137643401595344,0.09254292761152683,0.29751924177387856,0.10479908129005237,0.022417434192656963,0.028043664177454332,0.09888464661092791,0.166547165171581,0.031766799846250866,0.021015240102252294,0.04335561701690349,0.0875324751458657,0.035267943073961965,0.008891851484988361,0.04133081287337947,0.11322296930526692,0.06278988270577128,0.08381192428871037,0.11411323593090388,-0.00460735269723766
CXCL12,0.02068744729262157,-0.018234918396249123,0.0031356548535274894,0.03690468421419753,0.04133731048818491,0.0027536591688857542,-0.054385700755862076,0.09529068149035087,0.01793404991900782,-0.043375628466513355,-0.01681056377410944,0.023172917599239666,0.0791520722260423,0.019415527671439115,0.01154131804157515,-0.1485051969288553,0.05353752751081515,0.014686758604565154,0.017149653437043916,0.10645539449313847,-0.0916634072696366,0.05671743019077439,0.04999744185009344,-0.053644789360604475,-0.06112984833651306,0.06969170964955418
MMP9,0.013832575408661943,-0.007621012181660109,0.012180703149771193,0.007981334335184541,-0.10480471027439286,-0.046265119344564266,0.002190195766360335,0.12020681817419748,0.21731185824857194,-0.009070024987975135,,0.014877338156094048,0.17328014667806665,0.0513964182486663,0.039740823621080786,-0.048641412059688645,0.06941982423892398,0.07534313793368531,0.0434403486493822,0.09447747847569384,0.0459722586407891,0.05158877394076983,,-0.038232771495730664,0.006943569662725638,
TNFSF14,-0.021366537377257806,0.0799605087337739,-0.011774867646920567,-0.02583346251739932,0.048467371830151186,0.037208496468613614,-0.029564163372595514,,0.06582501307081819,0.011812533977950346,-0.06888865742303736,0.0894349093941301,,,-0.009878496078900394,-0.03343049247037567,,0.04490619925092625,0.015384925366943284,0.015035894232280824,0.08692766307756186,-0.0245595978939561,0.016202952910255048,0.03467938356368739,0.04432052478912473,-0.0016526470941948994
HBEGF,-0.0018049423185605535,0.023659965747695823,0.013903209966410328,-0.041950249704336626,-0.04699597937196216,0.0615233960187875,0.04843428843123803,0.14129374953705737,0.14951866359032798,0.09890571706788014,0.005783642064645518,0.09321653538826757,0.10545642668130577,0.049592339373056266,0.047183895415214776,0.0831667103749567,-0.023237110081650813,0.039069921507311395,0.051709231318793965,0.058251169603546045,0.025984170416634395,-0.02649817140482838,0.09587329266284525,0.07549524400576649,0.20746583409242345,0.0028179682698397223
NUCB2,-0.009014299231175627,-0.0253213767318593,-0.013307607137963822,-0.023106783902338644,-0.01793545526323677,0.060080233719764044,-0.03507478557262921,0.008354034566726695,0.14504568389340786,0.01197556624834143,-0.002323800020255818,0.00013956296971403526,0.055411344389017896,0.04587392105540125,0.043678348089403726,0.04788632331153272,-0.03314847482897401,0.1309398971515307,-0.0052915057652447315,-0.01507322659458459,-0.01949405123914256,-3.709595390134057e-05,0.11052655135189077,0.023159941207774745,0.00381003247808533,-0.020094941122417154
VCAN,0.020561545535888737,0.07386837029716109,-0.03509166322775595,-0.057505983929790776,0.11698740290636979,-0.02786565156701578,0.10327288397013543,0.19933612504776158,0.26246962062751555,-0.0008459629125450894,-0.004711156154693178,0.007863193467885835,0.10815028287183491,0.19871430209116034,0.028654286349892567,-0.14209355615071423,0.062266326466576115,-0.004959152387711492,0.004479734137449297,-0.05143258642547152,-0.09121741307069575,0.07243111896954589,0.09514701721131014,-0.06268073130143542,0.17452922619617284,0.03413083033496937
VEGFC,-0.034188097838665825,-0.01076394758963266,-0.029094184999041067,-0.011520851881798189,0.028137663805221026,-0.017118643839875162,-0.04671913481415086,0.008675141180075998,0.010730235864490291,-0.004269767982076735,0.053767010082761454,0.05784595517894133,-0.007569963759465976,0.019130185265724083,0.06751672619773483,-0.057450722143139434,0.003923674600108968,-0.013792468878835291,0.02013416062123512,0.05954349134630699,0.04674707171410911,0.01385613824341201,,0.07425374561480036,0.07963733726140478,
LMAN1,0.07563687619059575,-0.041040572195616014,0.02942561046448475,-0.0009427793890622771,-0.13179167733633557,0.03273602000588219,0.05317431678682335,0.12511126182828877,0.26353561881487875,0.04101275226034624,0.00426129667558443,-0.04087057422676957,-0.002388181239491793,0.029200598978962045,0.13298789916791415,-0.06552118459988802,-0.06746168841535086,0.07789390389336766,0.012862871219156281,0.035165814540120376,0.01309063171079129,0.03770411130277378,0.022840469112857135,0.044972267810063,0.06463959825150455,0.016225272889511044
IRAK4,0.04041866157193646,0.09492059027665159,0.07730604594568535,0.07816888397615762,0.03010906521675903,-0.06040050283573309,0.06195266399159727,0.07441405087006482,0.21961770945541895,0.08326570902956294,0.037656797797746354,0.041197374909622574,0.07733894639628597,0.08682242881671735,0.12725605514518404,0.024694821414918505,0.11974988864930687,0.09707044843544801,0.09152698745375634,-0.030163065604557268,0.052587031327266165,0.04518146212570394,0.018469721138568266,0.1133663883809962,0.14309784528254327,-0.06645360351954657
MICB,0.03168102902375855,0.02942637868877769,0.015914519706690722,0.02178677657483803,0.09127227443919445,-0.022241844898689463,0.0809750190421152,-0.004421447909594544,0.12202691028287693,0.00045739908178455573,-0.004630647735085991,0.10491731239885274,0.02852091834529412,0.004215986314077438,0.01143064828346815,-0.012545345070300008,0.09717927436526634,-0.02019374500290793,0.05884369999836095,0.04206507627881293,0.05423778663051095,-0.008809235916957328,,0.03653459377867221,0.05323493970672185,0.011333786497567088
COL1A2,0.0012024410734134754,0.11309543644139032,0.01908278488178119,0.06158347373500721,0.024287409149160825,-0.023894480574772788,0.04637579420461731,0.08603741606663969,0.3123823849964866,0.032823144746883526,0.007766529129876471,0.023973298614591906,-0.059213062817891966,0.09608286206025657,0.11794199890448709,-0.09991763524218346,0.17419615767820412,0.07256367454607131,0.016185442659055475,0.038539574691122805,0.06628413908886449,0.04174417431968708,0.04051951024734241,-0.1375050605444942,-0.03434710641196184,-0.021184136462559094
ICOSLG,0.0014108111511425146,0.06746101881227645,0.01752051806455758,-0.010078228381480231,0.044256644217980624,0.004115685290894418,0.06117095810526999,0.15118177609278297,0.1614713446931447,0.011251751155984792,-0.033710102027970736,0.06811360261050611,0.09045493641794342,0.11913163640226912,0.03941149448807972,0.011241946349069658,0.10470050419942936,0.04756825521196707,0.08178446955618869,0.11742818716162959,0.048073859110963575,0.0013062440674556518,-0.021256379053297084,0.07377116314658148,0.06500780560445862,0.08526825698789148
GNAS,0.09140610797718413,0.04365706223086745,0.04079475792665803,-0.05229511130644243,-0.0638035448116979,-0.034972026014240855,0.0027210456708614233,-0.08454286779584455,-0.22938248810187728,-0.0012312245020134548,0.024858679046650758,-0.12752995875975093,-0.07769653478862909,0.05276180678591449,0.11854724182600931,0.06442090252273867,-0.014887848070357186,-0.029094957964389462,-0.08970254093297478,0.03647075909790279,0.13653549157319944,0.001446969463874173,-0.06869041315318786,0.05201294541192468,-0.13906444167381438,0.08650389969200117
C4B,,0.030109256662568792,,-0.036436926912563554,,0.002576295783970051,,,,0.042086152704767454,,,-0.0341378314408677,0.06572636712633688,0.015575845037720125,-0.03401494083367602,,,,,-0.0544279295572821,0.020914083952084783,0.0465773851792976,0.05405089248667304,,
COL2A1,-0.039178997843392,-0.010811262325413724,0.059615826017588774,,,,-0.06416796396740593,0.04616017700375191,0.033957824411941846,,,,,-0.030331852958441746,,,,,0.044052235488850865,-0.0015733159735193578,,0.038240429417844106,,-0.01961926404602147,0.05789188843741601,
GSTM2,0.008311558827534923,0.013753237731723333,0.008061137772277304,-0.06133030436326372,0.06765438939018752,-0.0038327701397217993,-0.024432323903269642,0.03776330135426326,0.11709568508878433,0.09072465552749052,-0.0015196162998606258,0.031012671258327056,0.01849804560934311,0.026634211816165564,0.03104022057500312,0.028122741623061956,-0.07188625132868515,0.08720401111716891,0.039576570988227956,0.04280781395342963,-0.015493063467638249,-0.008337403937889995,0.12024075367007282,0.09118815276672126,-0.039108799854939855,
NLGN1,0.04939115312855183,0.17444336689345183,0.028633869580843723,0.0016544459432305486,0.04520419671049461,-0.019070194349404945,0.004509039972238838,0.11840999257981764,0.2081011328752383,-0.02417596326660016,0.062497094853644665,-0.06693864845635641,0.07616699099563712,0.05730697087632436,0.08630411876415382,-0.03990337579699288,-0.007791028945855659,0.06640256205446592,-0.026839282646069672,0.00898395722557484,0.03562175795828024,0.07932737373158481,0.12889976243480372,0.13791847708302893,0.09258662718176386,0.08885814255567852
SCGB3A2,,,0.009875265756854955,,,,,,,,,,,-0.0034765960380183955,-0.009385425680163558,,,,-0.014423243766289055,0.029733495236484067,,0.018182802026886335,,0.0635721368849445,-0.05305160127328191,
LEFTY2,0.07128221960342405,0.06486069054644837,0.06649498093156614,-0.024446217976719885,0.07478923476938228,0.016500635079824688,0.0813362906075607,0.07122141931287675,0.2575174618059573,0.03710542055300177,0.01690461991365788,0.04279196985869744,-0.024618351989150106,0.029960874332253733,0.12227447705672685,-0.0826914484600835,,0.08083170046705938,0.05586519369198504,0.02872894758336028,0.10743135275389364,-0.03392344974920486,-0.03450359766392275,0.08024367483812447,0.05046201569509759,
ACE,0.06267820797346439,-0.02508963639825603,0.010391532978642235,0.03462193862022486,0.04411490270261657,-0.005031724049783839,0.00919687581848314,0.0994536248824428,0.20876058703443676,-0.0032826835595821955,0.018889033480256806,-0.04159447112873143,0.14731083140374204,0.03358511244322736,0.15717369922052146,-0.06112218074169324,0.03539249087842327,0.1126954880997203,0.052116515195439625,0.028797644778748847,0.06016302693365733,0.008798512840086321,,0.03614442303376876,-0.10250364309691123,-0.09987971848842846
RPH3A,0.12071876854281091,0.04224905883530467,0.03362122206642421,0.007337115743689006,0.04277174489470607,-0.03821105653111067,0.0034945270541675887,-0.0473621181921721,-0.06937730828286119,-0.0483847520172268,-0.005381738753853488,-0.07810766170096906,,0.03269534009186082,0.03939527075969457,-0.04384505659372108,,0.05745461587027639,0.03952908302261929,0.03319635603627546,0.04336098334729783,0.05464382643017815,0.09473346223256318,0.08964399441384477,-0.10255893674153627,0.0417472892342865
NCAM1,0.003384165357329264,0.06176140959768623,0.022190931058659366,-0.00975181866522975,0.07865126266908756,-0.011943119423888137,0.05582818674285968,0.017102968240764838,-0.10636046078200989,-0.007543684397486086,0.06830126526335148,0.001138823550485048,0.05001125554913518,0.05093932394084056,-0.045527362193745265,0.006141779912123022,-0.05272543178373403,-0.09393925239821431,-0.11526454811582457,-0.012424917143523072,-0.07005905001337545,-0.006735945279161294,-0.04040752614473062,0.0568489601481457,-0.16494089034995274,0.09698995564539507
GIP,,,,,,,,,,,,,0.0845148708023385,,,,,,,,,,,,,
EFNB2,-0.020329231670448086,0.08045739477742644,0.04177987900381931,0.017550201470846877,0.14171997488557464,0.006162850683953474,-0.029353032613130714,0.062106286936913176,0.054581425736208285,0.051861765191840846,0.029880037032343234,0.022217765380401107,0.11295274479586825,0.03326025505750267,0.1142935022943628,0.11156544870043504,0.1332178234577264,0.11225387360112475,-0.05260664702996933,0.062241141370292526,0.031764092955150036,-0.016421256746068324,-0.014139415613458566,0.14370483759469055,0.1367170616087742,-0.10196399230963839
ICAM5,,-0.04618546062640501,0.042972303664107814,-0.027241406759157344,0.013658852366243321,-0.0037204474686796554,-0.03155277647179433,0.026005622182829504,-0.10221805973127471,0.036575578565448214,-0.010918838655612679,-0.08697381047282507,-0.0030076427047115426,-0.0877582010467141,,,,,-0.07630992629903433,-0.0020269505827145346,,-0.006039494535641963,0.055069598600847806,0.01024052133573259,0.004238470975977263,-0.026340679956582153
CCL5,-0.016880625347087785,0.025883248606265997,0.03389024944301395,0.02395633666317758,,0.0955590287417686,0.005078356319568905,0.01990484322476693,0.12397294378067639,-0.03545936119000264,-0.006572239712570486,0.06303011690088832,0.07037764507940296,0.007358290431029791,0.1223939001505401,-0.08787582568971165,-0.010789059688280528,-0.004296769400454674,0.03406307420604949,0.007060056025351639,0.08050906355974921,0.027294547164202404,0.047828699709402636,0.030262090960738286,-0.08208337884058897,
PSPN,-0.018782502097363967,0.015586605293460395,-7.134170364670867e-05,0.029003877318884038,0.02509685609602587,-0.0009814752950733896,0.009666544002493054,0.03703649174964433,0.043413057546554085,-0.011455946062423105,0.034221593441388316,-0.04681913984074852,-0.042734674303006294,0.05437583006652531,0.0038799754635072212,0.04810373655835034,0.027485122113226554,0.06616318079777873,0.04267347031608014,0.08487801942191077,0.024385778773940693,0.04934734154235441,0.013735301406067262,0.13911660083884833,0.022833764510490864,0.009470361793824024
