,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.11159115078274606,-0.014156728324190097,0.10381332673424258,-0.019643687102820738,0.05841454793939157,-0.02948225262994227,-0.036353642509002276,-0.04370781959749997,0.30188706123057574,0.10103729254854253,0.0205772834394056,-0.03849086272561293,-0.12993587672884088,-0.1190995298735601,0.004440389733317285,-0.14124747501544815,0.054453316331301696,0.06551302473879958,0.1081477848371673,0.1443666976589248,0.10112088698926087,0.053156437634911465,0.007055434178636823,-0.10653210773760118,-0.014624278228585086,0.0015313774135819642
RARRES2,0.13538023229064983,0.024924647225095055,-0.037046148633911015,0.09366405055047022,-0.013802475230084411,0.05907829241784888,0.06431466178198451,0.08935766163568153,0.4288962989213494,-0.00974230830213221,-0.021025124770811893,0.0215320306740357,-0.05067590129109524,0.22647518904201555,0.02706500679314911,0.13646353167055247,0.05279437258567927,0.15717141779994398,0.13078167041683542,0.10197431302953731,0.075300045457271,0.08486529186969172,-0.09175254687480748,0.1334298230346102,0.09637462315817154,-0.016350845757871085
SEMA4A,0.017418350202525783,-0.007277823218986437,0.016867882561525223,-0.023926696769798535,0.07456453675498567,0.007780128208423085,-0.009988354581089341,-0.12786608630427396,-0.16351308852538174,-0.037895166625310416,0.006092914559679902,-0.0818420288607405,0.0117654345005279,-0.11863160650119968,0.12203611746154144,0.027482930963119698,0.0463160459958764,0.02723010503375225,0.060399356748912364,0.13020374276333146,-0.04747598272826611,0.03464240263076567,-0.03829431041106505,0.11653103080156052,0.016808479082741568,0.12662135283837478
GDF11,0.09050085986634877,0.03463342289500996,0.11346103204103834,0.029143880116818316,0.07377177956373139,-0.028113329841871072,0.016959368424566596,0.18631924934358068,0.2590640441660551,0.017052188876754047,0.004486105220194637,0.001305757823091783,0.12578887493921195,0.16713000859336638,-0.012088524420637575,-0.037540389687532656,-0.06876598134995962,0.10754888283085752,-0.03725051727535787,-0.0055167374588934205,0.04950579749134203,-0.013990153874057555,0.10871949344400794,0.2019656294962115,0.028615373978794118,-0.10679879115613929
GPC3,-0.03326385061577496,-0.03402363167898614,0.002332282549970726,-0.024015612408093277,0.05956760807338224,-0.05558401337349012,-0.02457957905855194,0.2164905438691613,0.03015744107777588,0.006353774537808899,0.051057577854641205,-0.002160391633695249,0.052102028908707416,,-0.020482986603478127,,0.04929487896571896,0.024532113834527372,0.023943372671459903,0.08514833973545505,0.08557978626620247,0.011547943080103557,,0.13097719576801228,0.11113870368432355,
OSTN,,,,,0.011803069862719902,0.06262030222417135,0.0013145857592008795,,-0.08293266368197398,0.010218735967004074,0.016881591105213884,,,,,,,,,,0.05134815927558189,,,,0.004135170843442362,
GRN,-0.17823728170606123,0.02566154449319839,0.1536919993368673,-0.03367162774880578,0.019392432427537052,0.006283263982205349,0.07147330307400586,0.04377840030544775,0.35846017393178603,0.06347656839978198,0.01093899206815531,0.0356289321299495,0.08838592560277424,-0.02729127317152381,0.050834165404274885,0.05440201987423283,-0.04840805503975558,0.016154152020366686,0.13308436384827327,0.07969660438533366,0.10869082755108707,0.010845395730092345,-0.0016743171929525515,-0.045647434069484114,-0.06220862444686048,-0.014374374396308454
CALM1,0.0728379623933414,-0.03408035816253697,-0.04259136773123493,-0.006829954255878842,-0.008097207681324336,0.028152319555943228,-0.07817493105694215,-0.19843230456451758,-0.4116131824894579,0.015193402641851948,0.008550393388127665,-0.006566986346614691,0.04407742270281089,-0.2671303490871467,0.12780601820109813,-0.19304963177647275,-0.010230325775362831,-0.10593294496311019,-0.008785561859358984,-0.010835278620762482,-0.020506795215176666,-0.07653873013819315,-0.04960458695632498,0.19641303444182404,-0.15593910896885865,0.03507079189679094
ANGPTL4,-0.026512386220080356,0.06843143451063077,-0.077085460761956,-0.035607266792622556,-0.029006425504605575,-0.06570821027360414,0.02526466619609567,0.019059902181544793,-0.03525798115311653,-0.08949938721479817,0.07533776035569824,0.09243877954847365,-0.1125924038107926,0.19527948937250858,0.04098288256550064,0.15429995026540871,0.0029972275945612855,0.13612538846227665,0.08336766631497215,-0.04927461471440821,-0.024793379762100033,0.04188236310353122,0.011705047994199072,-0.08430089204085561,0.09000594956275428,0.01914401363956434
BMP8B,0.039358356393182775,-0.012542274093136928,0.06663047699776857,0.07647364240152091,0.06685740971053945,-0.030742439169822347,0.06453277516263908,0.12309223502868286,0.023989927201248852,0.02714553954090422,-0.003757728916300382,0.011656324957288912,0.023553363481053517,0.09828516580351136,0.06204345610362218,0.12555334303749582,-0.02612408412287623,0.12354689945319866,0.15328992785840245,0.05123493277796629,0.048610334956814126,0.051634090494178594,0.15226904291582402,-0.006055445157217241,0.024994273493843866,0.024504979758642163
