,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.011516589797777926,-0.1475487789759304,-0.16247567264866308,-0.00067902646637889,-0.07116560336080614,-0.05588552473649797,-0.1536522219673548,-0.023100560836508577,0.21429717134840012,-0.013909207689975906,0.007354432985183012,0.009976844741265511,0.042624250898081785,-0.16866343716050491,0.03355840071516504,0.08553024879196391,0.11066194007037809,-0.062364646813751645,-0.09049475579032201,0.048774340706679936,-0.037904164274106096,-0.048477097685945617,-0.08310830630300778,-0.1368941021754639,-0.10575937826032844,0.027538327607574388
RARRES2,0.26827431855292816,-0.11028918994693103,0.018173731566740643,0.09980318097235687,-0.09193430706325272,-0.09142285466472459,0.20702988805764594,0.1345056923603623,0.3588631836168302,0.012896197311861146,-0.019969730409486304,-0.06609037554473096,-0.08062392389573787,0.15702237090515245,-0.0676288896275411,-0.01642597557367428,-0.055119347689080264,0.09926773537346426,0.09365446026712611,-0.03505371904218691,-0.02516797225203724,0.008672096109949583,0.028746223812987227,0.10308273866063569,0.05753258547434397,0.24395472165618537
SEMA4A,0.09172497701984948,-0.010777275155693499,-0.003086929771329492,0.014130437170346096,-0.015138118577109352,-0.060675180030146526,-0.13734249122782885,-0.12491469553330944,-0.19243317201492624,0.005157522024466145,0.06184151407425819,0.052602934059378034,0.013212691467949912,-0.1257083974070109,0.0739878958605325,-0.08473283750510648,0.04646707165234776,-0.01514861712880283,0.0843113048409522,-0.02757483820196777,-0.09045263922290064,0.03625002958131971,-0.0319196145412285,0.015239999958194387,-0.02218934954844622,0.13930831953828726
GDF11,0.07264818554397998,-0.043918801437655294,-0.07100934312994371,0.0060008345179463655,-0.030075357540248333,-0.03139301429909741,-0.06433024504276164,0.13053768394535917,0.23352790920335892,-0.009243562538818906,0.07021162067990365,0.027599513674234997,0.04062654618654998,0.08796723932325257,0.0799390792842572,0.10495476742868493,0.04034191429979309,0.06028516218541139,0.08046782541097988,0.03993624494141171,0.06898038604113887,0.008859041795675655,-0.029692881986438303,0.10463571265544816,-0.025714979212234545,0.011489051556774892
GPC3,0.021268373082121896,-0.05018625827174749,-0.03468498205966954,-0.048002485550195394,-0.04305685395040129,-0.04735390913151861,-0.047689143575356335,0.20267353355717907,0.07022827335500188,-0.07255615390636622,-0.033502081757102696,0.013005304727105966,0.014921568831786088,,0.02280547023934433,,-0.00464191077048508,0.033063485784069625,-0.06892725452265126,0.035958972341014535,0.02146413002728832,0.04514238530342635,,0.014324814054565106,-0.09760129042962318,
OSTN,,,,,-0.00526742460556918,-0.018482001527778187,-0.005781941878665754,,-0.06575402917022291,-0.059132647937799925,0.01651935572604402,,,,,,,,,,0.07454308372803292,,,,0.05296682593336987,
GRN,-0.18448448466430242,-0.09846667844278437,-0.10257219163136033,-0.049009063887065545,-0.1508541593196943,-0.08364891053164974,-0.016317944163177566,0.11262892585358392,0.26663378982430547,-0.015806544516489787,0.021929154428644983,0.015672954087403324,0.021838610053332916,-0.06167188544393461,0.0032526956498058397,-0.08439093853722049,-0.012504660802846746,-0.07729698542143501,0.03271757605819817,0.02307129163700525,-0.025932988738545264,-0.012208127978417048,0.0045014276093676905,-0.0654918593473453,-0.04085935760913701,0.029529129464430866
CALM1,0.07262428925697686,-0.3111972432966529,-0.13170181924698962,-0.008531072316891215,-0.033666531792758046,-0.17410006513891627,-0.26294698260657734,-0.21128651796870335,-0.33780926650605153,-0.06661952885875054,0.0692634511805071,0.13226592266256032,0.14437862319028374,-0.3033034266662852,0.03817910725878471,0.049548080835549624,-0.16668753029468958,-0.13100210471584675,-0.022010179665592784,0.06340680811568998,-0.09064875970264585,-0.02887015684601647,0.05266795164926462,0.13680592852566129,0.05960331551835306,0.11152845920402686
ANGPTL4,-0.025522037279913784,0.2729615572935245,0.10628170170574319,0.026091905722617537,0.21801815136567884,0.22724573905279802,0.21001853123683034,0.0340914715267944,-0.020242069038425528,0.050994364614746546,-0.016252310893103864,0.024202395649232263,-0.06779605851044505,0.29393260362031315,0.04781702290797285,-0.08338856218934135,-0.020446635338764774,0.25238463440528897,0.06448088099898215,-0.014173947135990217,-0.04627229091582334,-0.023487435286283456,-0.0804038156500679,-0.008206580192976697,0.03614937010078162,0.04467712161453648
BMP8B,-0.03742238674803666,-0.04436020972475647,-0.011987345271366535,-0.06337846263926844,-0.029049261656765954,-0.01139734346589269,0.032453623889164694,0.17278837434230088,0.01883293015873965,-0.012477611494743697,0.011041432983433554,0.0050460940456505425,-0.03490890349254671,0.10842433370968023,0.0635041583241674,0.024230703313780282,-0.0885362113498503,0.039115253772351304,0.035238523316646744,-0.002498503270478363,-0.02360069667571095,-0.08189193555847589,0.04575091104546015,0.08553363485660301,-0.05740341806072743,0.14993955069852705
