,UKF259,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
DCN,0.010932243611716498,0.02756499537603507,0.08882509393146663,0.0013721732989979297,-0.029139335269335816,-0.05494321632789531,0.006894493619609994,0.003593950405262589,-0.08153084596545954,0.004220856253310539,0.03933794888220409
RARRES2,0.049082219624195865,0.0042659369935941095,0.09097021263449419,-0.03931116911488299,0.046891109311692124,0.026828908096083494,0.002329521951528295,0.06279799915872493,-0.02841796085341538,0.02180358533501408,0.0033979351452472673
SEMA4A,-0.008802913526115856,0.04601300419840559,-0.058496592114182365,0.09237486501931402,0.05996044992362635,-0.02939739704632377,-0.01522009945723338,-0.03417193129371242,-0.043227701484840925,0.07073385074909283,-0.033944497235836216
GDF11,-0.008730373810138888,-0.0282398168776611,0.06097482097759809,-0.004796400983623905,0.08695880696382387,-0.02163754770091146,-0.15090602692212707,-0.09640055152293571,-0.027471740329389663,-0.053545103861047966,0.0042054138966652
GPC3,-0.028270030665818832,0.0013679108593716688,-0.03067325526380301,0.007203608486355394,-0.01487517954041379,,,-0.025785331060963465,0.015734883503840152,0.03152651527432433,-0.0438697424256059
OSTN,0.055200276169688284,,-0.023519144387252142,,,,,,,,-0.01850606240701248
GRN,0.07475743297024089,-0.026076909491246542,0.0768981156458298,-0.03539440083836346,0.040791076322650416,-0.00917428100911249,-0.023995302501137104,0.002106702148548731,-0.004828694445834737,0.04350344592904119,0.03602369566894273
CALM1,-0.033872193152573546,0.04519654883004662,-0.07118507204491159,0.0585806078394784,0.020806976520716194,-0.03949659549036781,-0.07596329506464446,0.007520045370248227,0.004729495478181911,0.03215859906497008,-0.1200888424761225
ANGPTL4,0.03202787926065017,0.00865251055594987,-0.010433004526931678,0.02302345503999388,0.005066720102578731,0.045049511519580365,-0.003204211786701228,0.09335937940214888,-0.035804378028061516,-0.04959584937450702,0.0676528256767299
BMP8B,-0.027919434775305063,0.013224263882808559,-0.0006486901404466263,-0.02573942385585524,-0.028924713888928935,-0.00904306971246314,-0.05738989465542336,-0.028053707775923628,-0.03879891643632758,0.03721324880400242,-0.009322648191867393
TNFSF4,0.09056185897035152,-0.010684856664621612,0.01984703249552917,-0.03059503600798784,0.035016093533003154,-0.02458155143729544,0.041921352458539916,0.06270260229650765,0.015205820063051812,-0.05338012064797313,-0.03063264100522858
RBP4,0.06601710123979725,0.06210655594612447,-0.06550887018381678,0.06522428862139427,-0.017795747416675292,0.011375447259264124,0.010655997188119057,-0.04738486207272132,-0.0069699268515239585,0.04758670079102323,-0.024903420754712628
DKK3,-0.012725740693629368,0.02154200568442205,-0.08874688056793477,0.0620887178216991,0.026647126704288506,-0.05810125081172499,-0.047081188295119814,0.07235885067910995,0.026011081179178303,0.0654232862073661,-0.0016685729831362054
COL11A1,-0.02014407908256158,-0.024158556807961785,0.0008466154847211114,-0.018808723383294552,-0.04144065170546708,-0.02715577637350637,-0.002404882779347091,-0.017134450825129467,-0.010957973666813349,0.020326798115663493,-0.05522704993389181
COL5A1,-0.01890960468424908,-0.000903457910427313,0.03422303342183684,-0.030883463418718275,-0.059417508946365216,-0.028352347590034504,-0.03225083672689252,0.046154112336574744,-0.07758426993843523,-0.05086959072945748,-0.014705564554932925
KISS1,-0.028443858504586857,,,,,0.05416170164955115,-0.042692011552280536,,-0.02710212065736544,-0.025857399127844894,
MEGF10,0.006949732589163164,-0.01503561357815449,0.03970368032179929,-0.004664106179539397,-0.01928435743441478,-0.03185571280298024,-0.06376800705719621,-0.042872630362725046,0.024487996799742735,0.08621673387994397,-0.029908891585257738
CEACAM1,-0.02859125298263584,,0.06761462003143986,,,,-0.04706684325014605,-0.030919758172038594,-0.02295337617557757,0.007619575409448298,-0.02699779950509897
EFEMP2,-0.0033729798815649156,-0.017417606279661865,0.09485728736259995,-0.005504474195232839,-0.0211514542510505,-0.020728172141680743,-0.05418727559051404,0.0497078776792825,-0.04018054579352328,-0.04180287154124367,0.0026871107746496603
IGF1,0.0021215719883567173,-0.030024439701670576,-0.014919792866924837,-0.005300837789332332,0.04279112586066786,-0.0129527842086238,0.021597650277897444,-0.04915535478786946,0.01970654058754191,0.0408035906421723,-0.03235432174795231
COL6A3,-0.02616148390438638,0.01727441277884125,0.03523052607807387,-0.0013141618584786284,-0.035035785981405776,-0.03893456845470912,0.17183788864170105,-0.030927593278588756,-0.06453909536737204,-0.022375673218346163,0.01094170941247195
RLN2,-0.010861309125890584,-0.012552202521586479,0.03250485357774575,-0.02449925046433502,,-0.012407472294579499,0.010633591163534621,,-0.017697222645365215,,-0.030813835507811256
WIF1,,-0.024070971461441954,-0.06712259089955411,0.11500381551650436,,-0.006563249492861047,,,,,
IL13,,,-0.004636585360353239,,,-0.017257399219782293,0.07060701582514482,,,,
PLAU,-0.0008799655780761502,-0.0388127173005855,0.06042057323798519,-0.008052134724735836,0.06766419938167278,0.06532658979145647,-0.06702846037370257,-0.05680607644346085,0.06456622315960536,-0.05458701699454335,-0.004113047609394401
CXCL12,-0.0017442288861808848,0.008021224958901136,-0.04286719627543013,0.021314990648447878,-0.0036072393274047166,-0.034886471551365525,-0.02470402778694541,-0.024673465404478886,-0.05124279564367113,-0.038279279639725085,0.05076160626790738
MMP9,-0.02663801195946855,0.05358707996505227,0.06645468198709692,0.010712101448971821,0.11945632471011843,-0.05371461203361419,-0.004746131358655723,-0.022471651323659806,-0.09548234233569282,-0.011232069853975775,-0.010102958748346998
TNFSF14,0.015727353713406562,,-0.023002070058949473,-0.04722984384558484,,,0.04180952708317246,0.103788718291973,-0.024203685057720623,-0.04297577236411843,-0.04509820779160917
HBEGF,0.03329415448582975,0.024503408098688336,0.00787959761227741,-0.007418478628916515,0.09476543069456848,0.023652111438910772,-0.008542449260831432,-0.015342172154487844,0.0260966731419392,0.03868122701860151,0.037865155383783135
NUCB2,0.04488386023535847,-0.012368895841154822,0.0520663761854243,0.054200745906148255,-0.02052622270184623,0.03831062301655442,-0.028817742407415466,-0.026349712003642424,-0.04299516605162441,-0.01591790678668913,0.08346801410005594
VCAN,-0.05812012408761718,-0.024620189118632438,0.05350810626334355,-0.05903605154916979,0.0328009921767448,-0.02025612458912439,-0.12905632111111218,-0.03612631694508188,0.0353644052353721,0.041205379489241606,-0.0010438663661439004
VEGFC,-0.033875590243201456,0.06604992837260185,0.03799659231519778,0.10264822345828369,0.07424403668541282,-0.015016807020000331,0.006181452356781634,-0.032901425229824616,-0.03140966853315213,0.04070484647777667,-0.027598892205313457
LMAN1,0.0073432723250881375,-0.03295638541319824,0.09254929180058355,0.004559729616873113,-0.035914865819467796,0.04235879566925137,-0.03107527491841815,0.07872292488288314,0.016907589856209666,-0.08046504860605527,-0.012636048732089808
IRAK4,0.017246004369069656,-0.04009087399922725,0.12782694756753235,-0.05167187667651484,0.09925238571987012,0.018229795505242535,-0.09280113605174704,0.06397357987978668,-0.008884010075687768,0.022479235453263146,0.02099002330422867
MICB,-0.03445246829596572,0.07089762912007279,0.08295140937867333,-0.03469214197212611,0.12516460798581472,-0.030401097805424413,-0.026862200469430973,0.05425096543634675,-0.011585261610350525,-0.0009925623641799252,0.02322097578188628
COL1A2,-0.06688857059183174,0.011695774520465796,0.09361790319311616,0.023887822701258155,-0.07943681342385725,-0.000825875919185054,0.05872635405099749,-0.05436289958638182,-0.07962000418542584,-0.01566662898359578,0.06370481464788842
ICOSLG,-0.013639360152104197,0.03127144138996255,0.03898387755465178,-0.03707471824760073,-0.003795940387547929,-0.04805446726511859,0.0056271132387631425,0.024362923058480243,0.002019841733008266,-0.00038394713494893456,-0.0463644484713943
GNAS,-0.013440879650288699,0.01966315137971599,-0.06441146826155644,0.06095415748135829,-0.08946420619206812,0.10164219193480577,-0.04468499162697663,0.012827796903018307,-0.011119063503076305,-0.02933838875823906,0.010153036403771607
C4B,-0.03110533267280502,,,,-0.013612934171383137,-0.02152488350129131,-0.0409516652181404,,,,-0.02117665558429989
COL2A1,,-0.011299218758259377,-0.025856342475080035,,,-0.012226926605887051,,,0.00339051023118291,-0.024335034820494796,
GSTM2,0.02639175415757534,-0.008598748418919992,0.055229265247053745,-0.03095311144134105,0.13244911681963414,0.015846670190408002,-0.06091437813095736,-0.04431907773703893,-0.009710649683815822,-0.004241978003643856,0.028483762379312723
