,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.017963256952383676,0.043148038337629674,0.031170089603176267,0.01170085795486859,0.02865699644940983,-0.0780022016632463,-0.04599419880537191,0.006921563629189444,0.10868391016472487,-0.04928965823896584,-0.04929507966683306,-0.012397020448816335,-0.11902368350874709,0.048690398271701,0.03835982440052875,0.07947028013300536,0.10504845840250261,0.12986589777148996,0.07880060093594814,0.04503904096663683,0.026429892027159327,-0.030905936611966344,-0.062180194927920464,-0.012081779739272049,-0.0637234143263194,0.09492799787366069
RARRES2,0.05113661537657578,-0.03128384673650368,-0.026870988745613722,-0.053366524808681336,-0.008024726090219453,0.03103008090238398,0.007077813776306558,0.028638030482775224,0.1642951754751545,-0.08896275400329913,-0.015719380883022042,0.07849741457919174,-0.07809617806538088,0.049343381279559555,-0.007262691446434175,0.048952884317518125,-0.10907976673554078,0.012461258985361734,-0.008550911886164263,-0.02367055166808297,0.019170309229393615,0.035158456047783504,0.030295647871534364,-0.012464877027124923,0.09935261124231058,-0.03822585205712996
SEMA4A,0.05867127876686226,0.08767061449389117,0.07856597874229274,0.015076996196662886,-0.037951006085924166,-0.03252867415986629,-0.008958097599459853,-0.03654708027447912,-0.03419945315775326,0.012313599018863319,0.012352294351967925,-0.07558532829505658,0.045441210338364874,0.043318162835595836,-0.05877897229340701,-0.06571864599265916,-0.01774127633881569,0.018498075841059582,0.0400710272064411,0.06587579741367637,0.012437714607872312,-0.03454371642621141,0.04950803833921486,0.11888006116215236,-0.05974773920441999,-0.01906597275081226
GDF11,0.052079841037566806,0.026066063601657773,0.05508907059217708,-0.020088695014608606,0.10371312179986723,-0.018054361418180176,0.009855272531372713,0.09029004770009189,0.06808324034961855,0.09664859973585789,0.00923341827336356,-0.04905318840807925,0.03107030530507476,0.09089571029082756,0.08599134718736003,0.028009863792962476,-0.01303597719231892,0.04785025716276125,0.03767816555284871,0.020474813677258386,-0.02164051157989889,-0.014519886987208361,-0.028603227682489407,0.08053159749822576,0.07682364596182499,-0.0301961701381145
GPC3,-0.004248113683146433,0.019426547479907554,-0.004117016048368303,-0.04203671511086229,-0.05229591283666433,-0.043383045963053445,0.013732904620536363,0.10425621121642664,0.05521154805801843,-0.0333774885984362,-0.009521390485339717,-0.04040656620237945,-0.03726339295847442,,-0.04925308940512861,,-0.06981499090607053,-0.018991599947561853,0.053618227076593014,0.16792591444572336,-0.006989480739745274,0.04326769426348908,,0.09707416306349861,0.050097492619810974,
OSTN,,,,,0.001166295838085557,0.058946857618386965,0.013558024084697832,,-0.03772493744136413,-0.018270901551270424,-0.0049343375569295776,,,,,,,,,,-0.04269263203235155,,,,0.0017116240387242633,
GRN,-0.07485302522911802,-0.03393781094924374,0.0361144325302574,-0.04033706835317598,0.06817469368423597,-0.07085089418176112,-0.03867751160404323,0.029681034074761515,0.09217199305633691,-0.05536348439681156,-0.023130815341414507,0.03011690480196277,0.08318221116887298,0.06820650758037348,0.05385996682906292,-0.007305240447307182,0.0423541456615854,0.07969481753071181,-0.056435459857858715,-0.039160017254499344,0.0191067094593673,0.02807853237388315,-0.026064831089931583,0.029983123138180117,-0.12156481034138442,-0.034995960322602715
CALM1,0.049755494851320727,-0.004336455252533815,-0.05339171002485729,-0.0015095738866536632,-0.06640833479059449,-0.07027955628052865,-0.028153492730857446,-0.07923286448868277,-0.08612821571092191,-0.09061628722819857,0.03920213881066932,-0.1302579437984809,0.03762878390603807,-0.05851826798280643,-0.023955429959231292,0.02612851970839182,-0.024435494543801305,0.02700182806267097,0.05380674813273484,-0.01756919493207362,-0.046173915106897556,0.05765512975000472,-0.031060382566065053,0.08411774406147149,-0.1804768621868724,-0.0136122423249321
ANGPTL4,0.04201591583290674,-0.05690127861272978,0.025009404696549796,0.015035584999558423,-0.12348532673769996,0.044940087422549964,-0.022850050648762173,0.009517545339326272,0.0009388721281649381,0.02091878334389586,-0.0029003574098694987,0.026079874567149303,-0.14807612296868114,0.07682876837913435,0.11148867156465288,0.013030215558936286,-0.011376077763860392,0.01700049554264825,-0.115976334501983,-0.11934974980682847,-0.013653953446579981,-0.06668131361299696,-0.0434748495235663,-0.05277831219509572,0.07324134898693625,-0.05524062907864937
BMP8B,0.006448961632167099,-0.026070955496297878,0.030463671505241176,0.0037338692141282363,-0.0005780191214521606,-0.03175367452819381,-0.0030261256388699922,0.10884388605435763,0.05051962300875132,-0.016610272199014144,-0.02021152642725276,0.08990177372405717,0.05507000519127656,0.05419881583805768,0.17164750333882164,0.004811969518086451,-0.09658761926070775,0.04240069246491105,0.08005282641595855,0.04974086122872144,0.03895581258472485,-0.016238223506253435,-0.06549716357680328,0.08874512707688621,-0.05152784996032444,0.01789060115714974
TNFSF4,0.06699062573861501,0.11317610008680082,-0.004695424045326525,-0.03494983024320714,-0.0072282260908219514,-0.04253310991680876,0.02170251185544172,-0.027340305507800037,0.12403093339329038,-0.018107430488836892,-0.005626837728165571,-0.05214922978585218,0.013790472884731153,0.024561647193238615,0.11550567174308335,0.1064889685582774,-0.00800080075185488,0.03325155182200845,-0.006239140889600039,-0.005987657748298735,-0.05388092618143484,0.02270504272934788,,0.0427472314414756,0.09590919116328477,-0.04309407699237278
RBP4,,0.016219309612593297,0.04440960534413991,-0.011286342573839946,0.06349412019851965,0.08083113266805317,-0.02376058560574126,-0.029203422541707158,-0.050883548716649754,-0.06169599495218295,-0.0235750229858815,-0.0979690264904717,-0.016689357726421206,-0.013359971616543872,0.09851348279090627,-0.0200527266112308,,0.028602708086189952,0.08915811398456062,0.14962448028195519,0.004074830539279474,0.029951338006060334,0.10963236004268985,0.008465861850086985,-0.17748496566523367,-0.01195965762701006
DKK3,0.05467548270134641,-0.0005607399750734196,0.02157550504707672,-0.017276851798858264,0.04721560251495261,-0.06115645050239264,-0.01932431351470005,-0.09827865646676485,-0.09432310901114146,-0.030650005913238968,-0.002670467445722982,-0.15479535936305266,0.013166765818499272,0.012118019478060672,0.0440911687871446,0.10674393151585464,0.025109020719850477,0.020271972130342285,0.007860738619614544,0.20265108493695844,-0.033957919341399065,-0.04389403456201122,0.07037298418263953,0.10827851305129217,-0.23578036903833743,0.05305511374985797
COL11A1,-0.02772885120512053,,-0.018577643591449613,0.005048429048189373,-0.03221901588583082,0.0059492687943887386,0.03796571269988865,0.09961894849236544,-0.022615086455713248,-0.03441481995137666,-0.019622632428735125,-0.022001112934131744,-0.027369375631288044,-0.03313343185823189,0.06368388653847239,0.07206197518376845,,0.026377972390091996,-0.06475912682680429,0.08262276158798108,0.041704841450254736,0.0009756227459134056,,0.06634584380107943,0.14536182129658465,-0.009256572923104356
COL5A1,0.01435377478105757,-0.030256586989263604,0.05627795900035724,-0.023798932216225917,0.008798244953856069,-0.02616693346066704,0.030727136468517397,0.12838160794548528,0.049846213927459394,0.052819027812981964,0.0033438611352558027,0.15302836452346633,-0.04046764136959764,0.0877536315981923,0.0950422781725786,-0.013211795611951222,0.09041217179648274,-0.000203540933679483,0.0007896209243444766,-0.10225477520496193,0.021853645741887764,-0.02452353885871929,-0.044659280548225225,-0.020855385226722256,0.019813118314076342,0.10391876492087353
KISS1,,,,-0.012162720998664299,,0.03244632499543866,,,,,,,,-0.026105009985112927,,0.055955179946516276,,,0.046743105268066944,0.003880335765138112,,0.08222116355603537,,,,
MEGF10,0.04405179969970267,-0.029632697633025985,0.007638700233965884,-0.007238383665536385,0.07656363328877724,0.0024857399237204867,0.06724889003219645,0.05910220749140193,-0.03694713668913669,-0.05449180515630008,-0.005261735593554032,0.03598801667760026,0.021189156239576887,0.010078876661264453,0.009774202107921019,-0.025924861809245046,0.03273098284174165,0.034693734935516814,0.04895560809264006,0.12516959418919563,0.045474098840429134,0.009782417532276082,0.07708770492787956,0.1206411535878221,0.06959976503348855,-0.06855758048455224
CEACAM1,0.02152350661855486,,0.05464545740829614,0.019825216393101013,,-0.048521465563773014,0.07676242451615481,,0.021268382847449436,-0.028010739425365597,,,,,,-0.07372269853966029,-0.029598221413857973,0.06779089357873644,-0.04484963723543375,0.005886802319907992,0.08571720266843229,0.06313988691387068,,0.0037843876853719404,,
EFEMP2,0.039622744725629495,0.03744178973760779,0.03468524834099334,0.04862866675335701,0.0010698527109284154,-0.08170827229250696,0.024498064827867774,0.08982632111074901,0.11889614330074641,0.061070265125499124,-0.0003086539286775645,0.005030781675115274,-0.07616383446039832,-0.008135275492060685,0.11125653141507544,-0.07888469307477794,0.09201886317427742,0.06870849440964259,0.015175687227278684,-0.00812112681207787,0.007389952993814867,0.011921150055903995,-0.0005083381589889768,-0.0264007238325413,0.14995798857355264,0.008806422082480262
IGF1,-0.008451679913939589,0.07654210746528589,-0.06169861098172148,0.06256951330617465,0.044894181954144685,0.009525420654306532,0.00803626819969262,-0.008001053830342731,0.07179998155608874,-0.00972446752044403,-0.015878603435564076,0.045174512508968444,0.0978634499264688,-0.032031207129519255,0.024802680885414888,0.026635735329332312,0.02535289803858753,0.12344105057426769,0.0449511493982652,0.0405194684042684,0.07169886103808373,-0.010484954968202821,-0.02448911595367879,0.08565837471499917,0.0032705205357874633,-0.06810401576459116
COL6A3,0.006561461380588998,0.03736114409198084,0.08862307910762064,-0.008739550151251682,0.007466299487768142,-0.04435205211974749,0.02596379718220991,0.06149334162153183,0.03393107498725629,0.010999916274152546,-0.01871722880129566,0.022705843535865577,0.002287360233781981,0.03970135306945968,0.14831871585984588,0.020778197372258445,-0.023228519990268832,-0.0008518160959659211,0.014688879946515056,-0.028509098180672352,0.1299544676461471,-0.05411793225816994,-0.10217697437866656,0.0268679702053582,-0.0006805976922969742,0.06730594810777712
RLN2,,,,0.01852955921420181,0.06844658536404089,0.023491371429016934,-0.027701261042032417,-0.0085898248239296,0.0060823737149486535,-0.029797353847482076,0.032730907302668394,0.08136733446234722,,-0.022243776204057663,,-0.005660875010514117,,,-0.04725119131013999,,0.05866324958057761,0.009915288337243776,,-0.02980658504479347,0.03525129152693011,
WIF1,,-0.03520474674113499,0.03566690153895681,,0.10211244902551078,,0.009336537268689774,-0.04088037403715205,-0.08987139009893842,-0.02575660811409347,0.04786229435695317,-0.04914946871252815,,0.08836260042420124,,,,,,,,0.03495219836975686,-0.03899820598749674,,0.09430534784711421,-0.005084463405485824
IL13,,,,,,,,,0.008574047520123388,,,,,0.13540876096864068,,0.034008556014578424,,,,,,,,,,
PLAU,0.010855996803098468,0.03152943291729235,0.05980082517126771,-0.045835869709440126,-0.04663944833123782,0.01804693841382993,0.07939505187659751,0.0510413396439836,0.14368784558242167,0.08717989365269847,0.013571579461214072,0.10561941396122873,0.12235392145948493,0.018502151568384237,0.10149759937850172,-0.042415293300740925,0.03692475692738565,0.0986698521903279,0.00976011043350008,-0.011394231084808356,0.029496466311340914,-0.03412014606122038,0.11874670239654879,0.09247398717436285,0.01739344685465432,-0.04805760274788974
CXCL12,0.028982847015311647,0.01392561285119046,0.021727715825999302,-0.0464541740034895,0.06383627796806948,0.06542350336942684,-0.03404179426140932,0.03341397897233859,0.07992818236875773,0.00735840592662537,0.01791205951110575,0.06532988177342539,0.10076806558328046,-0.0038871088580434334,0.06758918144147344,0.07497508065150109,-0.01015712948095939,0.06583961499247871,0.04075306297542293,0.06684322771084424,0.05613433412047252,-0.01962191740308646,-0.028800660642922075,0.03102720895781379,-0.09142261340488243,0.07915187932959127
MMP9,0.01424170585980353,-0.036242950726545646,0.0463609955946944,-0.02669702373138963,-0.04813596502995135,-0.03716156757552463,-0.00013944847018315833,0.08562423431147138,0.05964390476657592,0.031521935914307256,,-0.00928352838092869,0.16066930276747296,0.06037560997271517,0.13892731496183564,-0.022414184376565435,0.03230483525092986,0.058247014469089635,-0.04806269170320037,-2.661749081212315e-05,-0.008192138301371247,0.004727038430331783,,-0.02435845451956703,-0.11374502542769978,
TNFSF14,0.0015713340859835074,-0.010089950219616553,0.0579270366435634,-0.005006360383297225,0.037303092156677896,0.023302844654585823,-0.006448191753150511,,0.051111061114364746,-0.026310010537417845,-0.02283023418746229,0.047312290282774803,,,-0.01156299894991636,-0.0944445701265164,,0.0524671214501385,0.022342585393971867,-0.02364731831876764,0.03858595873836583,-0.03615547242404054,0.05782191829046424,-0.018063762423877437,-0.003698931782872852,-0.04012136204216038
HBEGF,-0.02718318108208689,0.06030279007264553,0.06091315835758523,-0.0197552117249594,-0.06736857305091032,0.06863585537648055,0.010149276915472122,0.11200081523129572,0.07196360090211851,0.08276111235009333,-0.012006641677182527,0.092645662817114,0.16053835827020893,0.054373575645839264,0.08041921500972475,0.07701653859555373,0.07942963103493679,0.01271569298474368,0.030450149449823095,0.06273400910217843,0.02586789747674533,0.0008252814989662651,-0.04853159835802003,-0.0911606852348013,0.08617377380875849,-0.06435645911156034
NUCB2,0.008543135693287901,0.026280813057218317,-0.004561412144209999,0.007106383340543265,-0.06407644510934464,0.010754130332870239,-0.029270030518796942,0.008561175256191888,0.08751822246510628,-0.013922049884783183,0.023018302849070058,-0.04262131335627733,0.010979765762028961,0.04139405369672918,0.03929159141024148,0.0790383359611527,-0.0340481764865168,0.07340727127288672,-0.037154699206215704,-0.08831333886472904,0.10593885441604801,-0.010539044889153916,0.048367209944260865,0.04481729431284629,-0.06257884595260838,0.03458879051986818
VCAN,-0.025982613658977853,0.0883215045381373,-0.03252507994597122,0.004723058433904639,0.09611877685998392,-0.007159595353142413,-0.026172660166810337,0.09426775861369921,0.12481560216220762,0.0176778563226974,0.06676903256987274,0.041427262651767854,0.10975796385037664,0.0018602519212017722,-0.1787505026947329,-0.029784870173004442,-0.0892519976914211,-0.06271148090403059,0.05490421162514558,0.06328552654735235,0.028215075798197292,-0.05213361439350898,-0.04556389137199315,-0.14855932038043498,0.0238186291147526,-0.008207298863258865
VEGFC,0.03869334094656995,-0.03933082350279308,0.025360279006682238,0.03310892105348114,-0.03949879251527084,0.01266723511593685,0.05576526041593451,0.008717279946647106,0.06557174457006519,-0.026575268652990962,-0.027350647935004416,0.20496316213660007,-0.005595907646156679,-0.026921719970177855,0.0639143465957561,-0.03962388729001688,0.031110597195557945,0.0354879135802219,0.0029746337086589583,0.03253664494215883,-0.02125818591168031,0.022505144756894625,,0.09793520463476015,0.01575536937745898,
LMAN1,0.020125960827317966,-0.030163841471265412,0.01271656445025302,0.006869388575830439,-0.10056922204929321,0.030242991056630683,-0.014233663255742665,0.04457297596906882,0.16308360216304243,0.04980623123683744,-0.032358739504737076,0.05536333835545805,0.016994934226651204,0.06917044369605177,0.05918516530793048,-0.012075105670390886,-0.0541841441441494,-0.021213633081160373,-0.004473468802246348,-0.11639232094545668,0.02982863207371379,0.03621891089361487,0.03929557475502862,-0.04598320417781896,-0.06484660477308926,0.1588518735499013
