,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.0835009362088274,0.04878577112387236,-0.00032918395386073495,-0.06556832972562023,0.00954814064152795,0.02027911008295557,0.015877785275758862,0.02646011880977558,0.01874221567038395,0.0015746178117322408,0.019094973845553913,0.030924928689913197,0.03314401058083533,-0.04125008992463266,0.011991818703684366,0.04829354239807026,-0.06134431335300638
RARRES2,-0.09036190017778123,-0.03933950157611671,0.003821453972648415,0.0068410960885889535,-0.05737209555616573,-0.039344444635256756,0.026286763588754824,-0.000949036299384008,0.03884862300586243,0.11570811929442713,-0.06093346649335701,-0.029650890678882585,-0.02353237249736576,0.04800037235230164,-0.031950243585793445,-0.032148127499485826,-0.015420842799685785
SEMA4A,-0.026254893788994798,0.03596995661571729,0.09778997473619035,-0.03237853952229356,0.007609282377741454,0.06663037661720778,0.0398436851273313,-0.026326291273103024,-0.013765636843762776,0.06993555962287547,0.0005605467522402307,0.05259739686766874,0.0033591194237257895,-0.06051799789188802,-0.02266238446068117,0.1373797001147228,0.011468409089812413
GDF11,-0.08930042318070387,0.06077754742835885,-0.013739936840320287,0.0027911485492674057,-0.03639317494454464,-0.011264935644615786,-0.005281758319376206,-0.014286923705061384,0.04714681678109731,-0.0033214383934467564,0.04998400177764362,0.023421431124207942,0.050183628220632506,-0.01895652103346905,0.046364380456337985,0.046696283598464006,-0.03452903175234012
GPC3,-0.022057887056726417,0.0020772975522048405,0.057584923165510164,-0.016908649582041767,0.0219151518477935,-0.07725699520355188,0.0732080684114889,-0.03646372628953027,,-0.047840384661379076,,0.04965957952805085,0.051750204047960845,-0.00754918768552915,0.035569133806820176,0.04934335075033142,-0.04689146608316227
OSTN,,,,-0.021890896013649516,-0.022763982150926274,,0.02972972120654276,,,,,,,0.0788632826516812,,,-0.023376087370563996
GRN,0.0982296953948088,0.031644391398255124,-0.024832855859552767,-0.04453389099777524,-0.07134845406750158,0.007868635558931128,0.006230271769824782,0.06379762222331899,0.05421527141272684,0.00522257510911364,0.06845981592066605,0.014631773283935992,-0.020155854568553816,-0.04899360295739212,0.01653135843556354,0.10461191609643997,-0.0160327455343933
CALM1,-0.08623063646468214,-0.0009071841845885809,0.032517667614708715,-0.07304722159569593,0.10725890588017341,0.11733729937364883,0.08146029703940576,-0.07226850181253366,-0.06531268809023573,-0.0018226647859252941,0.0015917783871812353,0.01398927452663727,0.08578358696387343,-0.0066736409670156375,-0.0039576197807922745,-0.003599448426092015,0.13259986885689284
ANGPTL4,0.002142221269052485,0.029397764383410945,0.024820032509555758,0.08148921900111512,0.012441591146969683,-0.06807870695930845,0.016373464677019455,-0.019343638085215293,0.0501838113820774,-0.005909334948643461,0.027825810790233968,0.02117370427306636,-0.14106856095752052,0.008728471735070993,0.08773479125292459,0.03710971691910354,-0.10690165778240203
BMP8B,0.020804981493536722,-0.011433092097144415,0.04008311162747968,0.018249619951954066,-0.04777692796095009,-0.06400267789438792,-0.015797358397798528,0.05622801838299526,0.04474409037434009,0.0041729875046607814,0.05995786684899307,0.019039385674702668,-0.005674298923654019,-0.02845424893421384,0.008422962254917263,0.06991157182612182,-0.03099773434500434
TNFSF4,-0.027723378295525486,0.03164006679875005,-0.020977494863225695,-0.003176156969548598,-0.037828182410137225,-0.013757225722938771,-0.007918986968434356,0.10509387716906635,0.003214500565177153,-0.0197875305003265,-0.05146858006751412,0.0061542221434609246,-0.04143537264649786,0.023320136731758964,-0.01595327153809358,0.023032840947314857,-0.0315313553867203
RBP4,,0.03581754424054895,-0.03657865676687614,0.117741146397902,0.20516230245325667,0.03436319673078804,0.013126554550519585,-0.03136774463190013,-0.07929127422495887,-0.04271499600837466,0.06409461774063935,0.028902000108469553,0.11484366165558936,0.00769622308350957,0.006258992881586922,0.08328907186361323,0.01665029324090821
DKK3,-0.029811079167189333,0.061009162014926226,-0.03254503830375212,-0.09663077549967021,0.04724764044403878,0.045757635724076005,0.0158833174016713,-0.07223530536971459,-0.05501038610273007,0.02061734294119915,-0.02135252813542221,0.01469716840258988,0.03255428024515465,-0.008099207769305223,-0.050685255991543776,0.050011128340337815,0.10926149383246064
COL11A1,-0.022747212523748055,-0.029457229621275588,0.009701070026374577,0.004291849713430816,-0.09369035435337551,-0.08177522322072402,-0.017201855595461907,0.009614835511237589,-0.008196832813711157,0.004354441244578299,-0.028748528495380937,0.01994670110361553,-0.014719282423645529,-0.01703210306770551,-0.019283731569682785,-0.0329884150712146,-0.06370335016907
COL5A1,-0.04152997714413906,0.034224747866287306,-0.031249373883739547,-0.022470039207723114,-0.04318616037571646,-0.05240382582294212,-0.0341162083378643,0.051562285427240506,0.05323493655255843,-0.008522395307333865,0.014614497010109745,0.0029634225230307665,-0.07883297322703055,0.029216179575953162,0.02412801716308544,0.09321687261369198,-0.04251585255352244
KISS1,,,-0.0228487347914584,-0.01701261812908993,,,,,-0.00497181338551689,,-0.03176839180541047,0.03485290817990093,-0.02420905202863204,,-0.02117504688990079,,
MEGF10,0.013948163838220584,-0.009414192080651203,-0.024092615734617844,-0.05413367141455186,-0.02905190449623133,-0.06252047494164094,0.03027340924384576,0.06828411119308873,0.032728862675476485,0.0009072762930667828,0.010750431439761926,0.006440765659525624,0.06387531711947463,0.021886781828924853,-0.021548363052552928,-0.022744821784214744,0.044661447134267535
CEACAM1,-0.02358391285592107,-0.005713116204837754,-0.014296302002897202,0.049152048198112856,0.09825882667480838,,,,,,0.03479296362838494,-0.0120686059873396,0.11702190480102254,0.035522739909516425,0.07230578593848508,-0.020640270488094598,
EFEMP2,-0.017956600054951644,0.015074100066966918,0.08658396857961069,-0.044098443532174125,-0.03384474966828778,-0.024732632904331014,-0.027349814026986614,0.020627928377469892,0.03697885780601245,0.01507812941717819,0.008545548459572758,-0.05410635281080654,-0.040794504427214884,-0.013906444745826247,0.04731068605113806,0.030146259756810186,-0.03136284541443792
