,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
DCN,0.022682234015040638,-0.021745937954076353,0.0040818243434394335,-0.0327486025739332,0.02552029758290519,0.024138179474540746,-0.03635220226301627,-0.05600722151750762,0.16691727662074354,-0.012150130030365735,0.012015756336227474,0.0029653274326823104,-0.005830375547370346,0.0447905120154131,-0.06647238003959406,0.11329865409427804,-0.004840781218580259,0.009866206597534568,-0.03756597310107164,-0.03683062668934842,-0.01208220851401267,0.1436539034879267,-0.015431014847438088,-0.01457279389490027
RARRES2,0.05222968277446347,-0.02407409163085448,-0.032637199528224366,0.021406164071931057,-0.06203071330801742,-0.02870621475180813,0.03704916979460513,-0.0024502122095617046,0.1784839090545803,-0.01339010438871541,0.06594485840944021,0.07005922930750692,0.05256209381913341,-0.016315882539093655,0.0902396083388657,-0.0770915131593516,0.04187058379984642,-0.04395744724384526,-0.0391853315004843,0.002021888059312692,0.0055859374783686685,-0.003962635265500622,0.052582566364268155,0.04107178721636821
SEMA4A,-0.03544994348314522,-0.04754030148591626,-0.009020400939238666,0.03397573960557828,0.024637948014598163,0.02401175302323673,-0.010527009208964815,-0.029032842883646593,-0.08845078424962302,0.012903117055060481,-0.010037161724041201,-0.05240360201592649,0.02309707097960275,0.02808520733425233,0.07130831404107786,0.01209792859833629,-0.059531097382732094,0.008822925878188805,0.0957988425396782,-0.0003716042361577719,-0.010961529978853362,-0.01724362132012225,-0.0026071062527193998,-0.059178171703966484
GDF11,0.03605424803294614,0.01718034878658822,0.001516308244905667,0.03278380221092043,0.02279504913221381,-0.04348987952905539,0.0300748019418725,0.10537566187985306,0.19738313401126442,-0.04355255181213377,-0.004305250169602575,0.032121235340447786,0.05452553643176095,0.032290148891263006,-0.022096661587379208,-0.07197969660370207,0.01863935719832803,0.0007527056809224779,0.020523923643805137,0.03132057097850082,0.017215555048998864,0.09536189775969053,0.07134338735181803,0.0334552662968628
GPC3,-0.029783051335226518,-0.06445165875994488,-0.016836476895202367,-0.026959110402657933,0.0329195843846084,0.06363737073243597,-0.01637313355338758,0.1740187295546368,0.049079759263140274,0.05703950379073809,-0.004338855179320176,-0.020801365387454637,,0.015854745229046008,,-0.018050891851550326,0.0006422857751146896,0.10882043286964621,0.18241727303627847,0.02152648224577726,0.05970790948433992,,-0.0007839361254384314,0.0698307330540133
OSTN,,,,,0.027158296712022138,0.16491970419283328,0.01597797569075947,,-0.035755518294755734,-0.027002532727965253,-0.013182550652509705,,,,,,,,,-0.037443350832001086,,,,-0.019634643987176376
GRN,-0.007425351844673779,-0.031277686416330226,0.0380015926044971,0.036512062159810975,-0.0003149491714140789,0.021981138336999224,0.042385379654034064,0.0098900375111392,0.18385059173939372,0.008664164473095533,-0.01663137303110659,0.040096343926534786,-0.04673883338490212,0.007400082326820792,0.17622042514603814,0.06152979047222639,0.02791244616145584,0.01756649917253606,-0.06811112617352885,0.0029062582233331633,-0.022679081237098754,0.01156011661051024,-0.03692826284320881,-0.005301317667368573
CALM1,-0.004992779155705367,0.030557947008464793,0.011562078105399795,0.008854896074149304,0.012140126520631683,0.005860832373311611,-0.040778413365306715,-0.14277100789655203,-0.2074492577692498,-0.052923193578020715,0.0026965652587894054,-0.02910777211936368,-0.019108067669820445,0.03708278218850204,-0.12689746683706474,-0.017876096865828764,-0.08310077289252814,-0.012652267803486134,0.06309240295896715,0.011559918746505174,0.04538197641514199,-0.0744611109760745,0.05245131296110429,-0.11531298158113884
ANGPTL4,-0.023413351098533326,-0.09845855233397345,-0.04004230464307204,0.0441805161852883,-0.0006731008854219125,-0.009294338136701594,-0.012997629353063674,0.012493802938587732,-0.016051274764428785,-0.053031941954941646,0.01654349081867003,0.10360519108691639,-0.0005889990844000552,0.1270560491018067,0.06969898001375606,-0.042642943717941265,0.06314990686259848,-0.015338536060460919,-0.15371169879144048,-0.00895785922105072,0.03726906224064634,0.1374662230914685,0.0055169571672246615,0.08095219045786868
BMP8B,0.03166979628284875,0.005635664581378061,0.11189065210219325,-0.020297749102755638,-0.020279871106545756,0.003423936528903763,0.025906248705031623,0.1844665284495145,0.022883358488021366,-0.0107757996787266,0.043357516643212815,0.0008844222140580141,-0.02632873217410928,0.10029082567530814,0.08721008971948274,0.019585241216654645,0.06404803113490368,0.04319651263957147,0.018464168211397097,0.04698544580357254,-0.001967615471916546,-0.037250689518875925,0.057687256299103436,0.027429619247603194
