,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.07333247190118604,-0.06584596751046547,0.13999282382526534,-0.005931653394738599,0.06701186044581789,-0.02101952115132901,-0.032686534196660996,-0.1270172535696934,0.32026193168108313,0.0006484685884754781,-0.08728235588381497,0.016392432615604816,-0.022422947314440545,-0.015031091329700147,0.0024028938600040195,0.008358138107138447,-0.049708333542663956,0.10106553738692364,0.04718828730694252,0.023060951550612954,0.08714780401286425,-0.030608629052889243,0.04190961694529197,-0.12671655472569643,0.03929825991958319,0.04720312218644423
RARRES2,0.18030216174945846,-0.03456532377237723,0.029315991006800785,0.08713799905673669,-0.08217398663043413,0.04992224292475894,-0.04303647802397917,0.16618604479505225,0.4117266578692951,-0.08655815936031554,0.03531221397728315,0.05438418996679251,0.10749767333893193,0.19042345654482049,0.009449534460666006,0.07449487707154284,0.1299622436286314,0.11014898814825204,0.06196908685574164,0.02365400018425315,-0.06702803722157165,0.0028466046383369735,0.07674581378476907,0.11226851609143444,-0.021111526502017246,0.010728682272130185
SEMA4A,0.018438089946530775,0.037886629686314434,0.02034863737190388,0.009857278057139384,0.08561789177777523,0.005968511559079658,0.010485157806134038,-0.1573216132443321,-0.21193049201864272,-0.02920376419687911,-0.023963278890698936,-0.0779055222864646,0.05690352773750002,-0.03198833892260066,0.11747016729696204,0.11878260065198473,0.10370195599151827,0.0644388713651401,0.10797718276313181,0.045618070085033095,0.017479986066976937,-0.0542096754124658,0.03205826619679791,0.11269842711565817,-0.024430467159606263,-0.026941530667553684
GDF11,0.10118676098546578,-0.016968908111065734,0.03013014548897965,0.0273377444322017,0.08944407286134883,0.0021036111110480575,0.10465665755237998,0.2249380201352491,0.2452560985423265,-0.000670445558524203,0.01919799471830003,0.01912110809488339,0.06138918926449499,0.08183279280105028,0.0688167352084063,0.0024223036414150237,-0.0151317680018145,0.12377391858285189,0.012108446386112208,0.018881115374916442,0.014854868391862498,0.028095846987780858,-0.027414214700119927,0.12422985360331829,0.08714789549351136,-0.03160163385378886
GPC3,-0.05131713089330832,-0.004614158799033267,0.04541399509506537,-0.0016330284279608414,0.13687659168144986,-0.021179993969796748,0.04921821622246496,0.3070881142571165,0.017614807245619764,0.0388473545828004,0.00952779346340461,-0.053210672792722735,-0.024330528370876375,,-0.03567293004735711,,-0.057974411596825474,0.11620678394207751,0.03280131971580779,0.11890063403544496,0.08057401784806148,0.029904440400403444,,0.08813816672478952,0.046565015452037936,
OSTN,,,,,0.0385580991443206,-0.004840728961232861,-0.009589500687025085,,-0.08601886234336777,-0.05944450282516524,0.05704995015136702,,,,,,,,,,-0.039706858711257544,,,,0.05346998258045042,
GRN,-0.1471105936459518,-0.027325613808254698,0.13808434318168222,-0.08654873946657735,0.08120908048758071,-0.026692340255664762,0.012256450987007552,0.14533874481568848,0.34441711210033066,-0.023404501997770222,-0.03723612722728101,0.046344511365307095,0.05609678422546939,-0.008643073074528008,0.005371924211181654,0.07116551696928912,0.038551269884968445,0.11515480434896998,0.03794982651842472,-0.02116882445323786,0.020320018629045606,-0.02290971493537624,0.008471805473135145,-0.0372811947853855,-0.02009769474236318,-0.04164234121075081
CALM1,0.08736091859315258,-0.031415998244143054,0.02547725739386314,0.008216651768780515,0.057904822435355094,-0.01892967217446382,-0.021272793959412374,-0.3025190494187499,-0.38142661179379517,-0.012124201097370654,-0.007096493556336365,-0.05457483534484926,-0.0002741662419007265,-0.2254171166056321,0.03370448902456174,-0.08951218415540423,-0.10683287178034481,-0.08168865836731777,-0.036297165848658004,0.048419069353152995,-0.04156606942209292,0.024101947197833987,-0.043742379613859,0.16767163777318897,-0.1225972155057295,-0.041281260253167494
ANGPTL4,-0.026690532637906647,0.0382993688195519,-0.07307072572243407,0.01743807317359666,-0.2067619219055142,0.019315769015392784,-0.10079121051915221,0.09108313450386109,0.020487284105231745,-0.05387635030931524,0.03730226158397832,0.0022998694286885946,-0.034264889126349334,0.13221940155664985,0.0703843460263628,0.04019438003219422,0.13512494771851677,0.07499686503651666,0.00568279508111506,-0.12206017051154307,-0.044579138467707294,-0.019969490121192052,0.02976848410376727,-0.030361196966203,0.04406698932785704,-0.014231512643231149
BMP8B,-0.023782508351899462,0.026624998575735297,0.06378425039919043,0.018207105804659108,0.028767095368773227,-0.06387044392461255,0.07147070858260539,0.2750134418563083,0.007991957730389885,-0.011042155550543924,-0.03148300896478741,0.08197506966045383,0.0036062923979405504,0.07740875955618086,0.10291961995684278,0.03507166910403272,0.07585180708786901,0.147727193081073,0.12339832429492664,-0.02602422437200729,-0.04099826851355985,0.05971046334356369,0.1065560453545081,0.060151253430157,0.09650323992156677,-0.07449691013024702
TNFSF4,0.1012407152569599,0.048609733354645336,0.07759355556565253,-0.002174510953575253,-0.043886016185248455,0.026926396302332147,-0.05305979671400638,0.09077846784017218,0.10501653799959385,-0.020850099542615734,-0.02177809150180285,-0.01582161862687837,-0.05205999098198622,-0.0008792895808792679,-0.019911227941306904,0.04953346508644225,-0.027739545718969295,0.04070386394187153,0.01476972282390309,0.12597326657774843,-0.05140678790644354,0.03353996450554389,,0.09092267356339931,0.09850228800651085,-0.0472972626606686
RBP4,,0.00814002904018113,-0.006212418721807911,-0.01066106624660389,0.00311327688555727,0.017442832379177743,-0.02018507067664375,-0.11625093928714536,-0.2665075761950211,-0.09298341920329341,0.031178337399407466,-0.027231866236865125,-0.040297847729523856,-0.16480370959164714,0.03839087532081085,-0.02505824484778589,,0.039753522549295435,0.12570527503567258,0.10353296222567303,0.027475678254341867,0.05036268476485976,-0.0033593829064230557,-0.007115996655781012,-0.005161909938789146,0.011864603064597043
DKK3,-0.026364175580944876,-0.06445261935193966,0.014032743902751964,-0.14048362414225093,0.10822696529675943,-0.03369373834544518,0.04674654659079008,-0.3205203090446858,-0.3816723520509797,-0.04848510519583079,-0.024080218071031983,-0.008282497545788439,0.05940352639346165,-0.17946524526867116,0.05922375696088493,-0.0019700906796499165,0.05305411361634257,0.02834435888004139,0.10116382452831903,0.04631939887075216,-0.009804335937048178,-0.004253958737643854,-0.11448310111531347,0.10461486345555907,-0.08845645441565274,0.02385323187961248
COL11A1,0.017938413396360174,,0.00249566631054808,0.04241245040991148,0.03633980354093166,0.03084062365700396,0.09119438899999861,0.37296262431988875,-0.058627827792664504,-0.009842751177154106,-0.04564941374025179,0.0072130119763997025,0.014272245275445633,0.030090098788641224,0.07750990172434191,-0.024254978485611606,,0.10086057341141773,0.055760728042401286,0.07702028277288986,-0.01391383620482832,-0.049916657046448,,0.012461856937866913,0.12660517030624094,0.006783952320067632
COL5A1,0.05773981979740612,0.06275023292611898,0.06120103103578816,0.04748605488768976,-0.040952360923591655,-0.010301685955218739,-0.008381372462401506,0.16869934307000561,0.23088781656101415,0.09136145448693744,-0.00120472274519817,0.07206997444292192,-0.13850591478246016,0.08220654856650199,0.0753924739800068,-0.04134163273517911,-0.014485077994308652,0.18420810028250437,-0.03890523704286889,-0.05394595588557024,0.09364187329013467,0.03609144202615211,0.1038250945770263,-0.12343101812236223,0.09893786082396772,0.01733482831261302
KISS1,,,,0.0718357337834341,,0.02079764126597747,,,,,,,,0.07121270838401737,,0.09709766325953506,,,0.04242308590630261,0.0302789816779473,,-0.02945417985744302,,,,
MEGF10,-0.0757013543069112,-0.049115648970019334,0.02988456090425284,-0.014753149290140963,0.04140008648568031,0.0025484772279865506,0.16878665974061022,0.15284532546533952,-0.05573516715010114,0.03448913549566186,0.02144194200089981,0.0820405422549413,-0.02660234643758604,0.052856809764546125,-0.07427079287610748,-0.13784440908194753,-0.08244359539588092,0.01196931275329121,0.10947638015674031,0.16382901453895718,0.001700957497184818,0.029693870881888157,0.057123803117274476,0.14779528962939065,0.00674979948365835,0.06104331278365415
CEACAM1,0.01719677764019615,,-0.018210250123867698,-0.032482958052829636,,-0.03704601919414558,-0.0034960368302080743,,0.12420358491148174,-0.028532398582105937,,,,,,0.078994441949964,0.03819420642640676,0.05852975820496057,0.0029942999459251687,0.018057764608183702,0.09367696541598537,0.07048457276128249,,0.0749241102301043,,
EFEMP2,0.02019549316858996,0.05466097110609585,0.06693208921389843,0.009977402997733364,-0.03568737168954803,0.020790566877176935,-0.0009676487257081706,0.18851323145732812,0.33591204693395094,0.11516988691747451,-0.028097564673617556,0.09045708978466109,0.0437876010380852,0.15799567011423513,0.12474533396911269,0.01818978394817212,0.03876113226309596,0.06892984460773206,0.04642990075502797,-0.024710830858904863,0.06507164479097269,0.07640099404955114,-0.016304037474530093,0.03860818234776348,0.0673201314241456,0.06213445426034134
IGF1,-0.03875126615793425,-0.057872605657350265,0.07893205935526464,0.005531933412382757,0.07555762126050361,-0.00768130716980014,0.019857929520347817,0.010573842594245354,-0.04778351633582246,0.0008304219770044597,0.021544287264498977,0.0010707431256892974,0.07332385011706746,0.018494522944575015,0.012020204586592392,-0.004993936405417241,0.024588193659484888,0.006418368493101357,0.05196532646068643,-0.03516866302157233,0.022543242073905755,-0.0005467565154630256,0.012505779945050397,0.10208763787533234,0.10028431529856723,0.058934654453686695
COL6A3,-0.005794632908398613,0.030988771486248137,0.06203871263459392,-0.02816346299744545,-0.08173750190343425,0.03989664516142186,0.01531081727788178,0.12587540950488935,0.03272841361654703,-0.0030206367355441305,-0.04184174773250949,0.059759461135350384,-0.12819688923855715,-0.04266460919518438,0.07625516557975971,0.008063168351242817,0.12029938291010767,0.07341211569965797,0.08283481109307883,-0.058129263267870636,0.0033619986633407184,-0.0074210866398984315,-0.014176448772675862,-0.06785052899212564,0.025798414104194072,-0.14087949143080933
RLN2,,,,-0.02816707714219158,0.01768068923240514,-0.0370887561363362,-0.03529056546299578,0.08634837000704222,0.06420643849312875,0.012537454348593385,-0.004110548317459362,-0.05691700657749414,,0.006869798829909302,,0.03785302814011486,,,0.04328458208300695,,-0.012168220653376503,0.013394008722111304,,0.0661257267372383,0.026953611697126848,
WIF1,,-0.04473400935848884,-0.030893014649679983,,-0.009707968313113382,,0.05121799271067628,-0.2117219561565012,-0.27241192242243295,-0.04139917876392179,-0.04028713072466226,0.017649043495735917,,-0.11541231934579495,,,,,,,,0.04572572968221695,0.004632246078129553,,0.04772427275723292,0.03172759015256922
IL13,,,,,,,,,0.05303637979364346,,,,,0.025001254686735586,,0.014944534685952561,,,,,,,,,,
PLAU,0.004845902589212845,0.05119108316133655,0.16234913825640152,0.012428493620986202,0.07851706789647474,0.06908559168277999,-0.05194608504725501,0.17891160343621812,0.41854334811615057,0.1272739412123126,-0.007704522069560488,0.056843359087554265,-0.027779310686777324,0.16278587556555277,0.04528020341340991,0.036755830592638664,0.03361919615867844,0.08907460001994003,0.02329823941450077,0.009067637148417572,0.04153448885186702,0.0387416011514238,0.016584478514620034,0.07548207999583183,0.11028077744427667,0.018138239716390094
CXCL12,0.05031132995777053,0.020879143970456517,0.0457097868541504,0.013202574402939657,0.17836669141312766,-0.025067930387676234,0.03519167695475131,0.05553519418258416,-0.040676800263668496,0.039284181380598346,0.00025047601484370175,0.11844877409905251,0.01669185414538138,-0.02348188407501818,0.09763903610045145,0.07655653473820219,0.043963884325336045,0.019756563963334067,-0.006000129896470301,-0.0015591336650770007,-0.027812578121599454,-0.020301586742633746,0.06734859334074651,-0.03242655213626952,-0.010588700805942281,0.0595059998695926
MMP9,0.06396368250118058,0.04040788418375498,0.04084087207309611,0.08422397443172433,0.006023924919771861,-0.027219062497140505,0.007919019109312166,0.13014188725305376,0.3597835524468237,0.05102144160650696,,-0.010195418509475985,0.040433820923269914,-0.036498818364030725,0.07518072002314669,-0.02611004551215893,0.01792302246634967,0.07582552701567602,0.00045382377229678794,-0.019989383506050343,0.008735644196649774,0.016569020735111902,,-0.10995161385475062,-0.023411431830091277,
TNFSF14,-0.038949671456661325,0.05986673295442543,0.012550575602333336,0.01168068760593502,0.019051443465278314,-0.04396029805684087,-0.05982636347355408,,0.10963632246417176,0.024026914064925704,0.060821828219548166,0.007965267088958202,,,0.007669117637361484,0.07471278280407037,,0.013500605050103356,0.011084224992508282,-0.028821034972336367,0.03483952796482748,0.022525060910950575,-0.0390108757164814,0.004924218066182786,0.07532040347806762,0.029773377120132047
HBEGF,-0.019697946296809512,0.059996654060915186,0.10165735866885804,0.05222840135324911,0.03336453878575497,-0.02698778723471801,-0.06758454247529552,0.21803441506139276,0.22192991610273585,0.10525323456074387,0.01572994589641892,0.033277832980953596,0.010002125224785784,0.12135016522353688,0.038350129693394776,0.042455427467970264,0.02257802930141538,-0.007782992179401842,0.06504785968992177,0.07200029792483414,-0.003797757181367514,0.06374585129282005,0.10712660476395158,-0.02988955717959624,0.09576894643479648,-0.07598032485596011
NUCB2,0.04043494096371674,0.03571192666245645,-0.010264912843484039,0.05132409358267163,0.028482627421377395,-0.00855565171956715,0.021853780092779315,0.049879066385702664,0.1566280674655443,-0.0399859649197804,0.03084290259646666,0.009080932413280972,-0.03470992403669363,0.056205815137608243,0.0301984809943034,0.02118241748269584,0.1020620564509619,0.04156566189378818,-0.05875680668327062,-0.01966796656710832,0.0354760738164072,-0.08206363424197927,0.08434525054239327,0.027453734340137,0.060812522242731155,0.06647445758795513
VCAN,0.11390984555155005,0.05193185315622179,0.04419080029437504,0.03898639542846948,0.06318730527135993,-0.01851898574935031,0.10173259004076655,0.3493705837079912,0.27263320177049966,0.06919700256652626,0.026451757996351865,0.007551721090321701,0.034499575305232066,0.12436536888945667,-0.12089338958647379,-0.08266235126184299,-0.09162024204810061,-0.0019471153279904607,0.010113912696404962,0.1131900252507871,-0.010457793387912164,0.05682798419670528,-0.05637920957533827,-0.16384778505083208,0.08900456792534132,0.019960398162425372
VEGFC,-0.0429885760367565,-0.06564721328091361,-0.02590788150050328,0.03186174413281625,-0.03329797034295616,-0.011525337529051435,0.011083268361056659,0.060408919775502695,0.06951220572395952,-0.06287082890326268,0.03858567452711933,-0.037005875270652536,0.04567194381617938,-0.05462023841903272,0.04860978610125042,0.025679840823172456,-0.09223262937704786,-0.061835329011480956,-0.043016204420372545,-0.03094476093863106,0.011952029306154055,0.0029669376621243755,,0.037143344441755745,0.07704825290227528,
LMAN1,0.014061309951600157,0.10307835756290301,0.012813606386030848,-0.06819198754875787,-0.1731848607789849,-0.0018934135003546124,-0.0498747969791462,0.1322746768842729,0.38570367846742054,0.04713055802870538,0.00795213751832296,0.02262681637006582,0.025019661504013156,0.1600725920061086,0.00531008969509994,0.05759051273129171,0.09328135981804381,0.08294428804852852,-0.07360751906746023,-0.05718955058389708,0.058184302905521894,0.008580718369293255,0.1044761154860532,-0.08823394711984289,-0.010193264535147252,-0.04198746842474039
IRAK4,-0.042893880100460954,0.10012430908596501,0.07391613090479583,0.004744494646843027,0.03810888286047902,-0.00979145856672692,0.03532767550169529,0.2397916658048267,0.22453153666085257,0.03292627605020836,0.0017735287167072408,0.012945035843068711,-0.04470846213648268,0.09347297090837209,0.046629433545773674,0.13345918915791224,-0.06172996233397968,0.10283564728633937,0.05443958145629333,0.04729140545411942,0.04429028986042105,0.01624561438073595,0.04076195075159657,0.18350902044565048,0.046597621396370144,0.11746275875845835
MICB,0.19445067580900616,-0.013476475090990911,0.027682655032998726,-0.015076867482919866,0.02199575431091986,0.01614453278118001,0.04078099215485799,0.06316232862657815,0.18798773240388564,0.039034024944762796,0.05742853853241527,0.11413709753311418,0.03883654945399118,0.00409190012882104,-0.008565577303161867,0.10635096081147166,0.08373102054561499,0.15591055699926487,0.0650337050898312,0.025709780554931772,0.054945062001067226,-0.03343893244178389,,0.11042319533229661,0.09691523846520134,-0.01365428154931101
COL1A2,0.06732725437994752,-0.0025460638870965094,0.11799774012528041,-0.017519398209059275,0.061472913722114705,-0.0008142107954816274,-0.031141281573983864,0.14201873980709379,0.3804737032099947,0.0805614611865494,-0.027253255244678656,0.0406322622674162,-0.14022445292512137,0.028018910183508595,0.07575898059594272,-0.02497794994192228,-0.10686087276374247,0.051522482201572115,-0.020368988091560177,-0.058479866670131976,0.05126768318746168,-0.0028222596346939837,0.02753038019382489,-0.21366519703287587,-0.03300760805730075,-0.02128617112873076
ICOSLG,-0.08902765258306976,0.08527792992293236,0.117447864173974,0.006123419780225166,0.025080485588738655,0.03853227418664736,0.030533071310618356,0.1506657904619646,0.21288522053885817,0.043804490319275274,-0.0022663822041842346,0.0483161425053394,-0.0012683429988613257,0.06012221029618493,-0.00768839154853083,-0.04361809308236427,-0.034097050033334665,0.05719236206436956,0.029320873850908927,0.17131351419912536,0.03907634438177809,0.07406972742367203,0.0012779689239285424,0.1393611153930349,0.05403691198243557,0.04100900329239715
GNAS,0.11890411856631729,-0.06468013026766328,-0.01613946632970576,0.0038365694228153797,-0.06727890413450897,-0.05942531103672621,0.054389936258984924,-0.2594713407753105,-0.31534524535028957,0.0010909444367546328,-0.010921460252961644,0.013737374438215294,-0.10539261165389073,0.25469895133816983,0.1087059332915757,-0.1322224929016488,-0.11592375845525961,-0.015656452974486045,-0.09867219008534664,0.036452755588138305,0.08947747885543274,0.07488329235307037,-0.10148188940108185,0.03370395208000978,-0.03933834826421832,-0.09189033725817355
C4B,,0.04868286830186962,,-0.050364376784454934,,-0.013913949232759262,,,,-0.026228276996352988,,,-0.03631973264879604,0.01567438877607428,0.07376286299881105,0.08041197641274302,,,,,-0.01071627364221614,0.0167058063854294,0.03590669912366136,0.0386364658010682,,
COL2A1,-0.04872733193429331,-0.06572656419530729,0.040770590673361654,,,,-0.02664610945526573,0.10564679463392306,0.04233341239842984,,,,,0.011345209131384607,,,,,0.004960935968205432,0.04266134134408771,,-0.023215919829957597,,0.038621256772223014,0.027907283679321472,
GSTM2,0.06746793914868082,0.03552650966607716,0.03042560833241565,0.028404035914621244,-0.03055880553784391,-0.012598723876949285,0.006302098019227112,0.007731852953406664,0.12923268854494768,-0.010489649973604935,-0.03521283712542411,-0.043274564338378785,0.04345838587912262,0.14199246285649306,-0.057857084898476414,0.03675422803398628,0.03734246088561224,0.07190188812292235,0.004420865636659718,0.06641052283712987,0.009899318965819482,0.02075079860451991,-0.03181990894662947,0.09164609831773482,0.10929001255036865,
NLGN1,0.09654635801001842,0.06739591295214918,0.03583173821352937,0.03829158642614973,0.10137056727898493,-0.02157967433521198,0.08900438170720407,0.12178206669827009,0.23242280813450844,-0.012439277295530286,-0.07370255345814224,-0.029956555505994954,0.1234445637307499,0.05486250545690371,0.11283062405220581,-0.06803564253263013,-0.026435184328401792,0.08929481843446241,0.0719859534046463,0.048926211768838344,0.03154873378716985,0.10275701887520541,0.14394002821138197,0.1601063188745057,0.0688325534965302,0.014993688117652997
SCGB3A2,,,-0.008778562853941232,,,,,,,,,,,0.0025916529418556233,-0.01672307624114542,,,,0.06743049235931417,0.037225639333120134,,0.0216485093018689,,0.05756641684243003,0.08661367762590011,
LEFTY2,-0.007848575683211281,0.025170106167296803,0.12006208622841212,0.006749390175577993,0.05639590630821409,-0.019533534459540768,0.02056184816149006,0.10282928982913443,0.34946910866221714,0.001030455948313291,0.04419396030031713,-0.038609265467568384,0.07929217779361956,-0.010981478567543543,0.022335866532274914,0.037393877145274576,,-0.015367652070207507,0.013148429748091165,-0.004509552007286476,0.017539236568821556,-0.030258401099419442,-0.029861792468029173,0.10266632512872999,0.05570912227719189,
ACE,0.08375174942398517,0.04596695448214045,0.0879600408565803,-0.022899280427880805,0.05512585179991209,-0.03956617394441477,0.10319408761590074,0.12465279502324314,0.30110717416215105,-0.006154358146871878,0.039411190466421185,0.12895593016984883,-0.01056214333774007,-0.037303833163293075,0.045856845396100306,0.0021140130569740068,-0.062354502007244766,0.1415737620356173,0.0033096197753797515,0.07705130409438499,0.09007582091635832,0.051491826098676474,,0.045687898491968235,-0.013390809963081915,0.061785005974352276
RPH3A,0.17149724922938486,0.007629083987022504,0.05170610607704086,0.03875347652886605,0.031359713720247054,0.025945044329035986,-0.036621459183906885,-0.05321318827608794,-0.17325947875920503,-0.0793776757554178,-0.02225338283564245,0.007808184279461489,,0.015693005676081423,-0.05646861907991217,0.01699551399189034,,0.048719677579128394,0.08515997700200141,0.18299719006502224,0.04327153671384668,-0.0183192015194606,-0.06834475842902582,0.0470166536160937,0.005735637650252616,0.034497113527364225
