,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.03935592660407305,0.03922629269434277,-0.02622456528474643,0.03666268867427442,-0.055757996417658544,0.08003803020967679,-0.005385118339727246,0.13448311595535337,-0.009650839539549988,-0.03497617185466077,-0.030189705686947316,0.009574956908122758,-0.0028359088319398766,-0.07913488958380571,-0.0838936041030797,-0.00014080621508234667,0.05169806836016869,0.03435806270400922,0.05887942055271447,0.0721959333609836,-0.04232184514247621,-0.047382677029357466
RARRES2,-0.019288015470152423,0.04078564441979446,0.07252916439822468,-0.004804078308308477,0.01231364609641368,-0.0025031747090201255,0.02653792127936528,0.10154955320747583,-0.027994500463405056,0.030764918713687948,-0.09168373774437183,0.0392028760857789,-0.09126754894881212,0.02365222963351505,0.06160584660795695,0.016086594555244055,-0.07978248546112655,-0.04796797365738818,0.02645556176687584,-0.018792669702236482,0.007334954441350671,0.005266507399630852
SEMA4A,-0.00022305697841993818,-0.0067839180193343404,0.03046333846440226,0.028256446215780513,-0.024321203653431423,-0.021616673011525922,-0.03135109835011523,-0.03618040959522436,-0.04746699213274544,-0.03300718922490522,0.025381406952386405,-0.012160337714265338,-0.03246800104433384,-0.01589431796024397,0.06331709200517184,-0.017072517988549564,0.026843263344301305,0.07739545874759057,-0.01634563409134738,-0.011471930535991047,-0.03817385657385344,-0.033034622118825525
GDF11,-0.025415375004110372,0.004494737177964451,0.015392291630722027,0.01946101278055242,0.02885153747858579,0.02652006977469673,0.03044892485100702,0.06339810753757136,-0.023781211296667874,-0.021764075861563533,0.0576662079669271,0.0021231118876018093,0.028400208578594675,0.0392587581444427,0.1058462536417635,0.025103116707622334,0.02547564236612442,-0.040369240701785034,0.07326397746767013,-0.03516992053553954,0.04411886339232867,-0.009404613031882787
GPC3,0.0808837681008546,-0.028892719696753017,-0.03235153360124988,-0.029641397619697196,-0.01163087018535907,0.0017956271789395658,0.06360794824650083,0.06477258212297544,-0.008634306965691747,-0.026090233282147865,0.0686345911754608,,-0.03885572987323998,,0.10274694398066102,-0.025785337108938544,0.048718493925429165,0.11015706850530717,0.17224865146375892,0.019395201606608087,-0.011023560897269639,-0.037673183024718906
OSTN,,,,,0.04279575819170479,0.1198875497439933,,0.061744730579972894,-0.04439548543135381,0.04424113656093931,,,,,,,,,-0.031036209298865285,,,-0.06828225320879078
GRN,0.0063299534950088275,-0.03679568442030401,-0.009879686039709484,-0.032121993774290834,0.03454549681721551,-0.02127278845463244,-0.039382413405618,0.0996591636826104,0.022017077192106552,-0.03730564679891106,0.009275380421996915,-0.028321337121043306,-0.001053709048692313,-0.04106209214363668,-0.04482456146466834,0.080563872043309,0.026965054648915802,-0.05369671094054285,0.10808933569695908,-0.024087892191391427,-0.03566256980480866,-0.02967306341222893
CALM1,-0.026112047298655537,0.07245811545212977,0.023834104040790848,-0.030886764468938815,-0.03309003269955456,0.009700638836303897,-0.01721976852569573,-0.08654886592802556,0.04124474716547975,0.03488651642541054,0.07096246276982585,-0.07168058345537842,0.03552906275647063,-0.14654917885385382,-0.007376833593775,-0.010013655686151073,0.16173739889701297,-0.017152875853115316,-0.06571674094968248,0.03119594547734696,0.03574434437779217,-0.06482946789886468
ANGPTL4,-0.030735174153935233,-0.02564222350151385,-0.04786003004022652,0.01283726944415378,-0.003124765714692741,-0.0069019613890524915,0.020340748070360567,0.036616238450906856,-0.0247810457631755,0.010589670733098492,-0.12369486800808281,0.11913830700623083,0.052519886159832066,0.09963230485115515,0.06951449138804604,0.004505774526904734,-0.05697156049713662,-0.15464100037886627,-0.0388166065407347,-0.009636071487868545,-0.05448727281742068,-0.03496932946814312
BMP8B,-0.04373492684073535,0.09284691056915689,0.04014684470449445,0.014391459399900676,0.027892306234448112,-0.032056634596507615,0.04780657629801805,-0.01883156411996886,0.03099263764447264,-0.018570462490149202,0.0027358661905128147,0.08976836699064804,0.01371936958530054,0.02343013774110786,-0.0785590294509778,0.040886506847083615,-0.016127040314026703,-0.008792258550682192,0.05061598093780056,-0.033571990684668866,-0.024834263508842797,-0.02447669269520712
