,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.005092687965556898,0.08308074241232967,0.03177651898120869,-0.04271327734429959,0.07188435881725427,0.030281498074909798,0.027833539939169767,-0.05465894687184124,0.23131645451153715,0.06458508630916508,-0.007184910043147883,0.0448744130390304,-0.08130506513090827,-0.017756590932527794,0.06167539500555837,-0.07947073145490063,0.00706361603529979,0.11994876587611705,0.02486397634711896,0.1272520800843525,-0.009187522478099164,0.009193215061543235,-0.052377333810784805,-0.09135527515046883,-0.06553130073306142,0.04397101890093318
RARRES2,0.0632554598450131,-0.06884226858542787,0.045639079960831795,0.06992605376725566,-0.011817085580918643,0.02301290326035629,-0.04724943004517942,0.06446612289459988,0.2769970556985241,-0.03808439370653636,0.025460614094922937,-0.026067545976807254,0.029081026813011286,0.14972557887395682,0.06146712760265205,0.05369689051930091,-0.11745087719297216,0.12165404295226935,0.03195061733588664,0.047772756549732426,0.04085341877793027,-0.002837660484675195,0.06666304771334228,0.08890458471059338,0.18476635935931,-0.04096823113780639
SEMA4A,0.06384892216339136,-0.11308737453767556,0.08522551782813095,-0.005627553326795456,0.008752883766589512,-0.0231025405043855,0.014810774697616295,-0.01395392173618562,-0.13811025856494624,0.03517255124278569,-0.013597216772515977,0.012473743979891923,0.05067054718445621,-0.025344093662684596,0.049767297449058286,-0.03895083376141868,0.07297724826540784,0.06529736102307108,0.10769768514173998,0.08682345826468217,-0.011342101586159878,-0.007549919405560905,0.005023803627458678,0.13166542047901836,-0.07974725619968114,0.05460159435185135
GDF11,-0.001640395812121562,0.07769727897517754,0.09679150165036257,0.0748101669078877,0.09299860016782321,0.023331573899069223,0.061544796070867075,0.12405772038292447,0.16169863035553372,0.023456811676469708,0.02212389374888212,-0.027262770701966324,0.0053041746662219925,0.05408074153063534,0.0324951638173362,0.04873473452340543,0.10253648618745718,0.08139983312304877,0.044327181560474736,0.030378798198912604,0.027780165057974204,-0.04077093417439052,0.020368651293492458,0.1479859008072941,0.019348088837450653,-0.021460617661345483
GPC3,-0.04296339804124089,-0.023309564771939267,0.012875108830137913,0.009844956087786655,0.10194354597630503,0.05236713361816916,0.03398270278861622,0.21251673306095623,0.08351922008876762,-0.002226944485535245,0.03295576406014598,0.08931904492449366,-0.0054735138904921906,,-0.07109369545755877,,-0.07662886816383382,0.029836356545737446,0.03980730824303443,0.08318801153955425,0.002898321032416289,-0.006328972373254055,,0.15104051256542764,0.00789441657241935,
OSTN,,,,,0.05389192499870103,0.01862019635497861,0.005817442148522988,,-0.04813793893761306,-0.01969635274331175,0.03191294914779528,,,,,,,,,,0.006834836110205365,,,,0.0432757939074426,
GRN,-0.06134584928862235,0.0779385860879411,0.08474811066092819,-0.0649542573153764,0.0916053287924487,0.050292176137982154,0.009370677783923276,0.07282814263583373,0.24297199824439003,0.009122819662320618,-0.034210936908025284,-0.031413040588735945,0.000382034841262079,0.03068356047126672,-0.06264257247394629,0.025491938970121725,0.16989204870270488,0.11098709153462052,0.051062099927895656,0.06412712246381451,0.07585109177946595,-0.05317631214062352,-0.00717120651023509,0.0623530417525826,-0.030792137908977862,-0.018358521682876924
CALM1,0.017717867686234103,0.04638208562549124,0.03681793409292846,-0.039134890478900224,0.054049804825887546,0.041756802960935306,0.04832509619492884,-0.17334524473515825,-0.31008985314678716,0.018057063614618816,0.041921734749633024,0.06851039917423256,0.11749090624296996,-0.0898447962292017,0.01771481334263,0.033211519148468586,0.021720045593029598,-0.05597807497857464,0.03309588742312732,-0.0017528864062306081,-0.09264283745354025,0.007562053049749197,-0.045205587621782166,0.14916194847150716,-0.23528133865716816,0.1502848895774506
ANGPTL4,0.026988354839693623,-0.04876351936726141,-0.10460594992144229,-0.01572369648650024,-0.0685930632543148,-0.006766088058855624,-0.05280965637200521,0.0070873749046271506,-0.015451913575463733,-0.017847660171380886,0.0012938317572663896,-0.05089417130825638,-0.2392639287337175,0.017989814868143376,0.03224143554135425,-0.017047900896276183,-0.1532609790494845,0.11601968203750092,-0.005422781183374327,-0.08763108925407655,-0.003190685160180989,0.04095422134625774,-0.004849435525643917,0.05330051599193089,0.19884762264184727,0.12240447852223157
BMP8B,0.08672224261337493,0.059008416710004646,0.07159079035755668,0.02201457844589067,0.01309927718412217,0.010585242436321893,0.02113887101502395,0.16833168428837664,0.06842018654603459,-0.024633595918441296,-0.018352133010726742,-0.05937339957432386,-0.00033454686136408484,0.0583095890168241,0.09129615120377964,0.01063179576519183,0.0569051778380482,0.12369185026831216,0.06332774154328061,0.08228122981795531,-0.03148783426821738,0.054201553335203226,-0.03831149428588688,0.07558320564620667,0.03386284401769559,-0.022907510179456685
TNFSF4,0.07012868401445949,-0.04159788171411863,0.002000537006251407,0.06118635008222624,0.0904216091780377,-0.048058852399016305,-0.0037758992474448607,0.0984621522522984,0.07093172553204383,-0.008054594960967226,0.009793305456027041,-0.016029934553250073,-0.0067257485807287526,0.08060275141189818,0.07217747324361543,0.002121007558758114,0.03710733159464377,-0.043155443929908506,0.0730057610746734,0.057540263907989206,0.03225366325165672,-0.006882852867111609,,0.0917178720583422,0.07969917169341983,0.05069734315989996
