,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,ZH916bulk
HALLMARK_ADIPOGENESIS,0.07016648021105348,0.036949026713851335,-0.03355671218332021,0.019564759364273217,0.08222771875077596,0.08369554118551145,0.03125070852856963
HALLMARK_ALLOGRAFT_REJECTION,0.049579468679174295,-0.08076640773745943,-0.11408059127011588,0.044836289076644845,0.028002300358175608,-0.15738001740183508,0.006397214199377756
HALLMARK_ANDROGEN_RESPONSE,0.03358481327283095,-0.07896599481740377,-0.12059537598736744,-0.033438137950298596,0.07376075528034133,-0.04837549834994026,-0.01613036218977382
HALLMARK_ANGIOGENESIS,-0.02883478414003386,-0.0586130842560759,-0.12578944301692555,-0.04069950947462064,-0.006660880453018009,-0.13900932021172427,-0.06232946075744415
HALLMARK_APICAL_JUNCTION,0.10001621191680254,-0.06252912774795123,-0.08194495947419611,-0.03750761598873128,0.10237891513600982,0.08735649770382663,0.005863463411084817
HALLMARK_APICAL_SURFACE,0.05647758468532246,0.07534349613317427,0.08252169373504303,0.03464076091790298,0.07494615661967748,0.0904308764358695,0.03506706984392695
HALLMARK_APOPTOSIS,0.05528871038482472,0.014260708611437972,0.004895208987010049,-0.03341269298413214,-0.024548665361995122,-0.008145689408782448,-0.015315521459860622
HALLMARK_BILE_ACID_METABOLISM,0.01948435290097272,-0.0003783346571200754,-0.11809026091140798,-0.01086590746271157,0.01634767552107398,0.010506790037718667,0.017975677010619723
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07744262940337537,-0.10050821620055841,-0.11275085054760373,-0.07858638176857065,0.054092511206785716,-0.1621528527113942,-0.0123139807241872
HALLMARK_COAGULATION,0.09723904032955137,-0.10218841610499006,-0.134556487141195,0.01735267802858211,0.035760781982669215,-0.1656048649539213,0.004071932430862717
HALLMARK_COMPLEMENT,0.018066045414422256,0.0034927734699481557,-0.08606901565985849,-0.049287886479649864,0.10472093380394358,-0.10072372972395381,0.01461904029829086
HALLMARK_DNA_REPAIR,0.06654595064943192,-0.028122753720920234,-0.058150508420836716,0.009792414694442617,0.09989232456815958,0.14668072157385856,0.024852481060518163
HALLMARK_E2F_TARGETS,0.048680593908029576,-0.12102269038361979,-0.08349746215970663,0.02420731917849969,0.08058043482525326,0.16420036111396885,0.00022056153138708484
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0666646812980688,-0.10000302611370317,-0.08814205695751759,-0.05800195558101356,0.07217428008905616,-0.13851819355413744,-0.041366581338604824
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.06333710161548399,0.00810585362877968,-0.07569190876722202,-0.03682035371797611,0.010566807840408867,0.14263086740856082,0.030399813281218345
HALLMARK_ESTROGEN_RESPONSE_LATE,0.028708579334898218,0.03578686285206604,0.10350011895662464,0.026266209315675974,0.08041690151497526,0.013917486300570856,0.0021718147435109323
HALLMARK_FATTY_ACID_METABOLISM,-0.002952132872448789,-0.041042777791677504,-0.08513718074584525,-0.03919039396481038,0.025301678767895734,0.03786070580405272,-0.03633569949503568
HALLMARK_G2M_CHECKPOINT,0.015641348915590422,-0.06032231971716395,-0.10514253721853473,0.009459945771356377,0.04303850896169514,0.0031624790719747436,-0.05439819232932128
HALLMARK_GLYCOLYSIS,0.003499035722876046,0.02729287942029157,-0.0606831254124596,0.02633843308123391,0.06693297210169237,0.19374595168004105,0.029042597464868935
HALLMARK_HEDGEHOG_SIGNALING,-0.016599756420120747,0.1274825966940973,0.15349977314216845,0.09262813799809097,0.05973692034340969,0.21744617381047376,0.012562985743542804
HALLMARK_HEME_METABOLISM,0.052632008431408125,-0.007973770521020211,-0.0760551871406495,0.024615233971162862,0.07267486234111036,0.16308929166730105,0.05174927772791113
HALLMARK_HYPOXIA,-0.06243194148031747,0.023636868224240416,0.06511114833600626,-0.02823417532510103,0.018406021175273467,0.05652931757952155,-0.02580933197077251
HALLMARK_IL2_STAT5_SIGNALING,0.014832591950102586,-0.018962731554708442,-0.09076670535041591,-0.021989652624099514,0.06938341761124814,-0.03745718842339651,0.007310436984578886
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.056057634337830835,-0.1313014478168034,-0.1073574999764955,-0.01849999095223595,-0.0036546804825789048,-0.1460163345519094,-0.006145923568297936
HALLMARK_INFLAMMATORY_RESPONSE,0.06488012885707427,0.06737914349507229,-0.09540724873070805,-0.06706708525293738,0.04520079769993303,0.07088066410422228,-0.049434730274408194
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.04545132567038909,-0.12272107953470836,-0.09936924821561813,0.04311569125232676,0.033353681006284774,-0.13058016620108417,0.030936566453677983
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.044133332894586694,-0.021450857574541196,-0.1113361315964828,-0.07973756193227571,0.06269715358109527,-0.13044405990589836,-0.011375598938394548
HALLMARK_KRAS_SIGNALING_DN,-0.022589854110455644,0.08691353263256338,0.05314631604872254,0.02008022376924292,0.059331847914873226,0.21913807378754716,0.06631743293999416
HALLMARK_KRAS_SIGNALING_UP,0.008814880228188443,0.14959521228549683,0.09458408750697608,0.07580696694787392,0.04673497889827932,0.20556937862426855,-0.020558806870551824
HALLMARK_MITOTIC_SPINDLE,0.07959734210188485,-0.05050203717675789,-0.07400767408877855,0.002284601921042138,0.08236284119524184,0.13298876959726072,0.006851984724600944
HALLMARK_MTORC1_SIGNALING,-0.0364992273776463,-0.04736102946809588,-0.07902684477484619,-0.0431719296627627,0.09486292262157245,0.16564023967753144,-0.011517183085316067
HALLMARK_MYC_TARGETS_V1,0.05563275200636041,-0.05507685556993626,-0.0667994027009416,0.04577837221261309,0.082572346330822,0.18970156589532539,-0.003988294586218928
HALLMARK_MYC_TARGETS_V2,0.02750514702905954,-0.11522722932795487,-0.06226831740191653,0.02946163602994577,0.06850236271826328,-0.02566380422858631,0.027706499088832957
HALLMARK_MYOGENESIS,0.10704908281701682,0.049595940546699496,0.050055611216919635,0.06876746356990428,0.0652931885743743,0.08566216059926549,0.030411684644884193
HALLMARK_NOTCH_SIGNALING,0.053602824897917144,-0.05030255862789575,-0.05988076578074385,0.02425394348855307,0.07167493440039958,0.05374122251471398,0.04946048802467055
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.04229333419434613,0.06637901331249453,0.11385630875630685,0.05905849958148268,0.11753446252397483,0.20633638265721804,0.0453400280844289
HALLMARK_P53_PATHWAY,-0.031240367790197274,-0.02612149847683912,-0.08266453539512578,-0.015500003263850174,0.07278805071569543,0.058953016616107544,0.03396458459066042
HALLMARK_PANCREAS_BETA_CELLS,0.03833686165993821,0.0933033813641403,0.14380860855115374,0.12742091928559,0.08212201503379067,0.19859175834533854,0.022158922186776904
HALLMARK_PEROXISOME,0.07412511213432779,-0.026966326385784032,0.005367373013978696,0.08856531802099299,0.03643671549852092,0.06072552367546375,0.010834504830821405
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.06740666461776584,0.05059139829713651,0.030623645824079452,0.015138697046215208,0.10243935026236196,0.2094239837152581,0.04859393317054376
HALLMARK_PROTEIN_SECRETION,0.02706959660180888,0.05354600007474573,-0.04502304496052196,0.0654913962820642,0.1116751038543331,0.21344665360280643,0.004386653105195881
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.031432476278274654,0.013777438567210708,0.0725055564663144,0.058634947749936626,0.10052674686834445,-0.16499376129886326,0.056008273373240616
HALLMARK_SPERMATOGENESIS,0.03727779334052096,0.06789381459554208,0.033294339744780806,0.03506281434591523,0.10426860391305698,0.18230851844233176,0.04149412077569956
HALLMARK_TGF_BETA_SIGNALING,0.09862885911917167,-0.06556448509535462,-0.09700950185872631,0.04364676408704266,0.023329923569779216,0.03862443608366041,0.008620662466185045
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.05980981326127249,-0.10093663099393275,0.12266046802815932,-0.05898417805097742,-0.04185202059470733,-0.09742733292152729,-0.026926454926328263
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.033147931097045974,-0.07081333243941805,-0.06243248358133932,-0.034070832584200156,0.06721987980972056,0.17210898531200766,0.006538498971463862
