,MGH258,UKF243,UKF248,UKF259,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
HALLMARK_ADIPOGENESIS,0.006970624931322399,0.07110008324521794,0.08351388798386525,0.0036044715172297835,-0.07169072064145826,0.024321133166580737,0.12011495106371652
HALLMARK_ALLOGRAFT_REJECTION,-0.04899024024687375,0.04815566866882564,0.0667211532166246,0.021626247360214422,-0.013908017505755547,0.06757525510377078,0.010494206613907816
HALLMARK_ANDROGEN_RESPONSE,0.02394685501960091,0.0010673540877704777,0.0645685833396866,0.010578037615967473,-0.06870500840388007,0.04484884938714957,0.11214515738379556
HALLMARK_ANGIOGENESIS,0.0033840557270051036,0.04560976457807332,0.014946263287715481,0.0028881979640530144,-0.01692901086520118,0.05474553982736472,0.09607859949396366
HALLMARK_APICAL_JUNCTION,0.09227610667434948,0.057877813719018775,0.053846474357340364,-0.006277268493788222,-0.067734242937474,0.009335691645461207,0.10309731752880505
HALLMARK_APICAL_SURFACE,0.05110089021474477,0.06318628234882635,-0.020120456250531178,0.01871683444287809,-0.05346883006255442,0.03158251334300783,0.08170067602459719
HALLMARK_APOPTOSIS,0.08340897749438929,0.080101092318256,0.01450737039099852,0.016329975434890044,-0.07081234464044817,-0.006410422294844466,0.044800406969952446
HALLMARK_BILE_ACID_METABOLISM,0.004195527365239708,0.052187657800211645,0.033656817092370284,0.07331577895981509,-0.06268321728928515,0.01572557013599312,0.08893869955010095
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.11298876018475744,0.05914448296176043,-0.021269297041809656,0.002985956541811641,-0.07151694124177299,0.03728291575642464,0.13375249425141572
HALLMARK_COAGULATION,-0.00818237928025671,0.04340044568814843,0.09454932805189954,-0.04718558307563343,-0.1011019063695925,-0.0008513075489120808,0.11497383693965346
HALLMARK_COMPLEMENT,0.009322069699214442,0.08517139839174262,0.03651425115922292,0.015518181479866283,-0.1163860369038095,0.0855322256052625,0.0663817925733722
HALLMARK_DNA_REPAIR,0.08786298563074152,0.03719788990697699,0.03654138268757517,0.029123954091453175,-0.06857055445421098,0.04110744969992954,0.14617292149971933
HALLMARK_E2F_TARGETS,0.0673811632160854,0.056000793449948294,0.03672945617112041,0.020409622403562543,-0.09761926770595583,0.07448791510787867,0.13243994161756814
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.10930973234577904,0.013921907720845773,0.04953659659073346,0.010088292859257898,-0.04940114895634841,0.02062802151910982,0.10654876423691893
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.045294659035937795,-0.006904209663272574,0.04256100142691731,0.02861932467654889,-0.04488899097930722,-0.0025600927474283127,0.08818599750049608
HALLMARK_ESTROGEN_RESPONSE_LATE,0.009339824312677677,0.039402606454731065,0.020056679752298683,0.019951060242284855,-0.05657830221301014,0.052095964494466296,0.03585846563601514
HALLMARK_FATTY_ACID_METABOLISM,0.04247018384374314,0.019004662610843326,-0.0033653547253541406,0.03663714714107795,0.00021412547843596678,0.03948704376764,0.07298497718556807
HALLMARK_G2M_CHECKPOINT,0.05042877051144399,-0.009502954178798166,0.02568457505351228,0.02913402131873686,-0.12942442491908776,0.02204356822652308,0.12051891823373835
HALLMARK_GLYCOLYSIS,0.04814116314928297,0.03336755170572403,-0.008798928873359655,0.05424113844598479,-0.05553440730916449,0.03057010590782788,0.12146278763638747
HALLMARK_HEDGEHOG_SIGNALING,0.06079553486729139,-0.009530313026759118,0.05824763268440853,0.027452536270887586,-0.009257975711053038,-0.015889238209976835,0.0008826973881788886
HALLMARK_HEME_METABOLISM,0.0639264560079071,0.023240811467906634,0.0821002073286953,0.020251547599095077,-0.08364762406602863,0.00804301905606673,0.0719688035937144
HALLMARK_HYPOXIA,0.09619300673236694,-0.09027111360472119,-0.050155067897182534,0.030091903347465126,0.022106516367129805,-0.00597689082099038,0.05768216285823764
HALLMARK_IL2_STAT5_SIGNALING,0.028991604687448578,0.0818242758398591,0.05399713584164824,0.029273140922611917,-0.08356857567623403,0.042082792398187324,0.10982873918938985
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.060941700877667385,0.04573038141212725,0.0715700386989969,-0.02229793664840164,-0.09597193994892458,0.060474263597053116,0.14538207279508347
HALLMARK_INFLAMMATORY_RESPONSE,0.021487010746253546,0.08750167150546707,0.037434137347667755,0.04830948348310658,-0.10334005145320634,0.0002885349562975445,0.105233741754827
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.08749193401004404,0.07346600720872799,0.04566792175623506,-0.018467094011168587,-0.06159628934532646,0.034934089972555565,0.1292531148349802
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.09242025829512363,0.06497269616916355,0.06724367752844294,-8.8810023492705e-05,-0.1411756022231242,0.05256946328355986,0.12993228738690782
HALLMARK_KRAS_SIGNALING_DN,0.08902430631707535,0.052328712666932065,-0.012273861428940134,-0.003202477032200098,-0.042722220476584305,0.025794522658391158,0.019822301440429374
HALLMARK_KRAS_SIGNALING_UP,0.01137944262623964,0.07789761719174537,0.077135004243824,0.0320499919172203,-0.07462456306870657,0.09527427651773358,0.03233583564868972
HALLMARK_MITOTIC_SPINDLE,0.08537532535628654,0.07019901039591621,0.07761304980024941,0.003591985201039015,-0.07965331019681432,0.05166315272424177,0.09403818890136068
HALLMARK_MTORC1_SIGNALING,0.040385713020422535,-0.029521862271046032,-0.03230819728257482,0.023533336722526596,0.0023299686902216237,0.052771913877657034,0.11880947554786386
HALLMARK_MYC_TARGETS_V1,0.04840296251506065,0.030353026234854495,0.01831255666829562,0.016972185033455787,-0.031018380905282722,0.03936263858199419,0.13402626278056087
HALLMARK_MYC_TARGETS_V2,0.06489973355691268,0.09014443240626549,0.018990339760208107,-0.011733673316372378,-0.025777339528866454,0.050751357819576744,0.1160166129125417
HALLMARK_MYOGENESIS,0.10988729718198897,0.0854348608534744,0.05814105627340572,0.02439944606999258,-0.09006680600438119,0.01783891703985957,0.005040938288096603
HALLMARK_NOTCH_SIGNALING,0.05499517789145181,0.02913651127544996,0.01928958044340049,0.015702515224710483,-0.05702222711116236,0.033592340045799376,0.0999171090603669
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.05553546199952578,0.07173458791692447,-0.003989377437277611,0.019331102112283713,-0.04037831360823637,0.029395323828300356,0.07083591524884086
HALLMARK_P53_PATHWAY,-0.000865862797575808,-0.015431134237620348,0.025113197560126473,0.04514834175086302,-0.026566330670500102,0.001051303682046192,0.07995738075800313
HALLMARK_PANCREAS_BETA_CELLS,0.01572357280605261,0.051245038431595315,0.062384962194765414,-0.01830219347556533,-0.03327762071850668,0.04447153627228347,-0.015080338419678088
HALLMARK_PEROXISOME,0.017950975528003135,0.07693274740195731,0.06423955377404895,-0.01866670743524344,-0.051297673286341446,0.021145671749496765,0.09448925077505847
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.07758615334225646,0.06343621461665744,0.06456440331437775,0.01557354168635106,-0.06214805026518175,0.052120918180924104,0.08515978777898665
HALLMARK_PROTEIN_SECRETION,0.07788465789628386,0.06100864349091188,0.0641638374837346,0.040348255250861574,-0.06487085513664502,0.042821956881783585,0.1177002417006365
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.06419196734194194,0.008814787235502124,0.01270074214162106,-0.005568575029145713,-0.04355800605708563,0.02464279995105119,-0.011893769885961074
HALLMARK_SPERMATOGENESIS,0.03243685508887217,0.0722708948706216,0.035639773434076816,0.050832621428990636,-0.029873020230509036,0.036021380533493796,0.05451108925677664
HALLMARK_TGF_BETA_SIGNALING,0.07521505309522185,0.09247672120744442,0.08488455399058056,-0.026327347065790863,-0.11432913847296926,0.09731231254745813,0.09187800852654128
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.07862762972769063,-0.045134205080623394,0.03562004784665415,0.033529091754734106,-0.03881266218641482,-0.038145254800356736,0.08864430957387892
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.06822579440005952,-0.012101672741266405,0.03304140495602952,0.02715806717574262,-0.06777737318032367,0.01566083584986011,0.14023013969172538
HALLMARK_UV_RESPONSE_DN,0.06449668667070428,0.0033938769847072212,0.06637839032790566,0.0006706112790996301,-0.05566427710834395,0.015588733088595253,0.08856933498145579
HALLMARK_UV_RESPONSE_UP,0.061417939012803874,0.02728497690870135,0.03208026186084879,-0.009845221312096381,-0.03066778278462961,0.009955118832518449,0.06902856602027006
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.06790404120273735,-0.007011702901324365,0.02485104189228857,0.028304276313233064,0.010839483329286035,-0.054962863164863256,0.08372310260540092
HALLMARK_XENOBIOTIC_METABOLISM,0.0905191127661188,0.05320292410187212,-0.02072329821541386,0.05453825982522824,-0.11602551889673149,0.02162712292421408,0.10001456504120329
