,UKF248,UKF259,UKF275,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.06630413751994264,0.07172338743465788,0.03266373224920495,0.10177843900363831,0.0741563319325897,-0.005883268522088762,0.0957418441650924
HALLMARK_ALLOGRAFT_REJECTION,0.0821032016797845,0.002569764552849834,0.06879695672891147,0.10214303912678739,-0.022389100570779,-0.051345189495913386,0.11254852986165335
HALLMARK_ANDROGEN_RESPONSE,0.08961740844801527,0.020290601003067874,0.04279046830833408,0.06269730133947163,0.0829882292152241,0.05839531169280519,0.07220642246394585
HALLMARK_ANGIOGENESIS,0.01024162852768923,0.03721659035288277,0.031554715515915883,-0.04799460372346004,-0.14056336150587065,-0.03652202654978015,0.02382658889682984
HALLMARK_APICAL_JUNCTION,0.1071749139006152,0.0361033549733885,0.040914678791618565,0.11427316949418447,0.05385985601289469,0.046211712319604165,0.14201567606175214
HALLMARK_APICAL_SURFACE,0.08522039261723392,0.0214252393584841,0.05722612800582674,0.09111913284466441,0.03392015560891673,0.04700633521813236,0.10868810624019924
HALLMARK_APOPTOSIS,0.02524950987940923,0.0524992098973773,0.05106147343170503,0.004220425740593561,-0.011991410672449604,-0.03157758277833579,-0.017756360603920412
HALLMARK_BILE_ACID_METABOLISM,-0.023464949851706555,0.06650882402118447,0.08577308702229039,0.07058311928242157,0.02628132512498822,0.006197181025316783,0.024025051319073763
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.01281754597008668,-0.008652471315467196,0.027075456653879823,0.05327505698144508,0.03925195436898224,-0.016679855303862318,0.007541668618777057
HALLMARK_COAGULATION,0.06768080369130512,0.002681737256562136,0.03776115230370726,0.12249799939940997,0.047922310970759455,-0.008013070721346372,0.11677149043280366
HALLMARK_COMPLEMENT,0.008034596285002622,0.04989636224058513,0.07786453033633649,0.11647152180769654,0.05078875724525863,-0.012651811493508944,0.011875159501506014
HALLMARK_DNA_REPAIR,0.06026374010705121,0.030077652833860224,0.08824562593834968,0.09503170858788688,0.07478335066300412,0.06271406507903918,0.07454250472322316
HALLMARK_E2F_TARGETS,0.056031025620878305,0.01324888339415847,-0.03720127579017824,0.02361101524052903,0.008890130206479288,0.01993475311924089,0.06480334648675351
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08962208669998666,0.02012257125405478,-0.0015402937469681385,0.11781139095720375,-0.09519828773116785,0.029248143169024566,0.0982519712008062
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.03831932794215126,0.03336439244450097,0.004380581658243554,0.06418673178582436,-0.014514176979619951,0.021593160043778488,0.05142830962416209
HALLMARK_ESTROGEN_RESPONSE_LATE,0.029633684815967176,0.010309113636500422,0.06311881125252192,0.018737603689807487,0.02290439456253338,-0.012914697385566653,-0.028445634122946838
HALLMARK_FATTY_ACID_METABOLISM,0.008878146442779714,-0.013374835548030047,0.08202861378318317,0.022243717108027573,-0.0032554108942886096,0.06405242452978764,-0.014242133694578968
HALLMARK_G2M_CHECKPOINT,0.04687670920848546,0.030352238312130474,0.0330058717757187,0.08968062203171523,-0.0038920631547528896,0.0016456292409938302,0.03530657153434602
HALLMARK_GLYCOLYSIS,0.009763150609338148,0.005293114541599323,-0.039977272534269685,0.04406208696292166,-0.011893279802999214,0.06508393780970756,0.03161313896029114
HALLMARK_HEDGEHOG_SIGNALING,0.04872642329181999,0.01677197047026981,-0.009615877725165497,0.00991421323723491,-0.01333482711720917,0.04281138535755786,-0.0005765225976444723
HALLMARK_HEME_METABOLISM,0.03700069480268996,0.0463315417535779,0.01987473649932717,0.06393415778974415,0.032626290814744566,0.04806072094216672,0.06011780267437604
HALLMARK_HYPOXIA,-0.03173648553592047,-0.00553640353207366,0.009749789941697609,0.021643645766430002,-0.08865566217972023,0.062363266140422334,-0.010769974205399394
HALLMARK_IL2_STAT5_SIGNALING,0.05882573800112711,0.049190777396284045,-0.024223739392499284,0.08308257283848869,0.03779796719167543,0.045601664306688786,0.07142736397348255
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.017616725465144704,-0.02373738628792829,0.011871771092773986,0.0483825331500596,0.028416323185839205,0.052661094113178174,0.01935011127789412
HALLMARK_INFLAMMATORY_RESPONSE,0.015171537598152566,-0.011069630143589594,-0.02824938251170524,0.07159801365506792,-0.014410830890236804,0.01926983136988415,-0.026530509991402267
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.11220979506651774,0.0344974541218791,0.08927059045851894,0.06501939943642288,0.04721011972974497,0.07206535855125128,0.10780673777517331
