,UKF248,UKF269,ZH1007inf,ZH1007nec,ZH1019T1,ZH8812bulk
HALLMARK_ADIPOGENESIS,0.0733197253005809,0.1388895150752787,0.2070200669824905,0.1696334101835408,0.09435632579261927,0.1804040638525237
HALLMARK_ALLOGRAFT_REJECTION,0.06340038442304956,0.13483584098685503,0.16629848980648665,0.12717704861249196,0.10109290577596554,0.12512048414130034
HALLMARK_ANDROGEN_RESPONSE,0.10889983514805918,0.09847981408204776,0.20793948148393818,0.10201795243058409,0.05892417237158394,0.06140273166238868
HALLMARK_ANGIOGENESIS,-0.0197865631704459,0.13602248117311125,0.06809752639193509,-0.10725838911722799,-0.0622969256840864,0.15523059911604017
HALLMARK_APICAL_JUNCTION,0.13565622238178263,0.1597507867826322,0.2519175551911031,0.1631212158513394,0.17041098865495555,0.17692546293389663
HALLMARK_APICAL_SURFACE,0.0911317941456986,-0.008640781365115395,0.11077542235832001,0.14869694233718833,-0.08961898947131507,0.12344544986429186
HALLMARK_APOPTOSIS,0.03598049016917887,0.04655630398995267,0.05624441993659581,0.005271780047630441,0.07896682503394242,0.039695075305009625
HALLMARK_BILE_ACID_METABOLISM,0.015001868658120034,0.15342648696971553,0.09462394269239469,0.04442820861183061,0.07696018669514681,0.013346389189481537
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.00714493982279475,0.08270706546940049,0.08329674452981303,-0.008413959721813816,0.005425085450679552,0.07352662513453319
HALLMARK_COAGULATION,0.13449610471271442,0.1431832591184199,0.2632413165543745,0.2622232301235681,0.20111053422328806,0.1610151229079196
HALLMARK_COMPLEMENT,0.009182373948491144,0.1615768613154435,0.09118089376973508,-0.09088058570909084,0.08174253921597063,0.1882886786227121
HALLMARK_DNA_REPAIR,0.09969704277360288,0.14237994447778235,0.14852558184978235,0.10440770579433217,0.06000787550720507,0.17067996898589916
HALLMARK_E2F_TARGETS,0.06011392023211641,0.12104518886564322,0.029731165846260732,0.04808750733060257,-0.042336645596241555,0.10750973917780217
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.13377549545707107,0.15404002938963673,0.26612698000250823,0.17493908623508117,0.20134732591415117,0.1823415332183044
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04818523303304021,0.13601038931708503,0.13154896323114962,-0.007345686393658163,0.12012584626153369,0.13227230873236903
HALLMARK_ESTROGEN_RESPONSE_LATE,0.05796752724027222,0.016570711030390626,0.05138280650542485,0.07656793230822603,-0.07758617112406872,0.11123989591873795
HALLMARK_FATTY_ACID_METABOLISM,0.03342417091754874,0.11112456816863456,0.12474221401331081,-0.042416107165675176,0.1045854027684074,0.024462921304795583
HALLMARK_G2M_CHECKPOINT,0.05785955186676895,0.12303255120957263,-0.027129825636387588,0.05166744206030197,-0.013709892735828521,0.11833208576780324
HALLMARK_GLYCOLYSIS,-0.022237133191165322,0.12445010197525029,0.11823982871737045,-0.015393024709420994,0.009474569529585941,0.11347475059408563
HALLMARK_HEDGEHOG_SIGNALING,-0.018464254979316877,-0.01822529370623318,0.12185093956374986,0.07890748369448083,0.022453037405811477,0.12982357322024315
HALLMARK_HEME_METABOLISM,0.08596958015538962,0.14406740411500413,0.22573216688007772,0.06329706663136635,0.14058352883929304,0.1582991130456807
HALLMARK_HYPOXIA,-0.061061460860226,-0.017351795575170418,0.09216869814001133,-0.19020596397239736,-0.004391907696063737,0.13561740607517905
HALLMARK_IL2_STAT5_SIGNALING,0.055296244690149786,0.13823158923733112,0.1765736373887064,-0.02665946233945858,0.16524701483800788,0.048421738042230954
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.05130747352896679,0.12180424895837524,0.161685500774783,-0.031063343793137615,0.15187612825916375,0.16425728286140462
HALLMARK_INFLAMMATORY_RESPONSE,0.07678239594903516,0.10198487709806883,0.0657868077816118,-0.06115724021566257,-0.022154922927448303,0.13555001597979305
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.06496039672692942,0.11309364877785763,0.2339013803419415,0.16827371785691345,0.09622449807268309,-0.09632311199484618
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.06731246832791273,0.1368781979694053,0.21806072870555354,0.008463109701011386,0.14508600315629727,0.1888145153330261
HALLMARK_KRAS_SIGNALING_DN,-0.0052506761239682455,0.03204189533434572,0.10095935316567368,0.07392698341025356,0.005086697971829917,0.1426507001014913
HALLMARK_KRAS_SIGNALING_UP,0.03401229485787828,0.03404849634217716,0.17657275503313877,-0.008462336172852783,0.09906128462487108,0.1376708065933532
HALLMARK_MITOTIC_SPINDLE,0.1255894927795458,0.13986218699013753,0.21649112052352415,0.030386058008028915,0.11481503950060319,0.08454132823939786
HALLMARK_MTORC1_SIGNALING,-0.0489885116040555,0.12115855070136844,0.10171798395811112,-0.07410330141872527,0.07586908888277213,0.0552281607674432
HALLMARK_MYC_TARGETS_V1,0.06958827962957262,0.1216603243396123,0.09759305942761069,0.07277468945351055,0.012604874665421758,0.09597453343596232
HALLMARK_MYC_TARGETS_V2,0.057670825687715976,0.06820192860770571,-0.056470449208682647,-0.04830618374103935,-0.03302639403316125,0.12749888377727855
HALLMARK_MYOGENESIS,0.14447031329316462,0.013742094133843008,0.26989242994982954,0.205647875661442,0.153665271772728,0.06316538724800956
