,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.02513629830508834,0.00241886815231997,0.053997628010799534,0.027031345789838176,0.09765444439146347,-0.007568171316953443,0.1397947530490399,0.09585271389640947,0.08728003278746309
HALLMARK_ALLOGRAFT_REJECTION,-0.0019439290929312843,0.028562688862302097,-0.033417634705655404,-0.06759551147790052,0.050964858193348374,0.008952446393375155,0.06976394609339263,-0.04118027442359944,0.07016512550967338
HALLMARK_ANDROGEN_RESPONSE,-0.012810849531473347,0.07610491563724417,0.053207027978352466,0.034571268443376865,0.037464124360311726,0.000856946602803362,0.10938151688224033,-0.0109840035240876,0.05862500219662153
HALLMARK_ANGIOGENESIS,0.1541266561992094,-0.01609245253285328,-0.03355904072956982,0.0055612848978765965,-0.0027786134800710585,0.02320310007749943,-0.08498541611678312,0.023860896865404563,-0.06661007823913684
HALLMARK_APICAL_JUNCTION,-0.02052202866862066,0.03374179452571117,0.08519851241035271,0.031083214891267186,0.04850488105468487,0.022828553211580716,0.11192984479419918,0.050404743081777094,0.09463847620138388
HALLMARK_APICAL_SURFACE,-0.028231649783443925,-0.021066245631961366,0.030925991324329098,0.0034605088792016257,0.06105614702893754,-0.036421502589838936,0.0537134483078597,0.026420706774730334,-0.037278548899085974
HALLMARK_APOPTOSIS,0.11273118802397786,0.005912537048043943,0.027474725960514236,0.05031163622309617,0.02719166178626319,-0.033560650358468565,0.007743672887535395,0.02245424884912764,0.055410326570443674
HALLMARK_BILE_ACID_METABOLISM,0.007073355519248994,-0.009528405774221696,0.043218388506276115,-0.0015808469270184478,0.11496279882220756,0.04324192121544474,0.14758334353733032,0.05741153385331008,0.03763283801312406
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.03886622739991528,0.0023118761219951705,0.06898315716814188,0.013613487943988133,0.06335940878561525,0.0013669168283688775,0.12228550008360799,0.03958250847464692,-0.01148722537850272
HALLMARK_COAGULATION,-0.02966277009199945,0.10105218605207338,0.023959551694000835,0.0017027583020156943,0.03889478990416806,-0.0072804762243765695,0.0361496253787615,0.01713149903122769,0.030326974915149733
HALLMARK_COMPLEMENT,0.08591391529510004,-0.04077745738977528,0.07282676539109041,-0.006083951849556799,0.07466664782859428,0.021091693135456013,0.10574979361282746,-0.00443162432811925,0.06640541636136163
HALLMARK_DNA_REPAIR,-0.0055690301054396076,0.042989487840245505,0.06965315583876425,0.03767270715590155,0.06394736009550138,0.01891674586349235,0.14143865997647345,0.10194392254057832,0.09129802360855974
HALLMARK_E2F_TARGETS,0.024896472587066912,-0.010685229867509506,0.011734144739764224,0.006940343003610989,0.06299118391711599,0.045940738038883794,0.1596708722568466,0.07134494623369836,0.07484740120098683
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.033722515444964386,0.07414536081413013,0.04659621998074388,0.07966245468816137,0.06403221297207616,0.021346095811382523,0.02101558499429084,0.04388502760153017,0.07867048969773492
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.016899692597138114,0.024031606880797803,0.08407940653477881,0.060852964534308815,0.08738281078106698,-0.009339231805893473,0.18110996273973032,0.07175639978750929,0.1563080836996776
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.008010780246868838,-0.04533761866054243,0.048545161318330136,-0.004564941263004866,0.06362058930271185,-0.005328238681856581,0.0721439293626811,0.0997665060893139,-0.007306209590995385
HALLMARK_FATTY_ACID_METABOLISM,0.08189821150275994,-0.018604862454830014,0.04630575200025036,0.08027950588481857,0.028777196205392194,0.006367825220950125,0.07299067018727269,0.047515764025694164,0.07334417010351847
HALLMARK_G2M_CHECKPOINT,0.04897285488829828,0.036560510167955265,0.04475887129548315,0.04242192826863364,0.06946835820105815,-0.0335785479717647,0.10189088749816157,0.07742535977722273,0.02316941083019087
HALLMARK_GLYCOLYSIS,0.01552005285720536,0.046205828629128406,0.10062972435206075,0.029425445909794415,0.07617969703738879,0.0248563212897891,0.14253251127175265,0.06565775802051221,0.054212557945461766
HALLMARK_HEDGEHOG_SIGNALING,-0.031099683610323267,0.03620098440979624,0.06528962221682143,0.015617109110938514,0.043585612342084315,-0.011183611821056948,0.07932278802697741,0.06118508954655238,0.19993360513536132
HALLMARK_HEME_METABOLISM,0.020730386724491595,0.004234566191787967,0.08287929089282702,0.014804516700108104,0.07733709137391521,-0.018081731636430984,0.13202251883771765,0.05244979741579598,0.019471897179160123
HALLMARK_HYPOXIA,0.049093195654848695,0.011403264625461741,0.06715066900351228,0.06414351323833681,0.10879201303993215,-0.04198512569632401,0.004952886463732103,0.038160253526975926,0.053944747714597605
HALLMARK_IL2_STAT5_SIGNALING,0.0844093704415267,0.03572769791561984,0.09072313700339175,0.022401761324317745,0.04875111861798704,-0.04035232042857433,0.09990375686197067,0.037773431713759686,0.03133235329018577
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0345321384540595,0.04599332613066902,-0.02951794669424848,-0.06347245333775238,0.04791068894498213,-0.010443203809799264,0.0635823015279304,-0.009698132809830904,-0.01822917108469515
HALLMARK_INFLAMMATORY_RESPONSE,0.04900232564859682,-0.04836793624383617,0.03324142898781052,0.08105970827712874,0.10846036471930358,0.06657030769027747,-0.006913811437928726,0.017416703313916353,0.05727362166563453
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.03715964435567278,0.08516392764931867,0.016366931599210557,-0.003133345716867304,-0.014796547420138159,-0.025055924456997097,0.10790020998323717,0.04664068672689593,-0.026592357636446698
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.02987305921779315,0.1553270816980609,0.0557325495969249,0.041649326624847126,0.056749537457539856,-0.0005452625619740988,0.030156859634203257,-0.051877012702555785,0.03026333569694762
HALLMARK_KRAS_SIGNALING_DN,-0.010155606443696742,0.05675983856696722,0.09577829085227038,0.01350408347847113,0.03973851382372395,0.010462341575122417,0.12434326874030899,0.09968061806228827,0.08227009019589662
HALLMARK_KRAS_SIGNALING_UP,0.0593977139223622,-0.016233564068911577,0.023407360606958052,0.0037939757858877817,0.047733632523619264,0.01642581670218525,0.11278503347968974,0.038848765571391455,0.10005413324619802
HALLMARK_MITOTIC_SPINDLE,0.04043008682168441,0.029553694191241837,0.08784503240134257,0.02194118333068847,0.09558754531591038,0.008740620976934616,0.17799803629120622,0.09710238556514728,0.05885420733005546
HALLMARK_MTORC1_SIGNALING,0.08682342728474539,0.039821457598859265,0.07294984030862453,0.08019138094221095,0.077094676472383,0.009875918072466674,0.11734176009194199,0.018549616294742492,0.10523004599485421
HALLMARK_MYC_TARGETS_V1,-0.019332862643796883,0.030796158389171924,0.03329393404714591,0.026141947107612966,0.04610084521195376,0.02145788566059193,0.17892145743461663,0.06629220876122971,0.12164252529569163
HALLMARK_MYC_TARGETS_V2,0.0070640293292811,-0.010378619119732396,0.0715349795131412,0.07186886538551697,0.026703769532171316,0.026673851004682884,0.06648317169242875,0.043680906519238005,-0.07245908255562854
HALLMARK_MYOGENESIS,-0.04731746714098543,-0.0024266100410198234,0.023492131354341944,0.013915535538612689,0.1010861830109187,0.003557474649784086,0.08677795945289042,0.07035251489675012,0.07062512386955444
HALLMARK_NOTCH_SIGNALING,-0.009331500410180901,0.04620607555616011,0.028957135739356998,0.015456385850957972,0.037817618426851676,-0.031116575351403962,0.17049460907324698,0.0897815598001208,0.055743017619502094
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.010950965868135076,0.0666223656653216,0.04446455247561901,0.01443901297170956,0.05550670093378553,0.00016082785063841872,0.15027634418598396,0.08479071073595373,0.13926591108189298
HALLMARK_P53_PATHWAY,0.10602449440631362,0.02738688043781221,0.11052288849484558,0.0038588505545223964,0.06314056041710153,-0.009359555398686771,0.1474392945606062,0.08064404204424716,0.1040824899835082
HALLMARK_PANCREAS_BETA_CELLS,0.038349929523292706,0.10230942229654709,0.025448017926618268,0.01230036068873431,0.03390321277442895,-0.006952434283406131,0.14298626180587384,0.06614871534555802,0.02782806724723513
HALLMARK_PEROXISOME,0.032003007398625216,0.009516451600863386,0.02049078355454854,0.02323157851192251,-0.02728400480123919,-0.047902909214661546,0.09648916486851836,0.0038150095801292427,0.019134008734785737
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.01961903403996464,0.06317632463647721,0.07642402935814545,0.012474133518191247,0.05598940725412989,0.0024867135756933387,0.15622905249540672,0.07803629943661763,0.11075946824825109
HALLMARK_PROTEIN_SECRETION,0.05814139932976958,0.016964104954763574,0.05439622501211,0.034165042994275814,0.03147478929250264,-0.004949216248516183,0.14795303961924183,0.09563853664818033,0.0763743670703981
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0902006271959189,0.03108411888349573,0.07444292852875978,0.004921506305303028,-0.05313158256480332,-0.007146386144568587,0.06211304653191867,-0.03952951880137782,0.00508530482364791
HALLMARK_SPERMATOGENESIS,-0.0036223141275061525,-0.05173724106629908,0.05391502530068539,0.01550281602735274,0.01431755768564618,0.026363613549196783,0.15595084178276208,0.09757434946656116,0.09189482896292431
HALLMARK_TGF_BETA_SIGNALING,0.0026617604487659324,0.02092291175261775,0.010815427918634223,0.07522348539391803,0.08783989387421343,0.0009688916650324255,0.10106872195605476,0.05171979296183103,-0.002081499075206001
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.1038837278451188,0.08389106237625012,0.0499796635185286,0.048399758511744974,0.09222393690106304,0.016330720013239465,0.012991787096269879,-0.0014939999044767194,-0.030217338748401355
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.04638379483332912,0.01726969894417485,0.052535555630550505,0.03790693277673998,0.08407186513055183,0.040827887688333876,0.14616616260474374,0.06892660554923404,0.08262114537507144
HALLMARK_UV_RESPONSE_DN,-0.022803280566696546,-0.0007822357861949178,0.06089360234538969,0.020585192952893887,0.09650101808000142,0.01598612770798348,0.0922214086133147,0.07514981910050546,0.11091821980073531
HALLMARK_UV_RESPONSE_UP,-0.012311272964863796,0.060448231214867996,0.1077357303605116,0.034428264669606835,0.034039211922588526,0.037972419796615246,0.12528634133404973,0.09341121408767519,0.11018680190768734
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.027160103472097585,0.03858544255399246,0.04921038442532063,-0.03861907929009328,0.032660802518713714,0.030617844876656582,0.06833972742762001,0.060560047090630176,-0.06159563123829655
HALLMARK_XENOBIOTIC_METABOLISM,0.025622993757554002,-0.011583869961472948,0.10695663383252296,0.028182462137146452,0.05648870659809743,0.01771483366812074,0.10449454851184732,0.06769026972583417,0.10545714329574334
