,UKF243,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.025804515895973303,0.0012226329756635118,0.07183157949282896,0.08301780933034876,0.07995685842802545,0.034507945373462294,0.0922671610932385,-0.06802978243044014
HALLMARK_ALLOGRAFT_REJECTION,0.1368552285379457,0.010771117475838386,0.07611247643139757,0.09812703992578013,0.0652989500528292,0.040178933817870854,0.015041293395856383,-0.0351986935703562
HALLMARK_ANDROGEN_RESPONSE,0.015713797156496335,0.013074696132947922,0.03496517177556009,0.10616098788581764,0.09294091095434513,0.03309372237762738,0.04079494796936037,-0.08755511103747336
HALLMARK_ANGIOGENESIS,-0.12272326471195946,-0.06616522365374153,-0.0033792543177619963,0.04668412785576567,-0.06587819196151234,0.0810109808650856,-0.051099834756802985,-0.01802495180401799
HALLMARK_APICAL_JUNCTION,-0.044444644665576113,-0.00950607444653605,0.06908661349712321,0.07391150185244656,0.09440629490950368,0.03418791803732977,0.08080871395287365,-0.08606514471366424
HALLMARK_APICAL_SURFACE,0.0716768337976003,0.007457506507391524,0.1436529514287209,0.08009677100740245,0.11274660440698067,0.03534552001509761,0.050534310701025,0.001492301979117696
HALLMARK_APOPTOSIS,-0.016091709364996647,-0.004179536458945898,-0.01810179452469798,0.0015336858360100551,-0.04768389402269748,-0.028928747492533158,-0.03583491432942186,-0.04037415356822218
HALLMARK_BILE_ACID_METABOLISM,-0.07964292627380781,0.02038736165016393,0.07106250060559693,0.08023132642447488,0.08754268322765414,0.018174984598653392,0.10573592693482038,-0.06610823108314895
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0907600752602254,-0.017096340010217613,0.09616026770750626,0.09820393135169131,0.12787375099190126,0.014188679879327065,0.10053651615882796,-0.08152700280172302
HALLMARK_COAGULATION,-0.10088062201039638,0.06038061848524416,0.10479551713712586,0.0807083836855621,0.03778772315828084,0.007037200202374952,0.012570539637463088,-0.03812265455598356
HALLMARK_COMPLEMENT,0.07338906809715436,0.03588747068738009,0.06889873765780348,0.12014161423657461,0.046643105947717284,0.04858402902651705,0.11325232260931277,-0.08667024529737545
HALLMARK_DNA_REPAIR,0.030967451911543,0.0037288312880467,0.09965622892442089,0.1253585657612185,0.11528055548008932,0.05315837624375087,0.09961065673488981,-0.09370328740594429
HALLMARK_E2F_TARGETS,0.001125237784177172,-0.002205489016238638,0.046297039548336,0.1600116001734009,0.040449725396202826,0.0631085833605876,0.1240686191154851,-0.06415356932261672
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.1466537840944311,0.028213435017095632,0.09221083988358823,0.061688578807797094,-0.07547700577996898,0.02374672880231268,-0.02777881893952952,-0.0729750372420029
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.08640767570328228,0.08085192108644795,0.0653631717177803,0.06829522297046013,0.0467533790577057,0.009226638347580618,0.08621295759704439,-0.066256772399067
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.009185385972538195,-0.05958582245997949,-0.03646729672458464,0.14120802577892702,0.11105522045115453,0.08390993791015709,0.08547849141188235,-0.043165136699861176
HALLMARK_FATTY_ACID_METABOLISM,-0.07142156831620136,0.04832596430067283,0.10663851171809732,0.09327272156162159,0.022620096285690013,0.0031827687685295355,0.06141268280826868,-0.005869472253941279
HALLMARK_G2M_CHECKPOINT,0.005130794142282597,-0.029454206131064167,0.016574307607705445,0.17277942262322005,0.03551967769827194,0.06683444158763696,0.12481626002482786,-0.07268415954659457
HALLMARK_GLYCOLYSIS,-0.04121041320191155,-0.042904542083242625,0.03981864839402829,0.13157305214065043,0.09378205009073302,0.049992465732389975,0.09430306117442332,-0.08889688821129134
