,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.035801759932209125
HALLMARK_ALLOGRAFT_REJECTION,0.025812157866550438
HALLMARK_ANDROGEN_RESPONSE,-0.06879365552475006
HALLMARK_ANGIOGENESIS,-0.26114209714625497
HALLMARK_APICAL_JUNCTION,-0.0681224445169984
HALLMARK_APICAL_SURFACE,-0.04337210511137189
HALLMARK_APOPTOSIS,0.07873157576769314
HALLMARK_BILE_ACID_METABOLISM,-0.0827505989526411
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03488664295726346
HALLMARK_COAGULATION,-0.017100044597833774
HALLMARK_COMPLEMENT,0.028419754946956026
HALLMARK_DNA_REPAIR,-0.10907923338126799
HALLMARK_E2F_TARGETS,-0.11803812229742133
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.1963027399576262
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.10464623928664976
HALLMARK_ESTROGEN_RESPONSE_LATE,0.052685728179468316
HALLMARK_FATTY_ACID_METABOLISM,-0.03361305496432458
HALLMARK_G2M_CHECKPOINT,-0.21206422350856932
HALLMARK_GLYCOLYSIS,-0.050358370006606486
HALLMARK_HEDGEHOG_SIGNALING,0.08910466547654664
HALLMARK_HEME_METABOLISM,0.0974252320961547
HALLMARK_HYPOXIA,-0.23637362804158324
HALLMARK_IL2_STAT5_SIGNALING,-0.0758178896756036
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.18943276222776254
HALLMARK_INFLAMMATORY_RESPONSE,-0.09156977289744866
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.12817088356356918
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.13029082805114856
HALLMARK_KRAS_SIGNALING_DN,0.10096677756627521
HALLMARK_KRAS_SIGNALING_UP,0.039422936347836016
HALLMARK_MITOTIC_SPINDLE,-0.006433459989199616
HALLMARK_MTORC1_SIGNALING,-0.1428866881152416
HALLMARK_MYC_TARGETS_V1,-0.1662506793267434
HALLMARK_MYC_TARGETS_V2,-0.08101826507116795
HALLMARK_MYOGENESIS,0.1564515103451233
HALLMARK_NOTCH_SIGNALING,-0.07003258672799884
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0017035221692661404
HALLMARK_P53_PATHWAY,-0.12399193813940526
HALLMARK_PANCREAS_BETA_CELLS,0.20292342168554214
HALLMARK_PEROXISOME,0.04054287770768498
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.03409592424603616
HALLMARK_PROTEIN_SECRETION,-0.01961710656066294
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.11226008471218217
HALLMARK_SPERMATOGENESIS,0.10120537623375717
HALLMARK_TGF_BETA_SIGNALING,-0.08638201612787405
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.25661770534464406
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.13022944477872836
HALLMARK_UV_RESPONSE_DN,-0.07215822767641232
HALLMARK_UV_RESPONSE_UP,0.005770298794579335
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.1860059595355678
HALLMARK_XENOBIOTIC_METABOLISM,-0.10211540193937743
