,ZH8812bulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.10196816395345132,0.06393947631877463
HALLMARK_ALLOGRAFT_REJECTION,0.028944458773554897,0.007140247737205195
HALLMARK_ANDROGEN_RESPONSE,0.0737926301541754,-0.018627899924848954
HALLMARK_ANGIOGENESIS,0.0104718591994699,-0.07249184331828555
HALLMARK_APICAL_JUNCTION,0.06991185468693353,0.0006591510256410179
HALLMARK_APICAL_SURFACE,0.05888160408866608,-0.02424948021102592
HALLMARK_APOPTOSIS,0.0856388643923472,-0.0649171409214943
HALLMARK_BILE_ACID_METABOLISM,0.060722458295145144,0.07564625813241721
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0067588253153108265,0.049337176226245345
HALLMARK_COAGULATION,0.05480975472927712,-0.05241691439859567
HALLMARK_COMPLEMENT,0.11251087080517334,0.036500418705635626
HALLMARK_DNA_REPAIR,0.12116854315822773,0.052994787099177494
HALLMARK_E2F_TARGETS,0.042730484454930315,0.07160866432742023
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.083709469540052,-0.06988271421409012
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.09258158201893665,0.08002679056654906
HALLMARK_ESTROGEN_RESPONSE_LATE,0.04648657911885338,0.045312993560496305
HALLMARK_FATTY_ACID_METABOLISM,0.07467774694828298,0.00088589963706176
HALLMARK_G2M_CHECKPOINT,0.0920646177990224,0.04698515798821351
HALLMARK_GLYCOLYSIS,0.06150311074922895,0.0157712214185723
HALLMARK_HEDGEHOG_SIGNALING,0.09782911253355196,0.023721864980528442
HALLMARK_HEME_METABOLISM,0.11780399600762796,0.07387430792907387
HALLMARK_HYPOXIA,0.035311412986869566,-0.028058333922948268
HALLMARK_IL2_STAT5_SIGNALING,-0.014627186607696513,0.008993846728238237
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.030599434773755006,-0.009578464200838792
HALLMARK_INFLAMMATORY_RESPONSE,0.08115303551776527,0.020367051444615026
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.023326273091703813,0.02281582511315792
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.05998531025045746,-0.10648392423677752
HALLMARK_KRAS_SIGNALING_DN,0.0924777465891561,0.09961010185473128
HALLMARK_KRAS_SIGNALING_UP,0.11463372210169882,-0.0013124804956599406
HALLMARK_MITOTIC_SPINDLE,0.11268542862707463,0.08631652078808456
HALLMARK_MTORC1_SIGNALING,0.03417211207106444,-0.029051481511479026
HALLMARK_MYC_TARGETS_V1,0.04972101230793368,0.07353685763520562
HALLMARK_MYC_TARGETS_V2,0.0339047834643253,-0.005373041023627993
HALLMARK_MYOGENESIS,0.05112603432545795,-0.015782405861797782
HALLMARK_NOTCH_SIGNALING,0.05157541287570932,0.10409132956004771
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.04535491124230707,0.06536738826581005
HALLMARK_P53_PATHWAY,0.07152938051742315,0.042969041215186674
HALLMARK_PANCREAS_BETA_CELLS,0.11605851695288603,0.09344483727644405
HALLMARK_PEROXISOME,0.037532953609442817,0.055011248519008064
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.06775894356845173,0.04786172549520228
HALLMARK_PROTEIN_SECRETION,0.10201253213583707,0.0514090600316701
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.03532031689454514,0.021714037888144116
HALLMARK_SPERMATOGENESIS,0.05624748790820626,0.08799709608959787
HALLMARK_TGF_BETA_SIGNALING,0.07997178550586258,0.050639934528004416
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03229318661338989,0.01940072613458014
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.07109108226963091,0.02047116908486232
HALLMARK_UV_RESPONSE_DN,0.043683828876874345,0.05499604583031953
HALLMARK_UV_RESPONSE_UP,0.06921906177670124,0.02198252136902804
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.08499384517432383,-0.05516926357169333
HALLMARK_XENOBIOTIC_METABOLISM,0.09869623884128337,0.053161089538115346
