,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.3326506606567919,-0.08840885176589046,-0.06550075711984742,0.03776073002800392,-0.12152221928741869,-0.019263573380103878,0.2608808242570794,0.11186492157438499,-0.04168598714056264,-0.04843033076882022,-0.04027464157727306,0.329608030321439,0.3448373385618996,0.06700045077944654,0.04696561230850867,-0.08756258267750354,0.05569812128848304,0.13698088913986523,0.2932894850958144,0.4000944533630946,-0.010939577408754888,0.11049436768885823,-0.00233104426423757,0.2336520782475224,0.016312817967177377,0.1589479773480068
HALLMARK_ALLOGRAFT_REJECTION,-0.32946666736080576,0.19356980208744082,-0.1995392472405404,-0.029179156309552118,0.09804649726854676,0.024123700323830523,0.1430596915183462,-0.3287499422559699,-0.3958310830016486,-0.07784300400630839,-0.1610004561345391,-0.6347528616938354,0.4723303046839826,0.15580696294116966,-0.016479651319179563,-0.032985323432601396,0.1128012664984536,0.15752745785773045,0.20427070441503273,0.2428862602828282,0.07139234469064669,-0.06504999433824703,0.024370519345780797,0.07248913278667483,0.08862346832633272,0.06957084889956765
HALLMARK_ANDROGEN_RESPONSE,0.44958027648476234,0.019728290770340457,-0.09641959176833939,-0.025088844067561292,0.0026346827824327824,0.19193393296547723,0.19680432391472116,-0.16113121944154962,-0.37874938268478864,-0.08911268067031335,-0.060147910313409464,-0.2293593371942444,0.4386969566409935,0.10553354019202504,0.02537899189467915,-0.1992410080480104,0.15516751903746398,0.10176990223223424,0.26004655154032247,0.3869596728709508,0.024596001088904026,-0.034788873624056874,0.04047893765443162,0.09826724808112315,-0.11783478026845033,-0.007454814432928176
HALLMARK_ANGIOGENESIS,-0.2197901708917206,-0.13812999387087405,-0.23666539963571606,-0.09344598835534235,-0.23076068471787428,0.0962032765340779,-0.3052980497705876,-0.3540591734300294,-0.5221040977592155,-0.28144126350789284,-0.16878405625674775,-0.6186671155295875,-0.07401986173175412,0.08160404094419134,-0.1282407400478144,-0.040878267828169536,-0.10072895453258937,-0.16280918836610792,-0.15805957463137849,-0.3563402776281294,0.023565095885673338,-0.2473257008313742,-0.017076833230374126,-0.26564350598339626,-0.3498628478787866,-0.17904610571345678
HALLMARK_APICAL_JUNCTION,0.5081154003600178,-0.13639063630520692,-0.058236332432327814,0.013367333937231086,-0.16406766511681523,-0.040806424602058106,-0.05005730458774664,-0.2057475081841029,-0.33547834100121066,-0.29331526744305697,-0.03237773484608228,0.0447651709080413,0.38024397139325455,0.09002671109247712,0.049569239738724055,-0.13249876214425216,0.03271249230499604,0.09756771385674977,0.26673443299690647,0.37299895977679304,0.010414891002659106,0.11271019952263711,0.06200995166288573,0.19177260061178686,-0.13052135728875483,0.15772309032324078
HALLMARK_APICAL_SURFACE,0.41724690637169914,0.06068799895986272,0.07052181271879393,0.03464058139289879,-0.08702093735990904,-0.0916721716569135,0.07341704193925676,0.20292499748739992,0.3360800360936572,-0.08720455058740367,0.18929535960147478,0.373316227752868,0.3989310072358855,0.03320831274346153,0.2461506424293933,-0.07216783415388403,0.0751609275302849,0.12144347327443761,0.23291516382686656,0.3642350237044384,0.04377904960103135,0.01520783086772318,0.08259360175314186,0.07442138393352835,-0.09048794006839736,-0.009039797592301071
HALLMARK_APOPTOSIS,0.06011848295880687,-0.12189542132741882,-0.23274457605149693,0.05727230784357169,0.049751276536948094,0.10507516925952531,-0.3231486022299016,0.018187900402737635,-0.12125937566613207,-0.3392108155785096,-0.07299717913498428,-0.19242817027720333,-0.015239226247033331,0.044180588994330895,-0.2131871874565405,-0.09165852628498794,-0.01342865621674058,0.03392040451874731,-0.1838068969725835,-0.2517273627300612,-0.05009780010623935,-0.11608556920938984,0.011458616584494602,-0.06909316667525892,-0.05937544411121395,0.08927037183710412
HALLMARK_BILE_ACID_METABOLISM,0.49462908664850797,-0.10546930919504909,0.11067496016637977,0.02066401999470901,-0.17793011191764083,-0.11076892397062983,0.15200459369839053,-0.14848259941145836,-0.4892587391673642,-0.22402442949073556,-0.11172388098903274,-0.10213609077073217,0.12889574402148019,-0.020246502100469754,0.1711000171574068,-0.019168828600510716,-0.03731248802913847,0.08992936838786442,0.212041005253053,0.41793507620297277,-0.005334591829486347,0.046235861618680284,0.05007223962630014,0.26647428985144583,0.0361488907398897,0.0030588987035316735
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.36781289216436414,-0.1470204589651376,0.1386289197355458,0.01760922005672841,-0.12122433320488743,0.011184596344033515,0.09607008745594892,-0.3019354214258279,-0.3647520089893684,-0.2536533626196669,-0.09539623983204998,-0.47498001842108245,0.44211067922548414,0.0045226814342892736,0.01768338444456585,-0.022334285909328334,0.0883166678998615,0.13662448349259118,0.2945416603777475,0.4818156401630676,0.027204138998630084,0.17794310215392461,0.0071226810915431885,0.2337635867086814,0.07584315465023052,-0.07261655997005176
HALLMARK_COAGULATION,-0.4802689076431147,-0.32114288217001263,-0.31700344157346394,-0.018505905584910262,-0.17895252191993058,-0.08974210912363899,-0.16565652690368624,-0.45913371398365627,-0.541678653603581,-0.24386723802803323,-0.26577105632053627,-0.6726956444155564,0.23464538471159013,0.06681750200061638,-0.17555702673463947,-0.17766002494205924,-0.1271760925717884,0.07701217201219007,0.12077158939089681,0.15694591052084245,0.010210681570027568,-0.17883624663482175,0.04603829082839328,-0.012973951277213212,-0.19097448933756075,-0.12253190909593144
HALLMARK_COMPLEMENT,-0.2607842452048624,0.015256325350033531,-0.17040670033599936,-0.08977438161881954,-0.08357925426396824,-0.046071644046420855,0.03961855328289966,-0.019080283231652388,-0.2746091171954388,-0.34924559191518956,0.039473299942474456,-0.423934845584593,0.3497581669988755,0.14092423355529354,0.023788569066360725,-0.04012140452596634,0.04787834323012533,0.15776617110345695,0.1407682758066195,0.2829297046228412,0.004650881580551689,0.06532899187359646,0.051927785092315354,0.18077428461881656,-0.03554253970685421,0.18092889056238162
