,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf
HALLMARK_ADIPOGENESIS,0.034741769139007145,-0.00083412451709044,0.01786867486721876,0.0049243163991157845,-0.033514221407548554,0.032760845776163,0.006350982397167519,0.08209964495820049,0.04917514680250118,0.1854489520433179,0.15284286041796938,0.02069139863416194,0.05856659475913497
HALLMARK_ALLOGRAFT_REJECTION,-0.012569476539821075,-0.014958048224008978,-0.049411296998103406,-0.07477003880725029,-0.09510895270140128,0.04581556612024123,0.0559495977855141,-0.10096664340343894,0.025864339284711494,0.0940113840570294,0.060447129767995496,-0.031736987169169485,0.030238345643140433
HALLMARK_ANDROGEN_RESPONSE,0.04386588907299757,-0.03884073646150346,0.017563278727835783,-0.022523225905496803,-0.11843498907617385,0.041896175299471664,0.026778462179794613,-0.07513157577502612,0.06424330219971515,0.13421684547114965,0.12602425082956178,-0.012897987238259703,0.04439907040818399
HALLMARK_ANGIOGENESIS,-0.1075320721133559,-0.005677574614550631,-0.03098281864678997,-0.037897324827672337,-0.1307952762273533,-0.05649776432595657,-0.06834902073163664,-0.11391333156666963,0.012117155081832497,-0.08156440480682497,-0.050071187258389396,-0.020068063132074786,0.038283662111676595
HALLMARK_APICAL_JUNCTION,0.07507839269533978,-0.01848572842014466,3.25632483344329e-05,0.011694176795859637,-0.06398952332397453,-0.045588201237411474,0.046243267604175416,0.045661350406524526,0.07988963090281223,0.1555682631122903,0.1733835843954532,0.08612436132000525,0.053056281339453226
HALLMARK_APICAL_SURFACE,0.08197429835560292,0.07353355265200745,0.036886943096503505,0.13939616494328072,0.13543808983898867,0.07837644097547276,0.00042665683006761396,0.08754866147769108,0.031835332967586755,0.10993162315213975,0.17921541870937333,0.027571354755375792,0.018004893869241836
HALLMARK_APOPTOSIS,0.009557220429527325,0.03364797369521254,0.018632547595990603,0.0022771461957024545,-0.019398863734398017,-0.00493393536803751,0.05470795982121494,-0.023220607242991603,-0.05858851150237836,-0.11687303985399147,0.02232169684800343,0.05687928222529818,0.0544778726766479
HALLMARK_BILE_ACID_METABOLISM,0.02296689835606794,-0.002000353830306998,-0.0543851808771645,-0.003535746671465929,-0.13289724210372098,-0.013864599212116968,0.04130446887396748,-0.015908669140283806,0.10444980732690477,0.14815504944602273,0.19314339813955553,0.05531067588328503,0.003197361908201601
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.08127165287941551,-0.04242669844741043,0.036160756216074764,-0.0340565629983869,-0.09478496177448757,-0.07825416388688423,-0.004907345604997117,-0.09085552826165845,0.050324864134633905,0.17127860243001106,0.14686913630918993,-0.05123391217159066,0.04359839868690473
HALLMARK_COAGULATION,0.023789471414810505,-0.023683117103458315,0.02940384978156854,-0.10528054487336266,-0.1414652554679547,-0.018713431597954532,0.018735054747120356,-0.1346168769171473,0.007804755585335195,0.08658107736013415,0.17552311879931745,0.0464307197321269,0.07452974228733664
HALLMARK_COMPLEMENT,-0.0062109562294906315,0.023752982330324388,0.03683944238802234,-0.04396249046165623,-0.05505124020955733,0.00128469790952931,-0.011148347264743815,-0.08020737316110728,0.1266599117059159,0.11130979492406606,0.08921490559096232,0.022744131561819283,0.036930039325982204
HALLMARK_DNA_REPAIR,0.08627601123808432,0.024004539097252586,0.0472606306767024,-0.004451087402858787,-0.0719499296808315,0.023957921143298054,0.02094752807102538,0.0909833394681853,0.11181285871295366,0.17022438170329882,0.15944988027120954,0.040464584283131745,0.08003945494039202
HALLMARK_E2F_TARGETS,0.06021796751326932,-0.015081500960317833,-0.0041868376070314205,-0.08612205096401891,-0.09169806635233074,-0.0005557768116061049,0.00884943585525144,0.11201193998011078,0.12533463223831798,0.05023299987457079,0.10316882021685533,0.03135249510368541,-0.03064084562901365
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.008503066965243639,0.010907852780682153,-0.012606678438986116,-0.10328039175505704,-0.07813158923056852,-0.06505291307391448,0.04025697858137248,-0.10612859717655479,0.026896079711330276,-0.09659927768978725,0.051677986551638334,0.08088329860519218,0.06097015280089954
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.05447901272313551,-0.03492115584657097,0.06507550528178561,0.02773960359188342,-0.0223528935687746,0.00867156030588117,0.0427697184150888,0.0660754906816473,0.04898787344534938,0.1261065161526013,0.16207196156213374,0.0918989010768169,0.058005833728577184
HALLMARK_ESTROGEN_RESPONSE_LATE,0.028319420084088907,0.032947697280136336,0.005485143210087826,0.03074457979201661,0.09780426172075218,-0.0005832218940823863,0.012766838631513984,0.015913123053350277,0.08410717253764324,0.13253635281412174,0.14923199872590664,-0.05247995043462873,-0.04581931002046936
HALLMARK_FATTY_ACID_METABOLISM,-0.002256350480002104,0.02225514540865993,0.047668524183414614,0.04895522260329869,-0.10709079134843999,-0.027584295478961077,-0.0034442101990349513,0.04759414208020201,0.06921071093194359,-0.0021304703531879825,0.058495142175939006,-0.020579976691378028,-0.01106752759758034
HALLMARK_G2M_CHECKPOINT,0.04527244953274302,-0.030657180059687615,-0.04879031525611172,-0.09011782595115518,-0.1201383761393791,0.004207520845410921,-0.017631549817163403,-0.04291954298744423,0.017707291340272494,0.03750410729324143,0.059380616176822505,-0.0007326589232749046,0.07201836028992767
HALLMARK_GLYCOLYSIS,0.06744892115404619,-0.009142741746611872,0.044892843627960456,0.05879335226324754,-0.04551759537301783,-0.002844654571216973,0.030613442296680667,0.1752105355227556,0.03736058723748578,0.0529942778216046,0.14620257729216785,0.003675156627026293,-0.00573557359699225
HALLMARK_HEDGEHOG_SIGNALING,0.060839875122784326,-0.02429903682455993,0.12416828297946361,0.1433394224107809,0.14711022263735427,0.07249484400158339,0.023892471242894817,0.17238009523365244,-0.0276733741258383,0.06748809178319855,0.06085957603554855,0.01632329911358996,0.05914061361683353
HALLMARK_HEME_METABOLISM,0.05130305865782731,-0.028753232991802158,0.04194702716427316,0.05000384898219931,-0.06087078428555232,0.03370703822105627,0.04469274224586335,0.0952501130596232,0.10827808737044249,0.19679163942151687,0.1669547284771817,0.058261359832623996,0.10482128308448371
HALLMARK_HYPOXIA,-0.03918136017362183,0.017591224084861627,-0.0007541576763768708,-0.048596983317845496,0.13727419562487914,-0.03553108378861265,0.05823677380834068,0.038334711707617194,-0.046224434716668976,-0.06271950126077197,0.005852316304687141,0.0035416147245742446,0.06492856314061468
HALLMARK_IL2_STAT5_SIGNALING,0.057418772256787785,0.01967286447523023,-0.005551206862578114,-0.013485082535747555,-0.10394617957578145,-0.009604161344932003,0.01648503223341205,-0.06595060671557558,0.10480014275906871,0.14904866165279176,0.1763952749281506,-0.018439902859093332,0.012827678236301945
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.020426615664122218,-0.031292362695897136,0.03335018961390166,-0.034322809783908045,-0.1334712170043421,-0.030026119895659,0.037561200491587,-0.0732189876949574,0.09314954029766584,-0.0005064814502349724,0.08551149059703037,-0.04225323787869738,-0.034746238985382163
HALLMARK_INFLAMMATORY_RESPONSE,0.04059613779419618,0.02794387515383671,0.0014777988112547546,0.02647168740835327,-0.06406233740624252,-0.12118528195555664,0.022827678817912072,0.03861764251054473,0.10499682150151288,0.043564486746876775,0.031139631449788995,0.06634756695138966,0.03238776574816841
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0631757756900305,0.01712391531449047,0.010259298833193665,-0.03617909367463303,-0.1307394625957491,0.03032339328019968,0.01236180362244122,-0.13793235638842996,0.0658393202339464,0.15127532648083034,0.13715387268171628,0.09752401335735258,0.013589136281424352
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.04125846882234227,0.030496692538293766,-0.02143259031418841,-0.10982354067791833,-0.1035746712632968,0.03963509102018921,0.05956896786831936,-0.13948007239746862,0.02032908800044527,0.0058220313612920025,0.08535399071023704,0.039242446873688254,0.07141315618280632
